id,count,mean,std,min,25%,50%,75%,max
0,23.0,38.08695652173913,49.339190621911264,7.0,7.0,14.0,42.0,161.0
1,44.0,39.79545454545455,33.80421024105048,7.0,7.0,28.0,57.75,133.0
2,46.0,36.69565217391305,40.75993106810079,7.0,14.0,21.0,35.0,217.0
3,41.0,36.390243902439025,36.09977704140324,7.0,7.0,28.0,56.0,182.0
4,37.0,49.21621621621622,41.046812797595386,7.0,14.0,42.0,70.0,140.0
5,37.0,25.756756756756758,28.38466468340236,7.0,7.0,14.0,35.0,120.0
6,16.0,20.625,29.531621470326797,7.0,7.0,7.0,15.75,120.0
7,57.0,28.63157894736842,35.54907652957054,7.0,7.0,14.0,35.0,203.0
8,50.0,33.48,26.834519346756124,7.0,7.0,31.5,47.25,120.0
9,42.0,41.19047619047619,55.416488738984135,7.0,7.0,14.0,56.0,301.0
10,20.0,25.95,29.61236406069529,7.0,7.0,14.0,22.75,120.0
11,33.0,24.636363636363637,30.715242736524747,7.0,7.0,14.0,14.0,120.0
12,44.0,30.25,57.04022448502745,7.0,7.0,14.0,28.0,357.0
13,48.0,24.8125,30.008974721402716,7.0,7.0,14.0,28.0,147.0
14,42.0,19.19047619047619,20.574952917870554,7.0,7.0,14.0,21.0,120.0
15,39.0,37.17948717948718,29.8644937878374,7.0,17.5,35.0,45.5,161.0
16,32.0,38.96875,41.719867917243675,7.0,7.0,17.5,57.75,140.0
17,31.0,47.45161290322581,32.542114979082534,7.0,24.5,49.0,59.5,126.0
18,37.0,29.54054054054054,25.398594224653234,7.0,7.0,21.0,42.0,120.0
19,55.0,27.254545454545454,25.544600198997035,7.0,7.0,14.0,42.0,120.0
20,54.0,25.037037037037038,38.23263594669566,7.0,7.0,14.0,21.0,203.0
21,46.0,49.630434782608695,51.92916487149787,7.0,8.75,35.0,70.0,217.0
22,24.0,35.041666666666664,42.88962494049385,7.0,7.0,14.0,40.25,161.0
23,42.0,40.19047619047619,32.08467310957367,7.0,14.0,35.0,54.25,120.0
24,38.0,27.657894736842106,29.55642914081787,7.0,7.0,14.0,40.25,120.0
25,23.0,35.04347826086956,59.4241137623666,7.0,7.0,14.0,21.0,266.0
26,39.0,48.30769230769231,47.88866135777524,7.0,14.0,21.0,73.5,189.0
27,55.0,33.74545454545454,36.64252648869545,7.0,7.0,14.0,49.0,161.0
28,40.0,25.575,27.386022543794684,7.0,7.0,14.0,35.0,120.0
29,41.0,24.097560975609756,25.432071168161652,7.0,7.0,14.0,35.0,120.0
30,37.0,39.37837837837838,33.52971431047008,7.0,14.0,28.0,56.0,120.0
31,30.0,28.733333333333334,37.049764607501416,7.0,7.0,10.5,28.0,161.0
32,28.0,39.285714285714285,48.533956912093764,7.0,7.0,21.0,42.0,224.0
33,15.0,35.53333333333333,57.430537753591224,7.0,7.0,7.0,17.5,196.0
34,40.0,34.675,27.850689352974683,7.0,14.0,35.0,49.0,120.0
35,25.0,25.8,33.42653636459113,7.0,7.0,7.0,21.0,120.0
36,27.0,32.44444444444444,36.03452760183182,7.0,7.0,21.0,38.5,148.0
37,45.0,41.86666666666667,35.02051346905644,7.0,14.0,35.0,70.0,148.0
38,47.0,41.723404255319146,43.15377061849746,7.0,14.0,28.0,49.0,196.0
39,48.0,46.6875,54.75677603070323,7.0,14.0,35.0,56.0,315.0
40,27.0,32.96296296296296,39.5440178121716,7.0,7.0,21.0,35.0,175.0
41,45.0,34.55555555555556,35.91059324309064,7.0,7.0,21.0,49.0,162.0
42,38.0,16.973684210526315,21.335779924311716,7.0,7.0,7.0,14.0,127.0
43,57.0,29.36842105263158,37.689346533274666,7.0,7.0,14.0,35.0,168.0
44,34.0,46.76470588235294,50.45433508330827,7.0,7.0,31.5,61.25,182.0
45,37.0,41.08108108108108,52.15754892544232,7.0,14.0,21.0,49.0,266.0
46,17.0,34.23529411764706,31.76776946010828,7.0,7.0,21.0,49.0,127.0
47,42.0,18.023809523809526,23.26778165580781,7.0,7.0,10.5,14.0,134.0
48,18.0,16.77777777777778,29.942210134063558,7.0,7.0,7.0,7.0,134.0
49,33.0,27.393939393939394,31.134726787322418,7.0,7.0,14.0,35.0,134.0
50,46.0,28.934782608695652,24.511586533640273,7.0,14.0,21.0,35.0,141.0
51,40.0,36.25,24.543786095413967,7.0,21.0,35.0,42.0,127.0
52,34.0,38.529411764705884,50.72638145384578,7.0,7.0,14.0,42.0,217.0
53,40.0,36.95,34.29132356434892,7.0,7.0,28.0,45.5,134.0
54,42.0,34.023809523809526,31.588426481428133,7.0,8.75,21.0,42.0,127.0
55,54.0,32.68518518518518,33.03904155610739,7.0,14.0,21.0,35.0,168.0
56,34.0,20.61764705882353,27.65481459083528,7.0,7.0,7.0,21.0,148.0
57,34.0,53.76470588235294,50.500560347043866,7.0,22.75,35.0,77.0,224.0
58,31.0,35.25806451612903,41.23992219677068,7.0,14.0,14.0,38.5,168.0
59,48.0,42.458333333333336,35.842420091480776,7.0,14.0,31.5,56.0,127.0
60,38.0,30.42105263157895,34.816609564469694,7.0,7.0,21.0,40.25,148.0
61,22.0,34.40909090909091,56.81855757451508,7.0,7.0,10.5,19.25,238.0
62,40.0,50.775,50.71210218175054,7.0,14.0,28.0,71.75,196.0
63,51.0,30.352941176470587,28.727564135799447,7.0,14.0,21.0,42.0,148.0
64,42.0,30.523809523809526,33.473861732401105,7.0,7.0,14.0,40.25,127.0
65,41.0,25.463414634146343,27.56365139180186,7.0,7.0,21.0,35.0,141.0
66,34.0,47.1764705882353,34.56085593447233,7.0,21.0,35.0,68.25,141.0
67,30.0,29.433333333333334,33.22512897495356,7.0,7.0,14.0,40.25,141.0
68,34.0,38.94117647058823,48.02205375719392,7.0,14.0,21.0,38.5,224.0
69,16.0,32.0,45.21356728534773,7.0,7.0,7.0,24.5,127.0
70,45.0,32.06666666666667,31.044249943354316,7.0,7.0,21.0,42.0,141.0
71,28.0,24.535714285714285,29.55908351064725,7.0,7.0,14.0,29.75,134.0
72,31.0,26.677419354838708,30.574921201069557,7.0,7.0,14.0,35.0,162.0
73,39.0,46.69230769230769,35.64529484426259,7.0,17.5,42.0,70.0,162.0
74,31.0,37.516129032258064,41.89182176968192,7.0,7.0,14.0,52.5,169.0
75,49.0,45.87755102040816,57.81927037944084,7.0,14.0,28.0,49.0,329.0
76,23.0,53.0,68.1915750594669,7.0,7.0,28.0,66.5,253.0
77,40.0,46.05,38.85538605703237,7.0,21.0,38.5,63.0,190.0
78,36.0,30.36111111111111,23.449828239124574,14.0,19.25,24.5,35.0,148.0
79,57.0,37.719298245614034,42.62911244760059,7.0,7.0,21.0,49.0,189.0
80,35.0,39.22857142857143,47.82141146973794,7.0,7.0,21.0,42.0,197.0
81,41.0,30.585365853658537,46.54942298769991,7.0,7.0,21.0,28.0,259.0
82,20.0,24.2,33.067076964064555,7.0,7.0,10.5,22.75,148.0
83,39.0,27.307692307692307,48.58749776713404,7.0,7.0,7.0,21.0,252.0
84,20.0,20.0,37.96535817100415,7.0,7.0,7.0,14.0,176.0
85,31.0,28.93548387096774,37.2486558897284,7.0,7.0,14.0,28.0,176.0
86,42.0,33.357142857142854,32.44569303491111,7.0,14.0,21.0,42.0,162.0
87,39.0,36.82051282051282,27.86704504840968,7.0,21.0,28.0,49.0,155.0
88,35.0,34.22857142857143,46.20420512711555,7.0,7.0,14.0,35.0,176.0
89,41.0,42.53658536585366,36.4534618115863,7.0,21.0,35.0,56.0,190.0
90,42.0,36.523809523809526,39.33237857854214,7.0,7.0,14.0,49.0,169.0
91,47.0,38.0,42.259549988344546,7.0,10.5,28.0,45.5,238.0
92,39.0,21.564102564102566,31.35014049477028,7.0,7.0,14.0,21.0,155.0
93,37.0,44.86486486486486,39.74932715165137,7.0,14.0,35.0,70.0,190.0
94,33.0,30.575757575757574,31.71753291066936,7.0,14.0,21.0,35.0,162.0
95,46.0,48.56521739130435,62.84041593111979,7.0,7.0,24.5,63.0,350.0
96,40.0,27.5,33.44954102632494,7.0,7.0,17.5,35.0,169.0
97,16.0,43.8125,72.72250339475396,7.0,7.0,14.0,28.0,273.0
98,42.0,48.857142857142854,54.653039291815716,7.0,7.0,28.0,63.0,245.0
99,50.0,39.64,31.79254180284606,7.0,21.0,35.0,56.0,176.0
100,42.0,31.523809523809526,38.46204216591457,7.0,7.0,21.0,35.0,168.0
101,44.0,26.59090909090909,30.54871685488468,7.0,7.0,14.0,35.0,169.0
