id,count,mean,std,min,25%,50%,75%,max
0,24.0,23.958333333333332,31.969386398031894,7.0,7.0,7.0,28.0,120.0
1,41.0,40.65853658536585,37.00176330669767,7.0,14.0,28.0,49.0,168.0
2,47.0,34.42553191489362,37.286053273746404,7.0,7.0,21.0,38.5,140.0
3,36.0,29.194444444444443,32.288714918855334,7.0,7.0,14.0,35.0,120.0
4,43.0,37.7906976744186,50.65784296891812,7.0,10.5,14.0,35.0,245.0
5,49.0,33.30612244897959,27.34669699862661,7.0,14.0,28.0,49.0,120.0
6,20.0,28.4,32.06473714879092,7.0,7.0,21.0,29.75,120.0
7,37.0,36.729729729729726,80.20517046530958,7.0,7.0,7.0,21.0,420.0
8,41.0,38.09756097560975,33.633171778802534,7.0,7.0,28.0,63.0,120.0
9,52.0,35.01923076923077,48.70941865864699,7.0,7.0,21.0,35.0,273.0
10,7.0,24.142857142857142,42.34945324884597,7.0,7.0,7.0,10.5,120.0
11,17.0,18.176470588235293,28.01391460979179,7.0,7.0,7.0,14.0,120.0
12,17.0,43.294117647058826,56.04324748116667,7.0,7.0,7.0,63.0,217.0
13,33.0,15.727272727272727,20.643208216131168,7.0,7.0,7.0,14.0,120.0
14,37.0,39.0,36.900015055703044,7.0,14.0,21.0,49.0,182.0
15,29.0,34.310344827586206,42.21129118432977,7.0,7.0,14.0,42.0,147.0
16,38.0,43.13157894736842,42.160036830482646,7.0,7.0,31.5,63.0,182.0
17,53.0,32.77358490566038,24.19205329587666,7.0,14.0,28.0,49.0,120.0
18,47.0,31.893617021276597,28.661619574489286,7.0,14.0,21.0,42.0,120.0
19,39.0,21.025641025641026,23.492985716331294,7.0,7.0,7.0,31.5,120.0
20,47.0,43.808510638297875,78.79159034188321,7.0,7.0,14.0,42.0,420.0
21,40.0,27.15,26.81135427293291,7.0,7.0,21.0,35.0,120.0
22,28.0,47.035714285714285,72.17852463156487,7.0,14.0,21.0,35.0,294.0
23,41.0,34.170731707317074,31.884088852454592,7.0,7.0,21.0,56.0,161.0
24,40.0,30.3,30.82805914697244,7.0,7.0,17.5,38.5,120.0
25,14.0,27.571428571428573,31.345995415226948,7.0,7.0,14.0,33.25,120.0
26,45.0,39.37777777777778,31.19534412295359,7.0,14.0,35.0,56.0,126.0
27,51.0,34.88235294117647,30.83870753376252,7.0,14.0,21.0,52.5,140.0
28,40.0,29.775,34.96700826016813,7.0,7.0,14.0,43.75,140.0
29,41.0,28.536585365853657,31.54845286299759,7.0,7.0,14.0,35.0,161.0
30,34.0,37.5,51.223958646261806,7.0,14.0,21.0,35.0,266.0
31,28.0,39.535714285714285,70.09965506485493,7.0,7.0,7.0,38.5,280.0
32,31.0,29.161290322580644,33.07778385784387,7.0,7.0,14.0,31.5,133.0
33,19.0,31.0,37.26929030716845,7.0,10.5,14.0,31.5,140.0
34,43.0,34.53488372093023,34.50075833342501,7.0,10.5,21.0,45.5,154.0
35,24.0,29.5,34.52913073862731,7.0,7.0,14.0,35.0,133.0
36,30.0,20.8,32.16058843174145,7.0,7.0,7.0,14.0,148.0
37,43.0,39.906976744186046,41.601747876220166,7.0,7.0,21.0,49.0,161.0
38,44.0,40.75,36.029784190822035,7.0,14.0,28.0,45.5,155.0
39,52.0,32.05769230769231,30.6935603270544,7.0,7.0,21.0,42.0,127.0
40,28.0,35.035714285714285,39.598430704836204,7.0,7.0,14.0,49.0,147.0
41,44.0,37.25,31.492431722779894,7.0,12.25,28.0,57.75,155.0
42,35.0,23.428571428571427,28.15637605596718,7.0,7.0,14.0,28.0,127.0
43,49.0,41.59183673469388,81.19983537733388,7.0,14.0,14.0,21.0,462.0
44,37.0,36.351351351351354,37.170191324811924,7.0,7.0,28.0,49.0,169.0
45,30.0,42.96666666666667,62.14581481363468,7.0,8.75,17.5,50.75,294.0
46,24.0,14.625,25.465769864321963,7.0,7.0,7.0,7.0,127.0
47,38.0,17.894736842105264,22.84588729170072,7.0,7.0,10.5,21.0,134.0
48,22.0,36.0,56.83895377878332,7.0,7.0,14.0,26.25,238.0
49,47.0,19.085106382978722,20.54034184046651,7.0,7.0,14.0,21.0,134.0
50,36.0,45.138888888888886,61.58160800469929,7.0,7.0,24.5,63.0,336.0
