id,count,mean,std,min,25%,50%,75%,max
0,40.0,9.475,21.85498534923747,0.0,0.0,7.0,7.0,134.0
1,54.0,14.277777777777779,21.13337400547641,0.0,0.0,7.0,21.0,141.0
2,50.0,13.88,24.127755209065167,0.0,0.0,7.0,21.0,141.0
3,54.0,8.833333333333334,19.155520412250638,0.0,0.0,0.0,7.0,120.0
4,43.0,12.232558139534884,23.387865401998866,0.0,0.0,7.0,14.0,127.0
5,55.0,8.927272727272728,20.838758889479767,0.0,0.0,7.0,7.0,148.0
6,38.0,3.3421052631578947,19.469000051765555,0.0,0.0,0.0,0.0,120.0
7,56.0,7.767857142857143,21.492485850918875,0.0,0.0,0.0,7.0,134.0
8,52.0,12.673076923076923,24.291304951139633,0.0,0.0,7.0,14.0,162.0
9,56.0,21.267857142857142,46.38279111576094,0.0,0.0,7.0,14.0,252.0
10,25.0,5.08,23.982493615135187,0.0,0.0,0.0,0.0,120.0
11,44.0,23.886363636363637,44.23100875298408,0.0,0.0,7.0,21.0,245.0
12,41.0,13.512195121951219,29.52043525358282,0.0,0.0,0.0,7.0,127.0
13,58.0,7.017241379310345,17.759100833993312,0.0,0.0,0.0,7.0,127.0
14,53.0,14.018867924528301,20.289719418424063,0.0,0.0,7.0,14.0,134.0
15,36.0,5.666666666666667,21.307275752662516,0.0,0.0,0.0,0.0,120.0
16,54.0,17.38888888888889,32.81188042242239,0.0,0.0,7.0,14.0,141.0
17,56.0,8.642857142857142,17.978197474040172,0.0,0.0,7.0,7.0,127.0
18,58.0,15.46551724137931,24.385943259901516,0.0,0.0,7.0,14.0,120.0
19,48.0,22.333333333333332,32.483929469183145,0.0,7.0,7.0,28.0,141.0
20,54.0,19.462962962962962,30.738527826524138,0.0,0.0,7.0,21.0,134.0
21,56.0,14.017857142857142,26.754432816351674,0.0,0.0,7.0,14.0,148.0
22,38.0,17.894736842105264,30.04931934623677,0.0,0.0,3.5,28.0,127.0
23,54.0,15.833333333333334,26.96731074943521,0.0,0.0,7.0,14.0,147.0
24,48.0,10.958333333333334,21.6381836785762,0.0,0.0,7.0,14.0,141.0
25,40.0,10.175,20.61849742094307,0.0,0.0,3.5,14.0,120.0
26,56.0,13.517857142857142,20.815196434273748,0.0,0.0,7.0,14.0,127.0
27,47.0,28.170212765957448,39.430356408172194,0.0,7.0,14.0,35.0,175.0
28,50.0,10.1,19.099364237736143,0.0,0.0,7.0,14.0,120.0
29,61.0,12.180327868852459,23.159237319567403,0.0,0.0,7.0,14.0,134.0
30,43.0,17.767441860465116,26.044684321284237,0.0,0.0,7.0,28.0,134.0
31,30.0,14.266666666666667,26.94046224078433,0.0,0.0,3.5,14.0,127.0
32,50.0,10.66,21.818930181970757,0.0,0.0,7.0,14.0,148.0
33,28.0,7.535714285714286,22.7196800689152,0.0,0.0,0.0,7.0,120.0
34,53.0,16.0,29.21143085005752,0.0,0.0,7.0,14.0,134.0
35,30.0,4.933333333333334,23.1530638969466,0.0,0.0,0.0,0.0,127.0
36,40.0,10.175,24.552285913734053,0.0,0.0,7.0,14.0,155.0
37,54.0,8.574074074074074,21.521907970981353,0.0,0.0,3.5,7.0,148.0
38,50.0,17.38,32.554437924366454,0.0,0.0,7.0,21.0,197.0
39,54.0,13.24074074074074,23.018397223996836,0.0,0.0,7.0,14.0,155.0
40,40.0,18.4,30.05448044588019,0.0,0.0,7.0,22.75,155.0
41,54.0,13.37037037037037,26.181727962560466,0.0,0.0,7.0,19.25,183.0
42,38.0,8.31578947368421,25.554504826496906,0.0,0.0,0.0,7.0,141.0
43,53.0,15.075471698113208,26.809763618017808,0.0,0.0,7.0,14.0,162.0
44,47.0,9.25531914893617,27.214500678471733,0.0,0.0,0.0,7.0,183.0
45,55.0,14.527272727272727,34.311673073327526,0.0,0.0,7.0,14.0,189.0
46,25.0,7.04,26.6996878883131,0.0,0.0,0.0,0.0,134.0
47,43.0,16.953488372093023,31.486923580895407,0.0,0.0,7.0,14.0,148.0
48,41.0,13.682926829268293,29.16199498010231,0.0,0.0,0.0,21.0,169.0
49,57.0,17.70175438596491,39.06814783731879,0.0,0.0,7.0,21.0,238.0
50,52.0,18.73076923076923,35.38201347899882,0.0,0.0,7.0,21.0,189.0
51,36.0,10.13888888888889,26.890415475489487,0.0,0.0,0.0,7.0,148.0
52,51.0,12.235294117647058,30.572921505995538,0.0,0.0,0.0,7.0,162.0
53,56.0,14.142857142857142,26.894019998659772,0.0,0.0,7.0,21.0,183.0
54,58.0,16.189655172413794,29.500197380577696,0.0,0.0,7.0,21.0,162.0
55,48.0,13.145833333333334,24.098194143813092,0.0,0.0,7.0,14.0,155.0
56,53.0,9.0,21.627973339386905,0.0,0.0,0.0,7.0,148.0
57,55.0,10.836363636363636,23.829458609945327,0.0,0.0,0.0,14.0,162.0
58,38.0,16.789473684210527,37.72600930517146,0.0,0.0,3.5,12.25,155.0
59,53.0,17.452830188679247,31.179730865355367,0.0,0.0,7.0,14.0,176.0
60,47.0,16.404255319148938,29.059653469363358,0.0,0.0,7.0,14.0,169.0
