id,count,mean,std,min,25%,50%,75%,max
0,41.0,9.24390243902439,22.51863726761111,0.0,0.0,0.0,7.0,134.0
1,53.0,7.283018867924528,21.119966271908677,0.0,0.0,0.0,7.0,141.0
2,49.0,11.16326530612245,23.975983590160517,0.0,0.0,0.0,14.0,141.0
3,52.0,7.423076923076923,17.129662558454438,0.0,0.0,3.5,7.0,120.0
4,45.0,23.822222222222223,28.296553668158065,0.0,0.0,14.0,35.0,127.0
5,53.0,11.90566037735849,23.392359165846802,0.0,0.0,7.0,14.0,148.0
6,38.0,8.31578947368421,19.94059456290229,0.0,0.0,7.0,7.0,120.0
7,58.0,17.396551724137932,26.63459013030909,0.0,0.0,7.0,21.0,134.0
8,53.0,16.79245283018868,27.36319713281807,0.0,0.0,7.0,28.0,162.0
9,58.0,16.310344827586206,30.012983679612596,0.0,0.0,7.0,21.0,147.0
10,29.0,9.689655172413794,29.854532376982156,0.0,0.0,0.0,0.0,120.0
11,43.0,8.651162790697674,22.823216793567937,0.0,0.0,0.0,7.0,127.0
12,42.0,8.19047619047619,20.81889162631382,0.0,0.0,0.0,7.0,127.0
13,64.0,14.34375,21.192405610396275,0.0,0.0,7.0,21.0,127.0
14,56.0,18.142857142857142,25.576572072133494,0.0,7.0,7.0,21.0,134.0
15,36.0,5.083333333333333,20.963062753328767,0.0,0.0,0.0,0.0,120.0
16,51.0,17.03921568627451,24.199141128820028,0.0,3.5,14.0,21.0,141.0
17,52.0,11.461538461538462,22.36809837777247,0.0,0.0,7.0,14.0,127.0
18,59.0,10.932203389830509,17.940384425569864,0.0,0.0,7.0,14.0,120.0
19,55.0,13.50909090909091,20.22729429121538,0.0,7.0,7.0,17.5,141.0
20,58.0,14.862068965517242,24.052900963648653,0.0,0.0,7.0,21.0,134.0
21,54.0,10.25925925925926,21.90561673918288,0.0,0.0,3.5,12.25,148.0
22,35.0,7.228571428571429,22.38971102233938,0.0,0.0,0.0,3.5,127.0
23,51.0,8.254901960784315,19.04084361288113,0.0,0.0,0.0,7.0,120.0
24,50.0,9.96,21.89768415674524,0.0,0.0,7.0,7.0,141.0
25,41.0,15.048780487804878,24.88167118534464,0.0,0.0,7.0,21.0,120.0
26,54.0,15.185185185185185,26.368272869416433,0.0,0.0,7.0,14.0,127.0
27,53.0,15.60377358490566,23.18349846056085,0.0,0.0,7.0,21.0,141.0
28,54.0,12.981481481481481,19.35418704710605,0.0,0.0,7.0,14.0,120.0
29,59.0,12.23728813559322,22.02376379798284,0.0,0.0,7.0,14.0,134.0
30,44.0,12.272727272727273,22.115304220405818,0.0,0.0,7.0,14.0,134.0
31,31.0,12.0,24.217073866730196,0.0,0.0,0.0,17.5,127.0
32,51.0,9.352941176470589,21.800755518478496,0.0,0.0,0.0,10.5,148.0
33,28.0,11.285714285714286,23.988974539794306,0.0,0.0,0.0,8.75,120.0
34,54.0,12.722222222222221,20.511769899316725,0.0,0.0,7.0,14.0,134.0
35,30.0,5.866666666666666,23.073695029163634,0.0,0.0,0.0,5.25,127.0
36,41.0,11.121951219512194,24.94112579851922,0.0,0.0,7.0,14.0,155.0
37,52.0,11.461538461538462,21.733196383360347,0.0,0.0,7.0,14.0,148.0
38,48.0,20.145833333333332,34.21707274703502,0.0,7.0,7.0,21.0,175.0
39,52.0,16.173076923076923,26.60511608904599,0.0,0.0,7.0,15.75,155.0
40,42.0,18.857142857142858,28.560224283955225,0.0,0.0,7.0,21.0,155.0
41,52.0,14.423076923076923,27.304633057877545,0.0,0.0,7.0,21.0,190.0
42,38.0,9.605263157894736,23.307045070726492,0.0,0.0,3.5,7.0,141.0
43,54.0,28.537037037037038,53.443926870665976,0.0,0.0,10.5,28.0,273.0
44,51.0,11.549019607843137,26.977259850096114,0.0,0.0,7.0,10.5,183.0
45,58.0,11.482758620689655,23.66079100226775,0.0,0.0,7.0,7.0,155.0
46,29.0,10.172413793103448,25.45313475714764,0.0,0.0,0.0,7.0,134.0
47,43.0,14.186046511627907,26.773526204561783,0.0,0.0,7.0,14.0,148.0
