id,count,mean,std,min,25%,50%,75%,max
0,41.0,9.073170731707316,22.179258603369092,0.0,0.0,0.0,14.0,134.0
1,52.0,10.788461538461538,20.188655850197343,0.0,0.0,7.0,14.0,141.0
2,49.0,11.448979591836734,23.75224658189357,0.0,0.0,0.0,14.0,141.0
3,52.0,7.961538461538462,18.143179497888713,0.0,0.0,0.0,7.0,120.0
4,42.0,23.857142857142858,36.68891733278954,0.0,1.75,14.0,28.0,196.0
5,52.0,8.903846153846153,20.744249961993592,0.0,0.0,7.0,7.0,148.0
6,46.0,13.41304347826087,22.52561612126319,0.0,0.0,7.0,19.25,120.0
7,57.0,13.280701754385966,25.927615163569815,0.0,0.0,7.0,14.0,134.0
8,50.0,17.1,25.88849716986843,0.0,1.75,7.0,21.0,162.0
9,60.0,14.6,24.0720669403286,0.0,0.0,7.0,14.0,141.0
10,32.0,5.71875,21.903357195909784,0.0,0.0,0.0,0.0,120.0
11,47.0,10.74468085106383,21.90440504149831,0.0,0.0,7.0,14.0,127.0
12,45.0,17.91111111111111,26.351489713126465,0.0,7.0,7.0,21.0,127.0
13,58.0,8.224137931034482,18.42961299671568,0.0,0.0,0.0,12.25,127.0
14,57.0,18.92982456140351,25.627733059215092,0.0,0.0,7.0,21.0,134.0
15,44.0,4.636363636363637,18.38362632077531,0.0,0.0,0.0,0.0,120.0
16,51.0,10.03921568627451,21.503451615323275,0.0,0.0,0.0,10.5,141.0
17,50.0,16.68,25.734468270062568,0.0,0.0,10.5,21.0,127.0
18,57.0,12.543859649122806,20.913145366558492,0.0,0.0,7.0,14.0,120.0
19,54.0,12.592592592592593,22.218909606347438,0.0,0.0,7.0,14.0,141.0
20,56.0,23.642857142857142,31.07084489674207,0.0,0.0,14.0,29.75,134.0
21,54.0,10.907407407407407,21.173379975023742,0.0,0.0,7.0,14.0,148.0
22,37.0,4.756756756756757,20.905083652607626,0.0,0.0,0.0,0.0,127.0
23,51.0,16.901960784313726,24.46078895044948,0.0,0.0,7.0,21.0,120.0
24,51.0,22.80392156862745,32.08552297086219,0.0,7.0,14.0,21.0,141.0
25,38.0,6.2894736842105265,19.872441728585986,0.0,0.0,0.0,7.0,120.0
26,54.0,12.074074074074074,22.167332629771625,0.0,0.0,7.0,14.0,127.0
27,54.0,9.222222222222221,21.04412853771687,0.0,0.0,3.5,7.0,141.0
28,50.0,11.08,19.914962070908253,0.0,0.0,7.0,14.0,120.0
29,57.0,5.666666666666667,18.043927879852912,0.0,0.0,0.0,7.0,134.0
30,44.0,15.772727272727273,26.68843808229937,0.0,0.0,7.0,15.75,134.0
31,33.0,11.484848484848484,31.116837496082017,0.0,0.0,0.0,7.0,133.0
32,49.0,9.877551020408163,22.07716830900688,0.0,0.0,7.0,14.0,148.0
33,28.0,10.535714285714286,24.965876182200645,0.0,0.0,0.0,8.75,120.0
34,54.0,14.148148148148149,22.216267546006716,0.0,0.0,7.0,14.0,134.0
35,30.0,6.8,23.392306427541513,0.0,0.0,0.0,5.25,127.0
36,40.0,11.05,25.20475128184143,0.0,0.0,7.0,14.0,155.0
37,51.0,14.431372549019608,23.928439064812217,0.0,0.0,7.0,14.0,148.0
38,49.0,12.448979591836734,24.261647739187218,0.0,0.0,7.0,14.0,162.0
39,51.0,14.568627450980392,26.105367189113263,0.0,0.0,7.0,21.0,155.0
40,39.0,26.05128205128205,44.694252967390455,0.0,7.0,7.0,24.5,189.0
41,52.0,12.673076923076923,26.68753190113988,0.0,0.0,7.0,14.0,190.0
42,45.0,13.088888888888889,27.92833541749166,0.0,0.0,7.0,14.0,141.0
43,54.0,26.203703703703702,45.77276920963051,0.0,1.75,7.0,21.0,203.0
44,48.0,12.5625,29.21811318853208,0.0,0.0,7.0,14.0,183.0
45,59.0,10.338983050847459,22.563022976643342,0.0,0.0,7.0,7.0,155.0
46,32.0,6.8125,23.726176506401178,0.0,0.0,0.0,7.0,134.0
47,46.0,16.304347826086957,32.79083175741346,0.0,0.0,0.0,14.0,148.0
48,43.0,8.813953488372093,26.779750535800176,0.0,0.0,0.0,7.0,169.0
49,58.0,12.689655172413794,22.767479806098724,0.0,0.0,7.0,21.0,162.0
50,54.0,17.90740740740741,29.242169420152898,0.0,1.75,7.0,14.0,155.0
51,44.0,11.0,26.243050021264764,0.0,0.0,0.0,8.75,148.0
52,48.0,14.166666666666666,29.615502936543173,0.0,0.0,7.0,14.0,169.0
53,50.0,16.68,29.779763023138475,0.0,7.0,7.0,14.0,190.0
54,54.0,21.14814814814815,41.35826326022608,0.0,0.0,7.0,21.0,238.0
55,54.0,15.314814814814815,24.895876808028497,0.0,0.0,7.0,21.0,169.0
56,56.0,10.017857142857142,23.538356373783213,0.0,0.0,7.0,7.0,162.0
57,53.0,11.90566037735849,23.72378241257834,0.0,0.0,7.0,14.0,162.0
58,37.0,10.432432432432432,26.012326715254467,0.0,0.0,7.0,7.0,155.0
59,50.0,16.26,39.46365416430669,0.0,0.0,7.0,14.0,224.0
60,50.0,12.2,25.09980079602227,0.0,0.0,7.0,14.0,169.0
61,38.0,18.44736842105263,30.262542513379657,0.0,1.75,7.0,21.0,134.0
62,54.0,14.018518518518519,29.783172874008013,0.0,0.0,7.0,14.0,161.0
63,53.0,22.339622641509433,32.944559137707984,0.0,7.0,14.0,21.0,168.0
64,49.0,13.73469387755102,27.441434235935446,0.0,0.0,0.0,14.0,155.0
65,57.0,10.456140350877194,24.302461791407204,0.0,0.0,7.0,7.0,176.0
66,44.0,12.113636363636363,26.604087733725493,0.0,0.0,7.0,14.0,169.0
67,33.0,10.0,28.0066956280101,0.0,0.0,7.0,7.0,162.0
68,49.0,8.16326530612245,26.994094214271755,0.0,0.0,0.0,7.0,183.0
69,28.0,13.035714285714286,26.829340134701265,0.0,0.0,7.0,14.0,141.0
70,48.0,27.291666666666668,37.491535687764916,0.0,5.25,14.0,35.0,169.0
71,30.0,11.0,26.6056773821964,0.0,0.0,7.0,7.0,148.0
72,39.0,15.102564102564102,29.45987000346035,0.0,0.0,7.0,14.0,162.0
73,51.0,15.117647058823529,30.697652717316043,0.0,0.0,7.0,14.0,183.0
74,49.0,12.73469387755102,32.33147042112122,0.0,0.0,7.0,14.0,225.0
75,51.0,15.803921568627452,28.899148504994493,0.0,0.0,7.0,17.5,176.0
76,39.0,24.435897435897434,80.37045636557164,0.0,0.0,7.0,14.0,505.0
77,52.0,9.98076923076923,29.18600953090124,0.0,0.0,0.0,7.0,204.0
78,45.0,9.977777777777778,25.527604389338727,0.0,0.0,0.0,14.0,162.0
79,53.0,16.39622641509434,30.676563105207045,0.0,0.0,7.0,14.0,183.0
80,47.0,13.72340425531915,31.60400506241573,0.0,0.0,7.0,14.0,204.0
81,58.0,19.689655172413794,34.98581511881824,0.0,0.0,7.0,21.0,190.0
82,32.0,11.40625,30.852259158144165,0.0,0.0,7.0,8.75,176.0
83,43.0,25.74418604651163,48.1990382354431,0.0,0.0,7.0,21.0,238.0
84,39.0,16.17948717948718,39.162194306345874,0.0,0.0,0.0,10.5,190.0
85,58.0,17.879310344827587,40.489581759941395,0.0,0.0,7.0,14.0,232.0
86,53.0,19.830188679245282,37.36757945324375,0.0,0.0,7.0,21.0,176.0
87,44.0,17.681818181818183,55.08841634338373,0.0,0.0,7.0,14.0,365.0
88,48.0,10.958333333333334,31.45138655627215,0.0,0.0,0.0,7.0,183.0
89,50.0,15.98,48.63587740987687,0.0,0.0,0.0,7.0,246.0
90,53.0,16.39622641509434,32.363523877876844,0.0,0.0,7.0,14.0,155.0
91,54.0,16.74074074074074,27.257116214790784,0.0,1.75,7.0,21.0,183.0
92,56.0,10.392857142857142,36.80794310097584,0.0,0.0,7.0,7.0,274.0
93,49.0,19.448979591836736,45.28523546389494,0.0,0.0,7.0,14.0,231.0
94,37.0,20.45945945945946,35.561054379596065,0.0,0.0,14.0,14.0,176.0
95,50.0,18.64,33.47783915197805,0.0,0.0,7.0,21.0,204.0
96,49.0,13.020408163265307,28.089507082952977,0.0,0.0,7.0,14.0,183.0
97,37.0,25.18918918918919,49.17307180755531,0.0,0.0,7.0,21.0,211.0
98,53.0,18.11320754716981,36.68087972760074,0.0,0.0,7.0,14.0,190.0
99,52.0,13.615384615384615,26.175990979726805,0.0,0.0,7.0,14.0,169.0
100,49.0,14.020408163265307,32.0601581639361,0.0,0.0,0.0,14.0,183.0
101,56.0,12.142857142857142,31.832189866365017,0.0,0.0,7.0,7.0,218.0
102,43.0,20.046511627906977,33.02160439150629,0.0,3.5,14.0,21.0,204.0
103,30.0,20.333333333333332,41.00322387100911,0.0,1.75,10.5,21.0,225.0
104,48.0,10.375,30.17369927038404,0.0,0.0,0.0,7.0,190.0
105,28.0,18.035714285714285,29.954882298967117,0.0,0.0,7.0,21.0,155.0
106,47.0,27.127659574468087,42.834168107327685,0.0,3.5,14.0,24.5,204.0
107,29.0,21.75862068965517,39.72643521853444,0.0,0.0,7.0,21.0,197.0
108,39.0,15.820512820512821,56.173543030257576,0.0,0.0,0.0,10.5,351.0
