id,count,mean,std,min,25%,50%,75%,max
0,40.0,8.425,22.17863085644979,0.0,0.0,0.0,8.75,134.0
1,55.0,10.709090909090909,22.07451415284547,0.0,0.0,7.0,7.0,141.0
2,54.0,11.037037037037036,20.588477234336466,0.0,0.0,7.0,14.0,141.0
3,52.0,6.346153846153846,17.234125535003493,0.0,0.0,0.0,7.0,120.0
4,42.0,18.023809523809526,23.260442811084054,0.0,7.0,14.0,21.0,127.0
5,55.0,9.181818181818182,21.159089552886503,0.0,0.0,7.0,7.0,148.0
6,51.0,11.549019607843137,21.04786328869531,0.0,0.0,7.0,14.0,120.0
7,56.0,10.892857142857142,20.21851408210583,0.0,0.0,7.0,14.0,134.0
8,51.0,11.96078431372549,24.979159941290035,0.0,0.0,0.0,14.0,162.0
9,56.0,10.892857142857142,23.936794477751814,0.0,0.0,0.0,8.75,141.0
10,38.0,12.552631578947368,30.199961847497878,0.0,0.0,0.0,12.25,147.0
11,47.0,16.404255319148938,34.18470263936913,0.0,0.0,7.0,17.5,189.0
12,43.0,24.767441860465116,41.67723896879465,0.0,0.0,14.0,28.0,210.0
13,59.0,7.610169491525424,17.328486561800528,0.0,0.0,0.0,7.0,127.0
14,53.0,14.679245283018869,27.650826656793896,0.0,0.0,7.0,14.0,134.0
15,52.0,11.73076923076923,20.463372716297123,0.0,0.0,7.0,14.0,120.0
16,51.0,19.098039215686274,25.492159502059284,0.0,3.5,7.0,28.0,141.0
17,49.0,17.73469387755102,27.385196358467777,0.0,7.0,7.0,21.0,133.0
18,55.0,6.254545454545455,17.355987526796135,0.0,0.0,0.0,7.0,120.0
19,51.0,15.529411764705882,24.121652465099874,0.0,0.0,7.0,24.5,141.0
20,56.0,24.267857142857142,31.70631773662127,0.0,5.25,14.0,35.0,134.0
21,48.0,16.208333333333332,26.105317248646536,0.0,5.25,7.0,15.75,148.0
22,35.0,11.028571428571428,37.758899001182655,0.0,0.0,0.0,3.5,189.0
23,50.0,13.18,25.91563234806359,0.0,0.0,7.0,12.25,133.0
24,50.0,26.2,29.73694191213539,0.0,7.0,17.5,33.25,141.0
25,44.0,14.022727272727273,30.236654666352592,0.0,0.0,7.0,8.75,161.0
26,52.0,14.153846153846153,26.69242722555507,0.0,0.0,7.0,15.75,147.0
27,54.0,16.35185185185185,25.386192508740763,0.0,0.0,7.0,14.0,141.0
28,50.0,15.28,23.14377423227002,0.0,0.0,7.0,21.0,120.0
29,60.0,12.033333333333333,21.510712086383307,0.0,0.0,7.0,14.0,134.0
30,44.0,14.659090909090908,21.993596511858332,0.0,0.0,7.0,21.0,134.0
31,32.0,9.0,22.604595593274475,0.0,0.0,3.5,7.0,127.0
32,53.0,9.39622641509434,22.083181577008666,0.0,0.0,0.0,7.0,148.0
