id,count,mean,std,min,25%,50%,75%,max
0,27.0,34.25925925925926,40.449011200800776,7.0,7.0,7.0,42.0,140.0
1,40.0,39.4,39.1295022804782,7.0,12.25,24.5,57.75,140.0
2,32.0,35.6875,40.11631274665079,7.0,12.25,21.0,43.75,168.0
3,49.0,45.44897959183673,48.48971593049817,7.0,14.0,28.0,56.0,252.0
4,24.0,37.958333333333336,45.20434681548328,7.0,7.0,17.5,43.75,161.0
5,52.0,34.07692307692308,31.69452612716176,7.0,14.0,24.5,36.75,147.0
6,21.0,28.38095238095238,39.18351208158374,7.0,7.0,14.0,28.0,161.0
7,56.0,39.267857142857146,52.69379507077696,7.0,7.0,28.0,49.0,329.0
8,33.0,35.45454545454545,35.63538524862867,7.0,7.0,21.0,56.0,120.0
9,38.0,39.078947368421055,42.5722797635671,7.0,7.0,21.0,63.0,210.0
10,6.0,27.0,45.6464675522652,7.0,7.0,7.0,12.25,120.0
11,38.0,20.289473684210527,24.293150958640357,7.0,7.0,7.0,21.0,120.0
12,42.0,36.857142857142854,79.85339354047711,7.0,7.0,14.0,40.25,511.0
13,29.0,22.0,25.495097567963924,7.0,7.0,14.0,21.0,120.0
14,48.0,26.125,27.649496936672534,7.0,7.0,17.5,35.0,126.0
15,41.0,31.4390243902439,37.432638686370886,7.0,7.0,14.0,42.0,168.0
16,46.0,43.391304347826086,39.40980039469571,7.0,14.0,28.0,63.0,140.0
17,51.0,38.31372549019608,44.712633649150405,7.0,7.0,21.0,45.5,252.0
18,47.0,28.319148936170212,25.85671755537051,7.0,10.5,21.0,35.0,120.0
19,32.0,34.59375,39.021796535253344,7.0,7.0,14.0,45.5,126.0
20,55.0,31.70909090909091,63.210604105485906,7.0,7.0,14.0,31.5,448.0
21,45.0,42.8,28.031313659094632,7.0,21.0,35.0,56.0,120.0
22,39.0,37.0,57.17655021717244,7.0,7.0,14.0,38.5,266.0
23,42.0,37.023809523809526,38.65008004613431,7.0,7.0,21.0,49.0,175.0
24,32.0,37.0,36.43465206321781,7.0,7.0,21.0,57.75,140.0
25,41.0,19.146341463414632,23.69025218904366,7.0,7.0,7.0,21.0,120.0
26,41.0,28.536585365853657,35.14832681720114,7.0,7.0,14.0,35.0,154.0
27,37.0,47.891891891891895,46.285217092731905,7.0,14.0,35.0,63.0,168.0
28,41.0,34.68292682926829,38.10606186972766,7.0,7.0,21.0,42.0,203.0
29,55.0,28.01818181818182,33.75592727600038,7.0,7.0,21.0,35.0,217.0
30,37.0,35.78378378378378,47.576333481128074,7.0,7.0,14.0,35.0,238.0
31,25.0,36.72,39.75080711968836,7.0,7.0,14.0,63.0,133.0
32,30.0,41.1,48.57865999486351,7.0,7.0,21.0,52.5,224.0
33,16.0,20.625,28.973263537268288,7.0,7.0,7.0,17.5,120.0
34,29.0,43.96551724137931,59.232883458081126,7.0,7.0,14.0,63.0,245.0
35,20.0,25.6,27.176615334743794,7.0,7.0,21.0,28.0,120.0
