id,count,mean,std,min,25%,50%,75%,max
0,26.0,28.846153846153847,30.683796776399504,7.0,7.0,14.0,38.5,120.0
1,50.0,40.76,29.809298645125587,7.0,21.0,35.0,49.0,120.0
2,40.0,30.125,32.79554965118098,7.0,7.0,14.0,36.75,120.0
3,39.0,36.82051282051282,38.95467798059945,7.0,7.0,21.0,42.0,154.0
4,34.0,41.205882352941174,48.26302895953978,7.0,7.0,14.0,64.75,217.0
5,47.0,23.851063829787233,25.348851893565598,7.0,7.0,14.0,35.0,120.0
6,17.0,21.058823529411764,26.88510411974281,7.0,7.0,14.0,21.0,120.0
7,37.0,22.72972972972973,28.356508804709932,7.0,7.0,7.0,21.0,120.0
8,36.0,39.5,42.291843185181705,7.0,7.0,17.5,56.0,175.0
9,48.0,32.395833333333336,31.649503094034365,7.0,7.0,21.0,49.0,133.0
10,10.0,26.7,36.70013623952914,7.0,7.0,7.0,29.75,120.0
11,42.0,22.023809523809526,24.71544209227285,7.0,7.0,10.5,28.0,120.0
12,37.0,32.75675675675676,47.010285757129445,7.0,7.0,14.0,28.0,224.0
13,64.0,21.234375,22.48367463294201,7.0,7.0,14.0,21.0,120.0
14,37.0,23.2972972972973,23.566530957724375,7.0,7.0,14.0,28.0,120.0
15,45.0,23.977777777777778,25.911114576294445,7.0,7.0,14.0,28.0,126.0
16,46.0,37.30434782608695,28.64330021738059,7.0,14.0,31.5,54.25,120.0
17,47.0,42.765957446808514,40.100532776444155,7.0,14.0,28.0,56.0,210.0
18,39.0,18.871794871794872,20.76583667973546,7.0,7.0,14.0,21.0,120.0
19,38.0,30.605263157894736,35.36645186467599,7.0,14.0,21.0,33.25,189.0
20,35.0,19.62857142857143,25.172447255686844,7.0,7.0,7.0,21.0,120.0
21,51.0,35.84313725490196,30.747599938219313,7.0,14.0,21.0,49.0,140.0
22,40.0,23.125,26.955982638368056,7.0,7.0,14.0,28.0,120.0
23,50.0,39.36,41.07373161244823,7.0,14.0,28.0,49.0,210.0
24,34.0,33.588235294117645,25.59133097425509,7.0,14.0,21.0,49.0,120.0
25,25.0,33.92,38.575596776546,7.0,7.0,21.0,42.0,161.0
26,48.0,46.25,52.447542181222026,7.0,14.0,28.0,56.0,308.0
27,38.0,37.23684210526316,38.367662489306205,7.0,7.0,17.5,59.5,133.0
28,39.0,33.05128205128205,34.95256087142951,7.0,7.0,21.0,49.0,120.0
29,35.0,17.428571428571427,21.09960372402582,7.0,7.0,7.0,21.0,120.0
30,26.0,41.5,44.38310489364168,7.0,7.0,28.0,54.25,189.0
31,14.0,29.571428571428573,36.32272923860017,7.0,7.0,10.5,33.25,120.0
32,53.0,37.79245283018868,34.34796964695183,7.0,14.0,28.0,56.0,154.0
33,10.0,19.0,35.55590277608237,7.0,7.0,7.0,7.0,120.0
34,41.0,33.65853658536585,35.45109995197438,7.0,7.0,21.0,49.0,154.0
35,14.0,20.071428571428573,29.556892429852805,7.0,7.0,10.5,19.25,120.0
36,31.0,26.677419354838708,33.08210704371191,7.0,7.0,14.0,35.0,155.0
37,47.0,40.38297872340426,30.053975495901255,7.0,14.0,35.0,56.0,127.0
38,47.0,35.91489361702128,31.374199998277486,7.0,14.0,28.0,42.0,155.0
39,46.0,35.93478260869565,37.37581046250995,7.0,14.0,21.0,42.0,168.0
40,28.0,43.785714285714285,54.81237839573125,7.0,7.0,24.5,57.75,238.0
41,53.0,31.452830188679247,30.143608863199056,7.0,14.0,21.0,49.0,155.0
42,38.0,19.0,22.32075751887055,7.0,7.0,14.0,19.25,127.0
43,56.0,25.392857142857142,28.028997044572883,7.0,7.0,14.0,28.0,141.0
44,38.0,33.36842105263158,39.297493938824864,7.0,7.0,21.0,42.0,162.0
45,37.0,31.243243243243242,34.410435598493635,7.0,7.0,14.0,35.0,148.0
46,29.0,15.96551724137931,24.475180954563356,7.0,7.0,7.0,14.0,127.0
47,44.0,22.772727272727273,32.88094354185962,7.0,7.0,7.0,22.75,182.0
48,20.0,23.85,31.847126615822198,7.0,7.0,7.0,26.25,134.0
49,43.0,20.372093023255815,21.60910660744893,7.0,7.0,14.0,21.0,134.0
50,45.0,29.88888888888889,32.85520729602305,7.0,14.0,14.0,28.0,147.0
51,44.0,24.363636363636363,28.225908360022967,7.0,7.0,10.5,29.75,127.0
52,30.0,32.46666666666667,36.01506708963992,7.0,7.0,17.5,33.25,148.0
53,40.0,32.925,30.625435632694398,7.0,7.0,24.5,45.5,134.0
54,51.0,25.0,23.103246525109842,7.0,7.0,14.0,28.0,127.0
55,48.0,35.3125,32.328866127756214,7.0,14.0,24.5,43.75,148.0
56,36.0,26.47222222222222,32.25566272420671,7.0,7.0,10.5,29.75,148.0
57,45.0,39.84444444444444,34.168004408401224,7.0,14.0,35.0,56.0,155.0
58,29.0,35.275862068965516,35.91945011482949,7.0,7.0,21.0,42.0,141.0
59,50.0,39.5,56.335094365260964,7.0,14.0,24.5,49.0,371.0
60,36.0,30.166666666666668,33.47536407569005,7.0,7.0,14.0,42.0,148.0
61,21.0,25.714285714285715,29.148143778194274,7.0,7.0,14.0,35.0,127.0
62,42.0,44.19047619047619,39.18264803563926,7.0,14.0,28.0,66.5,140.0
63,46.0,40.80434782608695,35.432326461214856,7.0,14.0,28.0,56.0,148.0
64,41.0,29.390243902439025,36.007553408125695,7.0,7.0,14.0,35.0,175.0
65,47.0,22.659574468085108,28.288326518305926,7.0,7.0,14.0,28.0,141.0
66,39.0,42.02564102564103,46.210324193607136,7.0,7.0,28.0,49.0,196.0
67,24.0,27.75,33.07731391229001,7.0,7.0,14.0,31.5,141.0
68,37.0,29.54054054054054,38.32941617275358,7.0,7.0,14.0,28.0,155.0
69,22.0,14.681818181818182,25.394762046413025,7.0,7.0,7.0,14.0,127.0
70,38.0,42.94736842105263,40.1348721919056,7.0,14.0,28.0,66.5,141.0
71,27.0,20.77777777777778,25.37159728353634,7.0,7.0,14.0,21.0,134.0
72,30.0,31.066666666666666,35.90498316518133,7.0,8.75,17.5,35.0,169.0
73,42.0,36.69047619047619,36.881146016291694,7.0,14.0,28.0,42.0,161.0
74,34.0,31.735294117647058,37.716895035553954,7.0,7.0,17.5,33.25,169.0
75,50.0,40.62,32.88190992019776,7.0,15.75,28.0,56.0,169.0
76,29.0,35.03448275862069,39.843876352064704,7.0,7.0,14.0,56.0,162.0
77,51.0,35.01960784313726,32.7093198927024,7.0,14.0,28.0,42.0,176.0
78,39.0,23.71794871794872,24.730067697301003,7.0,10.5,21.0,28.0,148.0
79,56.0,34.267857142857146,32.85587871650622,7.0,14.0,24.5,49.0,190.0
80,35.0,35.628571428571426,39.13031449662834,7.0,7.0,21.0,56.0,176.0
81,40.0,29.6,38.46330252364766,7.0,7.0,14.0,29.75,190.0
82,24.0,22.208333333333332,29.85760287222272,7.0,7.0,14.0,21.0,148.0
83,42.0,18.357142857142858,23.93774591398507,7.0,7.0,14.0,21.0,155.0
84,23.0,35.65217391304348,55.540000896693755,7.0,7.0,14.0,31.5,210.0
85,37.0,22.54054054054054,35.14856927275877,7.0,7.0,14.0,21.0,204.0
86,40.0,34.85,48.68767547942439,7.0,7.0,14.0,36.75,176.0
87,38.0,19.736842105263158,28.912434630184045,7.0,7.0,7.0,19.25,155.0
88,31.0,36.38709677419355,33.56950741308233,7.0,14.0,28.0,45.5,162.0
89,35.0,39.42857142857143,44.945905862286416,7.0,7.0,21.0,49.0,176.0
90,49.0,31.73469387755102,33.511052598486124,7.0,14.0,21.0,35.0,176.0
91,47.0,37.255319148936174,27.948297050949343,7.0,21.0,35.0,49.0,162.0
92,39.0,25.512820512820515,30.30535109503357,7.0,7.0,14.0,28.0,155.0
93,41.0,42.02439024390244,41.04356697758983,7.0,14.0,28.0,56.0,182.0
94,29.0,29.0,41.2189276910499,7.0,7.0,14.0,21.0,162.0
95,48.0,45.958333333333336,67.90887459107941,7.0,14.0,24.5,50.75,399.0
96,30.0,45.53333333333333,47.809776329153415,7.0,7.0,21.0,77.0,176.0
97,20.0,23.15,29.39257872678963,7.0,7.0,17.5,22.75,141.0
98,42.0,41.357142857142854,35.83078212564152,7.0,21.0,28.0,49.0,155.0
99,46.0,51.30434782608695,43.642420528256885,7.0,21.0,35.0,77.0,176.0
100,39.0,32.87179487179487,33.906356714354104,7.0,7.0,21.0,42.0,162.0
101,40.0,31.7,38.202027063951356,7.0,12.25,21.0,35.0,189.0
102,37.0,44.2972972972973,47.43994148445009,7.0,7.0,28.0,70.0,176.0
103,24.0,31.541666666666668,37.70477903819144,7.0,14.0,21.0,28.0,162.0
104,39.0,27.666666666666668,34.30231949601976,7.0,7.0,14.0,35.0,190.0
105,20.0,26.3,33.17275356293729,7.0,14.0,14.0,21.0,148.0
106,44.0,39.79545454545455,41.76990100564211,7.0,7.0,24.5,63.0,176.0
107,26.0,24.26923076923077,29.691153823733682,7.0,7.0,14.0,28.0,155.0
108,36.0,25.305555555555557,32.37531638627044,7.0,7.0,14.0,22.75,176.0
109,39.0,37.717948717948715,43.29576903964339,7.0,10.5,28.0,38.5,197.0
110,44.0,40.43181818181818,53.12792710503395,7.0,7.0,28.0,49.0,316.0
111,49.0,42.734693877551024,38.50258406382403,7.0,14.0,35.0,63.0,183.0
112,26.0,48.76923076923077,84.11482993732209,7.0,7.0,14.0,54.25,414.0
113,45.0,39.37777777777778,35.39086225727103,7.0,21.0,28.0,49.0,190.0
114,32.0,27.59375,30.32816148453872,7.0,14.0,21.0,29.75,176.0
115,47.0,38.4468085106383,46.59530136353006,7.0,7.0,21.0,45.5,197.0
116,38.0,32.26315789473684,40.82241316709739,7.0,7.0,14.0,40.25,211.0
117,39.0,28.384615384615383,34.7234301184414,7.0,7.0,21.0,35.0,204.0
118,20.0,24.2,35.939422717444394,7.0,7.0,14.0,28.0,169.0
119,42.0,20.19047619047619,29.191744652645763,7.0,7.0,7.0,21.0,183.0
