id,count,mean,std,min,25%,50%,75%,max
0,42.0,8.285714285714286,22.284508142112724,0.0,0.0,0.0,7.0,117.0
1,56.0,13.339285714285714,19.125686474395714,0.0,0.0,7.0,14.0,110.0
2,54.0,9.685185185185185,19.55044184616178,0.0,0.0,3.5,14.0,124.0
3,56.0,6.089285714285714,16.00599522419281,0.0,0.0,0.0,7.0,110.0
4,48.0,11.479166666666666,19.844061851852352,0.0,0.0,7.0,14.0,124.0
5,56.0,10.714285714285714,19.20578917051673,0.0,0.0,7.0,14.0,131.0
6,46.0,5.130434782608695,16.506710683371807,0.0,0.0,0.0,7.0,110.0
7,63.0,6.190476190476191,16.9399862349576,0.0,0.0,0.0,7.0,117.0
8,60.0,16.183333333333334,24.8067047160653,0.0,0.0,7.0,21.0,138.0
9,69.0,12.144927536231885,22.706746446504575,0.0,0.0,7.0,14.0,131.0
10,25.0,5.24,21.94743720802044,0.0,0.0,0.0,0.0,110.0
11,46.0,6.804347826086956,17.45803802800989,0.0,0.0,0.0,7.0,117.0
12,45.0,16.288888888888888,25.395617215129338,0.0,0.0,7.0,21.0,124.0
13,70.0,12.871428571428572,22.009168990871444,0.0,0.0,7.0,14.0,126.0
14,56.0,11.214285714285714,18.46344229277686,0.0,0.0,7.0,14.0,117.0
15,47.0,4.872340425531915,16.421906129468326,0.0,0.0,0.0,7.0,110.0
16,53.0,9.339622641509434,20.68067045876639,0.0,0.0,0.0,14.0,131.0
17,56.0,7.339285714285714,17.486906047579804,0.0,0.0,0.0,7.0,124.0
18,61.0,11.442622950819672,16.90515167058446,0.0,0.0,7.0,14.0,110.0
19,56.0,12.964285714285714,18.694641221205888,0.0,0.0,7.0,15.75,117.0
20,60.0,18.166666666666668,26.80448145345663,0.0,0.0,7.0,22.75,131.0
21,56.0,15.464285714285714,25.985285546537007,0.0,0.0,7.0,21.0,131.0
22,45.0,8.977777777777778,19.920853496785824,0.0,0.0,0.0,7.0,117.0
23,56.0,11.339285714285714,21.216868748251226,0.0,0.0,7.0,14.0,131.0
24,52.0,12.884615384615385,23.899014538838244,0.0,0.0,7.0,14.0,138.0
25,44.0,12.681818181818182,20.987008968753635,0.0,0.0,7.0,15.75,110.0
26,57.0,15.43859649122807,24.57061074293233,0.0,0.0,7.0,21.0,131.0
27,63.0,12.079365079365079,18.417472058068356,0.0,0.0,7.0,14.0,124.0
28,59.0,8.627118644067796,16.705252431376955,0.0,0.0,7.0,7.0,110.0
29,63.0,10.301587301587302,18.667407270803025,0.0,0.0,7.0,14.0,117.0
30,46.0,13.956521739130435,20.946446552778486,0.0,0.0,7.0,14.0,124.0
31,39.0,7.846153846153846,19.44971716955567,0.0,0.0,0.0,7.0,117.0
32,55.0,10.4,21.22943449291311,0.0,0.0,7.0,14.0,145.0
33,28.0,10.678571428571429,22.003456919359657,0.0,0.0,0.0,8.75,110.0
34,59.0,14.677966101694915,22.338648029635422,0.0,3.5,7.0,14.0,145.0
35,31.0,10.548387096774194,23.390651565212142,0.0,0.0,0.0,7.0,117.0
36,42.0,9.952380952380953,24.70306822155201,0.0,0.0,0.0,7.0,152.0
37,56.0,13.214285714285714,21.74038076585035,0.0,0.0,7.0,15.75,145.0
38,52.0,22.71153846153846,40.18600699710088,0.0,0.0,7.0,22.75,180.0
39,55.0,15.618181818181819,27.909570182002224,0.0,0.0,7.0,17.5,140.0
40,45.0,14.88888888888889,33.91380935027006,0.0,0.0,7.0,14.0,215.0
41,55.0,13.072727272727272,22.68777982825454,0.0,0.0,7.0,14.0,145.0
42,46.0,11.521739130434783,25.561028609484385,0.0,0.0,7.0,7.0,138.0
43,61.0,21.885245901639344,42.15767955373246,0.0,0.0,7.0,21.0,273.0
44,55.0,10.145454545454545,25.63592544459188,0.0,0.0,0.0,7.0,173.0
45,66.0,11.530303030303031,24.15540690991735,0.0,0.0,0.0,7.0,145.0
46,25.0,7.76,24.5446531855718,0.0,0.0,0.0,7.0,124.0
47,45.0,13.333333333333334,24.799193535274487,0.0,0.0,7.0,14.0,152.0
48,43.0,13.30232558139535,25.63715206280668,0.0,0.0,7.0,14.0,138.0
49,67.0,11.462686567164178,23.05351373876229,0.0,0.0,7.0,10.5,152.0
50,56.0,16.839285714285715,24.23054179840302,0.0,0.0,7.0,21.0,145.0
51,47.0,11.574468085106384,22.33124607677213,0.0,0.0,7.0,14.0,138.0
52,53.0,10.660377358490566,23.398671392448446,0.0,0.0,7.0,7.0,159.0
53,56.0,13.464285714285714,26.226263232052005,0.0,0.0,7.0,14.0,180.0
54,60.0,14.55,23.960719974468947,0.0,5.25,7.0,14.0,152.0
55,56.0,13.214285714285714,21.451606666434767,0.0,0.0,7.0,15.75,145.0
56,55.0,10.654545454545454,20.983431013644477,0.0,0.0,7.0,14.0,138.0
57,55.0,11.290909090909091,23.12660222859663,0.0,0.0,7.0,14.0,152.0
58,44.0,13.636363636363637,23.456135121571876,0.0,0.0,3.5,21.0,124.0
59,55.0,17.527272727272727,28.5474618093724,0.0,7.0,7.0,21.0,159.0
60,51.0,11.490196078431373,23.624878877166427,0.0,0.0,7.0,14.0,159.0
61,43.0,15.418604651162791,32.33988585406979,0.0,0.0,7.0,14.0,147.0
62,55.0,17.01818181818182,24.315435509988383,0.0,7.0,7.0,21.0,138.0
63,62.0,16.79032258064516,24.10301463818031,0.0,7.0,14.0,14.0,159.0
64,56.0,13.214285714285714,23.32202570783428,0.0,0.0,7.0,14.0,145.0
65,61.0,10.754098360655737,21.299965365938128,0.0,0.0,7.0,14.0,152.0
66,46.0,13.5,24.37006360270732,0.0,0.0,7.0,19.25,152.0
67,39.0,8.564102564102564,21.690156476826157,0.0,0.0,0.0,7.0,131.0
68,54.0,10.851851851851851,25.87226052030375,0.0,0.0,0.0,14.0,173.0
69,28.0,13.428571428571429,28.437623190034934,0.0,0.0,0.0,14.0,138.0
70,57.0,18.63157894736842,26.608022138168465,0.0,7.0,14.0,21.0,159.0
71,30.0,16.033333333333335,28.308014380399758,0.0,0.0,7.0,14.0,138.0
72,42.0,14.285714285714286,27.85965324166194,0.0,0.0,7.0,14.0,166.0
73,56.0,12.839285714285714,26.449799302015187,0.0,0.0,7.0,14.0,187.0
74,49.0,15.673469387755102,45.976618946981276,0.0,0.0,7.0,7.0,313.0
75,54.0,20.574074074074073,28.850690356248762,0.0,7.0,14.0,21.0,173.0
76,42.0,25.285714285714285,65.70008936188961,0.0,0.0,7.0,21.0,418.0
77,55.0,8.618181818181819,27.39862858766563,0.0,0.0,0.0,7.0,187.0
