id,count,mean,std,min,25%,50%,75%,max
0,27.0,20.40740740740741,22.660129776360094,7.0,7.0,14.0,21.0,110.0
1,53.0,33.24528301886792,22.039218243480065,7.0,14.0,35.0,42.0,110.0
2,43.0,19.651162790697676,22.888844986285385,7.0,7.0,7.0,21.0,110.0
3,43.0,18.023255813953487,17.711293642210897,7.0,7.0,14.0,21.0,110.0
4,29.0,21.413793103448278,23.312346884030774,7.0,7.0,14.0,21.0,110.0
5,56.0,28.714285714285715,20.30200553077032,7.0,14.0,21.0,42.0,110.0
6,23.0,18.47826086956522,21.402781393627304,7.0,7.0,14.0,21.0,110.0
7,38.0,15.236842105263158,22.13281068181577,7.0,7.0,7.0,12.25,110.0
8,50.0,24.6,25.048524336347068,7.0,7.0,14.0,28.0,112.0
9,48.0,22.125,24.40755463794469,7.0,7.0,7.0,35.0,110.0
10,12.0,16.75,29.640650833242205,7.0,7.0,7.0,7.0,110.0
11,24.0,16.25,22.0202475996031,7.0,7.0,7.0,14.0,110.0
12,32.0,36.90625,31.816367643085847,7.0,7.0,28.0,57.75,110.0
13,48.0,18.1875,18.48939460247299,7.0,7.0,14.0,21.0,110.0
14,46.0,25.67391304347826,21.667235221079867,7.0,7.0,21.0,33.25,110.0
15,19.0,22.736842105263158,26.730843826858635,7.0,7.0,14.0,21.0,110.0
16,28.0,25.428571428571427,23.544172152106817,7.0,7.0,21.0,35.0,110.0
17,40.0,19.725,22.370983381065244,7.0,7.0,10.5,21.0,110.0
18,59.0,26.89830508474576,20.486071732002863,7.0,14.0,21.0,35.0,110.0
19,45.0,24.844444444444445,21.05507448612238,7.0,7.0,21.0,35.0,110.0
20,42.0,24.952380952380953,29.359796952970033,7.0,7.0,14.0,28.0,112.0
21,45.0,34.48888888888889,42.84730935767051,7.0,7.0,21.0,49.0,231.0
22,29.0,26.96551724137931,30.75767355894494,7.0,7.0,14.0,35.0,112.0
23,54.0,37.68518518518518,26.382401276890448,7.0,21.0,28.0,42.0,112.0
24,37.0,21.513513513513512,21.304174892914013,7.0,7.0,14.0,28.0,110.0
25,16.0,19.125,25.656383221335,7.0,7.0,7.0,21.0,110.0
26,44.0,32.56818181818182,33.71453190737809,7.0,14.0,21.0,42.0,168.0
27,58.0,25.06896551724138,22.502913705270707,7.0,7.0,21.0,35.0,110.0
28,44.0,18.25,20.557491702935916,7.0,7.0,7.0,21.0,110.0
29,45.0,22.044444444444444,19.81729680166426,7.0,7.0,14.0,35.0,110.0
30,40.0,28.65,23.695233752046057,7.0,7.0,21.0,42.0,110.0
31,31.0,16.193548387096776,19.67641456979855,7.0,7.0,7.0,14.0,110.0
32,32.0,21.15625,24.689176647842817,7.0,7.0,10.5,22.75,110.0
33,11.0,18.90909090909091,30.56617262744731,7.0,7.0,7.0,14.0,110.0
34,50.0,25.86,23.52767367530051,7.0,7.0,14.0,35.0,110.0
35,24.0,25.291666666666668,26.938705250618675,7.0,12.25,17.5,28.0,110.0
36,30.0,19.066666666666666,26.99288965550045,7.0,7.0,7.0,14.0,124.0
37,46.0,28.108695652173914,26.719304931802537,7.0,7.0,14.0,45.5,117.0
38,47.0,29.4468085106383,28.66736404575942,7.0,14.0,21.0,31.5,131.0
39,52.0,25.942307692307693,23.751502294313983,7.0,12.25,17.5,29.75,117.0
40,32.0,23.125,25.018380340036195,7.0,7.0,14.0,28.0,131.0
41,46.0,29.17391304347826,26.473722273501565,7.0,14.0,21.0,35.0,138.0
42,34.0,17.441176470588236,20.181286225746124,7.0,7.0,14.0,14.0,117.0
43,57.0,20.473684210526315,23.125515641477282,7.0,7.0,14.0,21.0,124.0
44,36.0,25.416666666666668,29.028434336009234,7.0,7.0,14.0,42.0,152.0
45,36.0,21.333333333333332,26.199236630100504,7.0,7.0,14.0,21.0,138.0
46,25.0,17.56,23.9723451780032,7.0,7.0,7.0,14.0,124.0
47,44.0,17.454545454545453,19.747775318276783,7.0,7.0,14.0,21.0,124.0
48,18.0,17.77777777777778,30.23351384601407,7.0,7.0,7.0,7.0,131.0
49,39.0,19.153846153846153,22.43181300782025,7.0,7.0,14.0,21.0,131.0
50,48.0,27.375,23.232062401006402,7.0,7.0,21.0,42.0,124.0
51,46.0,17.76086956521739,22.604016145227817,7.0,7.0,7.0,19.25,117.0
52,38.0,18.92105263157895,23.47210141440186,7.0,7.0,7.0,21.0,138.0
53,51.0,23.431372549019606,22.67796719457966,7.0,14.0,14.0,28.0,131.0
54,48.0,26.9375,26.242248095511616,7.0,7.0,21.0,35.0,126.0
55,54.0,30.685185185185187,24.723240974934537,7.0,14.0,21.0,42.0,124.0
56,33.0,21.363636363636363,25.247299585572247,7.0,7.0,7.0,28.0,138.0
57,44.0,30.181818181818183,35.885653496207844,7.0,7.0,17.5,28.0,182.0
58,31.0,24.322580645161292,27.396334422417645,7.0,7.0,14.0,24.5,124.0
59,54.0,34.833333333333336,34.693672959146696,7.0,8.75,21.0,47.25,147.0
60,45.0,22.2,25.512563749864675,7.0,7.0,14.0,21.0,145.0
61,14.0,28.857142857142858,29.215004424378982,7.0,14.0,17.5,35.0,117.0
62,48.0,31.75,29.436914153722313,7.0,7.0,24.5,42.0,138.0
63,59.0,25.593220338983052,26.931662332695648,7.0,7.0,14.0,28.0,131.0
64,44.0,15.863636363636363,18.867458030054188,7.0,7.0,7.0,15.75,117.0
65,49.0,20.6734693877551,20.54303182255689,7.0,7.0,14.0,28.0,124.0
66,37.0,34.75675675675676,28.980266662952843,7.0,14.0,28.0,49.0,131.0
67,28.0,20.678571428571427,24.340263201091574,7.0,7.0,14.0,28.0,124.0
68,29.0,24.06896551724138,32.6364509564763,7.0,7.0,7.0,21.0,152.0
69,11.0,24.636363636363637,34.51455555927883,7.0,7.0,7.0,24.5,117.0
70,44.0,27.318181818181817,27.53583097193565,7.0,7.0,14.0,36.75,152.0
71,24.0,25.0,32.16668543965811,7.0,7.0,14.0,28.0,126.0
72,25.0,19.24,32.28425828996747,7.0,7.0,7.0,21.0,166.0
73,40.0,33.9,29.173046921202225,7.0,14.0,21.0,49.0,152.0
74,36.0,26.583333333333332,33.85040620140326,7.0,7.0,14.0,35.0,187.0
75,52.0,31.73076923076923,33.068624656184056,7.0,7.0,21.0,43.75,168.0
76,26.0,24.692307692307693,42.285476684809154,7.0,7.0,14.0,21.0,222.0
77,46.0,35.108695652173914,27.19822564545102,7.0,14.0,28.0,47.25,152.0
78,27.0,29.22222222222222,34.0162103136514,7.0,7.0,14.0,42.0,152.0
79,55.0,32.8,48.24758677519146,7.0,7.0,14.0,35.0,301.0
80,38.0,22.236842105263158,30.50691920676208,7.0,7.0,14.0,21.0,180.0
81,35.0,25.34285714285714,30.64785076155457,7.0,7.0,14.0,28.0,152.0
82,21.0,26.571428571428573,26.95843361282593,7.0,14.0,21.0,28.0,131.0
83,40.0,16.4,24.592890363075586,7.0,7.0,10.5,14.0,159.0
84,24.0,23.833333333333332,32.893327811164895,7.0,7.0,7.0,22.75,145.0
85,38.0,20.026315789473685,26.86350567984557,7.0,7.0,7.0,21.0,159.0
86,46.0,27.956521739130434,34.76265973824924,7.0,7.0,14.0,28.0,154.0
87,33.0,25.606060606060606,30.095617822553702,7.0,7.0,14.0,28.0,145.0
88,39.0,25.076923076923077,29.3897445552057,7.0,7.0,14.0,31.5,166.0
89,46.0,31.0,30.78744332786772,7.0,14.0,21.0,35.0,187.0
90,49.0,27.959183673469386,30.264087066792456,7.0,7.0,14.0,42.0,159.0
91,51.0,30.568627450980394,28.9622201510594,7.0,10.5,21.0,42.0,152.0
92,38.0,21.31578947368421,25.622103277969067,7.0,7.0,14.0,26.25,145.0
93,44.0,30.181818181818183,34.63918518247374,7.0,7.0,14.0,42.0,168.0
94,31.0,22.967741935483872,27.454791774804075,7.0,7.0,14.0,24.5,131.0
95,50.0,28.94,31.124771944087055,7.0,7.0,21.0,38.5,166.0
96,35.0,27.542857142857144,29.36919440216113,7.0,10.5,21.0,35.0,166.0
97,18.0,22.444444444444443,36.27220978399826,7.0,7.0,7.0,19.25,152.0
98,45.0,33.08888888888889,38.767853495473084,7.0,7.0,21.0,42.0,203.0
99,53.0,31.92452830188679,30.573901047363773,7.0,7.0,21.0,42.0,166.0
100,37.0,25.10810810810811,29.141211543280253,7.0,7.0,14.0,35.0,159.0
