id,count,mean,std,min,25%,50%,75%,max
0,24.0,49.75,61.66053631886796,7.0,12.25,28.0,57.75,266.0
1,30.0,36.766666666666666,40.86367861420528,7.0,14.0,17.5,49.0,189.0
2,49.0,40.93877551020408,37.54575440005684,7.0,14.0,35.0,42.0,168.0
3,45.0,41.77777777777778,33.57074544145467,7.0,14.0,28.0,63.0,130.0
4,32.0,49.34375,59.50094028804327,7.0,7.0,17.5,63.0,245.0
5,48.0,37.5625,35.54314504337606,7.0,12.25,21.0,56.0,147.0
6,37.0,41.351351351351354,48.96836632869123,7.0,7.0,21.0,63.0,175.0
7,45.0,48.46666666666667,68.93099316114498,7.0,7.0,28.0,70.0,420.0
8,32.0,45.84375,59.99790822966651,7.0,7.0,14.0,66.5,245.0
9,42.0,24.928571428571427,32.15692684711757,7.0,7.0,14.0,28.0,168.0
10,11.0,20.09090909090909,36.993119753420494,7.0,7.0,7.0,7.0,130.0
11,43.0,21.74418604651163,30.185216362015787,7.0,7.0,7.0,28.0,154.0
12,19.0,73.52631578947368,100.00242687113628,7.0,7.0,21.0,124.5,364.0
13,34.0,20.294117647058822,27.923628977238376,7.0,7.0,7.0,19.25,130.0
14,34.0,57.14705882352941,92.8642320656772,7.0,14.0,24.5,61.25,525.0
15,40.0,35.975,43.05481747368473,7.0,7.0,17.5,49.0,217.0
16,42.0,39.095238095238095,38.07169713990511,7.0,7.0,28.0,54.25,147.0
17,42.0,58.92857142857143,86.38072076488265,7.0,15.75,35.0,63.0,518.0
18,53.0,35.20754716981132,32.6333704208096,7.0,14.0,28.0,35.0,130.0
19,40.0,44.025,48.64865534284238,7.0,12.25,24.5,56.0,189.0
20,30.0,58.93333333333333,72.72856163957128,7.0,15.75,38.5,70.0,350.0
21,36.0,44.44444444444444,54.68007965531059,7.0,14.0,24.5,49.0,294.0
22,16.0,23.4375,35.899802692122606,7.0,7.0,7.0,10.5,130.0
23,42.0,49.76190476190476,55.83329259623733,7.0,14.0,35.0,61.25,287.0
24,31.0,53.41935483870968,61.78984500900256,7.0,14.0,21.0,77.0,287.0
25,28.0,25.392857142857142,33.42026363097726,7.0,7.0,10.5,21.0,130.0
26,42.0,48.595238095238095,49.13101425919324,7.0,14.0,28.0,70.0,210.0
27,45.0,49.4,67.03167500924808,7.0,7.0,21.0,56.0,301.0
28,36.0,50.861111111111114,63.82079946572625,7.0,7.0,17.5,70.0,245.0
29,43.0,29.88372093023256,27.920984856355574,7.0,7.0,21.0,35.0,130.0
30,34.0,45.411764705882355,54.92866870110992,7.0,8.75,21.0,56.0,210.0
31,25.0,25.36,37.006621029215836,7.0,7.0,7.0,21.0,140.0
32,33.0,34.27272727272727,34.84274738671659,7.0,7.0,21.0,42.0,130.0
33,10.0,22.8,38.11328144128005,7.0,7.0,7.0,19.25,130.0
34,43.0,44.86046511627907,60.408364839942976,7.0,7.0,21.0,49.0,280.0
35,23.0,25.73913043478261,31.656131664130392,7.0,7.0,14.0,28.0,130.0
36,24.0,46.833333333333336,53.4136171098122,7.0,14.0,21.0,66.5,189.0
37,50.0,34.38,36.9218092731112,7.0,7.0,21.0,49.0,182.0
38,43.0,42.906976744186046,37.25639219905656,7.0,21.0,28.0,52.5,154.0
39,50.0,43.62,35.92559771845934,7.0,15.75,35.0,49.0,144.0
40,21.0,55.523809523809526,66.0209202053554,7.0,7.0,35.0,70.0,259.0
41,40.0,37.375,42.032153443250124,7.0,7.0,21.0,50.75,196.0
42,32.0,36.21875,37.72458287676361,7.0,7.0,17.5,56.0,147.0
43,45.0,48.31111111111111,91.66386772586375,7.0,7.0,21.0,49.0,574.0
44,39.0,42.64102564102564,48.83618545143236,7.0,7.0,21.0,56.0,196.0
45,41.0,34.41463414634146,37.01754692693459,7.0,7.0,28.0,49.0,165.0
46,25.0,15.84,27.41149393958673,7.0,7.0,7.0,7.0,137.0
47,44.0,17.113636363636363,23.22109697255665,7.0,7.0,7.0,15.75,144.0
48,18.0,62.44444444444444,76.20577577479222,7.0,8.75,28.0,112.0,287.0
49,51.0,23.41176470588235,26.017053230977744,7.0,7.0,14.0,28.0,144.0
50,37.0,59.891891891891895,94.5917496354682,7.0,14.0,21.0,77.0,532.0
51,36.0,34.72222222222222,45.6768845016577,7.0,7.0,10.5,50.75,217.0
52,33.0,35.121212121212125,39.09264442941726,7.0,7.0,21.0,42.0,172.0
53,38.0,47.44736842105263,46.69318913724509,7.0,14.0,28.0,68.25,210.0
54,50.0,31.44,31.07079473901956,7.0,7.0,21.0,40.25,137.0
55,46.0,52.130434782608695,50.00382594057831,7.0,21.0,35.0,66.5,238.0
56,33.0,42.75757575757576,65.31607301376434,7.0,7.0,14.0,42.0,280.0
57,41.0,49.26829268292683,57.42996795674011,7.0,21.0,35.0,49.0,322.0
58,36.0,23.833333333333332,33.16926287996162,7.0,7.0,14.0,28.0,154.0
59,43.0,57.395348837209305,61.40891029456468,7.0,14.0,28.0,66.5,238.0
60,32.0,51.53125,52.43058967693352,7.0,7.0,35.0,70.0,189.0
61,19.0,28.210526315789473,35.44256535010539,7.0,7.0,14.0,28.0,137.0
62,40.0,58.2,78.88557113524206,7.0,14.0,28.0,80.5,434.0
63,45.0,50.955555555555556,66.55105885215828,7.0,7.0,21.0,56.0,273.0
64,35.0,53.91428571428571,74.4408061042153,7.0,7.0,21.0,56.0,301.0
65,43.0,29.72093023255814,28.902401928028443,7.0,7.0,21.0,38.5,144.0
66,33.0,60.57575757575758,53.10192457848768,7.0,21.0,42.0,84.0,189.0
67,27.0,27.11111111111111,40.142374822751286,7.0,7.0,7.0,24.5,161.0
68,34.0,36.76470588235294,38.985668558345594,7.0,7.0,17.5,52.5,158.0
69,11.0,22.636363636363637,40.5247399184072,7.0,7.0,7.0,14.0,144.0
70,36.0,57.47222222222222,65.88799418541876,7.0,14.0,35.0,73.5,287.0
71,28.0,19.892857142857142,25.235687965457714,7.0,7.0,10.5,21.0,137.0
72,25.0,45.52,64.36945445369773,7.0,7.0,14.0,56.0,231.0
73,47.0,35.829787234042556,39.66069083840867,7.0,14.0,21.0,42.0,186.0
74,33.0,36.81818181818182,39.0716125734645,7.0,14.0,21.0,42.0,179.0
75,48.0,49.8125,42.27350472964904,7.0,19.25,35.0,59.5,175.0
76,28.0,45.892857142857146,63.776426206573696,7.0,7.0,17.5,40.25,259.0
77,40.0,43.325,44.20139660167382,7.0,14.0,28.0,57.75,200.0
78,30.0,40.03333333333333,43.72522615491943,7.0,14.0,21.0,54.25,175.0
79,42.0,55.42857142857143,108.61683444447586,7.0,7.0,21.0,49.0,651.0
80,37.0,47.4054054054054,64.11641298773984,7.0,7.0,21.0,77.0,287.0
81,36.0,26.166666666666668,31.0322412983658,7.0,7.0,14.0,35.0,179.0
82,24.0,20.875,29.519798072833588,7.0,14.0,14.0,14.0,158.0
83,39.0,21.102564102564102,41.612747839166374,7.0,7.0,7.0,17.5,231.0
84,29.0,43.827586206896555,65.34418159993677,7.0,7.0,14.0,49.0,287.0
85,46.0,28.695652173913043,36.22330101235784,7.0,14.0,21.0,28.0,235.0
86,26.0,82.0,136.38269684971038,7.0,14.0,28.0,73.5,637.0
87,39.0,32.23076923076923,38.902348419479864,7.0,7.0,14.0,42.0,158.0
88,43.0,29.558139534883722,32.42522704372645,7.0,7.0,21.0,38.5,179.0
