id,count,mean,std,min,25%,50%,75%,max
0,40.0,11.225,28.54639723103066,0.0,0.0,0.0,7.0,134.0
1,52.0,13.884615384615385,22.948923547871114,0.0,0.0,7.0,14.0,141.0
2,49.0,8.448979591836734,20.83772742776288,0.0,0.0,7.0,7.0,141.0
3,50.0,6.88,17.250424425420462,0.0,0.0,0.0,7.0,120.0
4,43.0,18.093023255813954,24.840264887676266,0.0,0.0,7.0,24.5,127.0
5,52.0,9.442307692307692,22.03598969025352,0.0,0.0,7.0,7.0,148.0
6,46.0,4.282608695652174,17.942702686890428,0.0,0.0,0.0,0.0,120.0
7,54.0,15.833333333333334,32.338860319937886,0.0,0.0,0.0,14.0,161.0
8,53.0,14.81132075471698,28.85044767268558,0.0,0.0,7.0,14.0,162.0
9,58.0,9.793103448275861,24.656772757828954,0.0,0.0,0.0,7.0,141.0
10,35.0,10.628571428571428,24.402369357341122,0.0,0.0,0.0,7.0,120.0
11,47.0,16.404255319148938,28.991497685017094,0.0,0.0,7.0,17.5,127.0
12,42.0,13.19047619047619,23.062204424955645,0.0,0.0,0.0,14.0,127.0
13,68.0,12.573529411764707,22.911455895205087,0.0,0.0,0.0,14.0,127.0
14,55.0,16.054545454545455,21.59939829564719,0.0,0.0,7.0,21.0,134.0
15,44.0,5.2727272727272725,19.6520472172969,0.0,0.0,0.0,0.0,120.0
16,48.0,19.270833333333332,42.41925475251616,0.0,0.0,3.5,15.75,238.0
17,50.0,22.14,41.4123170083491,0.0,0.0,7.0,21.0,231.0
18,57.0,14.385964912280702,31.956865116437427,0.0,0.0,7.0,14.0,189.0
19,50.0,22.98,26.47408436296037,0.0,7.0,14.0,33.25,141.0
20,55.0,12.745454545454546,21.45125238666099,0.0,0.0,7.0,14.0,134.0
21,53.0,10.716981132075471,21.549029389609466,0.0,0.0,7.0,14.0,148.0
22,37.0,9.486486486486486,23.193176225420775,0.0,0.0,0.0,7.0,127.0
23,50.0,11.92,21.234204213283544,0.0,0.0,7.0,14.0,120.0
24,48.0,10.520833333333334,22.40059800050306,0.0,0.0,7.0,8.75,141.0
25,42.0,12.69047619047619,21.44589118102113,0.0,0.0,7.0,14.0,120.0
26,54.0,13.24074074074074,22.342898230259717,0.0,0.0,7.0,14.0,127.0
27,53.0,18.77358490566038,33.04055870583326,0.0,0.0,7.0,14.0,168.0
28,49.0,13.306122448979592,21.594949333922827,0.0,0.0,7.0,14.0,120.0
29,60.0,10.866666666666667,21.1351315423097,0.0,0.0,7.0,14.0,134.0
30,42.0,15.023809523809524,24.736157099686988,0.0,0.0,7.0,19.25,134.0
31,33.0,10.848484848484848,22.84748510794078,0.0,0.0,7.0,7.0,127.0
32,52.0,8.634615384615385,21.53977519695702,0.0,0.0,0.0,7.0,148.0
33,28.0,10.035714285714286,24.148433187203374,0.0,0.0,0.0,7.0,120.0
34,54.0,12.074074074074074,21.148934450032417,0.0,0.0,7.0,19.25,134.0
35,30.0,8.666666666666666,24.32443546969878,0.0,0.0,0.0,7.0,127.0
36,39.0,13.666666666666666,27.292116977669707,0.0,0.0,7.0,14.0,155.0
37,52.0,13.211538461538462,21.626360583707356,0.0,0.0,7.0,21.0,148.0
38,49.0,19.448979591836736,31.73133389916674,0.0,0.0,7.0,14.0,162.0
39,50.0,14.72,32.15906892753138,0.0,0.0,7.0,14.0,175.0
40,41.0,14.707317073170731,28.295974892587658,0.0,0.0,7.0,14.0,162.0
41,51.0,11.137254901960784,24.986411993596146,0.0,0.0,7.0,14.0,176.0
42,46.0,7.934782608695652,21.196857391722585,0.0,0.0,0.0,7.0,141.0
43,53.0,21.28301886792453,32.954734315240636,0.0,0.0,7.0,28.0,183.0
44,51.0,11.27450980392157,26.32495274933845,0.0,0.0,7.0,14.0,183.0
45,58.0,10.03448275862069,21.74651858988926,0.0,0.0,7.0,14.0,155.0
46,35.0,8.228571428571428,22.7803910960149,0.0,0.0,0.0,7.0,134.0
47,47.0,17.74468085106383,30.21406819254494,0.0,0.0,7.0,21.0,148.0
48,41.0,12.487804878048781,27.98671287523734,0.0,0.0,7.0,14.0,169.0
49,64.0,11.5,23.15167380558045,0.0,0.0,3.5,14.0,169.0
50,55.0,18.98181818181818,24.673040399572216,0.0,3.5,14.0,28.0,155.0
51,44.0,10.522727272727273,23.499122830104852,0.0,0.0,0.0,14.0,148.0
52,48.0,9.354166666666666,24.4814211652327,0.0,0.0,0.0,8.75,162.0
53,50.0,20.18,37.25460661831922,0.0,0.0,7.0,21.0,189.0
54,55.0,15.8,30.189156748494735,0.0,0.0,7.0,14.0,162.0
55,49.0,12.73469387755102,23.503346845187178,0.0,0.0,7.0,14.0,155.0
56,54.0,12.851851851851851,24.15313363583426,0.0,0.0,7.0,14.0,148.0
57,50.0,12.62,31.37000387084998,0.0,0.0,7.0,12.25,162.0
58,37.0,16.864864864864863,35.62705133443949,0.0,0.0,7.0,14.0,155.0
59,50.0,19.76,37.94763309012641,0.0,0.0,7.0,19.25,189.0
60,48.0,15.333333333333334,25.902709406738303,0.0,0.0,7.0,21.0,169.0
61,42.0,10.023809523809524,20.607230669482814,0.0,0.0,7.0,14.0,134.0
62,53.0,14.150943396226415,23.265521061148284,0.0,0.0,7.0,14.0,148.0
63,52.0,19.403846153846153,26.03185048779676,0.0,7.0,14.0,28.0,169.0
64,49.0,18.163265306122447,27.43655327810534,0.0,0.0,14.0,21.0,155.0
65,58.0,16.67241379310345,31.572466314165332,0.0,0.0,7.0,14.0,162.0
66,42.0,10.523809523809524,26.349654596003486,0.0,0.0,7.0,12.25,169.0
67,33.0,11.484848484848484,30.599347636143744,0.0,0.0,0.0,7.0,155.0
68,52.0,7.826923076923077,25.793084005286588,0.0,0.0,0.0,7.0,183.0
69,28.0,12.535714285714286,27.00820471066379,0.0,0.0,7.0,14.0,141.0
70,53.0,16.92452830188679,27.163924787654967,0.0,7.0,7.0,21.0,169.0
71,30.0,15.2,32.04027637747259,0.0,0.0,0.0,12.25,148.0
72,39.0,14.743589743589743,28.897020378831947,0.0,0.0,7.0,17.5,162.0
73,52.0,16.442307692307693,25.752527735471215,0.0,7.0,10.5,21.0,176.0
74,47.0,18.93617021276596,50.1382455145246,0.0,0.0,0.0,14.0,316.0
75,50.0,17.8,28.086600770779345,0.0,7.0,7.0,21.0,176.0
76,39.0,27.487179487179485,80.85069794148242,0.0,0.0,7.0,21.0,484.0
77,51.0,8.529411764705882,26.48950957732247,0.0,0.0,7.0,7.0,190.0
78,46.0,10.065217391304348,24.275641356821534,0.0,0.0,0.0,7.0,155.0
79,53.0,20.49056603773585,42.4561414609284,0.0,0.0,7.0,14.0,210.0
80,49.0,15.448979591836734,31.004073135967285,0.0,0.0,7.0,21.0,204.0
81,57.0,14.017543859649123,27.354479411234447,0.0,0.0,7.0,21.0,190.0
82,35.0,13.028571428571428,30.20175853302908,0.0,0.0,7.0,14.0,176.0
83,45.0,23.822222222222223,41.87659841665146,0.0,0.0,7.0,28.0,169.0
84,40.0,16.825,40.88814479302509,0.0,0.0,0.0,7.0,190.0
85,64.0,15.0,34.953937943782215,0.0,0.0,7.0,14.0,239.0
86,54.0,23.35185185185185,30.955937893166194,0.0,7.0,14.0,28.0,183.0
87,44.0,21.34090909090909,47.44443172259433,0.0,0.0,7.0,15.75,302.0
88,48.0,9.354166666666666,26.41847321383949,0.0,0.0,0.0,7.0,176.0
89,50.0,15.98,39.907285407196376,0.0,0.0,7.0,19.25,274.0
90,54.0,15.055555555555555,32.36607626947946,0.0,0.0,7.0,7.0,169.0
