id,count,mean,std,min,25%,50%,75%,max
0,42.0,8.357142857142858,21.016626900427596,0.0,0.0,3.5,7.0,134.0
1,55.0,13.636363636363637,22.380847993370512,0.0,3.5,7.0,14.0,141.0
2,51.0,16.49019607843137,25.64322331456762,0.0,7.0,7.0,17.5,148.0
3,55.0,10.709090909090909,21.725282018604013,0.0,0.0,7.0,10.5,120.0
4,45.0,13.71111111111111,24.352172035124152,0.0,0.0,7.0,14.0,127.0
5,55.0,11.472727272727273,21.049196822413126,0.0,0.0,7.0,14.0,148.0
6,38.0,4.078947368421052,19.66390791622295,0.0,0.0,0.0,0.0,120.0
7,53.0,13.09433962264151,33.10430145821362,0.0,0.0,0.0,7.0,161.0
8,55.0,13.89090909090909,25.97054793933621,0.0,0.0,7.0,14.0,169.0
9,55.0,6.0,19.76060427925931,0.0,0.0,0.0,7.0,141.0
10,34.0,6.617647058823529,20.83995973049438,0.0,0.0,0.0,7.0,120.0
11,43.0,17.27906976744186,33.521368864392095,0.0,0.0,7.0,14.0,133.0
12,43.0,28.023255813953487,43.635114939850375,0.0,0.0,7.0,42.0,217.0
13,62.0,18.419354838709676,33.78405307537706,0.0,0.0,7.0,21.0,196.0
14,55.0,10.2,19.304000736749998,0.0,0.0,7.0,14.0,134.0
15,40.0,14.9,24.828436963515887,0.0,0.0,7.0,14.0,120.0
16,53.0,13.754716981132075,24.996850309571588,0.0,0.0,7.0,14.0,141.0
17,50.0,7.72,18.637289809105063,0.0,0.0,0.0,7.0,127.0
18,52.0,8.365384615384615,19.022204616621636,0.0,0.0,0.0,7.0,120.0
19,54.0,17.51851851851852,21.425377952449544,0.0,7.0,14.0,21.0,141.0
20,54.0,12.462962962962964,30.01239552909479,0.0,0.0,7.0,14.0,182.0
21,51.0,10.450980392156863,21.786522187343436,0.0,0.0,7.0,14.0,148.0
22,33.0,6.181818181818182,22.629425734890162,0.0,0.0,0.0,0.0,127.0
23,51.0,14.843137254901961,39.39409729846319,0.0,0.0,7.0,14.0,259.0
24,49.0,11.591836734693878,22.373643690127658,0.0,0.0,7.0,14.0,141.0
25,40.0,11.225,25.114596327991194,0.0,0.0,0.0,7.0,120.0
26,54.0,12.722222222222221,20.8185482127245,0.0,0.0,7.0,14.0,127.0
27,54.0,21.796296296296298,25.297012747521947,0.0,7.0,14.0,28.0,141.0
28,54.0,12.203703703703704,21.25707840344422,0.0,0.0,7.0,14.0,120.0
29,56.0,15.892857142857142,32.96536947185007,0.0,0.0,7.0,14.0,196.0
30,44.0,15.772727272727273,24.22651213161781,0.0,0.0,7.0,21.0,134.0
31,30.0,18.466666666666665,39.37068166431264,0.0,0.0,7.0,19.25,182.0
32,51.0,8.254901960784315,21.84842615590871,0.0,0.0,0.0,7.0,148.0
33,28.0,13.785714285714286,27.386610871490745,0.0,0.0,7.0,14.0,120.0
34,54.0,13.5,22.190215419805156,0.0,0.0,7.0,14.0,134.0
35,30.0,6.8,23.536325556247203,0.0,0.0,0.0,0.0,127.0
36,41.0,11.463414634146341,25.271621990857263,0.0,0.0,7.0,14.0,155.0
37,54.0,12.722222222222221,21.834209497999137,0.0,0.0,7.0,19.25,148.0
38,49.0,16.306122448979593,30.10551173347987,0.0,0.0,7.0,14.0,190.0
39,54.0,12.462962962962964,24.040620469626823,0.0,0.0,7.0,14.0,155.0
40,42.0,19.023809523809526,31.312343155919418,0.0,0.0,7.0,28.0,162.0
41,55.0,12.10909090909091,25.765087437067443,0.0,0.0,7.0,14.0,176.0
42,38.0,6.842105263157895,23.142947458560702,0.0,0.0,0.0,7.0,141.0
43,53.0,18.50943396226415,31.19764700293267,0.0,0.0,7.0,21.0,183.0
44,53.0,13.358490566037736,32.943479767872965,0.0,0.0,0.0,7.0,190.0
45,54.0,11.944444444444445,26.038735055114334,0.0,0.0,7.0,14.0,162.0
46,33.0,10.424242424242424,26.57657603867349,0.0,0.0,0.0,7.0,134.0
47,43.0,21.674418604651162,43.43452704398753,0.0,0.0,7.0,21.0,189.0
48,40.0,10.0,28.27339058876058,0.0,0.0,0.0,7.0,169.0
49,61.0,14.59016393442623,30.00743077371577,0.0,0.0,7.0,14.0,211.0
50,54.0,16.74074074074074,24.598040407597118,0.0,0.0,14.0,21.0,155.0
51,40.0,15.425,25.7511637775351,0.0,0.0,7.0,15.75,148.0
52,51.0,10.450980392156863,23.694989956098482,0.0,0.0,7.0,10.5,162.0
53,50.0,15.56,27.03373553808014,0.0,1.75,7.0,14.0,169.0
54,52.0,14.557692307692308,27.193867144200183,0.0,0.0,7.0,14.0,162.0
55,53.0,13.49056603773585,23.16464700415886,0.0,0.0,7.0,21.0,155.0
56,54.0,10.25925925925926,23.572597766870885,0.0,0.0,7.0,7.0,148.0
57,50.0,15.98,28.958443131001168,0.0,0.0,7.0,14.0,176.0
58,33.0,8.727272727272727,27.2801126363977,0.0,0.0,0.0,7.0,155.0
59,50.0,13.46,26.27345210881672,0.0,0.0,7.0,14.0,176.0
60,48.0,11.979166666666666,24.076553071430688,0.0,0.0,7.0,15.75,162.0
61,40.0,17.0,27.514098949913677,0.0,0.0,7.0,21.0,134.0
62,53.0,19.169811320754718,32.39286237207239,0.0,7.0,7.0,21.0,161.0
63,51.0,20.470588235294116,28.134927006250766,0.0,3.5,14.0,24.5,169.0
64,51.0,14.843137254901961,24.14735807414104,0.0,0.0,7.0,21.0,155.0
65,55.0,19.236363636363638,39.0701949659857,0.0,0.0,7.0,14.0,217.0
66,43.0,13.209302325581396,26.3416727056243,0.0,0.0,7.0,17.5,169.0
67,30.0,17.766666666666666,44.82278002528851,0.0,0.0,0.0,7.0,182.0
68,51.0,7.1568627450980395,24.646600210998358,0.0,0.0,0.0,7.0,176.0
69,26.0,20.23076923076923,44.08474356718677,0.0,0.0,7.0,21.0,189.0
70,54.0,12.462962962962964,24.00763476280541,0.0,0.0,7.0,14.0,162.0
71,30.0,13.8,29.75926398793237,0.0,0.0,7.0,14.0,141.0
72,39.0,15.64102564102564,31.732008727273257,0.0,0.0,7.0,14.0,162.0
73,54.0,12.592592592592593,26.327056545675394,0.0,0.0,7.0,14.0,183.0
74,49.0,14.73469387755102,40.17450243946406,0.0,0.0,0.0,7.0,225.0
75,53.0,18.77358490566038,29.309778828545078,0.0,0.0,7.0,21.0,169.0
76,40.0,24.875,79.04662288639275,0.0,0.0,7.0,14.0,498.0
77,55.0,12.363636363636363,30.209370410620288,0.0,0.0,0.0,14.0,204.0
78,38.0,6.473684210526316,25.128574068346822,0.0,0.0,0.0,7.0,155.0
79,53.0,19.69811320754717,32.7658270069363,0.0,0.0,7.0,21.0,197.0
80,50.0,14.72,36.05836538565932,0.0,0.0,7.0,7.0,204.0
81,53.0,16.132075471698112,32.84054584471473,0.0,0.0,7.0,14.0,197.0
82,32.0,18.625,41.287934658772855,0.0,0.0,3.5,14.0,189.0
83,41.0,23.75609756097561,43.1258509990266,0.0,0.0,7.0,21.0,183.0
