id,count,mean,std,min,25%,50%,75%,max
0,40.0,7.55,22.076730991749013,0.0,0.0,0.0,7.0,134.0
1,55.0,16.945454545454545,26.060057546494395,0.0,3.5,7.0,21.0,141.0
2,49.0,11.877551020408163,20.031883599507502,0.0,0.0,7.0,14.0,127.0
3,54.0,10.777777777777779,17.41032730465875,0.0,0.0,7.0,14.0,120.0
4,44.0,14.977272727272727,23.136087422600557,0.0,0.0,7.0,21.0,127.0
5,55.0,8.927272727272728,21.858852385462225,0.0,0.0,0.0,7.0,148.0
6,38.0,3.3421052631578947,19.469000051765555,0.0,0.0,0.0,0.0,120.0
7,53.0,18.245283018867923,37.36200541293323,0.0,0.0,7.0,14.0,175.0
8,54.0,15.833333333333334,25.11614529972665,0.0,0.0,7.0,19.25,162.0
9,61.0,16.42622950819672,32.240998235369744,0.0,0.0,7.0,14.0,175.0
10,32.0,10.09375,22.988579738363498,0.0,0.0,3.5,7.0,120.0
11,43.0,18.25581395348837,44.06980016770788,0.0,0.0,7.0,14.0,259.0
12,43.0,25.906976744186046,37.15335910820522,0.0,7.0,14.0,28.0,175.0
13,62.0,13.903225806451612,24.406871967944824,0.0,0.0,7.0,14.0,127.0
14,55.0,16.563636363636363,24.940494839282618,0.0,0.0,7.0,21.0,134.0
15,40.0,9.475,20.16341889507981,0.0,0.0,3.5,8.75,120.0
16,54.0,16.74074074074074,27.6324837452502,0.0,0.0,7.0,19.25,141.0
17,52.0,16.846153846153847,28.290083217383007,0.0,0.0,7.0,14.0,127.0
18,57.0,11.929824561403509,29.496282846392457,0.0,0.0,0.0,7.0,182.0
19,49.0,19.448979591836736,23.94095273139887,0.0,7.0,14.0,28.0,141.0
20,56.0,18.892857142857142,31.708145538749086,0.0,0.0,7.0,15.75,134.0
21,55.0,11.345454545454546,22.59319643725795,0.0,0.0,7.0,14.0,148.0
22,36.0,7.027777777777778,21.45758089295664,0.0,0.0,0.0,7.0,127.0
23,51.0,7.1568627450980395,18.1343569491941,0.0,0.0,0.0,7.0,120.0
24,48.0,12.5625,22.443220319238332,0.0,0.0,7.0,14.0,141.0
25,40.0,17.35,26.195076851997424,0.0,0.0,7.0,22.75,120.0
26,54.0,10.25925925925926,20.081142177153758,0.0,0.0,7.0,14.0,127.0
27,54.0,16.74074074074074,25.941287253076144,0.0,0.0,7.0,21.0,141.0
28,50.0,12.9,21.049261948377872,0.0,0.0,7.0,19.25,120.0
29,62.0,11.53225806451613,21.003292280517254,0.0,0.0,7.0,14.0,134.0
30,42.0,15.857142857142858,27.589827949296403,0.0,0.0,7.0,14.0,134.0
31,30.0,16.6,26.36690715847136,0.0,7.0,7.0,14.0,127.0
32,53.0,10.849056603773585,22.278306304232284,0.0,0.0,7.0,14.0,148.0
33,28.0,9.535714285714286,24.727375956480333,0.0,0.0,0.0,7.0,120.0
34,55.0,10.454545454545455,20.586599544560066,0.0,0.0,7.0,14.0,141.0
35,30.0,8.2,24.56995642284881,0.0,0.0,0.0,7.0,134.0
36,39.0,12.58974358974359,28.50551003865924,0.0,0.0,0.0,7.0,155.0
37,55.0,8.927272727272728,20.219952142536457,0.0,0.0,7.0,10.5,148.0
38,49.0,17.448979591836736,27.709099907558794,0.0,0.0,7.0,21.0,162.0
39,54.0,13.62962962962963,23.524612800371603,0.0,0.0,7.0,14.0,155.0
40,39.0,24.974358974358974,47.480459792195276,0.0,0.0,7.0,24.5,239.0
41,55.0,11.218181818181819,25.95130119416045,0.0,0.0,7.0,14.0,183.0
42,38.0,5.7368421052631575,22.761613264591503,0.0,0.0,0.0,7.0,141.0
43,53.0,16.39622641509434,30.16769771603746,0.0,0.0,7.0,21.0,162.0
44,52.0,9.98076923076923,27.719526906960397,0.0,0.0,0.0,7.0,183.0
45,59.0,13.305084745762711,26.689307065389038,0.0,0.0,7.0,10.5,155.0
46,30.0,14.733333333333333,26.49779865070556,0.0,0.0,7.0,19.25,134.0
47,43.0,15.813953488372093,30.465637015491566,0.0,0.0,7.0,14.0,148.0
48,40.0,15.075,31.577651542239128,0.0,0.0,7.0,14.0,176.0
49,61.0,12.180327868852459,22.494820290251493,0.0,0.0,7.0,14.0,155.0
50,51.0,12.784313725490197,23.415647525097565,0.0,0.0,7.0,14.0,162.0
51,40.0,14.55,25.018915920681966,0.0,0.0,7.0,21.0,148.0
52,51.0,13.196078431372548,34.11569703690261,0.0,0.0,0.0,14.0,175.0
53,50.0,17.24,35.849208000815224,0.0,0.0,7.0,14.0,183.0
54,57.0,16.964912280701753,26.18816861559045,0.0,0.0,14.0,21.0,162.0
55,49.0,14.877551020408163,26.826318430679557,0.0,0.0,7.0,14.0,155.0
56,53.0,10.056603773584905,22.021331524001575,0.0,0.0,7.0,14.0,148.0
