id,count,mean,std,min,25%,50%,75%,max
0,25.0,31.96,34.87534946061472,7.0,7.0,21.0,42.0,126.0
1,46.0,42.02173913043478,33.41090249899128,7.0,14.0,42.0,56.0,154.0
2,50.0,38.38,33.522998502094474,7.0,14.0,28.0,56.0,175.0
3,30.0,33.63333333333333,36.26386377776028,7.0,7.0,14.0,49.0,133.0
4,33.0,32.696969696969695,36.095779573660735,7.0,7.0,14.0,42.0,147.0
5,44.0,22.613636363636363,21.816588428427377,7.0,7.0,17.5,28.0,120.0
6,17.0,17.764705882352942,27.35765297810812,7.0,7.0,7.0,14.0,120.0
7,38.0,28.026315789473685,31.256987838920857,7.0,7.0,14.0,35.0,147.0
8,38.0,28.94736842105263,41.62051687953979,7.0,7.0,7.0,33.25,168.0
9,39.0,39.69230769230769,42.274263569267376,7.0,7.0,21.0,49.0,189.0
10,30.0,14.733333333333333,21.397604334699896,7.0,7.0,7.0,14.0,120.0
11,30.0,22.2,27.084032705382096,7.0,7.0,14.0,21.0,120.0
12,23.0,33.21739130434783,46.670953125178926,7.0,7.0,14.0,35.0,210.0
13,61.0,23.770491803278688,24.9862585185157,7.0,7.0,14.0,28.0,120.0
14,32.0,21.46875,28.721111011622366,7.0,7.0,7.0,21.0,120.0
15,20.0,28.05,43.26232711457419,7.0,7.0,7.0,28.0,168.0
16,38.0,36.68421052631579,28.19440740323062,7.0,21.0,28.0,47.25,120.0
17,50.0,36.14,30.563423518036345,7.0,14.0,28.0,49.0,140.0
18,41.0,28.878048780487806,28.778633673222934,7.0,7.0,21.0,35.0,120.0
19,41.0,31.609756097560975,32.75505918845247,7.0,7.0,14.0,42.0,120.0
20,38.0,18.263157894736842,22.172157132772206,7.0,7.0,7.0,26.25,120.0
21,52.0,34.61538461538461,31.18644366510265,7.0,7.0,28.0,43.75,120.0
22,22.0,23.272727272727273,39.204205092945024,7.0,7.0,7.0,14.0,161.0
23,45.0,29.733333333333334,26.52905782516426,7.0,7.0,21.0,35.0,120.0
24,36.0,31.333333333333332,46.74184420837501,7.0,7.0,14.0,28.0,231.0
25,20.0,30.15,29.77861295416031,7.0,7.0,24.5,36.75,120.0
26,46.0,35.630434782608695,35.372530896572634,7.0,14.0,21.0,54.25,140.0
27,50.0,35.86,37.157694838543016,7.0,7.0,21.0,49.0,147.0
28,45.0,31.133333333333333,32.64102271125039,7.0,7.0,14.0,49.0,133.0
29,41.0,28.536585365853657,33.83422642899909,7.0,7.0,14.0,28.0,182.0
30,40.0,32.4,33.003340934222294,7.0,7.0,14.0,42.0,140.0
31,25.0,34.76,46.66126159174581,7.0,7.0,21.0,35.0,203.0
32,28.0,37.285714285714285,42.97101274705934,7.0,7.0,21.0,43.75,147.0
33,15.0,26.2,33.60952246016001,7.0,7.0,14.0,21.0,120.0
34,41.0,42.19512195121951,38.56567094722658,7.0,14.0,28.0,63.0,154.0
35,27.0,26.48148148148148,37.15391103791236,7.0,7.0,14.0,24.5,161.0
36,30.0,25.233333333333334,30.099471106973628,7.0,7.0,7.0,35.0,148.0
37,42.0,40.023809523809526,39.763010201134385,7.0,14.0,24.5,54.25,148.0
38,45.0,40.46666666666667,35.574888998740775,7.0,14.0,28.0,49.0,155.0
39,51.0,29.254901960784313,32.49359514566211,7.0,7.0,14.0,28.0,154.0
40,33.0,36.09090909090909,37.78174462981729,7.0,7.0,21.0,56.0,161.0
41,47.0,29.21276595744681,28.416113134301543,7.0,7.0,21.0,38.5,162.0
42,37.0,18.37837837837838,21.79876570327288,7.0,7.0,14.0,21.0,127.0
43,54.0,29.962962962962962,35.73643717550201,7.0,7.0,14.0,35.0,175.0
44,39.0,37.17948717948718,46.708993721412334,7.0,7.0,14.0,38.5,203.0
45,39.0,35.205128205128204,39.00012111126909,7.0,7.0,21.0,45.5,175.0
46,17.0,26.41176470588235,31.94146760781628,7.0,7.0,7.0,42.0,127.0
47,42.0,23.023809523809526,36.73403957070806,7.0,7.0,7.0,21.0,196.0
48,14.0,23.071428571428573,34.695298474919284,7.0,7.0,7.0,14.0,134.0
49,36.0,26.86111111111111,28.773154926848814,7.0,7.0,14.0,29.75,134.0
50,45.0,29.11111111111111,27.689202212991244,7.0,14.0,21.0,35.0,141.0
51,36.0,25.88888888888889,36.078309888968526,7.0,7.0,14.0,28.0,175.0
52,35.0,30.428571428571427,28.778347369349135,7.0,14.0,21.0,38.5,148.0
53,44.0,33.11363636363637,31.356328621330643,7.0,14.0,21.0,36.75,134.0
54,45.0,29.88888888888889,24.173823391713142,7.0,7.0,28.0,42.0,127.0
55,49.0,40.30612244897959,36.783830280002476,7.0,14.0,21.0,56.0,148.0
56,44.0,16.568181818181817,24.703260049686808,7.0,7.0,7.0,14.0,148.0
57,49.0,34.02040816326531,31.547246179287963,7.0,7.0,28.0,42.0,155.0
58,35.0,24.62857142857143,34.741131508449676,7.0,7.0,14.0,21.0,161.0
59,51.0,39.8235294117647,36.91487823756321,7.0,14.0,28.0,56.0,189.0
60,38.0,33.0,43.67694673023374,7.0,7.0,14.0,40.25,210.0
61,20.0,32.25,38.962701462593145,7.0,7.0,14.0,36.75,127.0
62,43.0,36.325581395348834,39.04132177836133,7.0,7.0,21.0,42.0,154.0
63,49.0,36.734693877551024,40.40924786388842,7.0,7.0,21.0,56.0,203.0
64,45.0,27.08888888888889,28.808791447168765,7.0,7.0,14.0,35.0,127.0
65,40.0,26.625,24.53327149518405,7.0,7.0,21.0,35.0,141.0
66,40.0,43.425,41.584567835331434,7.0,14.0,28.0,56.0,168.0
