id,count,mean,std,min,25%,50%,75%,max
0,22.0,34.40909090909091,42.53251875348028,7.0,7.0,10.5,38.5,133.0
1,48.0,37.208333333333336,29.86776411674187,7.0,14.0,31.5,42.0,140.0
2,53.0,30.660377358490567,27.900195337216942,7.0,14.0,21.0,42.0,140.0
3,33.0,29.939393939393938,32.88420916064749,7.0,7.0,14.0,42.0,140.0
4,32.0,46.625,47.0783492461443,7.0,7.0,28.0,75.25,154.0
5,53.0,33.16981132075472,28.09786184655927,7.0,14.0,21.0,49.0,120.0
6,26.0,17.807692307692307,22.94518551813296,7.0,7.0,7.0,21.0,120.0
7,36.0,44.55555555555556,59.882477496435556,7.0,12.25,28.0,42.0,238.0
8,39.0,32.69230769230769,42.491580494910586,7.0,7.0,7.0,38.5,161.0
9,47.0,35.319148936170215,35.353559800454214,7.0,7.0,21.0,56.0,126.0
10,21.0,16.714285714285715,24.306671629704585,7.0,7.0,7.0,14.0,120.0
11,16.0,18.0,28.809720581775867,7.0,7.0,7.0,8.75,120.0
12,26.0,36.38461538461539,54.78691590011391,7.0,7.0,14.0,28.0,210.0
13,50.0,22.14,23.55194866065833,7.0,7.0,14.0,26.25,120.0
14,52.0,31.78846153846154,42.2111111375794,7.0,7.0,17.5,36.75,217.0
15,19.0,35.421052631578945,43.288843558221636,7.0,7.0,14.0,38.5,161.0
16,36.0,45.333333333333336,39.6333193159493,7.0,14.0,28.0,64.75,126.0
17,47.0,46.93617021276596,80.89133996087622,7.0,14.0,28.0,45.5,546.0
18,48.0,29.916666666666668,25.97448284115101,7.0,12.25,21.0,43.75,120.0
19,39.0,36.82051282051282,37.94862995576479,7.0,14.0,21.0,42.0,147.0
20,52.0,32.19230769230769,51.92341209880087,7.0,7.0,14.0,36.75,343.0
21,50.0,40.48,43.03261221777868,7.0,14.0,28.0,63.0,238.0
22,44.0,31.681818181818183,37.26384414332835,7.0,7.0,21.0,42.0,203.0
23,45.0,47.62222222222222,70.3501918614974,7.0,14.0,28.0,56.0,469.0
