id,count,mean,std,min,25%,50%,75%,max
0,28.0,27.285714285714285,28.718115514952554,7.0,7.0,10.5,35.0,120.0
1,48.0,43.041666666666664,35.912990794438414,7.0,14.0,28.0,57.75,161.0
2,48.0,36.041666666666664,38.49507198818943,7.0,14.0,21.0,42.0,182.0
3,31.0,33.225806451612904,34.32754936142821,7.0,7.0,14.0,45.5,120.0
4,34.0,39.14705882352941,35.80767850017915,7.0,14.0,28.0,56.0,126.0
5,38.0,27.105263157894736,28.04994529424179,7.0,7.0,14.0,35.0,120.0
6,25.0,24.68,24.5878018537648,7.0,7.0,14.0,28.0,120.0
7,38.0,34.8421052631579,46.58124336346034,7.0,14.0,21.0,35.0,266.0
8,47.0,38.8936170212766,33.10604439922085,7.0,7.0,35.0,52.5,126.0
9,29.0,36.0,54.13871073455665,7.0,7.0,7.0,42.0,238.0
10,8.0,24.625,39.7633625338703,7.0,7.0,7.0,14.0,120.0
11,33.0,19.333333333333332,22.687643479803423,7.0,7.0,14.0,21.0,120.0
12,23.0,35.95652173913044,57.80097377354434,7.0,7.0,14.0,38.5,273.0
13,29.0,18.379310344827587,23.699628980072735,7.0,7.0,7.0,21.0,120.0
14,41.0,18.975609756097562,21.761764410173694,7.0,7.0,7.0,21.0,120.0
15,31.0,33.903225806451616,27.57940637348778,7.0,14.0,28.0,45.5,120.0
16,46.0,41.26086956521739,33.61377679372201,7.0,14.0,28.0,63.0,147.0
17,50.0,45.94,45.840188231974544,7.0,21.0,31.5,56.0,231.0
18,35.0,26.02857142857143,28.534278368600926,7.0,7.0,14.0,28.0,133.0
19,45.0,34.71111111111111,34.185072647563466,7.0,7.0,21.0,49.0,182.0
20,36.0,34.833333333333336,48.90603234775849,7.0,7.0,14.0,35.0,210.0
21,42.0,27.19047619047619,35.46089436317145,7.0,7.0,14.0,33.25,203.0
22,27.0,43.333333333333336,61.011978647324156,7.0,14.0,14.0,52.5,301.0
23,37.0,44.108108108108105,50.6769637473937,7.0,14.0,28.0,56.0,203.0
24,39.0,26.94871794871795,27.88127905956434,7.0,7.0,14.0,35.0,120.0
25,22.0,25.818181818181817,26.571800956288342,7.0,7.0,21.0,28.0,120.0
26,45.0,43.733333333333334,53.3041871116741,7.0,7.0,21.0,49.0,259.0
27,52.0,29.23076923076923,27.006618930613076,7.0,7.0,21.0,36.75,120.0
28,46.0,22.543478260869566,23.744666322017697,7.0,7.0,14.0,28.0,120.0
29,36.0,28.805555555555557,22.859595602527857,7.0,14.0,21.0,35.0,120.0
30,33.0,37.78787878787879,33.323938069874764,7.0,14.0,35.0,42.0,140.0
31,26.0,36.92307692307692,40.05288811251751,7.0,7.0,14.0,56.0,126.0
32,30.0,40.166666666666664,54.48763436643745,7.0,7.0,14.0,52.5,238.0
33,10.0,30.9,38.62483369255818,7.0,7.0,10.5,50.75,120.0
34,43.0,40.72093023255814,40.00436022747148,7.0,7.0,28.0,63.0,154.0
35,23.0,25.0,48.117280963004625,7.0,7.0,7.0,17.5,217.0
36,28.0,23.535714285714285,29.313733531315552,7.0,7.0,14.0,28.0,148.0
37,36.0,41.638888888888886,38.12472222121028,7.0,14.0,28.0,57.75,148.0
38,42.0,42.19047619047619,42.38628292567675,7.0,8.75,21.0,61.25,154.0
39,48.0,36.625,36.50393450085282,7.0,12.25,21.0,50.75,175.0
40,30.0,35.266666666666666,34.562221086567654,7.0,7.0,24.5,47.25,134.0
41,47.0,32.340425531914896,34.85328042432628,7.0,7.0,21.0,42.0,162.0
42,29.0,25.379310344827587,31.443161637995367,7.0,7.0,14.0,28.0,127.0
43,52.0,36.09615384615385,43.781211663463196,7.0,7.0,24.5,35.0,238.0
44,32.0,39.84375,50.47970488066179,7.0,7.0,17.5,43.75,203.0
45,44.0,28.977272727272727,30.41915601811008,7.0,7.0,14.0,38.5,148.0
46,25.0,17.68,26.45077188539747,7.0,7.0,7.0,14.0,127.0
47,43.0,21.186046511627907,23.604131815419308,7.0,7.0,14.0,28.0,134.0
48,18.0,26.11111111111111,33.86980068870808,7.0,7.0,14.0,26.25,134.0
49,49.0,22.020408163265305,22.60483889561256,7.0,7.0,14.0,28.0,134.0
50,51.0,27.19607843137255,21.91165863903793,7.0,14.0,21.0,35.0,141.0
51,40.0,30.65,30.84581175077263,7.0,7.0,21.0,42.0,127.0
52,31.0,33.903225806451616,35.57466780234654,7.0,7.0,14.0,45.5,148.0
53,40.0,38.175,34.28903353133215,7.0,12.25,24.5,56.0,140.0
54,51.0,29.80392156862745,33.477765521517796,7.0,7.0,21.0,35.0,196.0
55,51.0,39.13725490196079,45.739269608441774,7.0,7.0,21.0,52.5,238.0
56,34.0,22.264705882352942,27.735011047224432,7.0,7.0,7.0,28.0,148.0
57,48.0,34.4375,38.75394626439777,7.0,14.0,21.0,42.0,224.0
58,26.0,41.76923076923077,46.915505063727224,7.0,8.75,24.5,54.25,210.0
59,46.0,42.78260869565217,49.09850101512639,7.0,7.0,21.0,61.25,196.0
60,39.0,27.128205128205128,31.65868924305607,7.0,7.0,14.0,35.0,148.0
61,19.0,28.42105263157895,34.17165132658889,7.0,7.0,14.0,28.0,127.0
62,46.0,42.47826086956522,54.1063722393972,7.0,14.0,28.0,47.25,329.0
63,54.0,32.2962962962963,32.17207838379724,7.0,8.75,21.0,35.0,148.0
64,43.0,28.023255813953487,30.892662383603113,7.0,7.0,14.0,35.0,127.0
65,39.0,27.128205128205128,26.41189872125967,7.0,14.0,21.0,35.0,141.0
66,38.0,41.8421052631579,34.3507553839516,7.0,14.0,35.0,54.25,141.0
67,30.0,46.233333333333334,65.39570972605706,7.0,7.0,21.0,45.5,287.0
68,36.0,33.861111111111114,44.898713171364335,7.0,7.0,14.0,31.5,196.0
69,12.0,25.75,35.616964803562105,7.0,7.0,14.0,17.5,127.0
70,38.0,40.73684210526316,38.8515429520911,7.0,14.0,28.0,56.0,161.0
71,29.0,31.413793103448278,50.08458362851168,7.0,7.0,14.0,21.0,224.0
72,28.0,26.535714285714285,34.29877672244427,7.0,7.0,14.0,22.75,162.0
73,38.0,41.10526315789474,43.623567566467706,7.0,14.0,24.5,54.25,196.0
74,35.0,25.82857142857143,32.59870595977854,7.0,7.0,21.0,21.0,169.0
75,48.0,47.416666666666664,40.626389774373145,7.0,21.0,38.5,56.0,189.0
76,27.0,31.40740740740741,40.07901739473705,7.0,7.0,14.0,38.5,169.0
77,45.0,37.355555555555554,36.00704195997042,7.0,14.0,28.0,49.0,190.0
78,31.0,29.161290322580644,30.3788268088083,7.0,7.0,21.0,38.5,148.0
79,53.0,40.83018867924528,46.924135109056046,7.0,7.0,21.0,56.0,189.0
80,40.0,33.8,44.04205449456875,7.0,7.0,14.0,43.75,183.0
81,32.0,44.65625,59.24068424110949,7.0,7.0,21.0,40.25,259.0
82,24.0,25.416666666666668,27.717388462631284,7.0,14.0,14.0,28.0,148.0
83,40.0,18.575,25.428519724604804,7.0,7.0,14.0,14.0,155.0
84,19.0,22.526315789473685,39.37055925018738,7.0,7.0,7.0,17.5,176.0
85,41.0,22.902439024390244,29.07903443896374,7.0,7.0,14.0,28.0,176.0
