id,count,mean,std,min,25%,50%,75%,max
0,22.0,33.77272727272727,36.23722345374109,7.0,7.0,14.0,54.25,120.0
1,48.0,42.166666666666664,38.47814153368799,7.0,14.0,28.0,49.0,175.0
2,42.0,28.69047619047619,32.195658012993974,7.0,7.0,14.0,40.25,120.0
3,35.0,32.22857142857143,31.304092679510692,7.0,7.0,21.0,52.5,120.0
4,37.0,42.78378378378378,42.39833273394862,7.0,14.0,28.0,56.0,182.0
5,48.0,36.333333333333336,34.15131120085419,7.0,14.0,21.0,49.0,196.0
6,44.0,19.75,24.77444763892736,7.0,7.0,7.0,21.0,120.0
7,36.0,39.5,46.75681768469706,7.0,14.0,21.0,42.0,224.0
8,38.0,32.63157894736842,37.71545030931143,7.0,7.0,14.0,33.25,147.0
9,56.0,30.392857142857142,36.265023756395756,7.0,7.0,14.0,35.0,154.0
10,11.0,17.90909090909091,33.92478311044757,7.0,7.0,7.0,7.0,120.0
11,41.0,24.097560975609756,29.28293434583425,7.0,7.0,7.0,28.0,120.0
12,16.0,48.1875,90.41771120748412,7.0,7.0,10.5,35.0,364.0
13,38.0,21.210526315789473,24.33011468934304,7.0,7.0,14.0,21.0,120.0
14,44.0,31.045454545454547,24.861434172044646,7.0,14.0,21.0,36.75,120.0
15,41.0,24.097560975609756,32.001410029910225,7.0,7.0,14.0,28.0,175.0
16,31.0,37.064516129032256,37.47348883666155,7.0,7.0,21.0,56.0,168.0
17,36.0,42.80555555555556,43.80594835306172,7.0,7.0,28.0,64.75,154.0
18,47.0,26.382978723404257,24.077369124923063,7.0,7.0,21.0,35.0,120.0
19,52.0,30.173076923076923,29.023128811917964,7.0,7.0,21.0,42.0,120.0
20,40.0,18.05,27.270675524998342,7.0,7.0,7.0,14.0,133.0
21,38.0,42.39473684210526,39.514991663229445,7.0,21.0,31.5,56.0,182.0
22,27.0,41.25925925925926,47.711144152632485,7.0,7.0,21.0,49.0,189.0
23,48.0,48.875,57.414367317493664,7.0,14.0,28.0,59.5,287.0
24,31.0,40.225806451612904,40.154459841483245,7.0,7.0,21.0,56.0,126.0
25,17.0,37.94117647058823,36.93485919195323,7.0,14.0,21.0,70.0,120.0
26,48.0,42.458333333333336,47.34390177690251,7.0,14.0,24.5,57.75,259.0
27,51.0,38.72549019607843,42.786015673989816,7.0,7.0,28.0,42.0,196.0
28,40.0,30.825,32.1605647194965,7.0,7.0,14.0,43.75,126.0
29,46.0,23.76086956521739,22.834851319476744,7.0,7.0,14.0,28.0,120.0
30,37.0,41.08108108108108,47.78387592900767,7.0,14.0,21.0,56.0,203.0
31,25.0,27.48,32.88251815174744,7.0,7.0,7.0,42.0,120.0
32,26.0,38.26923076923077,44.178327439872774,7.0,7.0,21.0,40.25,154.0
33,14.0,34.57142857142857,33.536924049848025,7.0,14.0,17.5,47.25,120.0
34,42.0,38.523809523809526,38.678939940097415,7.0,14.0,28.0,49.0,161.0
35,26.0,21.03846153846154,22.575173566076106,7.0,7.0,14.0,21.0,120.0
36,26.0,36.38461538461539,48.71063696818339,7.0,7.0,10.5,47.25,161.0
37,38.0,42.026315789473685,43.46137573356759,7.0,8.75,28.0,47.25,154.0
38,48.0,35.895833333333336,39.41445872693913,7.0,7.0,21.0,49.0,155.0
39,50.0,36.7,36.09412298817793,7.0,8.75,21.0,42.0,147.0
40,27.0,39.44444444444444,39.5535988184031,7.0,10.5,21.0,49.0,134.0
41,44.0,35.5,31.809388697400735,7.0,14.0,28.0,43.75,162.0
42,23.0,27.130434782608695,26.724698055656457,7.0,10.5,21.0,35.0,127.0
43,53.0,35.943396226415096,44.67808578914604,7.0,7.0,21.0,42.0,231.0
44,47.0,34.42553191489362,40.38550357699452,7.0,7.0,21.0,49.0,175.0
45,38.0,34.8421052631579,33.621523283166574,7.0,14.0,24.5,47.25,148.0
46,31.0,13.806451612903226,21.445153850133927,7.0,7.0,7.0,14.0,127.0
47,41.0,29.902439024390244,39.04151948762291,7.0,7.0,14.0,28.0,161.0
48,21.0,25.714285714285715,35.592334648267816,7.0,7.0,7.0,28.0,134.0
49,31.0,26.677419354838708,26.905249917409794,7.0,7.0,21.0,35.0,134.0
50,42.0,35.357142857142854,40.437136655627874,7.0,8.75,24.5,35.0,196.0
51,45.0,21.022222222222222,27.280936474936027,7.0,7.0,7.0,21.0,127.0
52,38.0,31.710526315789473,36.648740175785875,7.0,7.0,21.0,40.25,175.0
53,36.0,46.111111111111114,38.92614088815438,7.0,19.25,35.0,64.75,147.0
54,48.0,24.958333333333332,23.372067647071592,7.0,7.0,17.5,35.0,127.0
55,52.0,40.40384615384615,41.11688723978984,7.0,7.0,28.0,50.75,175.0
56,43.0,23.13953488372093,28.086245909738906,7.0,7.0,14.0,24.5,148.0
57,41.0,41.0,34.39549389091542,7.0,14.0,35.0,56.0,155.0
58,26.0,37.19230769230769,37.35025486474675,7.0,14.0,28.0,42.0,141.0
59,44.0,47.43181818181818,54.29480155306862,7.0,14.0,28.0,56.0,252.0
60,36.0,36.97222222222222,37.26161265669775,7.0,7.0,17.5,50.75,148.0
61,23.0,38.08695652173913,53.54514921029326,7.0,7.0,14.0,28.0,217.0
