id,count,mean,std,min,25%,50%,75%,max
0,25.0,32.52,34.509805369875195,7.0,7.0,21.0,49.0,133.0
1,52.0,39.59615384615385,31.197825222962802,7.0,14.0,28.0,57.75,147.0
2,33.0,40.121212121212125,43.955771503692766,7.0,7.0,14.0,70.0,175.0
3,40.0,36.075,37.68791379413095,7.0,12.25,21.0,38.5,147.0
4,41.0,43.390243902439025,53.648801500490436,7.0,7.0,21.0,42.0,210.0
5,33.0,32.696969696969695,36.93447309804627,7.0,7.0,21.0,35.0,147.0
6,42.0,18.69047619047619,25.01169296816123,7.0,7.0,7.0,21.0,120.0
7,37.0,39.37837837837838,37.731766274403135,7.0,14.0,28.0,42.0,161.0
8,50.0,34.88,43.317828728068605,7.0,7.0,17.5,42.0,231.0
9,45.0,35.17777777777778,37.93792111576304,7.0,7.0,21.0,49.0,161.0
10,13.0,23.76923076923077,32.769787523860664,7.0,7.0,7.0,14.0,120.0
11,44.0,20.068181818181817,24.742767538303905,7.0,7.0,7.0,21.0,120.0
12,40.0,28.2,29.79777998958466,7.0,7.0,21.0,35.0,126.0
13,31.0,22.161290322580644,28.63924670121236,7.0,7.0,7.0,21.0,120.0
14,38.0,25.63157894736842,26.652337306998636,7.0,7.0,14.0,28.0,120.0
15,43.0,22.651162790697676,29.494054058508155,7.0,7.0,14.0,21.0,140.0
16,28.0,39.035714285714285,43.57240219226194,7.0,7.0,14.0,63.0,161.0
17,45.0,54.93333333333333,71.81048290149185,7.0,14.0,42.0,63.0,476.0
18,43.0,28.837209302325583,28.579821580100663,7.0,7.0,21.0,38.5,126.0
19,41.0,31.951219512195124,33.38184478089265,7.0,14.0,21.0,35.0,168.0
20,27.0,37.111111111111114,77.88815123344567,7.0,7.0,14.0,31.5,406.0
21,32.0,41.8125,47.010251112682006,7.0,14.0,21.0,52.5,217.0
22,25.0,38.68,51.469829350147776,7.0,7.0,21.0,42.0,210.0
23,41.0,47.48780487804878,43.008209653053164,7.0,21.0,28.0,63.0,168.0
24,47.0,38.297872340425535,29.100959862861405,7.0,14.0,28.0,56.0,120.0
25,19.0,17.736842105263158,26.237890551353313,7.0,7.0,7.0,14.0,120.0
26,47.0,46.48936170212766,57.48151776324566,7.0,14.0,28.0,59.5,350.0
27,32.0,33.28125,31.744173328700505,7.0,7.0,17.5,49.0,120.0
