id,count,mean,std,min,25%,50%,75%,max
0,40.0,7.55,22.359475705976514,0.0,0.0,0.0,1.75,134.0
1,52.0,9.576923076923077,20.54678654694528,0.0,0.0,7.0,7.0,141.0
2,50.0,14.3,23.93891034636766,0.0,0.0,7.0,14.0,141.0
3,51.0,14.294117647058824,23.093976805779516,0.0,0.0,7.0,14.0,120.0
4,45.0,17.755555555555556,23.729685623665134,0.0,0.0,14.0,21.0,127.0
5,52.0,11.73076923076923,23.869017891043534,0.0,0.0,7.0,8.75,148.0
6,44.0,4.954545454545454,18.23611870355035,0.0,0.0,0.0,7.0,120.0
7,59.0,14.254237288135593,23.412046133339565,0.0,0.0,7.0,21.0,134.0
8,52.0,8.5,23.54345169356139,0.0,0.0,0.0,7.0,162.0
9,63.0,18.571428571428573,37.52062412891131,0.0,0.0,7.0,14.0,168.0
10,32.0,3.96875,21.209377680943476,0.0,0.0,0.0,0.0,120.0
11,46.0,15.543478260869565,30.74967499140917,0.0,0.0,0.0,14.0,140.0
12,40.0,30.65,45.741497738755946,0.0,0.0,14.0,29.75,224.0
13,68.0,12.264705882352942,23.566747156830846,0.0,0.0,7.0,14.0,127.0
14,53.0,11.50943396226415,20.710107752857738,0.0,0.0,7.0,14.0,134.0
15,44.0,6.863636363636363,20.410429286975983,0.0,0.0,0.0,7.0,120.0
16,51.0,12.784313725490197,22.10548685325903,0.0,0.0,7.0,14.0,141.0
17,50.0,17.94,39.58221101165811,0.0,0.0,7.0,14.0,252.0
18,60.0,13.2,20.38843141571269,0.0,0.0,7.0,15.75,120.0
19,53.0,18.11320754716981,28.662935311437213,0.0,7.0,7.0,14.0,141.0
20,53.0,14.679245283018869,30.65676834849516,0.0,0.0,0.0,14.0,154.0
21,51.0,10.176470588235293,23.057932155640444,0.0,0.0,7.0,14.0,155.0
22,41.0,13.512195121951219,34.849047297752286,0.0,0.0,7.0,7.0,189.0
23,50.0,18.5,44.10944181400233,0.0,0.0,0.0,14.0,259.0
24,50.0,16.54,26.164479738760335,0.0,0.0,7.0,21.0,141.0
25,40.0,9.125,20.2664146829814,0.0,0.0,0.0,7.0,120.0
26,53.0,16.39622641509434,40.473324369097874,0.0,0.0,7.0,14.0,273.0
27,53.0,12.169811320754716,21.565406637141205,0.0,0.0,7.0,14.0,141.0
28,56.0,13.142857142857142,20.210194161658816,0.0,0.0,7.0,21.0,120.0
29,63.0,17.904761904761905,28.838098839910735,0.0,0.0,7.0,17.5,134.0
30,43.0,10.44186046511628,21.159600236548485,0.0,0.0,7.0,14.0,134.0
31,24.0,5.291666666666667,25.923766444455303,0.0,0.0,0.0,0.0,127.0
32,50.0,9.96,21.858506026585754,0.0,0.0,7.0,12.25,148.0
33,31.0,19.225806451612904,44.30929900703264,0.0,0.0,7.0,14.0,224.0
34,52.0,16.576923076923077,22.240526649362998,0.0,0.0,7.0,28.0,134.0
35,21.0,6.0476190476190474,27.71367205997103,0.0,0.0,0.0,0.0,127.0
36,40.0,12.45,26.01769614743997,0.0,0.0,7.0,14.0,155.0
37,52.0,11.596153846153847,24.0361326171985,0.0,0.0,7.0,7.0,148.0
38,50.0,16.54,31.117427363364826,0.0,0.0,7.0,14.0,183.0
39,50.0,16.12,36.90729699434207,0.0,0.0,7.0,14.0,196.0
40,41.0,16.585365853658537,30.93378057218039,0.0,0.0,0.0,14.0,155.0
41,51.0,12.509803921568627,28.176850462051014,0.0,0.0,7.0,14.0,197.0
