id,count,mean,std,min,25%,50%,75%,max
0,24.0,33.875,41.817733392508934,7.0,7.0,14.0,36.75,168.0
1,50.0,39.92,34.11375926849123,7.0,14.0,28.0,54.25,126.0
2,49.0,30.591836734693878,27.280119720646187,7.0,14.0,21.0,35.0,126.0
3,55.0,39.72727272727273,39.26852219038597,7.0,14.0,28.0,42.0,168.0
4,20.0,38.2,41.88530705830412,7.0,7.0,21.0,47.25,133.0
5,55.0,31.963636363636365,30.64731493064135,7.0,14.0,21.0,35.0,126.0
6,19.0,21.42105263157895,30.19623926082644,7.0,7.0,7.0,14.0,120.0
7,55.0,32.09090909090909,41.9454110531475,7.0,7.0,14.0,28.0,217.0
8,41.0,24.4390243902439,29.20192526229033,7.0,7.0,7.0,35.0,120.0
9,36.0,18.305555555555557,22.408951584380542,7.0,7.0,7.0,21.0,120.0
10,14.0,22.071428571428573,31.28642931592961,7.0,7.0,7.0,14.0,120.0
11,18.0,19.88888888888889,26.658822375669867,7.0,7.0,10.5,21.0,120.0
12,28.0,36.535714285714285,58.50576555498274,7.0,7.0,17.5,22.75,280.0
13,49.0,22.591836734693878,21.539613087815415,7.0,7.0,14.0,35.0,120.0
14,40.0,32.575,49.809322317650434,7.0,7.0,21.0,29.75,301.0
15,35.0,39.82857142857143,27.55367565347329,7.0,21.0,35.0,56.0,120.0
16,41.0,33.31707317073171,29.137981248183827,7.0,7.0,21.0,49.0,120.0
17,34.0,28.029411764705884,34.156933094635015,7.0,7.0,14.0,28.0,140.0
18,50.0,28.44,31.024782720546863,7.0,7.0,21.0,35.0,140.0
19,41.0,19.658536585365855,25.588678899170976,7.0,7.0,7.0,14.0,120.0
20,36.0,30.36111111111111,37.44722211919656,7.0,7.0,17.5,35.0,189.0
21,50.0,42.58,39.04894364768399,7.0,14.0,28.0,54.25,196.0
22,27.0,31.40740740740741,38.25044922738642,7.0,7.0,14.0,31.5,161.0
23,46.0,34.56521739130435,28.84799409465109,7.0,14.0,28.0,42.0,120.0
24,38.0,40.18421052631579,35.92624220663241,7.0,14.0,28.0,49.0,161.0
25,19.0,18.105263157894736,26.847087027671087,7.0,7.0,7.0,14.0,120.0
26,38.0,30.05263157894737,31.166464451412164,7.0,8.75,17.5,28.0,120.0
27,35.0,36.628571428571426,35.27795988689698,7.0,7.0,21.0,56.0,120.0
28,45.0,39.84444444444444,38.44060090555034,7.0,14.0,21.0,49.0,168.0
29,48.0,28.458333333333332,27.101824020685896,7.0,12.25,21.0,29.75,120.0
30,27.0,45.407407407407405,39.9713929043291,7.0,14.0,28.0,84.0,120.0
31,12.0,26.333333333333332,34.29639083405751,7.0,7.0,7.0,33.25,120.0
32,51.0,36.80392156862745,39.46239709284936,7.0,14.0,21.0,49.0,189.0
33,10.0,26.0,36.59083066683358,7.0,7.0,7.0,24.5,120.0
34,46.0,31.82608695652174,29.38503349048143,7.0,7.0,21.0,42.0,120.0
