id,count,mean,std,min,25%,50%,75%,max
0,30.0,17.666666666666668,20.464154250674575,7.0,7.0,7.0,26.25,110.0
1,56.0,34.214285714285715,24.047463888745515,7.0,21.0,28.0,42.0,110.0
2,53.0,25.18867924528302,20.812400707800645,7.0,7.0,21.0,35.0,110.0
3,31.0,23.64516129032258,23.780311726435624,7.0,7.0,14.0,31.5,110.0
4,42.0,32.785714285714285,26.65729727969135,7.0,14.0,21.0,47.25,110.0
5,46.0,19.434782608695652,20.93126547526774,7.0,7.0,14.0,19.25,110.0
6,21.0,12.904761904761905,22.496454747147965,7.0,7.0,7.0,7.0,110.0
7,64.0,18.78125,18.121695100992437,7.0,7.0,14.0,28.0,110.0
8,52.0,29.71153846153846,27.67410946790572,7.0,14.0,14.0,49.0,126.0
9,44.0,26.363636363636363,27.44134625239373,7.0,7.0,14.0,29.75,140.0
10,8.0,30.375,40.064011281947295,7.0,7.0,10.5,29.75,110.0
11,29.0,16.82758620689655,20.121184581567682,7.0,7.0,7.0,21.0,110.0
12,18.0,14.666666666666666,24.124676163629633,7.0,7.0,7.0,12.25,110.0
13,45.0,23.755555555555556,21.515486553089183,7.0,7.0,14.0,35.0,110.0
14,47.0,29.0,23.291162720430368,7.0,14.0,21.0,35.0,110.0
15,20.0,15.65,22.822599602840576,7.0,7.0,7.0,14.0,110.0
16,28.0,29.678571428571427,34.72970078192608,7.0,7.0,17.5,42.0,161.0
17,53.0,32.18867924528302,23.423407592023427,7.0,14.0,28.0,42.0,112.0
18,43.0,35.76744186046512,29.467364683584258,7.0,14.0,28.0,42.0,154.0
19,36.0,29.88888888888889,28.510426942514286,7.0,12.25,21.0,35.0,133.0
20,34.0,13.941176470588236,18.563472076733706,7.0,7.0,7.0,14.0,110.0
21,50.0,27.26,23.10120590544386,7.0,7.0,21.0,40.25,110.0
22,24.0,29.958333333333332,29.567136819620277,7.0,7.0,24.5,29.75,110.0
23,56.0,31.214285714285715,26.38506070812475,7.0,14.0,21.0,36.75,112.0
24,41.0,24.195121951219512,26.170803877790156,7.0,7.0,14.0,28.0,112.0
25,16.0,20.875,25.345282269750584,7.0,7.0,14.0,15.75,110.0
26,53.0,26.11320754716981,25.671490006019763,7.0,7.0,21.0,35.0,133.0
27,55.0,24.4,21.861178172987636,7.0,7.0,21.0,35.0,110.0
28,38.0,21.68421052631579,22.323306525350382,7.0,7.0,14.0,28.0,110.0
29,45.0,20.177777777777777,20.545170731927257,7.0,7.0,14.0,21.0,110.0
30,39.0,31.358974358974358,30.916259714102733,7.0,7.0,21.0,45.5,119.0
31,28.0,20.928571428571427,34.625968173578514,7.0,7.0,7.0,15.75,161.0
32,33.0,19.666666666666668,25.52408992827495,7.0,7.0,7.0,14.0,110.0
33,11.0,20.181818181818183,31.577897909196498,7.0,7.0,7.0,10.5,110.0
34,52.0,29.03846153846154,24.486860452937385,7.0,14.0,21.0,36.75,110.0
35,27.0,18.59259259259259,22.24039854938143,7.0,7.0,7.0,21.0,110.0
36,24.0,19.75,25.48017131878792,7.0,7.0,14.0,21.0,124.0
37,42.0,33.285714285714285,26.298739387654894,7.0,14.0,28.0,47.25,117.0
38,37.0,39.2972972972973,29.123172202889563,7.0,21.0,35.0,49.0,131.0
39,51.0,27.686274509803923,22.62961793409551,7.0,7.0,21.0,35.0,117.0
40,30.0,22.333333333333332,34.23985712721292,7.0,7.0,7.0,14.0,147.0
41,52.0,23.51923076923077,21.309567385138998,7.0,14.0,14.0,29.75,138.0
42,37.0,15.837837837837839,19.694208840719188,7.0,7.0,7.0,14.0,117.0
43,61.0,18.098360655737704,19.55053700714534,7.0,7.0,7.0,21.0,124.0
44,36.0,30.27777777777778,37.08878237119383,7.0,7.0,14.0,36.75,145.0
45,35.0,20.542857142857144,23.89602829064334,7.0,7.0,14.0,28.0,138.0
46,24.0,17.708333333333332,25.85491151165214,7.0,7.0,7.0,15.75,117.0
47,44.0,17.295454545454547,21.14026197881118,7.0,7.0,7.0,21.0,124.0
48,26.0,17.96153846153846,25.92987584888253,7.0,7.0,7.0,14.0,131.0
49,39.0,20.58974358974359,21.085936880846674,7.0,7.0,14.0,24.5,131.0
50,52.0,28.23076923076923,24.32832238328235,7.0,12.25,21.0,35.0,124.0
51,36.0,18.22222222222222,21.047037268408534,7.0,7.0,14.0,15.75,117.0
52,31.0,26.580645161290324,38.07691706143272,7.0,7.0,7.0,31.5,168.0
