id,count,mean,std,min,25%,50%,75%,max
0,39.0,10.512820512820513,25.552702807779962,0.0,0.0,0.0,14.0,151.0
1,49.0,11.081632653061224,22.075473508222757,0.0,0.0,7.0,14.0,144.0
2,47.0,11.106382978723405,22.348265220635756,0.0,0.0,7.0,14.0,144.0
3,49.0,10.938775510204081,19.705549306461563,0.0,0.0,7.0,14.0,137.0
4,42.0,25.928571428571427,27.150342815194403,0.0,7.0,17.5,35.0,137.0
5,49.0,8.653061224489797,21.984417796483495,0.0,0.0,7.0,7.0,151.0
6,35.0,4.314285714285714,21.959550285456572,0.0,0.0,0.0,0.0,130.0
7,53.0,16.18867924528302,31.058912138419476,0.0,0.0,7.0,14.0,154.0
8,49.0,19.79591836734694,28.01337447827134,0.0,0.0,14.0,21.0,165.0
9,55.0,18.527272727272727,33.233659056385804,0.0,0.0,7.0,17.5,158.0
10,29.0,7.620689655172414,24.159313189598407,0.0,0.0,0.0,7.0,130.0
11,48.0,12.916666666666666,24.43300291011471,0.0,0.0,3.5,15.75,137.0
12,40.0,25.475,29.102812887223084,0.0,7.0,14.0,36.75,130.0
13,57.0,10.508771929824562,26.40084062989117,0.0,0.0,0.0,14.0,147.0
14,50.0,13.66,22.13097376980959,0.0,0.0,7.0,21.0,144.0
15,36.0,4.388888888888889,21.71277145931501,0.0,0.0,0.0,0.0,130.0
16,49.0,18.510204081632654,33.37234536819595,0.0,0.0,7.0,21.0,165.0
17,48.0,10.291666666666666,21.71474480264439,0.0,0.0,0.0,14.0,137.0
18,50.0,7.64,19.061404535268196,0.0,0.0,0.0,12.25,130.0
19,48.0,13.791666666666666,24.24867474626922,0.0,0.0,7.0,14.0,151.0
20,49.0,20.510204081632654,32.26073622905739,0.0,0.0,7.0,21.0,144.0
21,48.0,15.541666666666666,25.703678297360174,0.0,0.0,7.0,21.0,151.0
22,36.0,4.583333333333333,22.808989455914087,0.0,0.0,0.0,0.0,137.0
23,45.0,20.155555555555555,44.97016968631719,0.0,0.0,7.0,14.0,273.0
24,44.0,22.204545454545453,32.1215565853058,0.0,0.0,7.0,29.75,144.0
25,45.0,16.266666666666666,32.72919186292262,0.0,0.0,7.0,14.0,154.0
26,47.0,15.27659574468085,22.064827537192954,0.0,0.0,7.0,21.0,130.0
27,51.0,18.19607843137255,28.890842568428592,0.0,0.0,7.0,21.0,151.0
28,48.0,12.479166666666666,25.416521334313018,0.0,0.0,7.0,14.0,144.0
29,53.0,17.77358490566038,37.974506382285334,0.0,0.0,7.0,14.0,203.0
30,41.0,14.439024390243903,27.651445514193114,0.0,0.0,7.0,21.0,165.0
31,31.0,14.806451612903226,28.32480580085085,0.0,0.0,7.0,14.0,130.0
32,48.0,12.479166666666666,25.562596997336303,0.0,0.0,0.0,14.0,151.0
33,28.0,9.142857142857142,26.681543469311553,0.0,0.0,0.0,7.0,137.0
34,53.0,13.943396226415095,26.552136734487274,0.0,0.0,7.0,21.0,158.0
35,30.0,5.966666666666667,23.68832585070535,0.0,0.0,0.0,0.0,130.0
36,37.0,18.45945945945946,31.890084312799765,0.0,0.0,7.0,21.0,158.0
37,49.0,13.795918367346939,29.947857179769375,0.0,0.0,0.0,14.0,179.0
38,46.0,18.347826086956523,33.88688201866409,0.0,0.0,7.0,21.0,165.0
39,49.0,13.653061224489797,25.845334056982256,0.0,7.0,7.0,14.0,172.0
40,38.0,21.842105263157894,36.692680112339275,0.0,0.0,7.0,14.0,165.0
41,49.0,12.224489795918368,27.80981938851399,0.0,0.0,7.0,14.0,186.0
42,35.0,10.314285714285715,26.910277315740988,0.0,0.0,7.0,7.0,158.0
43,52.0,17.442307692307693,34.55851159963201,0.0,0.0,7.0,15.75,182.0
44,47.0,10.51063829787234,28.0774335663122,0.0,0.0,7.0,7.0,186.0
45,55.0,11.272727272727273,25.50922458093422,0.0,0.0,0.0,14.0,172.0
46,29.0,8.827586206896552,27.818376461711733,0.0,0.0,0.0,7.0,151.0
47,47.0,17.80851063829787,35.812093110442056,0.0,0.0,0.0,17.5,161.0
48,37.0,10.702702702702704,27.313880135345986,0.0,0.0,0.0,14.0,165.0
49,56.0,15.696428571428571,30.986753558640114,0.0,0.0,7.0,14.0,200.0
50,49.0,15.36734693877551,24.38125464842391,0.0,0.0,7.0,21.0,158.0
51,36.0,11.0,29.59053902854762,0.0,0.0,0.0,7.0,151.0
52,46.0,13.173913043478262,26.291785238254416,0.0,0.0,7.0,14.0,172.0
53,46.0,25.652173913043477,48.056086395102206,0.0,0.0,10.5,21.0,217.0
54,50.0,13.94,28.287453049010967,0.0,0.0,7.0,14.0,158.0
55,48.0,17.0,28.580606428656953,0.0,0.0,7.0,21.0,165.0
56,49.0,15.938775510204081,31.543890165969078,0.0,0.0,7.0,14.0,172.0
57,48.0,11.895833333333334,25.810470894608226,0.0,0.0,7.0,14.0,165.0
58,36.0,11.0,29.19589012172775,0.0,0.0,3.5,7.0,172.0
59,45.0,22.644444444444446,40.795028415657995,0.0,0.0,7.0,21.0,200.0
60,43.0,16.697674418604652,31.165101730805773,0.0,0.0,7.0,21.0,193.0
61,41.0,12.048780487804878,27.065615843272617,0.0,0.0,0.0,14.0,158.0
62,47.0,18.106382978723403,43.470746806756104,0.0,0.0,7.0,14.0,259.0
63,50.0,25.56,34.121128770476346,0.0,7.0,7.0,35.0,179.0
64,46.0,18.804347826086957,35.05907368061791,0.0,0.0,7.0,21.0,172.0
65,52.0,13.26923076923077,27.995878817590825,0.0,0.0,7.0,14.0,165.0
66,41.0,10.682926829268293,31.593859391019517,0.0,0.0,0.0,7.0,200.0
67,30.0,9.933333333333334,26.087298182003856,0.0,0.0,3.5,12.25,144.0
68,47.0,11.851063829787234,33.3668533280796,0.0,0.0,0.0,7.0,179.0
69,28.0,9.392857142857142,29.70015498863948,0.0,0.0,0.0,7.0,158.0
70,48.0,21.666666666666668,33.972663186327196,0.0,0.0,10.5,22.75,179.0
71,30.0,15.3,29.124169368057697,0.0,0.0,7.0,19.25,151.0
72,37.0,13.91891891891892,33.406069290855896,0.0,0.0,0.0,21.0,193.0
73,49.0,12.938775510204081,36.986150653130345,0.0,0.0,7.0,14.0,256.0
74,43.0,22.558139534883722,46.83725741512352,0.0,0.0,7.0,21.0,277.0
75,49.0,17.79591836734694,28.779318088861384,0.0,7.0,7.0,21.0,186.0
76,38.0,22.210526315789473,68.55030029099636,0.0,0.0,7.0,19.25,424.0
77,49.0,7.938775510204081,30.622301352707872,0.0,0.0,0.0,7.0,214.0
78,35.0,13.114285714285714,30.225399747827435,0.0,0.0,7.0,14.0,172.0
79,52.0,21.48076923076923,41.31395357722371,0.0,0.0,7.0,21.0,196.0
80,47.0,15.872340425531915,32.62075694299207,0.0,0.0,7.0,14.0,214.0
81,53.0,13.943396226415095,33.26317847244886,0.0,0.0,0.0,14.0,207.0
82,29.0,18.482758620689655,34.260160838642534,0.0,7.0,7.0,14.0,179.0
83,47.0,20.04255319148936,36.34194931887972,0.0,0.0,7.0,21.0,193.0
84,37.0,22.054054054054053,47.88292780078067,0.0,0.0,7.0,21.0,238.0
85,55.0,16.236363636363638,36.194415180186155,0.0,0.0,7.0,21.0,263.0
86,49.0,25.79591836734694,48.02645954394859,0.0,7.0,7.0,21.0,259.0
87,36.0,24.22222222222222,78.35928648078527,0.0,0.0,7.0,15.75,473.0
88,46.0,12.717391304347826,31.36074194380134,0.0,0.0,0.0,12.25,186.0
89,45.0,17.2,43.62474277079673,0.0,0.0,7.0,14.0,263.0
90,50.0,10.86,26.733766770028605,0.0,0.0,7.0,7.0,186.0
91,48.0,15.6875,26.95319524736452,0.0,0.0,10.5,21.0,179.0
92,49.0,14.36734693877551,35.81822969147544,0.0,0.0,7.0,14.0,242.0
93,48.0,19.333333333333332,38.917443080019076,0.0,0.0,7.0,21.0,203.0
94,34.0,21.941176470588236,34.97873048657945,0.0,7.0,14.0,21.0,186.0
95,44.0,17.59090909090909,35.67314029755745,0.0,0.0,7.0,14.0,214.0
96,43.0,16.697674418604652,31.705891658987813,0.0,0.0,7.0,21.0,200.0
97,41.0,15.463414634146341,45.954922239611946,0.0,0.0,0.0,7.0,284.0
98,47.0,18.25531914893617,32.25473883963907,0.0,0.0,7.0,21.0,200.0
99,47.0,18.851063829787233,31.46079597890479,0.0,0.0,7.0,28.0,186.0
100,46.0,13.630434782608695,34.029633292602284,0.0,0.0,7.0,21.0,228.0
101,52.0,12.596153846153847,36.07685674723037,0.0,0.0,3.5,7.0,235.0
102,41.0,18.195121951219512,33.74553267633741,0.0,0.0,14.0,21.0,214.0
103,29.0,19.448275862068964,42.27679725578673,0.0,0.0,7.0,14.0,193.0
104,46.0,14.08695652173913,34.84685612279122,0.0,0.0,7.0,14.0,207.0
105,28.0,10.642857142857142,32.639687595766084,0.0,0.0,0.0,7.0,172.0
106,47.0,26.74468085106383,40.14889033341551,0.0,7.0,14.0,35.0,200.0
107,27.0,20.62962962962963,45.60123829977575,0.0,0.0,7.0,17.5,228.0
108,36.0,19.75,71.02569957416821,0.0,0.0,0.0,7.0,424.0
109,49.0,18.93877551020408,42.19666661561536,0.0,0.0,7.0,21.0,277.0
110,42.0,27.595238095238095,98.55617675605723,0.0,0.0,3.5,14.0,634.0
111,48.0,17.145833333333332,32.324149185514166,0.0,0.0,7.0,21.0,193.0
112,36.0,30.25,94.11190147903717,0.0,0.0,7.0,22.75,564.0
113,48.0,12.479166666666666,37.403486914101116,0.0,0.0,7.0,7.0,256.0
114,34.0,25.852941176470587,43.52020245116484,0.0,0.0,10.5,21.0,200.0
115,48.0,20.791666666666668,38.88059097557455,0.0,0.0,7.0,21.0,207.0
116,46.0,19.26086956521739,40.64558731419614,0.0,0.0,7.0,26.25,256.0
117,53.0,18.566037735849058,39.84610271163594,0.0,0.0,7.0,14.0,221.0
118,29.0,25.482758620689655,49.55056630039313,0.0,0.0,7.0,14.0,200.0
119,45.0,24.2,49.13043863024225,0.0,0.0,7.0,21.0,249.0
120,36.0,19.166666666666668,44.74594953736036,0.0,0.0,3.5,14.0,196.0
121,55.0,15.472727272727273,40.22522450986056,0.0,0.0,7.0,10.5,277.0
122,48.0,15.395833333333334,33.763091760800386,0.0,0.0,7.0,14.0,214.0
123,35.0,29.514285714285716,89.80874169051481,0.0,0.0,7.0,14.0,515.0
124,46.0,15.152173913043478,49.94261924840651,0.0,0.0,3.5,7.0,287.0
125,45.0,18.755555555555556,49.186174866315824,0.0,0.0,7.0,14.0,305.0
126,49.0,21.510204081632654,39.75871102086707,0.0,0.0,7.0,21.0,193.0
127,48.0,21.8125,43.16256073191407,0.0,0.0,7.0,21.0,235.0
128,48.0,14.520833333333334,49.07960948679081,0.0,0.0,3.5,14.0,333.0
129,47.0,20.19148936170213,44.03044317281453,0.0,0.0,7.0,14.0,235.0
