id,count,mean,std,min,25%,50%,75%,max
0,26.0,44.84615384615385,54.50555370432801,7.0,7.0,21.0,61.25,231.0
1,50.0,42.36,35.57960892742599,7.0,14.0,28.0,56.0,133.0
2,41.0,32.02439024390244,38.016106984328395,7.0,7.0,14.0,42.0,175.0
3,34.0,34.705882352941174,42.89418227965519,7.0,7.0,17.5,42.0,203.0
4,31.0,41.67741935483871,55.35424530348399,7.0,7.0,14.0,45.5,217.0
5,50.0,39.28,28.679111363001272,7.0,21.0,28.0,56.0,130.0
6,26.0,37.57692307692308,33.677497623099114,7.0,7.0,31.5,56.0,130.0
7,35.0,42.714285714285715,49.62362543870281,7.0,14.0,35.0,49.0,252.0
8,38.0,35.28947368421053,50.11063861515046,7.0,7.0,7.0,47.25,259.0
9,42.0,19.928571428571427,24.087637611735314,7.0,7.0,14.0,21.0,130.0
10,11.0,20.727272727272727,37.20239483982425,7.0,7.0,7.0,7.0,130.0
11,11.0,21.363636363636363,36.335307146830964,7.0,7.0,7.0,14.0,130.0
12,17.0,55.8235294117647,80.3618654074475,7.0,7.0,14.0,63.0,273.0
13,36.0,19.944444444444443,22.219610957690303,7.0,7.0,14.0,21.0,130.0
14,45.0,44.888888888888886,46.91443963711649,7.0,14.0,28.0,42.0,217.0
15,21.0,33.857142857142854,31.014973342380472,7.0,7.0,28.0,49.0,130.0
16,46.0,45.28260869565217,39.39016405341045,7.0,14.0,31.5,70.0,161.0
17,31.0,66.74193548387096,103.7776365575087,7.0,7.0,28.0,52.5,476.0
18,46.0,33.71739130434783,30.860735962620684,7.0,14.0,24.5,42.0,147.0
19,32.0,33.375,50.905827031946465,7.0,7.0,14.0,35.0,266.0
20,34.0,44.588235294117645,54.32289413400646,7.0,7.0,21.0,71.75,231.0
21,32.0,61.375,74.00512188028696,7.0,21.0,38.5,71.75,399.0
22,25.0,18.08,25.72437236033823,7.0,7.0,7.0,14.0,130.0
23,33.0,60.36363636363637,89.0346906344018,7.0,7.0,28.0,63.0,364.0
24,36.0,39.0,44.38918787272414,7.0,7.0,21.0,49.0,196.0
25,26.0,31.384615384615383,45.110599129762775,7.0,7.0,7.0,40.25,189.0
26,32.0,63.125,71.19339857037308,7.0,19.25,35.0,66.5,273.0
27,48.0,38.291666666666664,42.5250656163369,7.0,14.0,21.0,42.0,189.0
28,41.0,35.09756097560975,43.815411031992376,7.0,7.0,14.0,35.0,196.0
29,40.0,30.2,24.56722853617636,7.0,12.25,24.5,42.0,130.0
30,33.0,42.121212121212125,58.59274569846381,7.0,7.0,14.0,42.0,259.0
31,28.0,21.392857142857142,28.33443041760231,7.0,7.0,7.0,22.75,130.0
32,32.0,32.5,38.322064729882314,7.0,7.0,17.5,36.75,161.0
