id,count,mean,std,min,25%,50%,75%,max
0,33.0,11.666666666666666,30.79535949890286,0.0,0.0,0.0,7.0,168.0
1,45.0,14.155555555555555,23.478186738444105,0.0,0.0,7.0,14.0,140.0
2,46.0,13.847826086956522,27.706371021284657,0.0,0.0,7.0,14.0,154.0
3,46.0,14.608695652173912,37.12350454054656,0.0,0.0,0.0,12.25,203.0
4,37.0,15.891891891891891,27.442651094584484,0.0,0.0,7.0,21.0,154.0
5,48.0,10.354166666666666,27.737745680948787,0.0,0.0,0.0,7.0,161.0
6,37.0,3.972972972972973,23.012661353754428,0.0,0.0,0.0,0.0,140.0
7,47.0,16.680851063829788,39.747084324556724,0.0,0.0,7.0,14.0,224.0
8,45.0,12.911111111111111,28.62756318196458,0.0,0.0,7.0,14.0,182.0
9,49.0,18.857142857142858,32.116325028454504,0.0,0.0,7.0,21.0,161.0
10,29.0,8.931034482758621,26.384425918228406,0.0,0.0,0.0,7.0,140.0
11,43.0,9.930232558139535,23.428102121005196,0.0,0.0,0.0,10.5,147.0
12,40.0,23.625,41.75059495967907,0.0,0.0,7.0,22.75,203.0
13,55.0,10.436363636363636,24.615384858197356,0.0,0.0,7.0,7.0,161.0
14,46.0,9.282608695652174,23.382484464020177,0.0,0.0,0.0,14.0,154.0
15,36.0,6.027777777777778,24.141826314050434,0.0,0.0,0.0,0.0,140.0
16,44.0,15.590909090909092,29.345827469199236,0.0,0.0,7.0,15.75,168.0
17,45.0,9.955555555555556,22.85324281301687,0.0,0.0,7.0,14.0,147.0
18,55.0,11.327272727272728,24.0038997953917,0.0,0.0,7.0,14.0,140.0
19,42.0,20.833333333333332,32.92335272221747,0.0,0.0,7.0,19.25,154.0
20,49.0,15.428571428571429,33.993259135697286,0.0,0.0,7.0,14.0,175.0
21,45.0,21.31111111111111,33.46967570681246,0.0,7.0,7.0,21.0,161.0
22,37.0,17.594594594594593,32.18907635575517,0.0,0.0,7.0,21.0,147.0
23,44.0,12.409090909090908,26.74541315320684,0.0,0.0,7.0,8.75,154.0
24,39.0,17.23076923076923,29.691804237304222,0.0,0.0,7.0,21.0,154.0
25,40.0,16.8,28.568585939176316,0.0,0.0,7.0,21.0,140.0
26,47.0,12.361702127659575,23.499699842592715,0.0,0.0,7.0,14.0,140.0
27,44.0,20.84090909090909,39.32331291599448,0.0,0.0,10.5,21.0,210.0
28,42.0,13.333333333333334,28.666855737701315,0.0,0.0,7.0,14.0,147.0
29,55.0,11.2,21.83049175741056,0.0,0.0,7.0,14.0,154.0
30,35.0,17.8,30.19622103353137,0.0,3.5,7.0,21.0,168.0
31,30.0,8.166666666666666,26.132399408599564,0.0,0.0,0.0,5.25,140.0
32,46.0,14.0,30.35127674415032,0.0,0.0,7.0,14.0,182.0
33,28.0,11.25,29.962476533157268,0.0,0.0,0.0,7.0,147.0
34,42.0,17.5,33.41917807808316,0.0,0.0,7.0,19.25,168.0
35,30.0,8.166666666666666,26.002762894756394,0.0,0.0,0.0,7.0,140.0
36,33.0,11.666666666666666,33.73765206214959,0.0,0.0,0.0,7.0,189.0
37,45.0,19.133333333333333,35.39234637344891,0.0,0.0,7.0,21.0,175.0
38,45.0,19.444444444444443,33.4341656744031,0.0,0.0,7.0,21.0,182.0
39,45.0,17.266666666666666,30.056310787949645,0.0,0.0,7.0,21.0,175.0
40,33.0,19.515151515151516,46.391756549602384,0.0,0.0,7.0,14.0,266.0
41,48.0,11.958333333333334,26.150105433523535,0.0,0.0,7.0,14.0,175.0
42,37.0,8.135135135135135,27.63367728189862,0.0,0.0,0.0,7.0,168.0
43,46.0,21.76086956521739,31.658725167432966,0.0,0.0,14.0,26.25,189.0
44,41.0,14.170731707317072,32.1347961243139,0.0,0.0,7.0,14.0,196.0
45,48.0,15.75,30.68265848838548,0.0,0.0,7.0,14.0,175.0
46,29.0,11.586206896551724,29.890893550400587,0.0,0.0,7.0,7.0,154.0
47,43.0,20.186046511627907,47.45687556887505,0.0,0.0,7.0,21.0,266.0
48,40.0,13.3,29.7745373922598,0.0,0.0,3.5,14.0,175.0
49,54.0,16.333333333333332,40.68053171207769,0.0,0.0,7.0,12.25,259.0
50,46.0,15.217391304347826,27.65976865290755,0.0,0.0,7.0,14.0,175.0
51,36.0,15.166666666666666,39.01025506197056,0.0,0.0,0.0,7.0,161.0
52,44.0,13.363636363636363,28.5168990364554,0.0,0.0,7.0,14.0,182.0
53,45.0,20.377777777777776,36.61177709729784,0.0,0.0,7.0,21.0,189.0
54,49.0,18.714285714285715,32.50128202599604,0.0,0.0,7.0,21.0,182.0
55,41.0,18.097560975609756,34.39898608829102,0.0,0.0,7.0,14.0,161.0
56,49.0,11.857142857142858,26.891758340924206,0.0,0.0,7.0,7.0,175.0
57,45.0,17.42222222222222,32.09962396330927,0.0,0.0,7.0,21.0,182.0
58,36.0,17.305555555555557,37.20969109131533,0.0,0.0,7.0,14.0,168.0
59,44.0,9.545454545454545,27.922196343156692,0.0,0.0,0.0,7.0,182.0
60,39.0,20.46153846153846,50.94519560729537,0.0,0.0,0.0,14.0,252.0
61,38.0,27.81578947368421,60.817785122427175,0.0,0.0,7.0,21.0,273.0
62,47.0,17.72340425531915,32.925279126385796,0.0,0.0,7.0,14.0,168.0
63,40.0,31.5,50.22819720905574,0.0,7.0,14.0,28.0,203.0
64,42.0,15.166666666666666,29.895685851311814,0.0,0.0,7.0,14.0,182.0
65,55.0,11.072727272727272,24.53482373602011,0.0,0.0,7.0,14.0,175.0
66,35.0,14.2,33.20329537153522,0.0,0.0,7.0,14.0,189.0
67,30.0,9.333333333333334,28.379610618374848,0.0,0.0,0.0,7.0,154.0
68,46.0,12.173913043478262,31.700195826823172,0.0,0.0,0.0,12.25,203.0
69,28.0,21.75,43.207188187975284,0.0,0.0,7.0,15.75,161.0
70,40.0,26.075,37.14171578268903,0.0,0.0,14.0,28.0,189.0
71,30.0,16.333333333333332,34.5546377278904,0.0,0.0,7.0,14.0,161.0
72,31.0,19.64516129032258,43.76798555039728,0.0,0.0,7.0,17.5,203.0
73,45.0,16.8,39.18522448808758,0.0,0.0,7.0,14.0,210.0
74,43.0,14.488372093023257,39.58016103159286,0.0,0.0,0.0,10.5,245.0
75,44.0,24.34090909090909,35.61286884064959,0.0,7.0,14.0,28.0,210.0
76,33.0,31.818181818181817,94.12805590837893,0.0,0.0,7.0,28.0,532.0
77,47.0,9.53191489361702,28.87744046816822,0.0,0.0,0.0,7.0,196.0
78,37.0,8.702702702702704,30.306641062521138,0.0,0.0,0.0,7.0,182.0
79,43.0,26.046511627906977,58.77153242221794,0.0,0.0,7.0,17.5,266.0
80,40.0,18.2,41.90416416490102,0.0,0.0,14.0,14.0,266.0
81,47.0,20.25531914893617,47.86142500699575,0.0,0.0,7.0,17.5,259.0
82,29.0,18.82758620689655,36.76087687971435,0.0,0.0,7.0,14.0,189.0
83,43.0,22.46511627906977,49.08464449887964,0.0,0.0,7.0,14.0,245.0
84,35.0,22.4,42.02744201534208,0.0,0.0,7.0,24.5,196.0
85,52.0,20.192307692307693,43.674391680798294,0.0,0.0,7.0,21.0,273.0
86,46.0,20.391304347826086,32.860295704944974,0.0,7.0,14.0,21.0,189.0
87,36.0,22.166666666666668,57.83251680499474,0.0,0.0,7.0,14.0,336.0
88,44.0,9.068181818181818,30.0258785494088,0.0,0.0,0.0,7.0,196.0
89,44.0,18.613636363636363,52.55571391903179,0.0,0.0,0.0,14.0,308.0
90,49.0,11.142857142857142,28.64582575757476,0.0,0.0,7.0,14.0,196.0
91,40.0,25.9,46.92263135559784,0.0,5.25,7.0,21.0,210.0
92,49.0,17.714285714285715,55.360184248248295,0.0,0.0,7.0,14.0,385.0
93,44.0,12.727272727272727,33.32459363932614,0.0,0.0,7.0,14.0,224.0
94,33.0,23.12121212121212,44.461189238310396,0.0,0.0,7.0,21.0,196.0
95,44.0,14.636363636363637,36.91164239923333,0.0,0.0,7.0,14.0,231.0
96,36.0,19.444444444444443,35.57964461754939,0.0,0.0,7.0,21.0,203.0
