id,count,mean,std,min,25%,50%,75%,max
0,36.0,9.916666666666666,28.068665803703603,0.0,0.0,7.0,7.0,168.0
1,41.0,21.853658536585368,31.662723331711184,0.0,0.0,7.0,28.0,140.0
2,42.0,11.0,23.85832165503521,0.0,0.0,7.0,12.25,154.0
3,40.0,9.625,24.5416312959564,0.0,0.0,0.0,8.75,147.0
4,41.0,19.463414634146343,28.58504640627299,0.0,7.0,7.0,21.0,154.0
5,41.0,7.853658536585366,25.248327643241794,0.0,0.0,0.0,7.0,161.0
6,45.0,4.355555555555555,21.015314281338604,0.0,0.0,0.0,0.0,140.0
7,47.0,17.72340425531915,25.816831489536277,0.0,7.0,7.0,24.5,147.0
8,49.0,17.285714285714285,29.941609843159736,0.0,0.0,7.0,21.0,189.0
9,53.0,23.90566037735849,48.50585379064429,0.0,0.0,7.0,28.0,308.0
10,35.0,11.8,24.530653093150022,0.0,0.0,7.0,17.5,140.0
11,43.0,10.744186046511627,25.57630322821704,0.0,0.0,7.0,7.0,147.0
12,32.0,30.84375,64.64349348542358,0.0,0.0,7.0,21.0,266.0
13,62.0,16.93548387096774,26.116304164346335,0.0,0.0,7.0,21.0,161.0
14,42.0,19.0,29.79032417806403,0.0,0.0,7.0,21.0,154.0
15,45.0,12.6,27.74428688118429,0.0,0.0,0.0,7.0,140.0
16,40.0,19.95,48.43390950298757,0.0,0.0,7.0,14.0,266.0
17,36.0,21.194444444444443,32.89621727662789,0.0,0.0,14.0,22.75,147.0
18,52.0,8.48076923076923,21.17480039919388,0.0,0.0,0.0,7.0,140.0
19,46.0,15.521739130434783,24.82179967549563,0.0,0.0,7.0,21.0,154.0
20,45.0,26.6,40.94197668097444,0.0,0.0,7.0,35.0,196.0
21,41.0,14.853658536585366,27.56769937409518,0.0,0.0,7.0,21.0,161.0
22,41.0,8.707317073170731,26.274744434950293,0.0,0.0,0.0,7.0,147.0
23,37.0,10.783783783783784,27.190822731959415,0.0,0.0,0.0,7.0,154.0
24,42.0,15.333333333333334,27.187395453494904,0.0,0.0,7.0,14.0,154.0
25,44.0,18.136363636363637,27.479032944876785,0.0,0.0,7.0,22.75,140.0
26,41.0,12.463414634146341,24.475597603506646,0.0,0.0,7.0,14.0,140.0
27,47.0,15.042553191489361,31.030810388056263,0.0,0.0,7.0,14.0,161.0
28,46.0,12.782608695652174,25.359559270161057,0.0,0.0,7.0,14.0,147.0
29,55.0,13.10909090909091,24.062936558635478,0.0,0.0,7.0,17.5,154.0
30,39.0,19.205128205128204,32.106877019679374,0.0,7.0,7.0,17.5,168.0
31,33.0,15.909090909090908,30.071127801808956,0.0,0.0,7.0,14.0,140.0
32,41.0,9.902439024390244,28.562042012125797,0.0,0.0,0.0,7.0,182.0
33,28.0,10.5,28.545610027670662,0.0,0.0,0.0,7.0,147.0
34,50.0,14.7,29.197602641312866,0.0,0.0,0.0,14.0,168.0
35,30.0,7.7,25.561487733940954,0.0,0.0,0.0,7.0,140.0
36,35.0,12.8,31.738638541540936,0.0,0.0,7.0,14.0,189.0
