id,count,mean,std,min,25%,50%,75%,max
0,14.0,15.928571428571429,22.12017626064941,7.0,7.0,7.0,17.5,90.0
1,62.0,25.951612903225808,15.935759786682501,7.0,14.0,21.0,28.0,90.0
2,55.0,18.945454545454545,16.891174752271805,7.0,7.0,14.0,21.0,90.0
3,56.0,29.482142857142858,22.82820509921768,7.0,12.25,21.0,42.0,98.0
4,39.0,19.358974358974358,17.519143183036842,7.0,7.0,14.0,28.0,90.0
5,29.0,12.275862068965518,15.659083515701806,7.0,7.0,7.0,14.0,90.0
6,21.0,16.285714285714285,22.11592832585342,7.0,7.0,7.0,14.0,90.0
7,27.0,22.51851851851852,19.311953991027604,7.0,7.0,14.0,31.5,90.0
8,46.0,23.565217391304348,20.869597423485615,7.0,7.0,14.0,35.0,91.0
9,30.0,16.3,18.181365981837484,7.0,7.0,7.0,14.0,90.0
10,8.0,18.25,29.09467305195231,7.0,7.0,7.0,8.75,90.0
11,29.0,13.96551724137931,16.882964276412505,7.0,7.0,7.0,14.0,90.0
12,26.0,23.384615384615383,30.323689647636115,7.0,7.0,14.0,21.0,126.0
13,43.0,20.813953488372093,20.095315509500132,7.0,7.0,14.0,21.0,90.0
14,56.0,18.357142857142858,15.341480989820996,7.0,7.0,14.0,21.0,90.0
15,45.0,17.244444444444444,19.578693841144062,7.0,7.0,7.0,21.0,91.0
16,50.0,25.6,29.164557746885663,7.0,7.0,14.0,28.0,154.0
17,42.0,22.30952380952381,21.91055887036235,7.0,7.0,14.0,28.0,105.0
18,50.0,24.06,26.33644948410038,7.0,7.0,14.0,21.0,126.0
19,56.0,20.982142857142858,19.462309562497804,7.0,7.0,14.0,28.0,90.0
20,28.0,12.964285714285714,16.947592733804395,7.0,7.0,7.0,7.0,90.0
21,41.0,15.0,17.00441119239358,7.0,7.0,7.0,14.0,90.0
22,25.0,18.44,22.17370815477946,7.0,7.0,7.0,14.0,90.0
23,61.0,22.934426229508198,23.90109401433264,7.0,7.0,14.0,28.0,105.0
24,31.0,17.806451612903224,19.327733708911154,7.0,7.0,7.0,21.0,90.0
25,17.0,20.941176470588236,24.44757295785027,7.0,7.0,7.0,28.0,90.0
26,48.0,19.8125,19.096235843858217,7.0,7.0,14.0,28.0,90.0
27,63.0,20.206349206349206,19.665885584218476,7.0,7.0,14.0,24.5,98.0
28,34.0,16.647058823529413,18.99582466553394,7.0,7.0,7.0,21.0,90.0
29,45.0,16.466666666666665,18.37809961488253,7.0,7.0,7.0,21.0,90.0
30,33.0,28.393939393939394,24.851986080014047,7.0,14.0,21.0,35.0,112.0
31,28.0,14.214285714285714,16.925451233893273,7.0,7.0,7.0,14.0,90.0
32,25.0,13.4,17.423642940938997,7.0,7.0,7.0,14.0,90.0
33,2.0,48.5,58.68986283848344,7.0,27.75,48.5,69.25,90.0
34,44.0,22.568181818181817,20.889963905334383,7.0,7.0,14.0,28.0,90.0
35,27.0,17.85185185185185,18.30028100604701,7.0,7.0,14.0,21.0,90.0
36,20.0,12.9,21.594102508738228,7.0,7.0,7.0,7.0,104.0
37,47.0,25.29787234042553,19.617998494746363,7.0,10.5,21.0,35.0,118.0
38,47.0,28.127659574468087,25.042239986346374,7.0,14.0,21.0,35.0,132.0
39,64.0,27.109375,22.173283786775674,7.0,14.0,21.0,35.0,97.0
40,26.0,20.153846153846153,27.892210106325113,7.0,7.0,7.0,14.0,111.0
41,56.0,14.607142857142858,16.247717122362502,7.0,7.0,7.0,14.0,118.0
42,22.0,20.318181818181817,21.42180990005138,7.0,7.0,10.5,28.0,97.0
43,60.0,17.833333333333332,18.48239351535664,7.0,7.0,14.0,21.0,104.0
44,33.0,15.030303030303031,23.839941338650625,7.0,7.0,7.0,14.0,139.0
45,29.0,17.586206896551722,21.058620971976755,7.0,7.0,14.0,14.0,111.0
46,14.0,17.428571428571427,24.111007016312264,7.0,7.0,7.0,14.0,97.0
47,51.0,13.156862745098039,16.244842318741796,7.0,7.0,7.0,14.0,111.0
48,17.0,13.941176470588236,22.038235490379257,7.0,7.0,7.0,7.0,97.0
49,43.0,16.906976744186046,20.90547200351914,7.0,7.0,7.0,17.5,111.0
50,53.0,22.69811320754717,20.313490123239227,7.0,7.0,14.0,28.0,118.0
51,43.0,18.209302325581394,20.35232306798332,7.0,7.0,7.0,21.0,97.0
52,20.0,17.45,22.565635261096507,7.0,7.0,7.0,21.0,104.0
53,44.0,19.227272727272727,18.8270755505032,7.0,7.0,14.0,21.0,97.0
54,50.0,25.04,41.72453885733361,7.0,7.0,14.0,21.0,280.0
55,55.0,27.727272727272727,25.457629683277844,7.0,7.0,21.0,35.0,118.0
56,42.0,12.976190476190476,16.763037292803084,7.0,7.0,7.0,14.0,111.0
57,36.0,25.444444444444443,28.79428955732562,7.0,7.0,14.0,29.75,125.0
58,23.0,21.26086956521739,24.696737714826643,7.0,7.0,14.0,21.0,97.0
59,61.0,20.639344262295083,24.132987649608882,7.0,7.0,7.0,21.0,111.0
60,41.0,15.682926829268293,19.030815831684997,7.0,7.0,7.0,14.0,111.0
61,16.0,18.3125,25.557044038777256,7.0,7.0,10.5,15.75,111.0
62,51.0,20.019607843137255,20.205435106503824,7.0,7.0,14.0,21.0,104.0
63,59.0,19.440677966101696,19.861825441717706,7.0,7.0,14.0,21.0,97.0
64,39.0,14.692307692307692,19.97255201540597,7.0,7.0,7.0,14.0,118.0
65,40.0,22.375,26.065683796802105,7.0,7.0,7.0,22.75,111.0
66,39.0,31.743589743589745,28.647327374852914,7.0,7.0,21.0,42.0,111.0
67,31.0,16.225806451612904,19.3471956235167,7.0,7.0,7.0,17.5,104.0
68,35.0,15.17142857142857,21.152785540785253,7.0,7.0,7.0,14.0,125.0
69,7.0,21.857142857142858,39.30830519295963,7.0,7.0,7.0,7.0,111.0
70,45.0,20.355555555555554,21.617706921069416,7.0,7.0,14.0,28.0,118.0
71,23.0,22.782608695652176,24.115171614074917,7.0,7.0,14.0,28.0,104.0
72,21.0,15.952380952380953,25.326816204324203,7.0,7.0,7.0,14.0,125.0
73,42.0,26.80952380952381,23.485582598939597,7.0,7.0,21.0,35.0,132.0
74,24.0,21.541666666666668,32.512177205881905,7.0,7.0,7.0,28.0,160.0
75,61.0,27.639344262295083,27.550579417310047,7.0,7.0,14.0,35.0,119.0
76,29.0,20.0,24.9899979991996,7.0,7.0,7.0,21.0,132.0
77,54.0,22.666666666666668,20.55090320743858,7.0,14.0,21.0,28.0,146.0
78,27.0,19.925925925925927,24.599759107522747,7.0,7.0,14.0,21.0,125.0
79,65.0,19.907692307692308,26.575201714264484,7.0,7.0,7.0,21.0,167.0
80,41.0,13.121951219512194,23.233806319618854,7.0,7.0,7.0,7.0,153.0
81,35.0,18.771428571428572,24.207541015493636,7.0,7.0,7.0,14.0,139.0
82,12.0,20.916666666666668,31.163668629098247,7.0,7.0,14.0,14.0,118.0
83,43.0,12.186046511627907,21.295266424560722,7.0,7.0,7.0,7.0,146.0
84,27.0,18.11111111111111,26.462358365353797,7.0,7.0,7.0,21.0,139.0
85,33.0,22.03030303030303,26.400147784251192,7.0,7.0,14.0,28.0,146.0
86,37.0,29.675675675675677,29.064157053409016,7.0,7.0,14.0,42.0,132.0
87,42.0,17.642857142857142,25.405800594209836,7.0,7.0,7.0,14.0,125.0
88,24.0,15.708333333333334,28.421484780029516,7.0,7.0,7.0,14.0,146.0
89,42.0,24.476190476190474,28.925672701445105,7.0,7.0,14.0,28.0,140.0
