id,count,mean,std,min,25%,50%,75%,max
0,41.0,8.731707317073171,23.59981397198281,0.0,0.0,0.0,7.0,134.0
1,52.0,10.51923076923077,21.121024173599622,0.0,0.0,7.0,14.0,141.0
2,52.0,9.442307692307692,20.63350925979528,0.0,0.0,0.0,14.0,141.0
3,50.0,9.26,21.849027438309466,0.0,0.0,0.0,7.0,120.0
4,44.0,22.136363636363637,26.796902727212153,0.0,0.0,14.0,29.75,127.0
5,52.0,13.211538461538462,24.889825103145228,0.0,0.0,7.0,14.0,148.0
6,38.0,4.078947368421052,19.52874745702853,0.0,0.0,0.0,0.0,120.0
7,54.0,12.074074074074074,21.49581078261429,0.0,0.0,7.0,14.0,134.0
8,53.0,12.962264150943396,24.18753832368337,0.0,0.0,7.0,14.0,162.0
9,55.0,7.909090909090909,21.29012353814229,0.0,0.0,0.0,7.0,141.0
10,25.0,5.92,23.99465218196199,0.0,0.0,0.0,0.0,120.0
11,42.0,20.357142857142858,50.02527235872345,0.0,0.0,7.0,21.0,301.0
12,47.0,16.404255319148938,24.490157361388448,0.0,0.0,7.0,21.0,127.0
13,67.0,12.656716417910447,23.00958445807995,0.0,0.0,7.0,14.0,127.0
14,58.0,10.03448275862069,21.127819456605682,0.0,0.0,7.0,14.0,134.0
15,40.0,10.875,22.53906864501316,0.0,0.0,0.0,14.0,120.0
16,51.0,15.392156862745098,29.98004565131451,0.0,0.0,7.0,14.0,141.0
17,53.0,12.037735849056604,21.343313008051293,0.0,0.0,7.0,14.0,127.0
18,59.0,16.864406779661017,38.630637130043,0.0,0.0,7.0,21.0,273.0
19,52.0,22.5,29.85159371053451,0.0,7.0,14.0,28.0,141.0
20,59.0,18.050847457627118,26.209647953018315,0.0,0.0,7.0,21.0,134.0
21,53.0,12.433962264150944,24.14739150903998,0.0,0.0,7.0,14.0,148.0
22,41.0,10.439024390243903,22.32828786594239,0.0,0.0,0.0,7.0,127.0
23,53.0,15.60377358490566,24.161587141132088,0.0,0.0,7.0,14.0,120.0
24,48.0,12.5625,23.44291958616512,0.0,0.0,7.0,21.0,141.0
25,38.0,20.842105263157894,42.6104455635441,0.0,0.0,7.0,21.0,231.0
26,54.0,12.462962962962964,24.24848796139043,0.0,0.0,7.0,12.25,127.0
27,54.0,13.11111111111111,20.516598587730446,0.0,1.75,7.0,14.0,141.0
28,50.0,12.76,21.207006928304214,0.0,0.0,7.0,19.25,120.0
29,62.0,12.096774193548388,20.30562360725036,0.0,0.0,7.0,14.0,134.0
30,44.0,8.454545454545455,20.429634819505488,0.0,0.0,7.0,7.0,134.0
31,33.0,8.93939393939394,22.59278008836478,0.0,0.0,0.0,7.0,127.0
32,53.0,9.0,21.45298975040004,0.0,0.0,7.0,7.0,148.0
33,28.0,7.285714285714286,23.159442747177412,0.0,0.0,0.0,1.75,120.0
34,55.0,12.363636363636363,20.932310339798047,0.0,0.0,7.0,14.0,134.0
35,33.0,6.606060606060606,22.093465371489646,0.0,0.0,0.0,7.0,127.0
36,41.0,11.975609756097562,25.963905527556953,0.0,0.0,7.0,14.0,155.0
37,51.0,13.196078431372548,22.416975360510293,0.0,0.0,7.0,17.5,148.0
38,52.0,16.442307692307693,28.63934867641636,0.0,0.0,7.0,15.75,162.0
39,50.0,11.08,22.31668178099705,0.0,0.0,7.0,14.0,155.0
40,42.0,17.19047619047619,29.252673920088554,0.0,1.75,7.0,14.0,155.0
41,51.0,13.333333333333334,27.60193229950879,0.0,0.0,7.0,14.0,183.0
42,38.0,6.105263157894737,23.125730929204316,0.0,0.0,0.0,0.0,141.0
43,54.0,21.925925925925927,35.560658700869034,0.0,0.0,7.0,28.0,162.0
44,53.0,10.849056603773585,26.622284062571953,0.0,0.0,7.0,14.0,183.0
45,54.0,12.722222222222221,26.296148413477738,0.0,0.0,0.0,14.0,155.0
46,25.0,7.6,26.769074196418025,0.0,0.0,0.0,0.0,134.0
47,42.0,18.857142857142858,31.079419453858044,0.0,0.0,7.0,19.25,148.0
48,42.0,11.523809523809524,26.18623553462829,0.0,0.0,7.0,14.0,162.0
49,64.0,11.0625,26.102894688350393,0.0,0.0,0.0,8.75,169.0
50,58.0,18.844827586206897,25.660264677182994,0.0,1.75,10.5,26.25,155.0
51,40.0,21.375,28.42415684427055,0.0,0.0,14.0,29.75,148.0
52,48.0,14.895833333333334,39.376653404439196,0.0,0.0,0.0,7.0,217.0
53,53.0,15.60377358490566,26.823023708575946,0.0,0.0,7.0,14.0,169.0
54,58.0,14.379310344827585,25.608268666144433,0.0,0.0,7.0,14.0,162.0
55,49.0,18.448979591836736,33.64586479327102,0.0,7.0,7.0,14.0,182.0
56,56.0,9.892857142857142,23.21964573485022,0.0,0.0,0.0,14.0,148.0
57,53.0,9.528301886792454,23.90976930492647,0.0,0.0,7.0,7.0,169.0
58,41.0,13.853658536585366,26.809103841428346,0.0,0.0,7.0,14.0,155.0
59,53.0,19.433962264150942,42.88424017226369,0.0,0.0,7.0,14.0,238.0
60,48.0,13.0,27.512472993403666,0.0,0.0,7.0,14.0,162.0
61,36.0,18.88888888888889,35.81681789947908,0.0,0.0,7.0,14.0,154.0
62,54.0,13.11111111111111,23.504850295659903,0.0,0.0,7.0,14.0,148.0
63,53.0,19.566037735849058,27.430688480915133,0.0,7.0,7.0,21.0,162.0
64,50.0,15.7,27.180612838670772,0.0,0.0,7.0,21.0,155.0
65,62.0,13.451612903225806,24.20721841900479,0.0,0.0,7.0,14.0,183.0
66,44.0,9.409090909090908,26.156344049542838,0.0,0.0,0.0,14.0,169.0
67,33.0,12.545454545454545,30.695165446991517,0.0,0.0,0.0,7.0,155.0
68,52.0,9.173076923076923,26.047258072434534,0.0,0.0,3.5,7.0,183.0
69,25.0,12.64,28.189655313016274,0.0,0.0,7.0,14.0,141.0
70,54.0,21.666666666666668,32.18636767563161,0.0,7.0,14.0,21.0,169.0
71,30.0,11.233333333333333,28.143331828992487,0.0,0.0,0.0,7.0,148.0
72,39.0,10.435897435897436,29.87587908576246,0.0,0.0,0.0,7.0,169.0
73,51.0,14.294117647058824,26.355488322280852,0.0,0.0,7.0,14.0,183.0
74,49.0,14.591836734693878,46.5827750565892,0.0,0.0,0.0,7.0,309.0
75,50.0,15.42,27.065370599980444,0.0,0.0,7.0,14.0,176.0
76,40.0,24.525,77.29330999013284,0.0,0.0,7.0,21.0,491.0
77,51.0,8.803921568627452,28.37606005621156,0.0,0.0,7.0,7.0,204.0
78,38.0,6.842105263157895,27.416237362624273,0.0,0.0,0.0,7.0,169.0
79,53.0,16.39622641509434,30.85595542980661,0.0,0.0,7.0,21.0,176.0
80,48.0,17.229166666666668,33.235612522057004,0.0,0.0,7.0,21.0,204.0
81,52.0,21.692307692307693,44.199875104755876,0.0,0.0,7.0,21.0,224.0
82,24.0,13.166666666666666,35.67079753946426,0.0,0.0,3.5,7.0,176.0
83,39.0,25.512820512820515,51.948289974830175,0.0,0.0,7.0,24.5,259.0
84,42.0,12.69047619047619,37.89683563290244,0.0,0.0,0.0,7.0,190.0
85,63.0,12.238095238095237,33.11062312997596,0.0,0.0,0.0,14.0,239.0
86,56.0,21.017857142857142,32.04853766139364,0.0,0.0,10.5,28.0,190.0
87,38.0,36.5,68.12895165826386,0.0,0.0,7.0,28.0,295.0
88,48.0,9.5,26.81615899003292,0.0,0.0,0.0,7.0,176.0
89,53.0,14.679245283018869,37.64549905924277,0.0,0.0,7.0,14.0,246.0
90,57.0,16.719298245614034,34.292728501391885,0.0,0.0,0.0,14.0,176.0
91,49.0,24.448979591836736,36.97525142155324,0.0,0.0,7.0,35.0,197.0
92,56.0,10.017857142857142,39.7924118263902,0.0,0.0,0.0,7.0,295.0
93,52.0,13.211538461538462,32.504199751852,0.0,0.0,7.0,8.75,218.0
94,37.0,20.83783783783784,45.69191121796888,0.0,0.0,7.0,7.0,190.0
95,51.0,25.96078431372549,43.009283083684956,0.0,7.0,7.0,24.5,197.0
96,47.0,10.893617021276595,26.72178238860671,0.0,0.0,7.0,10.5,176.0
97,36.0,18.305555555555557,42.0827887753546,0.0,0.0,3.5,14.0,225.0
98,54.0,16.22222222222222,29.103372473103114,0.0,0.0,7.0,14.0,176.0
99,53.0,13.49056603773585,28.533800901811325,0.0,0.0,7.0,14.0,169.0
100,50.0,10.24,28.24929834779719,0.0,0.0,7.0,7.0,197.0
101,61.0,11.147540983606557,29.800915011440935,0.0,0.0,7.0,7.0,225.0
102,43.0,17.441860465116278,35.37035503785445,0.0,0.0,7.0,17.5,204.0
103,30.0,16.6,41.45092653180176,0.0,0.0,0.0,7.0,211.0
104,51.0,9.901960784313726,27.428638246884063,0.0,0.0,0.0,7.0,190.0
105,25.0,18.24,34.82010913251134,0.0,0.0,7.0,21.0,162.0
106,53.0,22.07547169811321,34.670342600315074,0.0,0.0,14.0,28.0,190.0
107,30.0,17.066666666666666,40.47471184394739,0.0,0.0,7.0,14.0,218.0
108,39.0,17.435897435897434,47.3429786222974,0.0,0.0,0.0,10.5,274.0
109,50.0,20.32,45.20404533098464,0.0,0.0,7.0,19.25,288.0
110,49.0,20.877551020408163,76.76007877717134,0.0,0.0,0.0,14.0,533.0
111,50.0,14.3,32.26121067606909,0.0,0.0,7.0,7.0,183.0
112,38.0,23.05263157894737,82.56461756690153,0.0,0.0,7.0,7.0,505.0
113,51.0,12.372549019607844,30.792830843762147,0.0,0.0,7.0,14.0,218.0
114,38.0,10.894736842105264,31.06470098401357,0.0,0.0,0.0,14.0,190.0
115,53.0,24.58490566037736,49.72788799760621,0.0,0.0,7.0,21.0,252.0
116,47.0,18.638297872340427,37.535736903194866,0.0,0.0,7.0,21.0,218.0
117,51.0,22.941176470588236,52.59749490791586,0.0,0.0,7.0,17.5,239.0
118,24.0,30.083333333333332,51.96982123156265,0.0,0.0,14.0,22.75,197.0
119,39.0,30.71794871794872,47.29356733712298,0.0,0.0,7.0,42.0,211.0
