id,count,mean,std,min,25%,50%,75%,max
0,27.0,46.03703703703704,70.2158657731129,7.0,7.0,21.0,42.0,322.0
1,44.0,37.63636363636363,34.835888277044695,7.0,14.0,28.0,49.0,175.0
2,47.0,40.744680851063826,42.67341504410403,7.0,14.0,28.0,45.5,210.0
3,37.0,41.351351351351354,47.52964935245755,7.0,7.0,28.0,56.0,203.0
4,36.0,60.0,71.54299406650522,7.0,14.0,35.0,78.75,336.0
5,40.0,36.5,37.46793500910017,7.0,14.0,21.0,42.0,140.0
6,28.0,41.142857142857146,34.33572190797507,7.0,14.0,38.5,50.75,130.0
7,55.0,37.49090909090909,44.85444473094291,7.0,7.0,21.0,56.0,273.0
8,34.0,63.529411764705884,69.55757819599513,7.0,8.75,35.0,84.0,273.0
9,35.0,43.714285714285715,43.11651207420863,7.0,21.0,28.0,42.0,210.0
10,12.0,20.166666666666668,35.52421282688326,7.0,7.0,7.0,8.75,130.0
11,41.0,17.51219512195122,27.87482910370888,7.0,7.0,7.0,14.0,130.0
12,22.0,79.72727272727273,86.63892329838264,7.0,15.75,42.0,115.0,273.0
13,37.0,31.7027027027027,31.10811332618413,7.0,14.0,21.0,35.0,147.0
14,41.0,35.609756097560975,51.19906153865542,7.0,7.0,21.0,35.0,280.0
15,39.0,32.58974358974359,33.811176872618184,7.0,7.0,21.0,45.5,130.0
16,35.0,46.31428571428572,41.30359009362078,7.0,21.0,35.0,52.5,168.0
17,45.0,36.48888888888889,33.473613911300774,7.0,7.0,28.0,49.0,130.0
18,53.0,33.35849056603774,30.960952044857205,7.0,14.0,21.0,35.0,133.0
19,41.0,44.65853658536585,54.66196564161299,7.0,14.0,35.0,56.0,301.0
20,39.0,55.38461538461539,71.92123446946205,7.0,14.0,28.0,63.0,280.0
21,40.0,42.1,33.17614218465448,7.0,21.0,35.0,45.5,130.0
22,39.0,35.1025641025641,46.0027429798856,7.0,7.0,14.0,56.0,238.0
23,41.0,45.68292682926829,52.89160567821242,7.0,14.0,28.0,49.0,245.0
24,30.0,44.93333333333333,61.090624221856594,7.0,7.0,21.0,42.0,259.0
25,44.0,19.5,26.90940874619447,7.0,7.0,7.0,21.0,130.0
26,46.0,50.45652173913044,53.26858841829109,7.0,21.0,35.0,56.0,273.0
27,42.0,49.76190476190476,58.468173341095294,7.0,7.0,31.5,49.0,259.0
28,38.0,45.421052631578945,64.06273596563418,7.0,7.0,28.0,54.25,294.0
29,37.0,36.054054054054056,34.27984988456204,7.0,14.0,21.0,49.0,130.0
30,30.0,59.86666666666667,72.12332987767327,7.0,7.0,35.0,82.25,329.0
31,29.0,27.896551724137932,56.08306647132971,7.0,7.0,7.0,14.0,280.0
32,35.0,31.314285714285713,35.702835139170524,7.0,7.0,14.0,42.0,154.0
33,11.0,25.818181818181817,38.54819887314628,7.0,7.0,7.0,21.0,130.0
34,38.0,51.68421052631579,74.55602111496444,7.0,8.75,24.5,56.0,343.0
35,25.0,36.84,59.59353991835021,7.0,7.0,14.0,35.0,287.0
36,29.0,41.172413793103445,68.25585739675033,7.0,7.0,14.0,35.0,322.0
37,47.0,40.4468085106383,35.0631780787805,7.0,14.0,35.0,56.0,182.0
38,44.0,46.54545454545455,47.46330506502429,7.0,14.0,31.5,52.5,224.0
39,46.0,43.0,45.06883623969006,7.0,14.0,28.0,49.0,217.0
40,28.0,50.892857142857146,67.25151205003404,7.0,7.0,31.5,50.75,308.0
41,44.0,39.38636363636363,37.94439990491039,7.0,14.0,28.0,56.0,158.0
42,28.0,33.892857142857146,30.738248926865488,7.0,12.25,21.0,43.75,137.0
43,51.0,40.01960784313726,52.16185970460732,7.0,7.0,28.0,49.0,308.0
44,41.0,43.1219512195122,63.628686581584894,7.0,7.0,14.0,56.0,308.0
45,43.0,27.441860465116278,29.733180379903455,7.0,7.0,14.0,38.5,165.0
46,30.0,14.133333333333333,24.02977080742701,7.0,7.0,7.0,12.25,137.0
47,40.0,23.725,46.333787583089645,7.0,7.0,7.0,21.0,266.0
48,21.0,45.857142857142854,60.60056576822176,7.0,7.0,14.0,63.0,238.0
49,41.0,31.170731707317074,33.391542671030024,7.0,14.0,21.0,35.0,168.0
50,41.0,44.829268292682926,46.96749005377251,7.0,21.0,42.0,49.0,287.0
51,41.0,37.31707317073171,37.709706326349355,7.0,14.0,21.0,49.0,161.0
52,34.0,37.588235294117645,47.622962151300186,7.0,7.0,14.0,49.0,175.0
53,41.0,36.292682926829265,36.592515561545525,7.0,7.0,21.0,49.0,144.0
54,46.0,34.47826086956522,32.02827856784257,7.0,7.0,21.0,54.25,137.0
55,46.0,45.28260869565217,44.33942967782275,7.0,14.0,35.0,56.0,217.0
56,35.0,32.91428571428571,52.937461120797686,7.0,7.0,7.0,35.0,266.0
57,42.0,45.26190476190476,37.8463256739026,7.0,21.0,38.5,54.25,161.0
58,29.0,35.62068965517241,45.811269506455545,7.0,7.0,21.0,35.0,203.0
59,44.0,52.43181818181818,59.90899987802148,7.0,21.0,31.5,50.75,280.0
60,35.0,48.51428571428571,60.20620030048274,7.0,7.0,21.0,49.0,245.0
61,17.0,42.23529411764706,47.06050548464804,7.0,7.0,14.0,70.0,147.0
62,41.0,49.951219512195124,49.02853823005139,7.0,21.0,35.0,63.0,245.0
63,46.0,49.391304347826086,62.16017955818108,7.0,7.0,28.0,61.25,252.0
64,34.0,40.6764705882353,58.88546694617277,7.0,7.0,24.5,42.0,322.0
65,45.0,30.57777777777778,30.739735085574715,7.0,14.0,21.0,35.0,144.0
66,34.0,53.029411764705884,68.55852854318805,7.0,14.0,21.0,66.5,329.0
67,32.0,30.75,53.11035376853891,7.0,7.0,7.0,21.0,259.0
68,40.0,35.275,38.93715350506407,7.0,7.0,14.0,50.75,158.0
69,13.0,19.692307692307693,37.60404369963558,7.0,7.0,7.0,14.0,144.0
70,36.0,48.72222222222222,50.73438457079949,7.0,21.0,28.0,50.75,210.0
71,28.0,33.892857142857146,37.299924819420106,7.0,7.0,17.5,49.0,137.0
72,25.0,46.08,67.64547287143465,7.0,7.0,14.0,63.0,287.0
73,39.0,46.58974358974359,42.84225530251889,7.0,17.5,28.0,56.0,186.0
74,37.0,31.324324324324323,37.241743345974655,7.0,7.0,14.0,42.0,179.0
75,45.0,48.93333333333333,42.43197764979529,7.0,21.0,42.0,63.0,172.0
76,31.0,50.25806451612903,62.109026580648475,7.0,7.0,35.0,66.5,273.0
77,44.0,46.54545454545455,40.71766346922714,7.0,19.25,42.0,56.0,200.0
78,23.0,46.73913043478261,51.96083961749406,7.0,7.0,35.0,59.5,210.0
79,53.0,46.56603773584906,57.30267460329279,7.0,7.0,35.0,49.0,322.0
80,31.0,49.12903225806452,64.75376021796411,7.0,7.0,21.0,63.0,315.0
81,38.0,36.76315789473684,36.45985145521794,7.0,14.0,24.5,47.25,179.0
82,26.0,18.73076923076923,28.83824917335682,7.0,8.75,14.0,14.0,158.0
83,40.0,25.475,47.52326690617868,7.0,7.0,7.0,21.0,266.0
84,19.0,45.526315789473685,91.64203815877698,7.0,10.5,14.0,28.0,392.0
85,42.0,33.92857142857143,45.95670967076587,7.0,8.75,21.0,28.0,228.0
86,38.0,46.3421052631579,53.35109427474702,7.0,14.0,35.0,54.25,294.0
87,39.0,32.94871794871795,35.373904087877456,7.0,7.0,21.0,38.5,158.0
88,37.0,39.83783783783784,51.07429964359848,7.0,7.0,21.0,49.0,210.0
89,39.0,50.0,61.16586595393493,7.0,17.5,28.0,59.5,322.0
90,43.0,47.13953488372093,45.38542948240466,7.0,14.0,28.0,63.0,203.0
91,46.0,45.28260869565217,46.151279285737516,7.0,8.75,35.0,56.0,224.0
