id,count,mean,std,min,25%,50%,75%,max
0,39.0,11.153846153846153,24.046597813344846,0.0,0.0,0.0,10.5,134.0
1,54.0,14.537037037037036,21.73225840096122,0.0,0.0,7.0,21.0,141.0
2,50.0,13.04,20.86199552159038,0.0,7.0,7.0,14.0,141.0
3,53.0,8.60377358490566,17.57548513680075,0.0,0.0,7.0,7.0,120.0
4,41.0,26.48780487804878,34.025815163798434,0.0,0.0,14.0,35.0,127.0
5,54.0,8.833333333333334,21.11044630973553,0.0,0.0,7.0,7.0,148.0
6,45.0,8.733333333333333,22.25717453276175,0.0,0.0,0.0,7.0,120.0
7,58.0,20.051724137931036,30.094251018153248,0.0,0.0,7.0,28.0,147.0
8,49.0,17.020408163265305,29.83390813872584,0.0,0.0,7.0,21.0,162.0
9,64.0,12.921875,27.603372630089165,0.0,0.0,0.0,14.0,141.0
10,25.0,5.08,23.982493615135187,0.0,0.0,0.0,0.0,120.0
11,47.0,6.723404255319149,19.0533599999986,0.0,0.0,0.0,7.0,127.0
12,40.0,12.975,25.00716563973881,0.0,0.0,7.0,14.0,127.0
13,67.0,15.895522388059701,24.42684460226036,0.0,0.0,7.0,14.0,127.0
14,51.0,12.098039215686274,22.424321529946706,0.0,0.0,7.0,14.0,134.0
15,44.0,10.045454545454545,19.073852241313688,0.0,0.0,7.0,14.0,120.0
16,53.0,18.90566037735849,26.2658480738065,0.0,0.0,7.0,21.0,141.0
17,50.0,18.08,41.86413398466179,0.0,0.0,7.0,14.0,273.0
18,57.0,11.807017543859649,19.72619595911852,0.0,0.0,7.0,21.0,120.0
19,48.0,15.041666666666666,25.19959332104586,0.0,0.0,7.0,14.0,141.0
20,53.0,22.339622641509433,27.977287076529677,0.0,0.0,14.0,28.0,134.0
21,52.0,6.884615384615385,21.356593183328425,0.0,0.0,0.0,7.0,148.0
22,37.0,5.135135135135135,21.072839499330996,0.0,0.0,0.0,0.0,127.0
23,50.0,10.66,21.562069871486298,0.0,0.0,7.0,7.0,120.0
24,48.0,12.708333333333334,23.205793786212674,0.0,0.0,7.0,14.0,141.0
25,44.0,12.113636363636363,20.5643809343615,0.0,0.0,7.0,14.0,120.0
26,53.0,14.679245283018869,22.07397840209987,0.0,0.0,7.0,14.0,127.0
27,53.0,19.566037735849058,25.566285968621216,0.0,0.0,14.0,28.0,141.0
28,50.0,10.94,19.30677157298518,0.0,0.0,7.0,14.0,120.0
29,56.0,16.142857142857142,30.94183903062975,0.0,0.0,7.0,14.0,134.0
30,42.0,14.523809523809524,26.320017509852295,0.0,0.0,7.0,14.0,134.0
31,33.0,13.606060606060606,23.753867308739686,0.0,0.0,7.0,14.0,127.0
32,50.0,9.82,22.839001729497724,0.0,0.0,7.0,7.0,148.0
33,28.0,9.535714285714286,28.22329238066021,0.0,0.0,0.0,0.0,120.0
34,53.0,12.566037735849056,22.675392824993782,0.0,0.0,7.0,14.0,134.0
35,30.0,7.5,24.55079182654492,0.0,0.0,0.0,0.0,127.0
36,39.0,12.948717948717949,26.603273164216706,0.0,0.0,7.0,14.0,155.0
37,54.0,10.25925925925926,21.43633415681095,0.0,0.0,7.0,14.0,148.0
38,49.0,13.591836734693878,27.20211263804319,0.0,0.0,7.0,14.0,162.0
39,53.0,10.716981132075471,21.859144678961965,0.0,0.0,7.0,14.0,155.0
40,38.0,22.86842105263158,38.42238301248978,0.0,1.75,7.0,21.0,155.0
41,53.0,12.433962264150944,25.645144565156563,0.0,0.0,7.0,14.0,176.0
42,44.0,14.022727272727273,39.929873782620234,0.0,0.0,0.0,7.0,189.0
43,56.0,18.392857142857142,26.17401804804186,0.0,0.0,14.0,22.75,162.0
44,49.0,10.448979591836734,27.840364299946607,0.0,0.0,0.0,7.0,183.0
45,61.0,14.819672131147541,29.861629893405187,0.0,0.0,0.0,14.0,155.0
46,25.0,6.76,26.736803598535605,0.0,0.0,0.0,0.0,134.0
47,47.0,11.936170212765957,25.267614824650934,0.0,0.0,7.0,10.5,148.0
48,37.0,11.567567567567568,26.92328663746986,0.0,0.0,7.0,7.0,162.0
49,65.0,11.323076923076924,25.56737893067288,0.0,0.0,7.0,14.0,169.0
50,51.0,18.274509803921568,28.064980620960743,0.0,0.0,14.0,21.0,155.0
51,44.0,17.204545454545453,29.741193377359856,0.0,0.0,7.0,15.75,148.0
52,51.0,11.137254901960784,32.23787809880987,0.0,0.0,0.0,7.0,168.0
53,49.0,13.020408163265307,25.245865829806647,0.0,7.0,7.0,14.0,169.0
54,56.0,14.892857142857142,25.464184167663323,0.0,0.0,7.0,15.75,155.0
55,47.0,11.638297872340425,24.08718361351286,0.0,0.0,7.0,14.0,162.0
56,52.0,12.942307692307692,25.148510626416794,0.0,0.0,7.0,14.0,148.0
57,50.0,13.04,42.35658154289602,0.0,0.0,0.0,7.0,259.0
58,37.0,10.243243243243244,25.375409581155758,0.0,0.0,7.0,14.0,155.0
59,50.0,23.54,55.28117737013722,0.0,0.0,7.0,14.0,238.0
60,47.0,15.957446808510639,28.63257300379694,0.0,0.0,7.0,17.5,169.0
61,44.0,14.659090909090908,26.332350941970187,0.0,0.0,7.0,21.0,134.0
62,52.0,15.76923076923077,25.05023610284834,0.0,0.0,7.0,21.0,148.0
63,52.0,21.01923076923077,29.92440828423158,0.0,0.0,7.0,29.75,169.0
64,49.0,14.448979591836734,26.703667994373756,0.0,0.0,7.0,14.0,155.0
65,56.0,14.767857142857142,27.378153913080254,0.0,0.0,7.0,14.0,162.0
66,42.0,16.523809523809526,26.768417954143498,0.0,0.0,14.0,21.0,162.0
67,30.0,12.633333333333333,34.941807123522835,0.0,0.0,0.0,7.0,155.0
68,49.0,9.16326530612245,25.25729839965034,0.0,0.0,0.0,7.0,169.0
69,28.0,10.285714285714286,28.073787883674804,0.0,0.0,0.0,7.0,141.0
70,52.0,21.692307692307693,32.109212202974184,0.0,0.0,14.0,28.0,183.0
71,29.0,11.620689655172415,27.814967441884658,0.0,0.0,7.0,7.0,148.0
72,39.0,15.64102564102564,28.708596896443463,0.0,0.0,7.0,21.0,169.0
73,54.0,11.037037037037036,28.312916555618127,0.0,0.0,7.0,14.0,204.0
74,49.0,14.73469387755102,44.83710122497331,0.0,0.0,0.0,7.0,281.0
75,53.0,14.81132075471698,25.602025613801604,0.0,7.0,7.0,14.0,169.0
76,38.0,26.18421052631579,86.28233205607948,0.0,0.0,3.5,21.0,519.0
77,53.0,7.415094339622642,25.97960291804689,0.0,0.0,0.0,7.0,190.0
78,43.0,8.162790697674419,26.333873019688053,0.0,0.0,0.0,7.0,169.0
79,55.0,15.672727272727272,29.340942539238732,0.0,0.0,7.0,17.5,183.0
80,48.0,11.541666666666666,30.781286338496027,0.0,0.0,0.0,14.0,204.0
81,59.0,12.23728813559322,31.310645420638103,0.0,0.0,0.0,10.5,190.0
82,25.0,11.8,34.59287017098562,0.0,0.0,7.0,7.0,176.0
83,45.0,19.933333333333334,35.81733963015425,0.0,0.0,7.0,21.0,169.0
84,36.0,22.194444444444443,59.246612655164604,0.0,0.0,7.0,14.0,301.0
85,64.0,11.828125,34.98732409348023,0.0,0.0,0.0,7.0,211.0
86,51.0,25.274509803921568,45.02447264827099,0.0,0.0,7.0,28.0,231.0
87,44.0,21.181818181818183,54.72819634966151,0.0,0.0,7.0,28.0,351.0
88,50.0,7.58,25.544750648896255,0.0,0.0,0.0,7.0,176.0
89,49.0,15.591836734693878,43.49325540018961,0.0,0.0,0.0,7.0,274.0
90,51.0,21.019607843137255,49.52029490868504,0.0,0.0,7.0,14.0,238.0
91,47.0,17.74468085106383,29.895083269666227,0.0,7.0,14.0,17.5,197.0
92,51.0,12.372549019607844,43.43683265815487,0.0,0.0,0.0,7.0,309.0
93,49.0,14.877551020408163,32.6609046702254,0.0,0.0,7.0,14.0,204.0
94,35.0,22.82857142857143,39.14940140349659,0.0,3.5,7.0,21.0,190.0
95,50.0,20.32,40.17077829183085,0.0,0.0,7.0,14.0,197.0
96,47.0,13.872340425531915,28.81697644375364,0.0,0.0,0.0,14.0,176.0
97,44.0,15.454545454545455,42.77548447278659,0.0,0.0,7.0,8.75,225.0
98,51.0,20.470588235294116,36.51922942296371,0.0,0.0,7.0,21.0,197.0
99,52.0,13.211538461538462,28.03312923741531,0.0,0.0,0.0,15.75,176.0
100,44.0,14.659090909090908,31.56753055278233,0.0,0.0,7.0,8.75,183.0
101,56.0,17.017857142857142,56.83388588171307,0.0,0.0,0.0,7.0,371.0
102,40.0,19.45,36.2257522793541,0.0,0.0,7.0,21.0,204.0
103,30.0,14.733333333333333,39.22695531122069,0.0,0.0,7.0,7.0,211.0
104,49.0,6.73469387755102,27.361602893930943,0.0,0.0,0.0,7.0,190.0
105,28.0,17.035714285714285,33.8487727693253,0.0,0.0,7.0,21.0,176.0
