id,count,mean,std,min,25%,50%,75%,max
0,29.0,23.93103448275862,28.890100917692944,7.0,7.0,14.0,28.0,120.0
1,37.0,30.864864864864863,31.316628669625842,7.0,7.0,21.0,35.0,120.0
2,43.0,29.325581395348838,37.853552975489855,7.0,7.0,21.0,35.0,203.0
3,44.0,43.13636363636363,35.77292136167264,7.0,14.0,28.0,57.75,161.0
4,26.0,35.84615384615385,36.455663272191124,7.0,7.0,17.5,49.0,120.0
5,52.0,36.09615384615385,34.961188349359595,7.0,14.0,21.0,43.75,140.0
6,24.0,20.75,25.657018702406795,7.0,7.0,10.5,21.0,120.0
7,55.0,41.25454545454546,55.82585959326197,7.0,14.0,21.0,49.0,350.0
8,43.0,37.95348837209303,41.52219916208454,7.0,7.0,21.0,56.0,224.0
9,35.0,29.62857142857143,33.65314924017532,7.0,7.0,21.0,35.0,168.0
10,7.0,25.142857142857142,42.15221849214492,7.0,7.0,7.0,14.0,120.0
11,33.0,23.78787878787879,42.03254511072162,7.0,7.0,7.0,14.0,224.0
12,44.0,38.68181818181818,48.9915857641606,7.0,7.0,14.0,56.0,238.0
13,35.0,22.62857142857143,36.1769228638805,7.0,7.0,7.0,21.0,182.0
14,46.0,28.47826086956522,28.280923394035838,7.0,14.0,17.5,33.25,120.0
15,44.0,26.272727272727273,28.76396618216169,7.0,7.0,21.0,35.0,154.0
16,41.0,39.80487804878049,43.60459810168826,7.0,7.0,28.0,49.0,196.0
17,36.0,35.02777777777778,45.54149512014047,7.0,7.0,17.5,36.75,224.0
18,45.0,21.955555555555556,22.858214711520667,7.0,7.0,14.0,28.0,120.0
19,39.0,24.974358974358974,25.529639306713758,7.0,7.0,14.0,35.0,120.0
20,37.0,33.513513513513516,49.521948905747074,7.0,7.0,14.0,35.0,238.0
21,35.0,33.628571428571426,30.53839022134147,7.0,10.5,21.0,49.0,120.0
22,20.0,55.7,73.6543134835757,7.0,7.0,21.0,59.5,259.0
23,38.0,40.55263157894737,36.27350858850102,7.0,14.0,28.0,49.0,126.0
24,38.0,31.894736842105264,31.240816573821284,7.0,7.0,21.0,42.0,140.0
25,19.0,36.1578947368421,41.34443823659254,7.0,14.0,21.0,31.5,161.0
26,42.0,40.857142857142854,52.939713263467134,7.0,7.0,21.0,49.0,252.0
27,54.0,28.925925925925927,33.0544729664345,7.0,7.0,14.0,35.0,147.0
28,41.0,28.365853658536587,35.410984240459186,7.0,7.0,14.0,35.0,126.0
29,38.0,26.36842105263158,22.215676292096543,7.0,8.75,21.0,35.0,120.0
30,34.0,40.588235294117645,41.012280235616956,7.0,14.0,21.0,54.25,175.0
31,24.0,28.916666666666668,42.911351155271426,7.0,7.0,14.0,21.0,189.0
32,33.0,34.81818181818182,36.04377073907375,7.0,7.0,28.0,42.0,147.0
33,12.0,29.833333333333332,50.73788853838258,7.0,7.0,7.0,10.5,154.0
34,47.0,35.61702127659574,33.23732395933521,7.0,10.5,21.0,49.0,133.0
35,25.0,28.32,54.98236080780818,7.0,7.0,7.0,21.0,266.0
36,26.0,25.884615384615383,33.614671705166984,7.0,7.0,7.0,35.0,148.0
37,48.0,32.833333333333336,33.47741908589254,7.0,7.0,21.0,43.75,148.0
38,46.0,43.69565217391305,42.70564342889975,7.0,14.0,35.0,54.25,196.0
39,49.0,44.16326530612245,39.62077892279479,7.0,14.0,35.0,56.0,175.0
40,27.0,31.14814814814815,31.757135725938344,7.0,7.0,21.0,45.5,141.0
41,40.0,40.8,41.55515334144213,7.0,14.0,28.0,42.0,175.0
42,37.0,19.89189189189189,25.543844424596468,7.0,7.0,14.0,14.0,127.0
43,49.0,38.87755102040816,52.65794995893356,7.0,7.0,21.0,42.0,315.0
44,40.0,31.525,34.90792834784759,7.0,7.0,14.0,50.75,176.0
45,42.0,28.023809523809526,26.842347408560574,7.0,8.75,17.5,35.0,148.0
46,23.0,15.26086956521739,25.40797546817346,7.0,7.0,7.0,10.5,127.0
47,39.0,22.641025641025642,42.11418512085996,7.0,7.0,7.0,21.0,245.0
48,13.0,31.307692307692307,46.844395992449684,7.0,7.0,7.0,21.0,134.0
49,53.0,25.37735849056604,32.23723743597811,7.0,14.0,14.0,21.0,182.0
50,44.0,36.13636363636363,40.05785984431213,7.0,12.25,21.0,42.0,203.0
51,45.0,31.6,34.698310150102806,7.0,7.0,21.0,35.0,154.0
52,37.0,27.08108108108108,31.20129838678226,7.0,7.0,14.0,35.0,148.0
53,43.0,31.930232558139537,32.668169558847055,7.0,7.0,21.0,42.0,154.0
54,48.0,26.708333333333332,27.07983337996238,7.0,7.0,14.0,35.0,127.0
55,47.0,39.93617021276596,30.58587643321324,7.0,14.0,35.0,52.5,148.0
56,35.0,24.428571428571427,38.56109416488693,7.0,7.0,7.0,21.0,182.0
57,43.0,35.02325581395349,32.02118968975523,7.0,14.0,28.0,45.5,155.0
58,25.0,37.28,43.56653914798987,7.0,14.0,21.0,35.0,182.0
59,49.0,45.30612244897959,62.85008753694271,7.0,14.0,28.0,42.0,385.0
60,36.0,31.72222222222222,31.298207261403615,7.0,7.0,21.0,42.0,148.0
61,18.0,37.0,40.79071405284758,7.0,7.0,17.5,45.5,127.0
62,43.0,44.627906976744185,51.32205654854542,7.0,7.0,28.0,49.0,224.0
63,47.0,38.0,34.57065858184667,7.0,14.0,21.0,59.5,148.0
64,43.0,25.58139534883721,31.56266069880036,7.0,7.0,7.0,31.5,127.0
65,46.0,22.23913043478261,24.59284880936705,7.0,7.0,14.0,28.0,141.0
66,37.0,41.83783783783784,41.36323751131453,7.0,14.0,21.0,49.0,175.0
67,29.0,33.827586206896555,66.70353865399885,7.0,7.0,14.0,28.0,350.0
68,41.0,30.926829268292682,37.58217013684976,7.0,7.0,21.0,35.0,155.0
69,17.0,30.941176470588236,46.63082482145702,7.0,7.0,7.0,14.0,161.0
70,44.0,39.31818181818182,36.20919369780613,7.0,7.0,28.0,52.5,147.0
71,27.0,18.185185185185187,25.359017569294203,7.0,7.0,7.0,21.0,134.0
72,26.0,29.115384615384617,33.09420121178564,7.0,7.0,17.5,35.0,162.0
73,45.0,37.044444444444444,33.405195265213926,7.0,14.0,21.0,49.0,155.0
74,32.0,40.9375,46.5589723171142,7.0,7.0,28.0,57.75,210.0
75,46.0,43.08695652173913,41.38320973908596,7.0,7.0,35.0,61.25,182.0
76,29.0,32.62068965517241,44.85724483060795,7.0,7.0,7.0,42.0,162.0
77,42.0,41.857142857142854,43.86318609126172,7.0,14.0,28.0,59.5,211.0
78,41.0,24.609756097560975,26.775808156599577,7.0,7.0,14.0,28.0,148.0
79,51.0,37.35294117647059,53.37183659175007,7.0,7.0,14.0,45.5,224.0
80,38.0,30.789473684210527,42.311686389470594,7.0,7.0,14.0,35.0,197.0
81,36.0,33.083333333333336,59.5470402287133,7.0,7.0,14.0,28.0,329.0
82,24.0,21.916666666666668,27.76127529125961,7.0,14.0,14.0,15.75,148.0
83,40.0,19.45,31.038396403197947,7.0,7.0,10.5,15.75,162.0
84,20.0,20.35,38.00730539196241,7.0,7.0,7.0,14.0,176.0
85,43.0,27.86046511627907,39.2195173687242,7.0,7.0,14.0,31.5,211.0
86,40.0,38.525,34.639526481633595,7.0,14.0,28.0,56.0,162.0
87,38.0,26.18421052631579,36.51127575788053,7.0,7.0,14.0,28.0,155.0
88,38.0,37.421052631578945,45.39712550665984,7.0,7.0,17.5,47.25,182.0
89,39.0,45.43589743589744,59.90553742605931,7.0,14.0,35.0,49.0,357.0
90,47.0,31.0,37.8848369346526,7.0,7.0,21.0,35.0,176.0
91,48.0,40.708333333333336,31.706069177604395,7.0,21.0,35.0,56.0,162.0
92,37.0,22.54054054054054,29.08855692783924,7.0,7.0,14.0,21.0,155.0
93,39.0,34.48717948717949,40.22494106820569,7.0,7.0,21.0,42.0,183.0
94,25.0,39.24,70.97022849993743,7.0,7.0,21.0,35.0,343.0
95,49.0,45.734693877551024,65.88145145834677,7.0,7.0,21.0,56.0,385.0
96,33.0,39.696969696969695,47.77517978019866,7.0,7.0,21.0,49.0,169.0
97,16.0,25.875,35.33058165385903,7.0,7.0,7.0,33.25,141.0
98,45.0,39.84444444444444,40.76649446183803,7.0,7.0,28.0,49.0,168.0
99,47.0,47.829787234042556,43.07491913688752,7.0,14.0,35.0,66.5,176.0
100,36.0,36.583333333333336,36.989863476363354,7.0,7.0,24.5,57.75,162.0
101,43.0,29.488372093023255,28.71566031430971,7.0,10.5,28.0,35.0,169.0
102,31.0,44.74193548387097,47.31593652737274,7.0,10.5,21.0,56.0,176.0
103,27.0,45.666666666666664,81.21055255417147,7.0,7.0,14.0,31.5,371.0
104,36.0,31.52777777777778,39.51237499540843,7.0,7.0,17.5,36.75,183.0
105,15.0,31.333333333333332,41.93645987284414,7.0,7.0,7.0,35.0,148.0
106,43.0,35.18604651162791,38.89500874696336,7.0,7.0,14.0,56.0,176.0
107,24.0,26.875,45.791885079459604,7.0,7.0,7.0,15.75,182.0
108,30.0,22.2,32.48171899646811,7.0,7.0,14.0,19.25,176.0
109,47.0,38.148936170212764,36.545373063110524,7.0,14.0,28.0,49.0,190.0
110,44.0,43.61363636363637,46.20390394715273,7.0,14.0,24.5,64.75,232.0
111,47.0,51.255319148936174,63.26633423218496,7.0,14.0,35.0,56.0,343.0
112,23.0,56.04347826086956,94.01667079487434,7.0,14.0,28.0,52.5,463.0
113,38.0,42.76315789473684,43.745229368022315,7.0,14.0,35.0,47.25,225.0
114,37.0,25.0,28.796218887593945,7.0,7.0,21.0,28.0,176.0
115,50.0,35.86,51.04180359554034,7.0,7.0,14.0,35.0,245.0
116,34.0,36.6764705882353,48.91224088485311,7.0,7.0,7.0,49.0,211.0
117,36.0,38.916666666666664,61.613716005448005,7.0,7.0,17.5,42.0,308.0
118,20.0,38.9,55.11031998111653,7.0,14.0,21.0,29.75,231.0
119,34.0,22.470588235294116,40.27950474712663,7.0,7.0,7.0,19.25,197.0
