id,count,mean,std,min,25%,50%,75%,max
0,28.0,28.785714285714285,33.608152827966265,7.0,7.0,10.5,43.75,120.0
1,44.0,34.38636363636363,36.154845221366564,7.0,7.0,21.0,42.0,147.0
2,33.0,36.93939393939394,40.248400118777546,7.0,7.0,21.0,49.0,182.0
3,54.0,40.333333333333336,32.763877946806105,7.0,14.0,35.0,49.0,161.0
4,27.0,42.2962962962963,43.587943653134545,7.0,10.5,28.0,49.0,182.0
5,50.0,28.58,27.338460610857894,7.0,7.0,14.0,47.25,120.0
6,25.0,24.12,35.17612826904064,7.0,7.0,7.0,28.0,147.0
7,36.0,33.083333333333336,51.747946819173414,7.0,7.0,14.0,42.0,301.0
8,37.0,40.32432432432432,40.65030685551398,7.0,7.0,28.0,56.0,147.0
9,33.0,39.90909090909091,35.09216760578815,7.0,7.0,28.0,56.0,120.0
10,9.0,35.111111111111114,43.535745211390505,7.0,7.0,7.0,56.0,120.0
11,39.0,23.897435897435898,44.69710627145605,7.0,7.0,7.0,14.0,252.0
12,24.0,41.75,74.96912407929942,7.0,12.25,14.0,29.75,350.0
13,36.0,19.666666666666668,25.915246477701114,7.0,7.0,10.5,15.75,120.0
14,50.0,24.8,22.984466804468497,7.0,7.0,14.0,33.25,120.0
15,31.0,31.870967741935484,35.122397351247606,7.0,7.0,21.0,38.5,154.0
16,48.0,44.5,40.069620263799685,7.0,14.0,21.0,70.0,182.0
17,51.0,36.529411764705884,29.566435660171464,7.0,14.0,28.0,56.0,120.0
18,39.0,30.897435897435898,32.099184177036484,7.0,7.0,14.0,42.0,120.0
19,41.0,29.902439024390244,26.41761238080457,7.0,7.0,21.0,49.0,120.0
20,53.0,28.0188679245283,55.32056599286273,7.0,7.0,14.0,28.0,392.0
21,46.0,41.56521739130435,39.7898100712638,7.0,7.0,28.0,68.25,154.0
22,28.0,31.285714285714285,31.724341796700255,7.0,7.0,14.0,43.75,120.0
23,43.0,41.53488372093023,34.7989797587237,7.0,14.0,28.0,63.0,147.0
24,36.0,37.55555555555556,48.0282324379225,7.0,7.0,17.5,49.0,203.0
25,22.0,28.681818181818183,29.044114826597934,7.0,7.0,14.0,40.25,120.0
26,49.0,38.59183673469388,33.71567289317322,7.0,14.0,28.0,63.0,140.0
27,52.0,36.23076923076923,37.28407923098765,7.0,7.0,24.5,49.0,217.0
28,40.0,34.675,39.8724810312795,7.0,7.0,17.5,43.75,168.0
29,42.0,20.19047619047619,21.54658944800505,7.0,7.0,14.0,21.0,120.0
30,32.0,47.5,53.72990997392841,7.0,14.0,24.5,63.0,210.0
31,30.0,25.7,35.41979769797559,7.0,7.0,7.0,19.25,133.0
32,34.0,31.11764705882353,33.681003283374565,7.0,7.0,17.5,40.25,147.0
33,13.0,36.69230769230769,37.02338138569692,7.0,7.0,14.0,63.0,120.0
34,41.0,46.63414634146341,48.1704038272262,7.0,14.0,28.0,63.0,196.0
35,24.0,20.166666666666668,26.70233122320265,7.0,7.0,7.0,21.0,120.0
36,30.0,26.166666666666668,33.71695913532733,7.0,7.0,10.5,21.0,148.0
37,42.0,40.19047619047619,38.99733455259137,7.0,14.0,28.0,49.0,148.0
38,45.0,37.51111111111111,39.55699123486966,7.0,7.0,28.0,49.0,182.0
39,52.0,41.48076923076923,33.886483154395826,7.0,14.0,28.0,64.75,147.0
40,34.0,33.1764705882353,36.40801658995255,7.0,7.0,14.0,40.25,147.0
41,43.0,34.69767441860465,35.44851053605505,7.0,7.0,21.0,49.0,162.0
42,40.0,22.25,30.451095723622668,7.0,7.0,14.0,22.75,154.0
43,51.0,41.05882352941177,56.765627545093125,7.0,7.0,21.0,49.0,308.0
44,40.0,37.475,43.79321309084906,7.0,7.0,17.5,49.0,169.0
45,37.0,42.4054054054054,40.24885054222008,7.0,7.0,28.0,56.0,148.0
46,27.0,18.444444444444443,28.4244387446563,7.0,7.0,7.0,14.0,127.0
47,43.0,22.651162790697676,28.9464889892747,7.0,7.0,7.0,21.0,134.0
48,23.0,33.82608695652174,66.46438018963312,7.0,7.0,14.0,24.5,308.0
49,49.0,21.448979591836736,23.02630852641694,7.0,7.0,14.0,21.0,134.0
50,44.0,29.454545454545453,27.459445399516877,7.0,12.25,21.0,35.0,141.0
51,41.0,34.68292682926829,51.10060617272081,7.0,7.0,14.0,35.0,273.0
52,32.0,30.65625,32.060033782406286,7.0,7.0,17.5,36.75,148.0
53,37.0,37.108108108108105,33.278942110409524,7.0,7.0,28.0,49.0,134.0
54,48.0,35.166666666666664,33.50410158018023,7.0,7.0,21.0,50.75,127.0
55,49.0,43.59183673469388,45.44131672064667,7.0,14.0,28.0,49.0,231.0
56,37.0,21.027027027027028,26.42861085020307,7.0,7.0,7.0,21.0,148.0
57,42.0,41.857142857142854,43.255661650336165,7.0,14.0,28.0,54.25,182.0
58,27.0,40.74074074074074,42.40518164327834,7.0,10.5,28.0,52.5,154.0
59,52.0,39.05769230769231,41.42719267111098,7.0,14.0,28.0,56.0,252.0
60,36.0,35.611111111111114,41.85504084867729,7.0,7.0,21.0,42.0,161.0
61,26.0,23.73076923076923,30.491385921020637,7.0,7.0,7.0,26.25,127.0
62,47.0,43.659574468085104,40.634787300359044,7.0,14.0,35.0,63.0,210.0
63,45.0,39.53333333333333,43.08269004853552,7.0,14.0,21.0,56.0,203.0
64,38.0,27.842105263157894,34.040934274177765,7.0,7.0,14.0,28.0,133.0
65,45.0,20.555555555555557,22.17856823351969,7.0,7.0,14.0,28.0,141.0
66,36.0,45.72222222222222,50.821036764097784,7.0,14.0,21.0,63.0,196.0
67,27.0,42.03703703703704,65.8094460612091,7.0,7.0,21.0,42.0,315.0
68,40.0,31.175,34.74661946294293,7.0,7.0,17.5,49.0,155.0
69,18.0,21.833333333333332,29.013688452988166,7.0,7.0,14.0,19.25,127.0
70,35.0,47.42857142857143,51.242380044305534,7.0,7.0,21.0,59.5,203.0
71,29.0,22.482758620689655,29.08192945266279,7.0,7.0,14.0,21.0,134.0
72,27.0,31.40740740740741,33.96294276828028,7.0,7.0,14.0,45.5,162.0
73,46.0,33.80434782608695,35.929325419784504,7.0,7.0,21.0,35.0,155.0
74,30.0,35.266666666666666,40.313370190198114,7.0,7.0,17.5,49.0,204.0
75,51.0,39.96078431372549,32.58647620367304,7.0,14.0,35.0,56.0,162.0
76,25.0,45.12,49.392408323547045,7.0,7.0,28.0,63.0,162.0
77,47.0,38.148936170212764,45.64369508505612,7.0,7.0,21.0,45.5,190.0
78,36.0,29.77777777777778,35.250216705401655,7.0,7.0,14.0,42.0,161.0
79,50.0,41.6,47.07440918375928,7.0,7.0,28.0,47.25,238.0
80,38.0,37.421052631578945,46.12886273517263,7.0,7.0,17.5,47.25,196.0
81,38.0,38.71052631578947,39.63952974789716,7.0,7.0,21.0,63.0,162.0
82,24.0,22.208333333333332,30.909375483073468,7.0,12.25,14.0,14.0,148.0
83,41.0,18.463414634146343,25.409739826467735,7.0,7.0,7.0,21.0,155.0
84,23.0,30.782608695652176,40.36082317583265,7.0,7.0,14.0,35.0,176.0
85,43.0,25.74418604651163,35.81639224556784,7.0,7.0,14.0,28.0,176.0
86,42.0,25.69047619047619,30.313394041319384,7.0,7.0,14.0,28.0,162.0
87,38.0,30.05263157894737,56.80880564043773,7.0,7.0,7.0,28.0,315.0
88,38.0,35.026315789473685,47.192811432723616,7.0,7.0,17.5,47.25,245.0
89,39.0,40.41025641025641,36.8836848461113,7.0,14.0,28.0,56.0,190.0
90,45.0,37.044444444444444,35.326371526842735,7.0,14.0,28.0,42.0,169.0
91,48.0,37.354166666666664,33.426635820397834,7.0,14.0,35.0,56.0,162.0
92,40.0,18.4,25.43548903725074,7.0,7.0,7.0,21.0,155.0
93,41.0,42.8780487804878,44.29288606647304,7.0,14.0,28.0,56.0,182.0
94,22.0,57.31818181818182,82.20032809784848,7.0,14.0,21.0,78.75,350.0
95,50.0,42.58,46.40772718909152,7.0,7.0,21.0,63.0,217.0
96,33.0,43.515151515151516,50.038810694875394,7.0,7.0,21.0,56.0,189.0
97,20.0,36.45,52.762102627588774,7.0,7.0,10.5,33.25,175.0
98,48.0,43.1875,36.944844600474255,7.0,14.0,28.0,63.0,155.0
99,46.0,51.15217391304348,46.67617397978657,7.0,14.0,35.0,77.0,217.0
100,34.0,39.970588235294116,44.87186153057673,7.0,7.0,17.5,49.0,162.0
101,46.0,24.217391304347824,27.908511679317286,7.0,7.0,14.0,33.25,169.0
102,35.0,45.22857142857143,54.46050145277213,7.0,7.0,21.0,49.0,196.0
103,25.0,50.72,66.64803072859694,7.0,7.0,21.0,56.0,224.0
104,30.0,43.2,47.833331330850214,7.0,7.0,21.0,71.75,190.0
