id,count,mean,std,min,25%,50%,75%,max
0,27.0,31.666666666666668,28.478061731796284,7.0,10.5,21.0,42.0,120.0
1,52.0,42.42307692307692,28.84464551109328,7.0,21.0,42.0,50.75,120.0
2,45.0,39.68888888888889,40.642466719062476,7.0,7.0,28.0,56.0,189.0
3,46.0,34.108695652173914,37.28522391920578,7.0,7.0,21.0,40.25,175.0
4,30.0,31.766666666666666,29.785073018420547,7.0,7.0,17.5,42.0,120.0
5,47.0,35.61702127659574,28.84482712383427,7.0,14.0,28.0,45.5,120.0
6,37.0,21.783783783783782,24.570912268976294,7.0,7.0,7.0,28.0,120.0
7,41.0,34.853658536585364,41.68426620177556,7.0,7.0,14.0,42.0,196.0
8,37.0,28.972972972972972,35.65536151555338,7.0,7.0,7.0,35.0,147.0
9,37.0,38.810810810810814,42.04021740999777,7.0,7.0,21.0,49.0,154.0
10,33.0,13.818181818181818,20.53115703244484,7.0,7.0,7.0,14.0,120.0
11,27.0,24.666666666666668,26.71214071426065,7.0,7.0,14.0,28.0,120.0
12,30.0,26.633333333333333,31.320901177563723,7.0,7.0,14.0,33.25,120.0
13,56.0,27.517857142857142,29.660497802129523,7.0,7.0,14.0,36.75,126.0
14,52.0,28.153846153846153,24.88828735895947,7.0,7.0,21.0,35.0,120.0
15,28.0,26.285714285714285,34.21485181403077,7.0,7.0,7.0,28.0,140.0
16,35.0,32.22857142857143,32.434627206379396,7.0,7.0,14.0,42.0,120.0
17,42.0,34.357142857142854,26.57875681044639,7.0,14.0,28.0,49.0,120.0
18,48.0,30.645833333333332,28.85952004388016,7.0,14.0,21.0,36.75,120.0
19,53.0,28.28301886792453,25.306868449319758,7.0,7.0,14.0,42.0,120.0
20,37.0,17.243243243243242,23.31476094833653,7.0,7.0,7.0,14.0,120.0
21,41.0,38.09756097560975,33.814793270141976,7.0,21.0,28.0,49.0,182.0
22,26.0,52.0,53.769880044500745,7.0,14.0,31.5,61.25,189.0
23,49.0,44.734693877551024,50.987651899832606,7.0,14.0,28.0,49.0,259.0
24,36.0,30.944444444444443,33.17998057731667,7.0,7.0,14.0,35.0,120.0
25,18.0,31.166666666666668,36.09668389527346,7.0,7.0,17.5,28.0,120.0
26,46.0,42.17391304347826,44.469867125117474,7.0,7.0,17.5,70.0,189.0
27,52.0,28.96153846153846,25.743045158980614,7.0,7.0,21.0,36.75,120.0
28,41.0,27.51219512195122,23.07175974131526,7.0,7.0,28.0,42.0,120.0
29,36.0,27.833333333333332,29.000000000000004,7.0,7.0,14.0,42.0,120.0
30,36.0,41.638888888888886,50.63096329761507,7.0,7.0,21.0,56.0,210.0
31,24.0,42.625,60.93675445474809,7.0,7.0,7.0,54.25,231.0
32,32.0,32.1875,40.296031582406755,7.0,7.0,14.0,42.0,182.0
33,10.0,30.2,34.43125195387341,7.0,7.0,21.0,35.0,120.0
34,40.0,40.975,39.34820720511178,7.0,12.25,21.0,56.0,140.0
35,26.0,26.153846153846153,28.79123798337585,7.0,7.0,17.5,31.5,120.0
36,35.0,24.62857142857143,27.993786825657157,7.0,7.0,14.0,31.5,148.0
37,45.0,34.71111111111111,29.633075978021452,7.0,14.0,28.0,42.0,148.0
38,39.0,47.41025641025641,40.96321710017026,7.0,14.0,35.0,70.0,155.0
39,51.0,37.07843137254902,37.85490358579977,7.0,7.0,21.0,52.5,182.0
40,29.0,39.37931034482759,37.056341074006525,7.0,7.0,28.0,56.0,134.0
41,46.0,35.630434782608695,34.114420994745956,7.0,14.0,21.0,47.25,162.0
42,23.0,24.08695652173913,34.4171112879497,7.0,7.0,7.0,21.0,127.0
43,51.0,38.72549019607843,64.08621643735026,7.0,7.0,7.0,31.5,322.0
44,37.0,35.027027027027025,40.878876973109016,7.0,7.0,14.0,49.0,176.0
45,36.0,42.416666666666664,53.70521389958334,7.0,7.0,14.0,42.0,196.0
46,13.0,25.384615384615383,33.76521499398076,7.0,7.0,14.0,21.0,127.0
47,39.0,19.23076923076923,25.036249023809184,7.0,7.0,7.0,21.0,134.0
48,16.0,35.9375,56.57263030830368,7.0,7.0,10.5,29.75,210.0
49,40.0,26.275,29.695883768975673,7.0,7.0,21.0,28.0,134.0
50,42.0,38.69047619047619,38.3815810089074,7.0,14.0,28.0,42.0,175.0
51,44.0,18.636363636363637,25.581689408265678,7.0,7.0,7.0,21.0,127.0
52,34.0,29.470588235294116,32.8866144770894,7.0,7.0,14.0,35.0,148.0
53,36.0,48.05555555555556,56.717820049003215,7.0,14.0,31.5,57.75,308.0
54,46.0,33.04347826086956,34.342689030637544,7.0,7.0,21.0,42.0,127.0
55,50.0,37.82,30.699790599565052,7.0,14.0,28.0,56.0,148.0
56,38.0,25.81578947368421,29.858092536202424,7.0,7.0,14.0,28.0,148.0
57,42.0,40.69047619047619,36.40791129199478,7.0,14.0,31.5,54.25,161.0
58,24.0,42.041666666666664,49.108999588463526,7.0,7.0,14.0,68.25,168.0
59,43.0,51.95348837209303,49.5623481746895,7.0,14.0,42.0,66.5,196.0
60,37.0,32.567567567567565,37.752513191206916,7.0,7.0,14.0,42.0,148.0
