id,count,mean,std,min,25%,50%,75%,max
0,41.0,9.24390243902439,21.51717974991713,0.0,0.0,7.0,7.0,134.0
1,52.0,7.826923076923077,20.80980269935599,0.0,0.0,0.0,7.0,141.0
2,49.0,14.877551020408163,22.28287146092751,0.0,0.0,7.0,21.0,141.0
3,52.0,7.6923076923076925,17.672997528120668,0.0,0.0,0.0,7.0,120.0
4,42.0,16.69047619047619,23.50764078714553,0.0,0.0,10.5,21.0,127.0
5,52.0,7.153846153846154,21.801587112027377,0.0,0.0,0.0,7.0,148.0
6,38.0,7.2105263157894735,20.76399937357385,0.0,0.0,0.0,7.0,120.0
7,56.0,9.017857142857142,21.24274513284996,0.0,0.0,0.0,7.0,134.0
8,52.0,11.73076923076923,23.75951028132622,0.0,0.0,7.0,14.0,162.0
9,57.0,9.596491228070175,20.249214842911467,0.0,0.0,7.0,14.0,141.0
10,29.0,7.517241379310345,22.929426959469684,0.0,0.0,0.0,7.0,120.0
11,43.0,13.69767441860465,36.70054812340191,0.0,0.0,0.0,7.0,203.0
12,43.0,21.674418604651162,40.55726165396546,0.0,0.0,14.0,21.0,231.0
13,59.0,17.338983050847457,25.425082761531815,0.0,0.0,7.0,21.0,127.0
14,54.0,15.055555555555555,20.25257185314168,0.0,7.0,7.0,21.0,134.0
15,36.0,4.5,20.663978319771825,0.0,0.0,0.0,0.0,120.0
16,51.0,11.137254901960784,22.82544160172428,0.0,0.0,0.0,14.0,141.0
17,52.0,14.961538461538462,22.192527923288566,0.0,0.0,7.0,14.0,127.0
18,53.0,15.339622641509434,29.51332384653153,0.0,0.0,7.0,14.0,140.0
19,54.0,11.814814814814815,20.417412171388914,0.0,0.0,7.0,14.0,141.0
20,57.0,22.736842105263158,35.559068722634635,0.0,7.0,14.0,28.0,224.0
21,52.0,14.288461538461538,24.74603278837231,0.0,0.0,7.0,14.0,148.0
22,37.0,5.135135135135135,21.77174795483837,0.0,0.0,0.0,0.0,127.0
23,50.0,8.14,18.200706422711022,0.0,0.0,0.0,12.25,120.0
24,50.0,11.36,21.84150701237047,0.0,0.0,7.0,12.25,141.0
25,40.0,13.675,24.150582622902515,0.0,0.0,7.0,14.0,120.0
26,53.0,13.358490566037736,23.28014533692956,0.0,0.0,7.0,14.0,127.0
27,60.0,17.633333333333333,27.910854863458404,0.0,0.0,7.0,15.75,141.0
28,54.0,11.425925925925926,19.350395492864184,0.0,0.0,7.0,14.0,120.0
29,56.0,15.892857142857142,32.420351953352096,0.0,0.0,7.0,14.0,168.0
30,44.0,14.340909090909092,23.357627290517033,0.0,0.0,7.0,15.75,134.0
31,32.0,9.4375,23.453368284128565,0.0,0.0,0.0,7.0,127.0
32,49.0,10.020408163265307,21.801653029757446,0.0,0.0,7.0,14.0,148.0
33,28.0,10.285714285714286,23.5432732279459,0.0,0.0,7.0,7.0,120.0
34,59.0,15.322033898305085,26.730739555261934,0.0,0.0,7.0,14.0,134.0
35,30.0,7.966666666666667,24.32890055672164,0.0,0.0,0.0,7.0,127.0
36,41.0,9.926829268292684,24.04203635707928,0.0,0.0,7.0,7.0,155.0
37,52.0,11.73076923076923,22.882577827336952,0.0,0.0,7.0,14.0,148.0
38,49.0,19.163265306122447,29.9613271142815,0.0,0.0,7.0,21.0,162.0
39,52.0,12.807692307692308,24.391446959256314,0.0,0.0,7.0,14.0,155.0
40,40.0,23.475,41.73665148191787,0.0,0.0,7.0,28.0,182.0
41,52.0,13.346153846153847,28.09778765653185,0.0,0.0,7.0,15.75,190.0
42,38.0,7.394736842105263,22.70675512501191,0.0,0.0,0.0,7.0,141.0
43,52.0,21.692307692307693,33.92988067195747,0.0,0.0,7.0,28.0,162.0
44,48.0,17.229166666666668,32.03537910161821,0.0,0.0,7.0,14.0,176.0
45,56.0,11.767857142857142,23.541059736267044,0.0,0.0,7.0,14.0,155.0
46,29.0,10.89655172413793,24.82559857944187,0.0,0.0,7.0,7.0,134.0
47,43.0,15.488372093023257,31.090016842819846,0.0,0.0,7.0,14.0,148.0
48,41.0,13.170731707317072,32.16823156393928,0.0,0.0,0.0,14.0,169.0
49,58.0,12.689655172413794,24.796863763600967,0.0,0.0,7.0,14.0,169.0
50,54.0,13.62962962962963,23.327282833380735,0.0,0.0,7.0,14.0,155.0
51,36.0,7.611111111111111,25.71856225461378,0.0,0.0,0.0,0.0,148.0
52,49.0,13.020408163265307,31.33853445036316,0.0,0.0,0.0,14.0,162.0
53,51.0,18.96078431372549,28.90741135716841,0.0,7.0,14.0,24.5,169.0
54,53.0,16.92452830188679,35.620245462271214,0.0,7.0,7.0,14.0,210.0
55,54.0,14.407407407407407,22.73017985345717,0.0,7.0,10.5,21.0,162.0
56,52.0,12.26923076923077,24.86048552569222,0.0,0.0,3.5,14.0,148.0
57,52.0,9.711538461538462,23.934007750447723,0.0,0.0,0.0,7.0,155.0
58,36.0,10.722222222222221,27.92808224310752,0.0,0.0,0.0,7.0,162.0
59,50.0,17.38,34.798481083436464,0.0,0.0,7.0,14.0,176.0
60,49.0,15.16326530612245,29.369305787658305,0.0,0.0,7.0,14.0,169.0
61,40.0,14.725,43.273718855556474,0.0,0.0,0.0,8.75,245.0
62,53.0,12.30188679245283,25.188966529675078,0.0,0.0,7.0,14.0,148.0
63,60.0,19.383333333333333,29.7618181435382,0.0,7.0,14.0,21.0,162.0
64,51.0,17.313725490196077,35.032265239963245,0.0,0.0,7.0,17.5,182.0
65,52.0,18.46153846153846,32.609069794780176,0.0,0.0,7.0,21.0,183.0
66,44.0,9.568181818181818,25.539206273540536,0.0,0.0,0.0,7.0,162.0
67,30.0,11.0,28.574162430781584,0.0,0.0,7.0,7.0,155.0
68,49.0,8.020408163265307,25.973134995541034,0.0,0.0,0.0,7.0,176.0
69,28.0,12.535714285714286,26.73807403637374,0.0,0.0,7.0,14.0,141.0
70,54.0,17.25925925925926,26.078390667721592,0.0,7.0,14.0,21.0,169.0
71,30.0,12.633333333333333,26.775546400726757,0.0,0.0,7.0,14.0,148.0
72,40.0,13.325,26.469515605886265,0.0,0.0,7.0,15.75,162.0
73,52.0,13.615384615384615,27.995205364108017,0.0,0.0,7.0,14.0,183.0
74,43.0,22.651162790697676,63.23685021256356,0.0,0.0,0.0,10.5,316.0
75,51.0,19.50980392156863,30.1080537723843,0.0,0.0,7.0,21.0,176.0
76,39.0,24.076923076923077,77.60574606214638,0.0,7.0,7.0,14.0,491.0
77,52.0,12.134615384615385,31.947891916187302,0.0,0.0,0.0,14.0,211.0
78,38.0,8.5,27.83032567231341,0.0,0.0,0.0,7.0,169.0
79,52.0,17.384615384615383,32.53062137894311,0.0,0.0,7.0,21.0,176.0
80,47.0,14.617021276595745,32.39803616665768,0.0,0.0,7.0,14.0,204.0
81,56.0,13.017857142857142,27.841428301546063,0.0,0.0,7.0,14.0,190.0
82,29.0,17.896551724137932,32.16846817657916,0.0,0.0,14.0,21.0,169.0
83,43.0,18.906976744186046,36.33692465004786,0.0,0.0,7.0,17.5,183.0
84,38.0,14.394736842105264,38.804805688515835,0.0,0.0,0.0,7.0,190.0
85,57.0,16.842105263157894,35.03100130786414,0.0,0.0,7.0,14.0,232.0
86,53.0,20.22641509433962,34.29601990219967,0.0,0.0,7.0,21.0,190.0
87,36.0,12.083333333333334,51.102348282637664,0.0,0.0,0.0,7.0,309.0
88,49.0,10.020408163265307,28.339820185796263,0.0,0.0,0.0,7.0,176.0
89,49.0,18.73469387755102,47.64529336242811,0.0,0.0,7.0,14.0,288.0
90,50.0,14.44,30.156164970272425,0.0,0.0,7.0,14.0,176.0
91,53.0,21.41509433962264,32.62693198657075,0.0,7.0,14.0,21.0,190.0
92,52.0,12.26923076923077,36.538518694882654,0.0,0.0,0.0,8.75,253.0
93,51.0,10.862745098039216,29.81007856939873,0.0,0.0,7.0,7.0,211.0
94,36.0,22.38888888888889,36.70210408742862,0.0,7.0,14.0,21.0,183.0
95,49.0,22.448979591836736,42.882135569726564,0.0,0.0,7.0,14.0,210.0
96,49.0,13.020408163265307,28.08431486607068,0.0,0.0,7.0,14.0,176.0
97,38.0,23.236842105263158,52.691059916873805,0.0,0.0,7.0,14.0,225.0
98,52.0,17.653846153846153,31.4797691743441,0.0,0.0,7.0,14.0,176.0
99,54.0,16.35185185185185,27.063278335075907,0.0,0.0,7.0,21.0,169.0
100,48.0,15.916666666666666,32.53203549323856,0.0,0.0,7.0,21.0,204.0
101,52.0,17.384615384615383,36.193463739965935,0.0,0.0,7.0,14.0,225.0
102,43.0,18.906976744186046,35.109904960802574,0.0,0.0,7.0,21.0,204.0
103,29.0,28.517241379310345,43.643540423408076,0.0,7.0,14.0,35.0,190.0
104,48.0,10.520833333333334,32.88988047391861,0.0,0.0,0.0,7.0,197.0
105,28.0,15.035714285714286,32.26680686707046,0.0,0.0,7.0,14.0,169.0
106,53.0,18.245283018867923,31.450147156545388,0.0,0.0,7.0,21.0,190.0
107,29.0,18.379310344827587,45.079623044044006,0.0,0.0,0.0,7.0,225.0
108,39.0,13.128205128205128,35.34281694844869,0.0,0.0,0.0,14.0,218.0
109,52.0,14.288461538461538,38.4969245211449,0.0,0.0,7.0,14.0,274.0
110,43.0,24.6046511627907,81.70304521190887,0.0,0.0,0.0,14.0,491.0
111,50.0,12.76,26.950112642224177,0.0,0.0,7.0,14.0,183.0
112,39.0,24.974358974358974,84.6119585860207,0.0,0.0,7.0,14.0,526.0
