id,count,mean,std,min,25%,50%,75%,max
0,27.0,32.18518518518518,34.67767740984552,7.0,7.0,21.0,35.0,120.0
1,52.0,40.13461538461539,27.956569150607514,7.0,21.0,35.0,49.0,120.0
2,36.0,30.166666666666668,31.68911485037094,7.0,7.0,14.0,42.0,120.0
3,50.0,39.22,30.777867743837337,7.0,14.0,31.5,56.0,120.0
4,32.0,32.625,34.26438948962573,7.0,7.0,21.0,36.75,133.0
5,41.0,27.682926829268293,28.426606396464425,7.0,14.0,14.0,28.0,133.0
6,35.0,31.02857142857143,20.730037476606565,7.0,21.0,21.0,42.0,120.0
7,41.0,30.414634146341463,29.716136701930235,7.0,7.0,21.0,28.0,120.0
8,53.0,31.58490566037736,33.97308547968758,7.0,7.0,14.0,49.0,147.0
9,26.0,28.846153846153847,34.360084176488634,7.0,7.0,14.0,38.5,126.0
10,17.0,28.058823529411764,30.3983358677644,7.0,7.0,14.0,42.0,120.0
11,19.0,26.94736842105263,34.14588584980387,7.0,7.0,7.0,24.5,120.0
12,31.0,23.29032258064516,26.523189285839536,7.0,7.0,14.0,24.5,120.0
13,61.0,26.75409836065574,24.39648590658425,7.0,7.0,14.0,42.0,120.0
14,38.0,20.657894736842106,26.139207700920537,7.0,7.0,7.0,21.0,120.0
15,18.0,24.166666666666668,38.12710939198296,7.0,7.0,7.0,14.0,133.0
16,47.0,47.97872340425532,38.684616289493036,7.0,14.0,42.0,70.0,147.0
17,53.0,32.509433962264154,25.75149184738133,7.0,7.0,28.0,49.0,120.0
18,52.0,32.19230769230769,29.11171077717793,7.0,7.0,24.5,42.0,126.0
19,52.0,29.76923076923077,30.010857763656258,7.0,7.0,21.0,35.0,120.0
20,28.0,29.285714285714285,32.66083524238409,7.0,7.0,14.0,38.5,126.0
21,49.0,35.30612244897959,32.51038557242942,7.0,14.0,21.0,49.0,133.0
22,17.0,44.11764705882353,51.21874943922047,7.0,14.0,21.0,70.0,196.0
23,48.0,43.041666666666664,34.12677137999865,7.0,14.0,35.0,57.75,182.0
24,35.0,28.82857142857143,28.892789365357654,7.0,7.0,14.0,42.0,120.0
25,19.0,36.89473684210526,39.358600269886104,7.0,7.0,14.0,63.0,120.0
26,45.0,42.17777777777778,37.96307349905892,7.0,14.0,28.0,63.0,133.0
27,39.0,22.82051282051282,28.713532290057934,7.0,7.0,14.0,21.0,126.0
28,38.0,32.81578947368421,36.49572745312606,7.0,7.0,14.0,42.0,140.0
29,38.0,27.473684210526315,30.545258261732872,7.0,7.0,17.5,33.25,133.0
30,38.0,35.94736842105263,40.32298477290257,7.0,7.0,14.0,50.75,147.0
31,13.0,35.07692307692308,44.0614372939678,7.0,7.0,7.0,42.0,126.0
32,44.0,42.18181818181818,35.88630154359461,7.0,14.0,35.0,49.0,147.0
33,15.0,42.06666666666667,49.041479042405186,7.0,7.0,14.0,80.5,147.0
34,49.0,36.16326530612245,33.51140784542351,7.0,14.0,28.0,42.0,182.0
35,27.0,25.444444444444443,26.196496144645188,7.0,7.0,14.0,31.5,120.0
36,34.0,38.73529411764706,47.88199435324521,7.0,8.75,21.0,40.25,224.0
37,45.0,37.666666666666664,32.78303330577073,7.0,14.0,28.0,42.0,148.0
38,39.0,29.641025641025642,32.47224497408857,7.0,7.0,14.0,45.5,148.0
39,46.0,46.130434782608695,35.82153833513648,7.0,14.0,42.0,70.0,140.0
40,37.0,29.91891891891892,30.736675865214238,7.0,7.0,14.0,42.0,148.0
41,50.0,30.12,29.255133859595603,7.0,8.75,21.0,35.0,162.0
42,37.0,30.10810810810811,24.46287866201426,7.0,14.0,28.0,35.0,127.0
43,49.0,31.448979591836736,53.35535790983952,7.0,7.0,14.0,35.0,343.0
44,37.0,30.675675675675677,38.94515663372309,7.0,7.0,14.0,35.0,169.0
45,52.0,25.865384615384617,27.27063266100593,7.0,7.0,14.0,35.0,148.0
46,28.0,23.785714285714285,27.90772777997646,7.0,7.0,14.0,21.0,134.0
47,41.0,22.21951219512195,25.39243213550245,7.0,7.0,14.0,28.0,134.0
48,19.0,22.157894736842106,30.29166214194324,7.0,7.0,7.0,24.5,134.0
49,46.0,24.52173913043478,25.686779245738915,7.0,7.0,14.0,33.25,134.0
50,49.0,27.306122448979593,27.24442150975793,7.0,7.0,21.0,28.0,141.0
51,36.0,25.5,27.860366113890176,7.0,7.0,14.0,35.0,127.0
52,31.0,30.06451612903226,32.26033217835899,7.0,14.0,21.0,31.5,148.0
53,44.0,31.84090909090909,25.90855401691413,7.0,7.0,28.0,42.0,134.0
54,46.0,37.0,42.19373307863516,7.0,14.0,24.5,42.0,224.0
55,48.0,41.0,41.10081015922534,7.0,14.0,28.0,49.0,203.0
56,34.0,22.470588235294116,29.914256552654606,7.0,7.0,7.0,26.25,148.0
57,44.0,37.56818181818182,32.675570653740216,7.0,14.0,28.0,56.0,155.0
58,26.0,35.57692307692308,31.86744178866333,7.0,14.0,24.5,47.25,141.0
59,51.0,43.666666666666664,41.35488685351063,7.0,7.0,28.0,59.5,203.0
60,33.0,35.878787878787875,45.80308230332156,7.0,7.0,14.0,42.0,196.0
61,19.0,26.210526315789473,30.591536497259465,7.0,7.0,7.0,38.5,127.0
62,46.0,36.391304347826086,36.22612823846565,7.0,14.0,17.5,59.5,134.0
63,49.0,33.87755102040816,30.333309972331588,7.0,14.0,21.0,49.0,148.0
64,43.0,28.348837209302324,30.472379156752236,7.0,7.0,14.0,38.5,127.0
65,43.0,30.790697674418606,33.44473632123445,7.0,7.0,14.0,45.5,154.0
66,37.0,42.21621621621622,38.49973674883673,7.0,14.0,28.0,56.0,161.0
67,24.0,26.583333333333332,39.236093262361806,7.0,7.0,14.0,15.75,147.0
68,33.0,36.72727272727273,40.531833729237384,7.0,7.0,14.0,49.0,155.0
69,14.0,34.57142857142857,36.87132362005065,7.0,7.0,17.5,47.25,127.0
70,44.0,41.54545454545455,41.8210220563187,7.0,21.0,24.5,43.75,189.0
71,27.0,32.7037037037037,55.49484717231018,7.0,7.0,14.0,28.0,273.0
72,28.0,33.535714285714285,52.31279295620057,7.0,7.0,14.0,22.75,210.0
73,43.0,40.06976744186046,33.870478330333356,7.0,14.0,28.0,56.0,155.0
74,38.0,27.473684210526315,31.18882062543709,7.0,7.0,14.0,40.25,169.0
75,48.0,44.9375,37.27494523876852,7.0,12.25,35.0,63.0,169.0
76,30.0,32.7,42.563664283533896,7.0,7.0,14.0,35.0,169.0
77,49.0,35.734693877551024,33.94528410435196,7.0,14.0,21.0,56.0,190.0
78,37.0,35.21621621621622,27.200015456628712,7.0,14.0,28.0,42.0,148.0
79,54.0,37.74074074074074,53.93503611008032,7.0,7.0,21.0,42.0,301.0
80,37.0,30.2972972972973,41.9171569652338,7.0,7.0,14.0,35.0,197.0
81,36.0,34.638888888888886,38.88308686877168,7.0,7.0,21.0,42.0,183.0
82,21.0,29.047619047619047,30.7172202363368,7.0,14.0,21.0,35.0,141.0
83,41.0,21.878048780487806,30.548482058812038,7.0,7.0,14.0,21.0,155.0
84,21.0,26.047619047619047,35.55907224672235,7.0,7.0,14.0,28.0,169.0
85,35.0,32.42857142857143,40.23262190743002,7.0,7.0,14.0,38.5,204.0
86,46.0,32.43478260869565,39.95366881994585,7.0,8.75,21.0,35.0,224.0
87,36.0,24.333333333333332,25.163465580082562,7.0,14.0,14.0,28.0,155.0
88,33.0,35.45454545454545,37.155997925209626,7.0,7.0,21.0,49.0,176.0
89,45.0,38.6,31.39079193301466,7.0,14.0,35.0,49.0,176.0
90,42.0,41.19047619047619,39.91835453818211,7.0,14.0,28.0,54.25,182.0
91,48.0,39.541666666666664,37.07207375481266,7.0,14.0,24.5,50.75,169.0
92,40.0,21.2,28.498492987596777,7.0,7.0,7.0,21.0,155.0
93,47.0,33.53191489361702,32.294737129344604,7.0,10.5,21.0,42.0,162.0
94,27.0,38.925925925925924,52.954934342562176,7.0,7.0,14.0,45.5,182.0
95,49.0,42.02040816326531,49.8646040944536,7.0,7.0,21.0,56.0,266.0
96,38.0,34.473684210526315,41.30881513286681,7.0,7.0,21.0,47.25,189.0
97,21.0,39.04761904761905,56.42027666581952,7.0,7.0,14.0,42.0,224.0
98,49.0,33.59183673469388,33.91712839612835,7.0,7.0,28.0,35.0,155.0
99,48.0,43.625,38.12053950188656,7.0,14.0,35.0,57.75,176.0
100,43.0,32.093023255813954,36.079155011676605,7.0,7.0,14.0,38.5,162.0
101,40.0,34.675,34.53677898362994,7.0,12.25,24.5,42.0,169.0
102,36.0,38.138888888888886,38.816162155015334,7.0,7.0,21.0,50.75,169.0
