id,count,mean,std,min,25%,50%,75%,max
0,41.0,10.609756097560975,24.645362696438948,0.0,0.0,0.0,14.0,148.0
1,53.0,9.924528301886792,18.195359781045376,0.0,0.0,7.0,14.0,120.0
2,51.0,8.117647058823529,20.435896906006867,0.0,0.0,0.0,7.0,141.0
3,51.0,14.431372549019608,21.118953479716538,0.0,0.0,7.0,21.0,120.0
4,45.0,18.22222222222222,21.971974803546374,0.0,7.0,14.0,21.0,134.0
5,54.0,6.37037037037037,21.028548695466267,0.0,0.0,0.0,7.0,148.0
6,46.0,5.195652173913044,18.711398267386993,0.0,0.0,0.0,0.0,120.0
7,58.0,8.706896551724139,21.69324304267135,0.0,0.0,0.0,7.0,127.0
8,52.0,18.73076923076923,26.897128197616833,0.0,0.0,7.0,35.0,155.0
9,61.0,17.0,28.861161907772644,0.0,0.0,7.0,14.0,141.0
10,32.0,4.1875,21.2032217576298,0.0,0.0,0.0,0.0,120.0
11,48.0,13.291666666666666,27.758807943420702,0.0,0.0,7.0,14.0,140.0
12,41.0,35.19512195121951,37.15119076974191,0.0,7.0,28.0,49.0,154.0
13,69.0,10.971014492753623,21.8355962852435,0.0,0.0,0.0,14.0,127.0
14,51.0,12.647058823529411,21.75575650664602,0.0,0.0,7.0,14.0,134.0
15,48.0,12.708333333333334,23.543493778340974,0.0,0.0,7.0,14.0,120.0
16,51.0,19.098039215686274,33.323418133175224,0.0,7.0,7.0,21.0,196.0
17,51.0,12.92156862745098,20.513257310583224,0.0,0.0,7.0,14.0,127.0
18,57.0,5.7894736842105265,16.651616011350782,0.0,0.0,0.0,7.0,120.0
19,52.0,18.865384615384617,23.320468873430084,0.0,7.0,10.5,28.0,141.0
20,52.0,15.5,26.90615499231706,0.0,0.0,7.0,15.75,134.0
21,52.0,20.884615384615383,26.230990387553337,0.0,7.0,14.0,28.0,148.0
22,44.0,15.136363636363637,25.044695775140582,0.0,0.0,7.0,15.75,127.0
23,50.0,15.84,31.375513655442475,0.0,0.0,7.0,14.0,182.0
24,49.0,25.020408163265305,31.218644132899154,0.0,7.0,14.0,35.0,141.0
25,44.0,16.40909090909091,35.47047129709521,0.0,0.0,7.0,14.0,175.0
26,52.0,14.423076923076923,20.35888412698318,0.0,0.0,7.0,21.0,127.0
27,47.0,8.212765957446809,20.745807507534757,0.0,0.0,7.0,7.0,141.0
28,51.0,11.27450980392157,19.312253551952498,0.0,0.0,7.0,14.0,120.0
29,56.0,8.517857142857142,23.588125727252585,0.0,0.0,0.0,7.0,134.0
30,44.0,14.818181818181818,24.18463160603572,0.0,0.0,7.0,14.0,134.0
31,24.0,5.875,25.95700877119369,0.0,0.0,0.0,0.0,127.0
32,55.0,12.10909090909091,23.224885063123264,0.0,0.0,7.0,14.0,148.0
33,24.0,5.0,24.49489742783178,0.0,0.0,0.0,0.0,120.0
34,53.0,12.962264150943396,25.34527892933525,0.0,0.0,7.0,14.0,134.0
35,27.0,7.296296296296297,24.474185481559037,0.0,0.0,0.0,7.0,127.0
36,39.0,12.23076923076923,27.804260879888947,0.0,0.0,7.0,14.0,162.0
37,52.0,15.634615384615385,23.976319073614253,0.0,0.0,7.0,15.75,141.0
38,51.0,18.0,31.497936440344787,0.0,0.0,7.0,21.0,162.0
39,51.0,10.588235294117647,23.77155987358695,0.0,0.0,7.0,14.0,155.0
40,42.0,14.19047619047619,26.614903302783052,0.0,0.0,7.0,14.0,155.0
41,53.0,10.320754716981131,22.62807444891417,0.0,0.0,7.0,14.0,162.0
42,46.0,7.478260869565218,21.031974737353053,0.0,0.0,0.0,7.0,141.0
43,58.0,18.24137931034483,31.12020291776828,0.0,0.0,7.0,21.0,183.0
44,51.0,12.098039215686274,27.58641325142563,0.0,0.0,0.0,10.5,169.0
45,59.0,13.186440677966102,26.94021130928007,0.0,0.0,7.0,14.0,183.0
46,32.0,7.46875,23.55499313548835,0.0,0.0,0.0,7.0,134.0
47,47.0,13.574468085106384,25.117761497508063,0.0,0.0,7.0,17.5,148.0
48,38.0,22.31578947368421,29.856508424560165,0.0,0.0,14.0,28.0,155.0
49,64.0,9.96875,26.504847565010525,0.0,0.0,0.0,7.0,197.0
50,51.0,21.84313725490196,42.01493665306166,0.0,7.0,14.0,21.0,259.0
51,48.0,13.291666666666666,25.17594117772754,0.0,0.0,7.0,15.75,148.0
52,50.0,11.5,26.10281867647904,0.0,0.0,0.0,7.0,155.0
53,50.0,18.78,32.01548732365991,0.0,1.75,7.0,21.0,169.0
54,56.0,15.392857142857142,24.627906249491982,0.0,0.0,7.0,21.0,162.0
55,51.0,18.274509803921568,26.073801741497196,0.0,0.0,14.0,24.5,155.0
