id,count,mean,std,min,25%,50%,75%,max
0,26.0,23.076923076923077,24.50456786303007,7.0,7.0,10.5,28.0,110.0
1,57.0,35.21052631578947,23.511195541474994,7.0,14.0,28.0,49.0,110.0
2,50.0,34.54,31.60031645411166,7.0,8.75,21.0,47.25,147.0
3,56.0,34.964285714285715,29.635337803933442,7.0,14.0,28.0,42.0,133.0
4,37.0,26.054054054054053,27.270197352855075,7.0,7.0,14.0,35.0,110.0
5,39.0,17.358974358974358,19.07255837927634,7.0,7.0,7.0,21.0,110.0
6,37.0,23.783783783783782,26.445053239516103,7.0,7.0,14.0,35.0,110.0
7,36.0,22.694444444444443,43.17593208155571,7.0,7.0,7.0,14.0,238.0
8,36.0,27.166666666666668,20.923670806051216,7.0,14.0,21.0,35.0,110.0
9,44.0,16.181818181818183,17.534381809876997,7.0,7.0,7.0,21.0,110.0
10,7.0,21.714285714285715,38.9303407199504,7.0,7.0,7.0,7.0,110.0
11,33.0,16.90909090909091,19.344514138967856,7.0,7.0,14.0,21.0,110.0
12,29.0,45.55172413793103,62.103362116771876,7.0,7.0,28.0,56.0,329.0
13,38.0,19.657894736842106,20.658453299929715,7.0,7.0,7.0,28.0,110.0
14,53.0,27.30188679245283,24.894844157020188,7.0,7.0,21.0,35.0,110.0
15,30.0,24.2,20.89448037987132,7.0,7.0,17.5,35.0,110.0
16,43.0,33.325581395348834,36.77714153567245,7.0,7.0,14.0,42.0,140.0
17,44.0,27.0,25.715799143355344,7.0,7.0,21.0,28.0,110.0
18,57.0,25.87719298245614,24.266430498176014,7.0,7.0,14.0,35.0,112.0
19,47.0,30.638297872340427,34.14573977622779,7.0,10.5,21.0,35.0,161.0
20,55.0,21.727272727272727,22.38175062283469,7.0,7.0,14.0,28.0,110.0
21,53.0,31.0,29.927476441455035,7.0,7.0,21.0,42.0,133.0
22,26.0,27.653846153846153,30.549556209794346,7.0,7.0,14.0,35.0,110.0
23,57.0,30.912280701754387,27.67559568448759,7.0,14.0,21.0,35.0,140.0
24,41.0,20.78048780487805,24.54028544569312,7.0,7.0,14.0,28.0,110.0
25,20.0,22.65,25.621280217818935,7.0,7.0,14.0,22.75,110.0
26,49.0,27.387755102040817,25.577347013951798,7.0,7.0,21.0,35.0,112.0
27,57.0,25.017543859649123,23.82787325506935,7.0,7.0,14.0,28.0,110.0
28,39.0,21.307692307692307,23.835128703740757,7.0,7.0,7.0,28.0,110.0
29,35.0,25.34285714285714,25.21547477378181,7.0,7.0,14.0,28.0,110.0
30,38.0,31.63157894736842,32.20157882030982,7.0,8.75,17.5,42.0,161.0
31,31.0,17.322580645161292,21.15874460166008,7.0,7.0,7.0,14.0,110.0
32,33.0,22.636363636363637,26.908198311362955,7.0,7.0,14.0,21.0,110.0
33,9.0,26.22222222222222,39.0249208127889,7.0,7.0,7.0,7.0,110.0
34,46.0,27.804347826086957,27.294785472863893,7.0,7.0,21.0,35.0,110.0
35,25.0,19.24,23.525305524052182,7.0,7.0,7.0,21.0,110.0
36,27.0,20.666666666666668,27.880238383265166,7.0,7.0,7.0,14.0,124.0
37,49.0,29.387755102040817,24.473468905574233,7.0,14.0,21.0,35.0,117.0
38,42.0,44.11904761904762,35.62282248780516,7.0,14.0,35.0,68.25,131.0
39,53.0,32.18867924528302,25.677029995229336,7.0,14.0,28.0,49.0,117.0
40,29.0,19.724137931034484,26.357293042945898,7.0,7.0,7.0,21.0,131.0
41,50.0,24.04,22.648115657977883,7.0,7.0,21.0,28.0,138.0
42,30.0,24.433333333333334,21.977548627591773,7.0,7.0,21.0,28.0,117.0
