id,count,mean,std,min,25%,50%,75%,max
0,36.0,10.805555555555555,27.124916794547246,0.0,0.0,7.0,7.0,151.0
1,49.0,9.653061224489797,21.92748562535933,0.0,0.0,7.0,14.0,144.0
2,47.0,10.659574468085106,21.82566956564905,0.0,0.0,7.0,14.0,144.0
3,48.0,9.125,21.574832658802226,0.0,0.0,0.0,14.0,137.0
4,39.0,21.46153846153846,29.664657470363757,0.0,0.0,7.0,31.5,137.0
5,48.0,9.854166666666666,22.467934203568575,0.0,0.0,7.0,14.0,151.0
6,46.0,11.804347826086957,25.024094669131625,0.0,0.0,0.0,7.0,130.0
7,47.0,16.319148936170212,25.29659401629322,0.0,0.0,7.0,21.0,144.0
8,47.0,25.106382978723403,34.54060876742116,0.0,7.0,14.0,28.0,165.0
9,55.0,10.381818181818181,28.153343929465546,0.0,0.0,0.0,7.0,158.0
10,36.0,15.083333333333334,27.868440932352136,0.0,0.0,3.5,21.0,130.0
11,47.0,6.48936170212766,20.761452931926232,0.0,0.0,0.0,7.0,137.0
12,38.0,28.289473684210527,41.35273963585944,0.0,0.0,14.0,26.25,154.0
13,58.0,8.39655172413793,19.483632046549943,0.0,0.0,0.0,7.0,137.0
14,44.0,21.886363636363637,51.439834310689655,0.0,0.0,7.0,21.0,315.0
15,47.0,11.404255319148936,20.74866111392134,0.0,0.0,7.0,14.0,130.0
16,46.0,16.97826086956522,31.287547491283554,0.0,1.75,7.0,19.25,165.0
17,44.0,26.022727272727273,76.62882105086062,0.0,0.0,7.0,15.75,497.0
18,57.0,13.333333333333334,21.779194965226175,0.0,0.0,7.0,14.0,130.0
19,47.0,14.382978723404255,23.02980412185136,0.0,3.5,7.0,14.0,151.0
20,44.0,25.068181818181817,37.37577733641211,0.0,5.25,14.0,28.0,182.0
21,48.0,15.541666666666666,42.49002803328687,0.0,0.0,7.0,7.0,259.0
22,45.0,9.266666666666667,21.372667336832553,0.0,0.0,7.0,7.0,137.0
23,44.0,16.0,27.17728189431001,0.0,0.0,7.0,21.0,137.0
24,43.0,17.186046511627907,25.12279918240979,0.0,0.0,7.0,24.5,144.0
25,44.0,15.045454545454545,22.885919856880566,0.0,0.0,7.0,21.0,130.0
26,47.0,14.085106382978724,23.230255559463863,0.0,0.0,7.0,14.0,130.0
27,48.0,14.958333333333334,25.853892528306993,0.0,0.0,7.0,14.0,151.0
28,44.0,11.863636363636363,26.425490608713496,0.0,0.0,0.0,14.0,144.0
29,56.0,13.446428571428571,23.960512699672535,0.0,0.0,7.0,14.0,137.0
30,41.0,14.951219512195122,27.303801218431285,0.0,0.0,7.0,14.0,165.0
31,34.0,7.323529411764706,22.491372875670397,0.0,0.0,0.0,7.0,130.0
32,48.0,13.9375,28.644858623004495,0.0,0.0,3.5,14.0,151.0
33,28.0,9.392857142857142,26.7614140213719,0.0,0.0,0.0,7.0,137.0
34,52.0,14.75,26.110530517811558,0.0,0.0,7.0,15.75,158.0
35,30.0,9.933333333333334,25.08734168148706,0.0,0.0,3.5,7.0,130.0
36,36.0,12.36111111111111,26.882976852358528,0.0,0.0,7.0,14.0,158.0
37,49.0,13.081632653061224,25.870540464891302,0.0,0.0,7.0,14.0,172.0
38,47.0,17.95744680851064,30.16905803807467,0.0,0.0,7.0,21.0,172.0
39,48.0,11.3125,24.553160952634133,0.0,0.0,7.0,14.0,165.0
40,37.0,17.513513513513512,30.89554230847121,0.0,0.0,7.0,21.0,179.0
41,48.0,16.416666666666668,31.262671189920386,0.0,0.0,7.0,21.0,207.0
42,46.0,11.195652173913043,26.12501531331174,0.0,0.0,0.0,14.0,158.0
43,47.0,21.53191489361702,40.8825736575153,0.0,0.0,7.0,21.0,175.0
44,46.0,13.934782608695652,31.213531377638155,0.0,0.0,0.0,14.0,186.0
45,55.0,10.636363636363637,25.627216172542205,0.0,0.0,0.0,10.5,172.0
46,35.0,8.314285714285715,25.746240649132158,0.0,0.0,0.0,7.0,151.0
47,47.0,12.297872340425531,23.628386477890658,0.0,0.0,7.0,14.0,144.0
48,34.0,20.294117647058822,36.08284189889831,0.0,0.0,7.0,26.25,165.0
49,58.0,14.189655172413794,28.02846729356381,0.0,0.0,7.0,14.0,193.0
50,44.0,16.795454545454547,27.281972534440737,0.0,0.0,7.0,21.0,158.0
51,47.0,15.127659574468085,27.22500211304866,0.0,0.0,7.0,21.0,151.0
52,45.0,10.666666666666666,26.38784155284744,0.0,0.0,7.0,7.0,172.0
53,44.0,15.681818181818182,35.077835529783556,0.0,0.0,7.0,14.0,214.0
54,57.0,16.157894736842106,28.964133900939952,0.0,0.0,7.0,21.0,158.0
55,47.0,16.914893617021278,28.249532344904896,0.0,0.0,7.0,21.0,165.0
56,43.0,14.418604651162791,28.64498007890615,0.0,0.0,7.0,14.0,172.0
57,47.0,14.23404255319149,32.49495798077085,0.0,0.0,7.0,7.0,165.0
58,44.0,15.045454545454545,33.20615979943771,0.0,0.0,7.0,14.0,179.0
59,44.0,21.568181818181817,44.292577848114576,0.0,0.0,7.0,21.0,200.0
60,42.0,19.261904761904763,34.57339984397248,0.0,0.0,7.0,21.0,193.0
61,40.0,16.375,37.33746829207276,0.0,0.0,3.5,15.75,175.0
62,47.0,18.106382978723403,27.770984265371837,0.0,7.0,7.0,21.0,158.0
63,48.0,22.104166666666668,31.073173476957226,0.0,7.0,14.0,22.75,172.0
64,44.0,20.454545454545453,32.87358064524986,0.0,5.25,7.0,22.75,186.0
65,56.0,10.696428571428571,23.02087561943972,0.0,0.0,7.0,14.0,165.0
66,41.0,16.146341463414632,32.7990556080581,0.0,0.0,7.0,21.0,200.0
67,33.0,8.181818181818182,25.782085041573133,0.0,0.0,0.0,7.0,144.0
68,48.0,11.458333333333334,25.813536225830614,0.0,0.0,7.0,14.0,172.0
69,28.0,9.892857142857142,30.0189314164619,0.0,0.0,0.0,7.0,158.0
70,46.0,19.869565217391305,33.494018501253606,0.0,0.0,7.0,26.25,179.0
71,27.0,12.851851851851851,29.00225946596324,0.0,0.0,7.0,14.0,151.0
72,36.0,13.916666666666666,33.25432302723963,0.0,0.0,7.0,8.75,193.0
73,49.0,17.79591836734694,40.315929229770504,0.0,0.0,7.0,14.0,277.0
74,46.0,14.23913043478261,41.34472143258634,0.0,0.0,0.0,7.0,242.0
75,47.0,21.680851063829788,31.847535146571683,0.0,7.0,14.0,28.0,186.0
76,36.0,30.055555555555557,78.70013412384448,0.0,0.0,7.0,21.0,466.0
77,48.0,11.75,31.953756480130615,0.0,0.0,3.5,14.0,214.0
78,45.0,10.355555555555556,26.824476234449115,0.0,0.0,0.0,7.0,165.0
79,43.0,14.093023255813954,29.928338182341317,0.0,0.0,7.0,14.0,186.0
80,44.0,15.204545454545455,33.72362331594909,0.0,0.0,7.0,21.0,214.0
81,53.0,16.056603773584907,32.798578237443124,0.0,0.0,7.0,14.0,207.0
82,35.0,12.514285714285714,31.190469348043813,0.0,0.0,7.0,10.5,179.0
83,45.0,18.133333333333333,32.71752380050122,0.0,0.0,7.0,21.0,193.0
84,34.0,22.558823529411764,44.8844922780555,0.0,0.0,7.0,21.0,179.0
85,58.0,15.758620689655173,36.94201732009448,0.0,0.0,7.0,14.0,256.0
86,44.0,34.13636363636363,62.68733446836303,0.0,7.0,14.0,36.75,364.0
87,46.0,20.782608695652176,66.03666087644153,0.0,0.0,7.0,14.0,445.0
88,45.0,9.733333333333333,28.415264783691047,0.0,0.0,0.0,7.0,186.0
89,44.0,15.363636363636363,44.45279226277824,0.0,0.0,3.5,7.0,284.0
90,54.0,11.351851851851851,26.420516190097853,0.0,0.0,7.0,14.0,186.0
91,47.0,18.70212765957447,29.235858635539707,0.0,7.0,7.0,21.0,179.0
92,43.0,19.13953488372093,46.60655042626153,0.0,0.0,7.0,24.5,298.0
93,45.0,13.155555555555555,27.575479519077646,0.0,0.0,7.0,14.0,172.0
94,41.0,12.902439024390244,37.0646764980141,0.0,0.0,0.0,7.0,221.0
95,44.0,32.38636363636363,55.094935363864565,0.0,7.0,7.0,28.0,231.0
96,41.0,13.926829268292684,32.288070741298895,0.0,0.0,7.0,14.0,200.0
97,40.0,18.3,53.86412154434146,0.0,0.0,3.5,14.0,312.0
98,47.0,15.72340425531915,30.199843166638246,0.0,7.0,7.0,17.5,200.0
99,43.0,19.302325581395348,30.815530162968255,0.0,0.0,7.0,21.0,179.0
100,44.0,17.113636363636363,37.18165083159121,0.0,0.0,7.0,21.0,242.0
101,56.0,10.321428571428571,32.17910510245437,0.0,0.0,0.0,7.0,235.0
102,40.0,22.675,39.75462398520615,0.0,0.0,14.0,21.0,214.0
103,33.0,14.757575757575758,33.8323350352794,0.0,0.0,7.0,14.0,193.0
104,48.0,11.75,30.464838469598416,0.0,0.0,7.0,8.75,207.0
105,28.0,12.892857142857142,33.51433003150022,0.0,0.0,7.0,7.0,179.0
106,45.0,23.88888888888889,36.544631630515866,0.0,0.0,14.0,28.0,200.0
107,27.0,20.11111111111111,41.61114249197178,0.0,0.0,7.0,24.5,214.0
108,36.0,17.02777777777778,55.645554878874,0.0,0.0,0.0,8.75,319.0
109,48.0,20.791666666666668,49.32564752282629,0.0,0.0,10.5,22.75,340.0
110,46.0,20.32608695652174,82.3356421667706,0.0,0.0,0.0,7.0,557.0
111,46.0,17.282608695652176,35.6287418578991,0.0,0.0,7.0,19.25,193.0
112,36.0,27.333333333333332,88.29722532446873,0.0,0.0,7.0,21.0,515.0
113,48.0,16.270833333333332,38.59982338364033,0.0,0.0,7.0,14.0,256.0
114,45.0,10.355555555555556,29.1821517335165,0.0,0.0,0.0,14.0,193.0
115,41.0,31.341463414634145,51.717313230724564,0.0,7.0,21.0,35.0,273.0
116,42.0,22.261904761904763,43.96176804840688,0.0,0.0,7.0,21.0,228.0
117,50.0,24.3,53.2185520820915,0.0,0.0,7.0,21.0,301.0
118,34.0,15.147058823529411,36.680547526514914,0.0,0.0,0.0,12.25,200.0
119,43.0,30.372093023255815,67.46075517196715,0.0,0.0,7.0,21.0,301.0
120,32.0,23.09375,37.226732828664595,0.0,0.0,10.5,21.0,186.0
121,56.0,15.071428571428571,38.91896342768798,0.0,0.0,0.0,14.0,270.0
122,43.0,18.813953488372093,33.21879546421007,0.0,0.0,7.0,21.0,207.0
123,44.0,19.181818181818183,69.24888471178896,0.0,0.0,0.0,14.0,459.0
124,45.0,13.933333333333334,49.62147628891052,0.0,0.0,0.0,7.0,273.0
125,43.0,18.651162790697676,45.028500879696935,0.0,3.5,7.0,14.0,291.0
126,52.0,16.76923076923077,35.944737204909636,0.0,0.0,7.0,14.0,193.0
127,47.0,15.27659574468085,34.51256993924512,0.0,0.0,7.0,14.0,235.0
128,42.0,19.095238095238095,53.887782915081075,0.0,0.0,7.0,19.25,347.0
129,44.0,18.227272727272727,31.153680312928827,0.0,0.0,7.0,22.75,186.0
