id,count,mean,std,min,25%,50%,75%,max
0,19.0,14.526315789473685,18.72422204600421,7.0,7.0,7.0,7.0,80.0
1,49.0,23.489795918367346,13.773650038176141,7.0,14.0,21.0,35.0,80.0
2,56.0,18.178571428571427,15.876921092473294,7.0,7.0,14.0,21.0,80.0
3,61.0,27.59016393442623,22.75403044823805,7.0,7.0,21.0,35.0,119.0
4,53.0,17.754716981132077,17.863699397615264,7.0,7.0,14.0,21.0,84.0
5,61.0,15.540983606557377,12.842084164303708,7.0,7.0,14.0,21.0,80.0
6,11.0,14.909090909090908,21.99297408471417,7.0,7.0,7.0,7.0,80.0
7,24.0,20.25,17.862396742635195,7.0,7.0,14.0,28.0,80.0
8,51.0,18.725490196078432,18.59040444032625,7.0,7.0,14.0,21.0,84.0
9,36.0,19.52777777777778,18.15565415449902,7.0,7.0,10.5,28.0,80.0
10,9.0,15.88888888888889,24.152869624769462,7.0,7.0,7.0,7.0,80.0
11,43.0,9.837209302325581,11.667884764760103,7.0,7.0,7.0,7.0,80.0
12,47.0,20.319148936170212,18.850794451000137,7.0,7.0,14.0,28.0,80.0
13,41.0,16.804878048780488,15.703852253818363,7.0,7.0,7.0,21.0,80.0
14,60.0,18.016666666666666,13.885111727444466,7.0,7.0,14.0,21.0,80.0
15,40.0,23.35,12.151922924756837,7.0,14.0,21.0,28.0,80.0
16,16.0,12.0,18.217207982198225,7.0,7.0,7.0,7.0,80.0
17,36.0,19.52777777777778,17.286635814344496,7.0,7.0,14.0,22.75,80.0
18,40.0,24.575,27.19435037480565,7.0,7.0,14.0,29.75,119.0
19,61.0,19.098360655737704,15.05512638940945,7.0,7.0,14.0,28.0,80.0
20,33.0,11.969696969696969,14.169696645669694,7.0,7.0,7.0,7.0,80.0
21,37.0,18.62162162162162,15.201153741577482,7.0,7.0,14.0,21.0,80.0
22,24.0,23.75,23.550593087703945,7.0,7.0,14.0,28.0,98.0
23,66.0,19.348484848484848,17.780276388128183,7.0,7.0,14.0,28.0,84.0
24,43.0,13.093023255813954,13.103641721162449,7.0,7.0,7.0,14.0,80.0
25,13.0,22.307692307692307,25.766207247040374,7.0,7.0,14.0,21.0,80.0
26,47.0,19.72340425531915,17.161258350106845,7.0,7.0,14.0,24.5,80.0
27,61.0,18.524590163934427,16.59980577936285,7.0,7.0,14.0,21.0,80.0
28,30.0,12.233333333333333,15.269268964578615,7.0,7.0,7.0,7.0,80.0
29,35.0,21.085714285714285,16.936510211707148,7.0,10.5,14.0,24.5,80.0
30,43.0,19.930232558139537,15.691058037161847,7.0,7.0,14.0,24.5,80.0
31,29.0,11.689655172413794,13.92095914254028,7.0,7.0,7.0,14.0,80.0
32,23.0,13.826086956521738,16.272263556887903,7.0,7.0,7.0,14.0,80.0
33,9.0,19.0,25.636887486588538,7.0,7.0,7.0,7.0,80.0
34,42.0,17.238095238095237,15.763201240755702,7.0,7.0,7.0,21.0,80.0
35,27.0,13.074074074074074,15.127473544530027,7.0,7.0,7.0,14.0,80.0
36,21.0,13.80952380952381,17.8286820814637,7.0,7.0,7.0,14.0,87.0
37,48.0,26.020833333333332,18.48575021450057,7.0,14.0,21.0,35.0,108.0
38,51.0,25.03921568627451,19.5191811142924,7.0,14.0,21.0,28.0,94.0
39,60.0,25.366666666666667,25.115979562392766,7.0,7.0,17.5,35.0,133.0
40,22.0,17.0,23.03620339089466,7.0,7.0,7.0,14.0,101.0
41,49.0,20.775510204081634,15.924647178355384,7.0,14.0,21.0,28.0,108.0
42,37.0,11.432432432432432,13.59440354733549,7.0,7.0,7.0,14.0,87.0
43,72.0,15.5,16.05097513601281,7.0,7.0,7.0,21.0,94.0
44,31.0,15.903225806451612,22.02627951441895,7.0,7.0,7.0,14.0,108.0
45,24.0,20.25,23.0014177256817,7.0,7.0,7.0,21.0,101.0
46,24.0,14.125,17.920870757182872,7.0,7.0,7.0,14.0,87.0
47,46.0,12.23913043478261,14.181654475818313,7.0,7.0,7.0,12.25,94.0
48,19.0,16.736842105263158,23.827719864018224,7.0,7.0,7.0,7.0,101.0
49,30.0,21.333333333333332,30.19743461738537,7.0,7.0,14.0,21.0,154.0
50,51.0,25.862745098039216,26.965918940650354,7.0,14.0,21.0,24.5,140.0
51,37.0,26.18918918918919,24.98314747299983,7.0,7.0,21.0,35.0,98.0
52,26.0,14.384615384615385,21.190709139765804,7.0,7.0,7.0,14.0,115.0
53,42.0,17.238095238095237,18.914195886674353,7.0,7.0,7.0,21.0,108.0
54,41.0,24.658536585365855,29.396096472233825,7.0,7.0,21.0,28.0,168.0
55,58.0,26.0,22.08357331878869,7.0,8.75,21.0,35.0,105.0
56,44.0,13.75,16.98853922844101,7.0,7.0,7.0,14.0,108.0
57,43.0,19.767441860465116,19.33025904453125,7.0,7.0,14.0,24.5,101.0
58,20.0,21.15,20.984392696528182,7.0,7.0,14.0,28.0,94.0
59,59.0,22.35593220338983,22.430553909455277,7.0,7.0,14.0,28.0,133.0
60,49.0,13.63265306122449,16.13574432426218,7.0,7.0,7.0,14.0,115.0
61,22.0,15.727272727272727,21.392437066317704,7.0,7.0,7.0,12.25,101.0
62,49.0,18.06122448979592,17.289698478266985,7.0,7.0,14.0,21.0,108.0
63,60.0,20.0,21.860109944363522,7.0,7.0,10.5,21.0,101.0
64,41.0,12.365853658536585,17.776045816717755,7.0,7.0,7.0,7.0,115.0
65,39.0,19.46153846153846,20.300176501496306,7.0,7.0,14.0,21.0,108.0
66,39.0,26.46153846153846,20.810986665506828,7.0,10.5,21.0,35.0,101.0
67,35.0,15.085714285714285,21.629733658814676,7.0,7.0,7.0,14.0,101.0
68,43.0,13.581395348837209,19.075330064097546,7.0,7.0,7.0,10.5,122.0
69,9.0,22.11111111111111,33.13398725042175,7.0,7.0,7.0,21.0,108.0
70,45.0,19.822222222222223,20.02417730563922,7.0,7.0,14.0,21.0,115.0
71,26.0,20.307692307692307,22.328043767010545,7.0,7.0,10.5,21.0,101.0
72,30.0,14.8,21.502846643947017,7.0,7.0,7.0,14.0,122.0
73,42.0,25.071428571428573,20.25013442550126,7.0,14.0,21.0,28.0,115.0
74,13.0,21.23076923076923,38.38001616760526,7.0,7.0,7.0,7.0,143.0
75,61.0,24.83606557377049,28.232475583902104,7.0,7.0,14.0,28.0,161.0
76,25.0,18.04,25.3828682382429,7.0,7.0,7.0,14.0,129.0
77,48.0,25.291666666666668,23.670574545007987,7.0,12.25,21.0,28.0,157.0
78,36.0,22.055555555555557,19.092174080264172,7.0,14.0,14.0,21.0,122.0
79,67.0,18.53731343283582,21.40329085303625,7.0,7.0,7.0,21.0,115.0
