id,count,mean,std,min,25%,50%,75%,max
0,27.0,28.296296296296298,31.50557315144639,7.0,7.0,14.0,28.0,120.0
1,53.0,38.320754716981135,35.38185844626814,7.0,14.0,28.0,63.0,147.0
2,47.0,34.723404255319146,36.18773640917571,7.0,7.0,28.0,38.5,189.0
3,44.0,38.36363636363637,45.86841184381682,7.0,7.0,21.0,50.75,231.0
4,36.0,40.083333333333336,33.266349363884224,7.0,14.0,28.0,63.0,120.0
5,50.0,32.92,31.40118287125957,7.0,14.0,21.0,42.0,161.0
6,34.0,32.35294117647059,22.58704690872716,7.0,21.0,21.0,42.0,120.0
7,54.0,35.407407407407405,37.613485397097676,7.0,7.0,21.0,54.25,203.0
8,30.0,43.9,45.7167817976182,7.0,8.75,28.0,63.0,196.0
9,45.0,39.84444444444444,62.08204086513102,7.0,7.0,14.0,35.0,364.0
10,20.0,41.7,34.597079280436986,7.0,7.0,31.5,64.75,120.0
11,44.0,22.772727272727273,34.494936356652,7.0,7.0,14.0,21.0,203.0
12,42.0,22.857142857142858,25.871701678381953,7.0,7.0,14.0,28.0,120.0
13,42.0,25.857142857142858,27.63046341831424,7.0,7.0,17.5,28.0,120.0
14,36.0,23.944444444444443,27.15347327895846,7.0,7.0,14.0,28.0,120.0
15,19.0,24.736842105263158,35.563467686913334,7.0,7.0,7.0,24.5,126.0
16,41.0,39.46341463414634,43.076732443963074,7.0,7.0,21.0,49.0,217.0
17,45.0,37.044444444444444,34.59371695156871,7.0,14.0,28.0,56.0,175.0
18,45.0,23.666666666666668,22.398254802145146,7.0,7.0,14.0,28.0,120.0
19,44.0,23.09090909090909,24.831355067800292,7.0,7.0,10.5,35.0,120.0
20,34.0,19.38235294117647,35.36306471180137,7.0,7.0,7.0,12.25,182.0
21,44.0,34.86363636363637,29.897958948062694,7.0,14.0,24.5,49.0,120.0
22,22.0,47.45454545454545,57.57787874880527,7.0,7.0,21.0,61.25,196.0
23,53.0,36.20754716981132,36.56519913932774,7.0,7.0,21.0,49.0,203.0
24,38.0,29.86842105263158,35.93400185522671,7.0,7.0,17.5,35.0,196.0
25,29.0,28.75862068965517,32.843411137889035,7.0,7.0,14.0,28.0,126.0
26,45.0,35.955555555555556,35.671452525128906,7.0,7.0,21.0,49.0,161.0
27,52.0,30.98076923076923,32.3658561223697,7.0,7.0,14.0,49.0,120.0
28,38.0,30.605263157894736,31.85994644952678,7.0,7.0,17.5,40.25,120.0
29,42.0,25.19047619047619,22.668596624812125,7.0,7.0,14.0,35.0,120.0
30,37.0,33.7027027027027,35.71559328365698,7.0,14.0,21.0,42.0,147.0
31,24.0,50.208333333333336,70.1241006555779,7.0,7.0,21.0,71.75,301.0
32,30.0,38.06666666666667,48.36993461555064,7.0,7.0,14.0,42.0,224.0
33,19.0,24.36842105263158,27.14203489938682,7.0,7.0,14.0,28.0,120.0
34,41.0,37.926829268292686,29.766079892977537,7.0,14.0,28.0,56.0,120.0
35,28.0,22.285714285714285,24.988674683421337,7.0,7.0,14.0,22.75,120.0
36,24.0,32.416666666666664,34.053559689645255,7.0,14.0,21.0,36.75,148.0
37,43.0,37.7906976744186,42.425036487081925,7.0,7.0,28.0,49.0,217.0
38,45.0,42.8,37.350672380463614,7.0,21.0,28.0,63.0,161.0
39,51.0,43.11764705882353,44.22924238954293,7.0,14.0,28.0,63.0,238.0
40,30.0,33.166666666666664,32.62544314227602,7.0,7.0,21.0,47.25,134.0
