id,count,mean,std,min,25%,50%,75%,max
0,25.0,32.8,34.322004603461025,7.0,7.0,14.0,42.0,120.0
1,53.0,40.83018867924528,28.938087657469833,7.0,14.0,35.0,56.0,120.0
2,51.0,35.431372549019606,36.21450256566327,7.0,10.5,21.0,52.5,161.0
3,54.0,39.425925925925924,32.119236493105966,7.0,15.75,24.5,63.0,154.0
4,43.0,37.30232558139535,46.216125243881486,7.0,14.0,21.0,35.0,203.0
5,42.0,25.357142857142858,24.094146064230205,7.0,7.0,17.5,28.0,120.0
6,16.0,18.875,29.673501085424125,7.0,7.0,7.0,14.0,120.0
7,41.0,46.97560975609756,58.32987562342219,7.0,14.0,28.0,49.0,308.0
8,42.0,40.857142857142854,43.49632528833729,7.0,14.0,21.0,54.25,189.0
9,33.0,41.39393939393939,41.96199127926619,7.0,7.0,35.0,49.0,175.0
10,13.0,37.76923076923077,44.658246431750705,7.0,7.0,28.0,35.0,147.0
11,20.0,20.7,27.58164912439161,7.0,7.0,7.0,21.0,120.0
12,14.0,44.07142857142857,43.409435850735505,7.0,7.0,24.5,71.75,120.0
13,29.0,18.862068965517242,22.148402293121077,7.0,7.0,14.0,21.0,120.0
14,45.0,15.577777777777778,18.819101621984665,7.0,7.0,7.0,14.0,120.0
15,32.0,30.65625,26.821524066051996,7.0,12.25,28.0,35.0,120.0
16,48.0,37.354166666666664,37.6549223045124,7.0,7.0,21.0,50.75,140.0
17,52.0,38.92307692307692,28.646490497055456,7.0,21.0,28.0,63.0,120.0
18,51.0,35.84313725490196,40.511910618493225,7.0,7.0,21.0,45.5,224.0
19,37.0,43.729729729729726,31.128451302313138,7.0,21.0,35.0,63.0,126.0
20,43.0,28.348837209302324,29.25575541335758,7.0,7.0,14.0,42.0,120.0
21,45.0,33.46666666666667,30.572269074500124,7.0,7.0,21.0,49.0,126.0
22,23.0,29.565217391304348,43.50007950562903,7.0,10.5,14.0,24.5,196.0
23,31.0,34.12903225806452,33.44821065018164,7.0,7.0,28.0,42.0,140.0
24,38.0,30.973684210526315,31.02613270106457,7.0,7.0,21.0,40.25,120.0
25,24.0,41.458333333333336,44.82233446248273,7.0,7.0,24.5,56.0,196.0
26,48.0,38.958333333333336,35.650763671408356,7.0,14.0,28.0,42.0,154.0
27,52.0,33.80769230769231,29.81053798512017,7.0,7.0,24.5,50.75,120.0
28,41.0,32.63414634146341,34.5201072547298,7.0,7.0,21.0,35.0,126.0
29,39.0,23.358974358974358,21.079407735971266,7.0,14.0,14.0,28.0,120.0
30,38.0,33.73684210526316,45.61571813651004,7.0,7.0,14.0,33.25,210.0
31,22.0,58.59090909090909,65.72935786122123,7.0,7.0,28.0,85.75,203.0
32,31.0,27.580645161290324,32.170145780986026,7.0,7.0,14.0,35.0,133.0
33,11.0,41.45454545454545,53.31484528039754,7.0,7.0,14.0,52.5,161.0
34,48.0,35.020833333333336,30.758143418041715,7.0,14.0,28.0,50.75,133.0
35,25.0,21.32,27.222417232861595,7.0,7.0,7.0,28.0,120.0
36,30.0,29.666666666666668,34.04999704626382,7.0,7.0,14.0,40.25,148.0
37,47.0,33.234042553191486,27.493250370067074,7.0,14.0,28.0,49.0,148.0
38,43.0,44.627906976744185,39.03784687162053,7.0,14.0,28.0,70.0,148.0
39,52.0,36.90384615384615,31.790527393798722,7.0,14.0,35.0,42.0,168.0
40,28.0,31.035714285714285,34.10819619415614,7.0,7.0,14.0,38.5,134.0
41,52.0,29.096153846153847,27.202407344005433,7.0,14.0,21.0,35.0,162.0
