id,count,mean,std,min,25%,50%,75%,max
0,40.0,8.775,21.752085075417597,0.0,0.0,0.0,7.0,134.0
1,54.0,8.574074074074074,19.43892404415454,0.0,0.0,7.0,12.25,141.0
2,49.0,13.877551020408163,22.492251122202457,0.0,0.0,7.0,14.0,127.0
3,54.0,7.537037037037037,17.474199809425738,0.0,0.0,0.0,7.0,120.0
4,46.0,21.47826086956522,23.030162956373132,0.0,7.0,21.0,33.25,127.0
5,55.0,10.709090909090909,21.07101988010734,0.0,0.0,7.0,14.0,148.0
6,46.0,12.195652173913043,20.954574748692725,0.0,0.0,7.0,14.0,120.0
7,52.0,19.807692307692307,29.98956580738097,0.0,7.0,7.0,21.0,147.0
8,53.0,14.943396226415095,26.22859207220215,0.0,0.0,7.0,14.0,162.0
9,59.0,15.322033898305085,28.803999170353542,0.0,0.0,7.0,14.0,147.0
10,38.0,9.236842105263158,20.219650878540687,0.0,0.0,3.5,12.25,120.0
11,47.0,15.957446808510639,25.90363198204529,0.0,0.0,7.0,21.0,127.0
12,42.0,8.523809523809524,20.33168630636413,0.0,0.0,0.0,7.0,127.0
13,61.0,7.590163934426229,18.196498792515303,0.0,0.0,0.0,7.0,127.0
14,53.0,9.264150943396226,20.968979784613918,0.0,0.0,7.0,7.0,134.0
15,45.0,5.466666666666667,19.698407872903655,0.0,0.0,0.0,0.0,120.0
16,53.0,19.830188679245282,25.909410117870753,0.0,0.0,14.0,28.0,141.0
17,50.0,15.28,27.16468295415943,0.0,0.0,7.0,14.0,133.0
18,56.0,7.517857142857143,18.55114901751721,0.0,0.0,0.0,7.0,120.0
19,50.0,20.04,28.336145518703542,0.0,7.0,7.0,26.25,141.0
20,53.0,20.754716981132077,30.55128453825781,0.0,0.0,14.0,28.0,161.0
21,52.0,16.173076923076923,27.45314807752502,0.0,0.0,7.0,21.0,148.0
22,34.0,4.764705882352941,21.743767931300855,0.0,0.0,0.0,0.0,127.0
23,50.0,15.84,32.89150997706594,0.0,0.0,7.0,14.0,189.0
24,48.0,14.458333333333334,29.802868870425907,0.0,0.0,7.0,14.0,154.0
25,42.0,11.357142857142858,22.25223631246809,0.0,0.0,7.0,14.0,120.0
26,54.0,15.444444444444445,27.251911247959598,0.0,0.0,7.0,14.0,127.0
27,52.0,20.076923076923077,26.464809156316267,0.0,0.0,10.5,28.0,141.0
28,51.0,15.254901960784315,37.19453892025275,0.0,0.0,7.0,14.0,238.0
29,57.0,18.19298245614035,35.50172963416774,0.0,0.0,7.0,14.0,161.0
30,44.0,13.386363636363637,21.470602843640524,0.0,0.0,7.0,21.0,134.0
31,30.0,15.9,37.185787051247004,0.0,0.0,7.0,7.0,168.0
32,49.0,9.73469387755102,22.210897766453222,0.0,0.0,7.0,7.0,148.0
33,28.0,9.535714285714286,24.1330910713088,0.0,0.0,0.0,7.0,120.0
34,52.0,19.0,27.787005003397244,0.0,0.0,7.0,21.0,141.0
35,30.0,6.1,24.410780546646837,0.0,0.0,0.0,0.0,134.0
36,39.0,9.717948717948717,25.06302447194894,0.0,0.0,7.0,10.5,155.0
37,54.0,9.87037037037037,20.72647226834384,0.0,0.0,7.0,7.0,148.0
38,49.0,17.73469387755102,28.968931281492534,0.0,7.0,7.0,14.0,162.0
39,53.0,13.226415094339623,23.60055533035836,0.0,0.0,7.0,21.0,155.0
40,41.0,20.682926829268293,34.67739827639196,0.0,7.0,7.0,21.0,162.0
41,55.0,12.49090909090909,26.580327400425386,0.0,0.0,7.0,14.0,190.0
42,46.0,9.76086956521739,22.916451909402166,0.0,0.0,0.0,7.0,141.0
43,52.0,22.365384615384617,32.804249393646295,0.0,0.0,14.0,29.75,169.0
44,51.0,12.235294117647058,27.830622152797172,0.0,0.0,7.0,10.5,176.0
45,59.0,10.813559322033898,30.84973289789427,0.0,0.0,0.0,7.0,168.0
46,35.0,9.428571428571429,23.369519759325662,0.0,0.0,0.0,10.5,134.0
47,47.0,16.70212765957447,29.56269306848768,0.0,0.0,7.0,21.0,148.0
48,37.0,14.216216216216216,29.67521893126685,0.0,0.0,7.0,14.0,162.0
49,60.0,12.85,24.7590592904729,0.0,0.0,7.0,14.0,155.0
50,51.0,14.431372549019608,25.486667025690732,0.0,3.5,7.0,14.0,162.0
51,44.0,11.159090909090908,25.579736876856607,0.0,0.0,3.5,7.0,148.0
52,51.0,10.588235294117647,25.988594783549367,0.0,0.0,0.0,7.0,169.0
53,50.0,17.38,32.729497399135234,0.0,7.0,7.0,14.0,183.0
54,55.0,15.290909090909091,31.958695986511234,0.0,0.0,7.0,14.0,182.0
55,50.0,15.42,27.017824804059583,0.0,0.0,7.0,14.0,162.0
56,52.0,9.576923076923077,22.607777729717707,0.0,0.0,3.5,14.0,155.0
57,50.0,12.62,28.501979881104,0.0,0.0,3.5,14.0,169.0
58,34.0,10.117647058823529,26.256040812437522,0.0,0.0,7.0,7.0,155.0
59,50.0,20.88,34.14473395917528,0.0,0.0,7.0,21.0,190.0
60,47.0,13.27659574468085,24.652102942010032,0.0,0.0,7.0,14.0,162.0
61,40.0,17.525,36.54080086978292,0.0,0.0,7.0,14.0,189.0
62,53.0,17.849056603773583,26.235176200032168,0.0,0.0,7.0,21.0,148.0
63,52.0,18.326923076923077,27.869950895111526,0.0,7.0,14.0,15.75,169.0
64,50.0,13.46,23.052920484336532,0.0,1.75,7.0,14.0,155.0
65,57.0,15.491228070175438,25.436280898844316,0.0,0.0,7.0,21.0,162.0
66,44.0,11.477272727272727,27.778600293201805,0.0,0.0,7.0,14.0,183.0
67,30.0,12.633333333333333,31.049996760878653,0.0,0.0,7.0,7.0,155.0
68,48.0,7.895833333333333,24.923064241895972,0.0,0.0,0.0,7.0,169.0
69,28.0,13.285714285714286,27.140044410096504,0.0,0.0,3.5,21.0,141.0
70,52.0,18.057692307692307,29.517301979326685,0.0,0.0,7.0,21.0,169.0
71,30.0,11.466666666666667,27.344208657893848,0.0,0.0,7.0,7.0,148.0
72,39.0,14.743589743589743,28.81402979609791,0.0,0.0,7.0,14.0,169.0
73,53.0,13.226415094339623,30.63472232453407,0.0,0.0,7.0,14.0,176.0
74,49.0,8.73469387755102,32.36109772950391,0.0,0.0,0.0,7.0,225.0
75,53.0,17.452830188679247,27.792200094032918,0.0,0.0,14.0,21.0,176.0
76,41.0,23.24390243902439,81.97309939480296,0.0,0.0,7.0,14.0,526.0
77,54.0,8.703703703703704,29.637832547256746,0.0,0.0,0.0,7.0,211.0
78,46.0,9.0,24.18723262843896,0.0,0.0,0.0,7.0,155.0
79,51.0,22.254901960784313,46.95693479657926,0.0,0.0,7.0,14.0,245.0
80,50.0,10.38,28.850699422073934,0.0,0.0,7.0,7.0,204.0
81,59.0,12.94915254237288,30.69338001679906,0.0,0.0,7.0,14.0,197.0
82,35.0,12.228571428571428,30.25293929743776,0.0,0.0,7.0,7.0,169.0
83,46.0,20.41304347826087,33.06866666462144,0.0,0.0,7.0,26.25,183.0
84,37.0,18.0,33.52610922848042,0.0,0.0,7.0,28.0,183.0
85,57.0,18.80701754385965,38.80235568902414,0.0,0.0,7.0,14.0,225.0
86,49.0,25.163265306122447,41.90930034947271,0.0,7.0,7.0,35.0,203.0
87,44.0,16.886363636363637,49.533270899509844,0.0,0.0,7.0,14.0,323.0
88,51.0,9.627450980392156,31.064423886055714,0.0,0.0,0.0,7.0,176.0
89,50.0,13.88,39.98042378107423,0.0,0.0,0.0,7.0,246.0
90,54.0,13.88888888888889,28.60905429093006,0.0,0.0,0.0,14.0,169.0
91,50.0,26.48,39.947537024023326,0.0,7.0,14.0,28.0,204.0
92,52.0,12.134615384615385,37.53796971650712,0.0,0.0,7.0,7.0,267.0
93,49.0,14.16326530612245,33.01221171701436,0.0,0.0,7.0,14.0,225.0
94,33.0,26.757575757575758,44.39737485414418,0.0,0.0,14.0,28.0,183.0
95,50.0,20.6,42.335395525325076,0.0,0.0,7.0,21.0,224.0
96,47.0,15.212765957446809,27.36860798529456,0.0,0.0,7.0,14.0,176.0
97,40.0,21.9,50.779967784601126,0.0,0.0,0.0,21.0,218.0
98,52.0,16.307692307692307,30.274261676551777,0.0,0.0,7.0,14.0,176.0
99,51.0,15.941176470588236,28.19107075987422,0.0,0.0,7.0,21.0,183.0
100,50.0,13.74,28.338918217078888,0.0,0.0,7.0,14.0,190.0
101,56.0,14.017857142857142,31.616733815226034,0.0,0.0,7.0,14.0,211.0
102,43.0,15.162790697674419,31.814140486326533,0.0,0.0,7.0,21.0,204.0
103,27.0,27.0,43.11433814691064,0.0,0.0,14.0,28.0,197.0
104,48.0,8.625,27.997435292875014,0.0,0.0,0.0,7.0,190.0
105,28.0,18.785714285714285,36.79307215672753,0.0,0.0,7.0,15.75,162.0
106,51.0,22.11764705882353,33.34285354244506,0.0,0.0,14.0,28.0,211.0
107,30.0,18.466666666666665,37.4154065015758,0.0,0.0,7.0,21.0,204.0
108,39.0,15.102564102564102,46.25660400748193,0.0,0.0,0.0,7.0,267.0
109,53.0,13.49056603773585,38.12258700636744,0.0,0.0,7.0,14.0,274.0
110,49.0,15.448979591836734,46.03760293883405,0.0,0.0,7.0,14.0,316.0
111,53.0,12.962264150943396,27.9951659729311,0.0,0.0,7.0,14.0,183.0
112,41.0,19.146341463414632,89.16909805970052,0.0,0.0,7.0,7.0,575.0
113,54.0,11.944444444444445,31.367220401611462,0.0,0.0,7.0,14.0,232.0
114,46.0,12.195652173913043,31.01728519191079,0.0,0.0,0.0,7.0,176.0
115,50.0,24.8,38.280916543737185,0.0,0.0,14.0,28.0,197.0
116,50.0,14.02,31.432785431774892,0.0,0.0,7.0,14.0,211.0
117,56.0,17.767857142857142,34.91547771999668,0.0,0.0,7.0,14.0,225.0
118,35.0,14.82857142857143,42.18271580404755,0.0,0.0,0.0,7.0,190.0
119,43.0,20.372093023255815,36.2392994096937,0.0,0.0,7.0,35.0,218.0
