id,count,mean,std,min,25%,50%,75%,max
0,28.0,24.785714285714285,24.87056439940545,7.0,7.0,17.5,35.0,120.0
1,52.0,41.88461538461539,35.12535191151818,7.0,19.25,28.0,63.0,168.0
2,39.0,35.743589743589745,42.19922545355415,7.0,7.0,21.0,38.5,175.0
3,52.0,39.19230769230769,44.0521253016213,7.0,14.0,21.0,42.0,231.0
4,32.0,43.125,40.60966832283074,7.0,14.0,28.0,50.75,175.0
5,53.0,35.15094339622642,29.894941832520953,7.0,14.0,21.0,49.0,126.0
6,14.0,19.071428571428573,29.504795661603332,7.0,7.0,10.5,14.0,120.0
7,41.0,31.4390243902439,37.30150719507712,7.0,7.0,21.0,28.0,175.0
8,37.0,29.54054054054054,31.563511453183647,7.0,7.0,14.0,42.0,126.0
9,40.0,39.05,45.018486231370574,7.0,7.0,17.5,59.5,189.0
10,8.0,34.25,39.45250308915773,7.0,7.0,17.5,45.5,120.0
11,37.0,25.56756756756757,39.46485112697721,7.0,7.0,14.0,21.0,203.0
12,16.0,25.0,33.80335289089925,7.0,7.0,7.0,22.75,120.0
13,37.0,16.10810810810811,20.67175177195492,7.0,7.0,7.0,14.0,120.0
14,54.0,26.074074074074073,23.209344126598282,7.0,14.0,21.0,28.0,120.0
15,38.0,35.94736842105263,32.05227771003393,7.0,21.0,28.0,42.0,182.0
16,32.0,29.34375,33.46602453813564,7.0,7.0,14.0,31.5,120.0
17,42.0,43.357142857142854,62.41475022217239,7.0,7.0,21.0,54.25,315.0
18,28.0,20.535714285714285,26.32627492302607,7.0,7.0,10.5,21.0,120.0
19,52.0,30.846153846153847,28.478670804646008,7.0,7.0,21.0,42.0,120.0
20,36.0,23.555555555555557,24.427671012831148,7.0,7.0,14.0,28.0,120.0
21,30.0,44.833333333333336,49.77402960368495,7.0,14.0,31.5,49.0,210.0
22,20.0,20.0,27.09243436828813,7.0,7.0,7.0,21.0,120.0
23,40.0,47.625,74.09234968639666,7.0,14.0,24.5,49.0,448.0
24,40.0,27.325,24.997833239436307,7.0,7.0,21.0,36.75,120.0
25,20.0,28.75,38.85854915080159,7.0,7.0,10.5,24.5,147.0
26,46.0,45.52173913043478,47.96143781110208,7.0,14.0,28.0,61.25,252.0
27,53.0,34.75471698113208,28.556223665157717,7.0,7.0,28.0,49.0,120.0
28,42.0,27.19047619047619,25.361039925625594,7.0,7.0,21.0,35.0,120.0
29,45.0,20.555555555555557,20.15683456790723,7.0,7.0,14.0,28.0,120.0
30,34.0,41.0,34.96751739439437,7.0,14.0,35.0,49.0,154.0
31,27.0,29.333333333333332,31.716290402931374,7.0,7.0,14.0,49.0,120.0
32,35.0,34.02857142857143,45.29802340466688,7.0,7.0,21.0,38.5,203.0
33,7.0,32.142857142857146,41.93021413185076,7.0,7.0,7.0,38.5,120.0
34,44.0,40.90909090909091,31.06917876162445,7.0,14.0,31.5,63.0,120.0
35,28.0,25.285714285714285,26.07092483386659,7.0,7.0,14.0,24.5,120.0
36,28.0,27.535714285714285,37.78641941311048,7.0,7.0,14.0,29.75,148.0
37,42.0,39.857142857142854,41.18641229205681,7.0,7.0,24.5,61.25,175.0
38,48.0,35.166666666666664,36.38525147395157,7.0,12.25,24.5,42.0,155.0
39,48.0,44.208333333333336,49.70421375746957,7.0,12.25,28.0,49.0,224.0
40,22.0,39.18181818181818,41.304486512491664,7.0,7.0,21.0,66.5,134.0
41,41.0,40.146341463414636,32.32534684702529,7.0,14.0,35.0,56.0,162.0
42,38.0,15.31578947368421,20.13884945740432,7.0,7.0,7.0,14.0,127.0
43,58.0,31.879310344827587,36.15710242340199,7.0,7.0,21.0,35.0,217.0
44,43.0,28.511627906976745,32.30463043105155,7.0,7.0,14.0,38.5,169.0
45,39.0,38.97435897435897,56.41317836868633,7.0,7.0,21.0,35.0,287.0
46,23.0,21.652173913043477,28.788584694209135,7.0,7.0,7.0,28.0,127.0
47,40.0,22.075,37.67362370514579,7.0,7.0,7.0,15.75,196.0
48,19.0,22.894736842105264,30.071941031913795,7.0,7.0,7.0,28.0,134.0
49,49.0,23.73469387755102,22.953554109516535,7.0,7.0,14.0,28.0,134.0
50,46.0,34.71739130434783,36.95562687180293,7.0,14.0,21.0,40.25,168.0
51,38.0,34.473684210526315,31.061174898251096,7.0,14.0,28.0,42.0,147.0
52,31.0,30.967741935483872,37.65942455832957,7.0,7.0,14.0,42.0,148.0
53,41.0,38.4390243902439,43.15266433285887,7.0,14.0,28.0,49.0,238.0
54,52.0,21.28846153846154,22.31357323531808,7.0,7.0,14.0,21.0,127.0
55,51.0,36.3921568627451,29.773866682963803,7.0,14.0,28.0,49.0,148.0
56,38.0,20.473684210526315,25.524484103747255,7.0,7.0,10.5,26.25,148.0
57,43.0,41.372093023255815,45.726944883428345,7.0,14.0,21.0,52.5,231.0
58,35.0,23.02857142857143,27.321060303993583,7.0,7.0,14.0,21.0,141.0
59,48.0,48.729166666666664,65.35622179219322,7.0,14.0,28.0,56.0,420.0
60,43.0,26.3953488372093,26.515170441954385,7.0,7.0,21.0,31.5,148.0
61,26.0,24.0,28.018565273760895,7.0,7.0,14.0,26.25,127.0
62,40.0,41.675,42.88289809140642,7.0,14.0,21.0,49.0,182.0
63,54.0,36.7037037037037,31.779683571592592,7.0,14.0,28.0,49.0,148.0
64,47.0,26.829787234042552,32.05655271068424,7.0,7.0,14.0,38.5,154.0
65,41.0,22.902439024390244,24.9667828104151,7.0,7.0,14.0,28.0,141.0
66,35.0,43.02857142857143,38.942254167727185,7.0,17.5,28.0,56.0,168.0
67,28.0,40.535714285714285,63.45630292533896,7.0,7.0,21.0,36.75,322.0
68,34.0,41.0,44.487655761475175,7.0,14.0,21.0,49.0,182.0
69,10.0,21.8,37.56416732295109,7.0,7.0,7.0,12.25,127.0
70,41.0,41.0,42.13371571556442,7.0,14.0,28.0,56.0,175.0
71,30.0,25.933333333333334,26.91356962361287,7.0,14.0,17.5,26.25,134.0
72,24.0,37.666666666666664,40.782206975556164,7.0,7.0,28.0,43.75,162.0
73,38.0,41.10526315789474,45.495939512126114,7.0,14.0,28.0,47.25,203.0
74,35.0,31.02857142857143,37.04408003374113,7.0,7.0,14.0,35.0,169.0
75,48.0,43.625,54.387743065369804,7.0,7.0,21.0,49.0,210.0
76,32.0,28.6875,34.89656374616737,7.0,7.0,14.0,31.5,169.0
77,48.0,39.979166666666664,35.074686018420465,7.0,14.0,35.0,56.0,190.0
78,38.0,28.763157894736842,24.20568864401821,7.0,14.0,21.0,33.25,148.0
79,53.0,33.9622641509434,44.57187896841501,7.0,7.0,21.0,35.0,245.0
80,35.0,37.02857142857143,43.73750962159551,7.0,7.0,21.0,49.0,190.0
81,37.0,38.432432432432435,52.178401523864125,7.0,7.0,21.0,42.0,280.0
82,20.0,27.7,32.11181123905395,7.0,14.0,14.0,24.5,148.0
83,42.0,16.857142857142858,23.84458974128751,7.0,7.0,7.0,19.25,155.0
84,24.0,24.25,35.99426282786938,7.0,7.0,7.0,29.75,176.0
85,37.0,29.16216216216216,42.91368178196883,7.0,7.0,14.0,28.0,176.0
86,44.0,30.25,37.69468841738476,7.0,7.0,21.0,28.0,175.0
87,35.0,35.02857142857143,38.09314104872402,7.0,7.0,21.0,42.0,155.0
88,38.0,31.894736842105264,34.47113126181699,7.0,7.0,21.0,47.25,176.0
89,42.0,48.523809523809526,68.55058239073666,7.0,14.0,28.0,49.0,399.0
90,47.0,29.21276595744681,29.673539794272845,7.0,10.5,21.0,42.0,176.0
91,51.0,38.31372549019608,34.94022907542447,7.0,14.0,28.0,52.5,162.0
92,46.0,16.76086956521739,23.253372307506233,7.0,7.0,7.0,14.0,155.0
93,38.0,42.578947368421055,47.05869341459712,7.0,7.0,28.0,61.25,224.0
94,33.0,29.515151515151516,30.02927864197833,7.0,14.0,21.0,35.0,162.0
