id,count,mean,std,min,25%,50%,75%,max
0,39.0,8.102564102564102,21.7894166388843,0.0,0.0,0.0,7.0,134.0
1,52.0,8.634615384615385,20.006889838894026,0.0,0.0,7.0,7.0,141.0
2,51.0,17.725490196078432,25.960800011842895,0.0,0.0,14.0,21.0,141.0
3,51.0,11.137254901960784,18.5935683588096,0.0,0.0,7.0,14.0,120.0
4,44.0,18.954545454545453,25.431124078215788,0.0,0.0,14.0,22.75,127.0
5,52.0,7.961538461538462,21.69210712015357,0.0,0.0,0.0,7.0,148.0
6,50.0,6.88,17.932572120505828,0.0,0.0,0.0,7.0,120.0
7,53.0,11.90566037735849,30.23514520893715,0.0,0.0,0.0,7.0,168.0
8,53.0,18.90566037735849,37.18005262903514,0.0,0.0,7.0,14.0,210.0
9,59.0,11.40677966101695,23.881257002141613,0.0,0.0,7.0,14.0,141.0
10,32.0,5.28125,21.58140534005172,0.0,0.0,0.0,0.0,120.0
11,43.0,12.069767441860465,24.944123603076967,0.0,0.0,7.0,7.0,127.0
12,40.0,15.775,29.993578372540735,0.0,0.0,3.5,14.0,127.0
13,67.0,9.835820895522389,18.934173862258252,0.0,0.0,7.0,10.5,127.0
14,51.0,14.019607843137255,28.12009260018781,0.0,0.0,7.0,14.0,134.0
15,50.0,7.72,18.736671453138552,0.0,0.0,0.0,7.0,120.0
16,51.0,15.666666666666666,27.2599828808946,0.0,0.0,7.0,14.0,141.0
17,51.0,10.450980392156863,21.631748635272366,0.0,0.0,7.0,14.0,127.0
18,61.0,14.704918032786885,33.97810288126511,0.0,0.0,7.0,14.0,238.0
19,50.0,20.32,24.40093675016831,0.0,7.0,14.0,28.0,141.0
20,51.0,15.117647058823529,21.543116820760666,0.0,0.0,7.0,24.5,134.0
21,52.0,15.365384615384615,25.475115767716975,0.0,0.0,7.0,15.75,148.0
22,41.0,13.341463414634147,23.06361827218093,0.0,0.0,7.0,14.0,127.0
23,50.0,16.68,32.67991956625877,0.0,0.0,7.0,14.0,175.0
24,48.0,10.375,23.579313869432067,0.0,0.0,3.5,7.0,141.0
25,40.0,15.6,40.77379751878116,0.0,0.0,7.0,7.0,231.0
26,54.0,15.574074074074074,24.960044941187657,0.0,0.0,7.0,19.25,127.0
27,53.0,17.452830188679247,24.5243725221508,0.0,7.0,7.0,21.0,141.0
28,51.0,12.647058823529411,20.345833509012863,0.0,0.0,7.0,14.0,120.0
29,60.0,11.566666666666666,22.994005605490113,0.0,0.0,7.0,14.0,134.0
30,42.0,16.69047619047619,25.839550036894515,0.0,0.0,7.0,24.5,134.0
31,33.0,10.636363636363637,31.230812291127435,0.0,0.0,0.0,7.0,133.0
32,51.0,9.627450980392156,22.08163108496628,0.0,0.0,7.0,7.0,148.0
33,28.0,9.035714285714286,24.1821515797593,0.0,0.0,0.0,7.0,120.0
34,55.0,19.745454545454546,31.345871121467276,0.0,0.0,7.0,28.0,161.0
