id,count,mean,std,min,25%,50%,75%,max
0,40.0,8.425,21.778473846367728,0.0,0.0,0.0,8.75,134.0
1,54.0,11.555555555555555,22.25212872298744,0.0,0.0,7.0,14.0,141.0
2,51.0,10.313725490196079,20.812967300294723,0.0,0.0,7.0,14.0,141.0
3,53.0,7.943396226415095,17.863171281825398,0.0,0.0,0.0,7.0,120.0
4,45.0,12.155555555555555,22.620340359503835,0.0,0.0,7.0,14.0,127.0
5,54.0,11.166666666666666,22.3148567145003,0.0,0.0,7.0,12.25,148.0
6,38.0,3.3421052631578947,19.46900005176556,0.0,0.0,0.0,0.0,120.0
7,58.0,18.362068965517242,24.98820653467795,0.0,0.0,7.0,28.0,134.0
8,55.0,16.30909090909091,28.70467294985695,0.0,0.0,7.0,21.0,162.0
9,57.0,8.12280701754386,22.115823500896525,0.0,0.0,0.0,7.0,141.0
10,29.0,8.482758620689655,23.264965520921265,0.0,0.0,0.0,7.0,120.0
11,45.0,16.666666666666668,26.214153012863456,0.0,0.0,7.0,21.0,127.0
12,43.0,6.372093023255814,19.932055130001682,0.0,0.0,0.0,7.0,127.0
13,63.0,10.34920634920635,23.56196958342578,0.0,0.0,0.0,14.0,133.0
14,51.0,9.901960784313726,20.22498939625016,0.0,0.0,7.0,14.0,134.0
15,40.0,14.725,23.668639318293884,0.0,0.0,7.0,14.0,120.0
16,50.0,12.34,23.54466879298642,0.0,0.0,3.5,14.0,141.0
17,50.0,16.4,27.77974596201854,0.0,0.0,7.0,21.0,127.0
18,58.0,20.896551724137932,41.37110172664278,0.0,0.0,7.0,14.0,203.0
19,49.0,23.877551020408163,31.052799560494023,0.0,7.0,14.0,28.0,141.0
20,51.0,16.215686274509803,31.018261540898898,0.0,0.0,7.0,17.5,161.0
21,51.0,17.725490196078432,33.307103405353374,0.0,0.0,7.0,14.0,161.0
22,41.0,12.829268292682928,25.346501177701423,0.0,0.0,7.0,7.0,127.0
23,51.0,12.372549019607844,20.754720700904382,0.0,0.0,7.0,17.5,120.0
24,48.0,14.3125,25.28152655806969,0.0,0.0,7.0,15.75,141.0
25,42.0,14.857142857142858,22.58163664548808,0.0,0.0,7.0,21.0,120.0
26,53.0,11.377358490566039,20.015596241137654,0.0,0.0,7.0,14.0,127.0
27,52.0,23.71153846153846,30.06942068500531,0.0,7.0,14.0,29.75,141.0
28,51.0,14.019607843137255,24.37579963494813,0.0,0.0,7.0,14.0,120.0
29,61.0,12.40983606557377,23.351928577871483,0.0,0.0,7.0,14.0,134.0
30,44.0,10.840909090909092,21.347559287338377,0.0,0.0,7.0,14.0,134.0
31,33.0,13.818181818181818,26.179016579904392,0.0,0.0,7.0,14.0,127.0
32,52.0,8.634615384615385,22.285165070111365,0.0,0.0,0.0,7.0,148.0
33,28.0,10.535714285714286,25.183007414402717,0.0,0.0,0.0,8.75,120.0
34,52.0,13.75,22.45507497553421,0.0,0.0,7.0,14.0,134.0
35,30.0,12.633333333333333,34.42681726686968,0.0,0.0,0.0,7.0,147.0
36,39.0,11.512820512820513,25.61442006994435,0.0,0.0,7.0,14.0,155.0
37,53.0,8.867924528301886,21.266656581325627,0.0,0.0,7.0,7.0,148.0
38,51.0,15.529411764705882,25.635407499141863,0.0,7.0,7.0,17.5,162.0
39,53.0,14.283018867924529,24.085885875414323,0.0,7.0,7.0,14.0,155.0
40,41.0,21.195121951219512,30.197863759043557,0.0,0.0,14.0,28.0,155.0
41,54.0,10.907407407407407,25.76546505262533,0.0,0.0,3.5,12.25,176.0
42,38.0,5.7368421052631575,22.877682043951157,0.0,0.0,0.0,5.25,141.0
43,56.0,22.892857142857142,34.260328805633634,0.0,7.0,14.0,22.75,183.0
44,50.0,11.78,28.66790141305379,0.0,0.0,3.5,14.0,183.0
45,57.0,14.017543859649123,30.822354612515394,0.0,0.0,7.0,14.0,175.0
46,29.0,9.689655172413794,24.67373306673062,0.0,0.0,7.0,7.0,134.0
47,43.0,23.953488372093023,35.22441894371688,0.0,0.0,7.0,28.0,148.0
48,39.0,16.0,29.169197885152034,0.0,0.0,7.0,14.0,162.0
49,61.0,13.672131147540984,26.642523223520833,0.0,0.0,7.0,14.0,169.0
50,51.0,17.03921568627451,28.625136355527623,0.0,0.0,7.0,14.0,155.0
51,40.0,12.625,24.555209902041835,0.0,0.0,7.0,14.0,148.0
52,50.0,13.88,37.40328480609309,0.0,0.0,7.0,7.0,217.0
53,50.0,17.94,41.7428522538376,0.0,0.0,7.0,14.0,245.0
54,57.0,14.75438596491228,28.54712939143318,0.0,0.0,7.0,14.0,162.0
55,48.0,12.854166666666666,23.472020086698006,0.0,0.0,7.0,14.0,155.0
56,51.0,12.509803921568627,27.365213354929,0.0,0.0,7.0,14.0,148.0
57,50.0,15.56,32.32813900348381,0.0,0.0,7.0,14.0,176.0
58,40.0,23.3,46.02685949390632,0.0,0.0,7.0,14.0,189.0
59,50.0,14.58,28.1164415549743,0.0,0.0,7.0,14.0,183.0
60,47.0,16.70212765957447,29.644938635102637,0.0,0.0,7.0,21.0,162.0
61,40.0,17.175,24.574207345643252,0.0,0.0,10.5,21.0,134.0
62,52.0,14.826923076923077,24.733656639062996,0.0,0.0,7.0,15.75,148.0
63,51.0,21.431372549019606,31.411625174104433,0.0,7.0,14.0,24.5,169.0
64,48.0,14.895833333333334,27.868413892932647,0.0,0.0,7.0,14.0,155.0
65,60.0,13.316666666666666,25.18036069979442,0.0,0.0,7.0,14.0,162.0
66,44.0,11.318181818181818,28.432517191178107,0.0,0.0,3.5,14.0,183.0
67,33.0,13.818181818181818,37.62932246388326,0.0,0.0,0.0,7.0,155.0
68,51.0,7.431372549019608,24.27694783283993,0.0,0.0,0.0,7.0,169.0
69,27.0,18.185185185185187,34.22441440420188,0.0,0.0,7.0,17.5,141.0
70,52.0,17.384615384615383,29.52244333779784,0.0,0.0,7.0,21.0,169.0
71,30.0,18.0,31.537607544884764,0.0,0.0,7.0,19.25,148.0
72,39.0,14.384615384615385,32.361945963719556,0.0,0.0,0.0,14.0,169.0
73,53.0,12.69811320754717,27.718075819594397,0.0,0.0,7.0,14.0,190.0
74,49.0,10.591836734693878,37.511619515017685,0.0,0.0,0.0,7.0,260.0
75,50.0,20.74,42.991128652980755,0.0,0.0,7.0,19.25,238.0
