id,count,mean,std,min,25%,50%,75%,max
0,22.0,43.63636363636363,39.033008564236475,7.0,8.75,28.0,70.0,126.0
1,53.0,44.264150943396224,34.13612509182128,7.0,14.0,42.0,63.0,161.0
2,44.0,35.02272727272727,37.277394257399,7.0,7.0,21.0,49.0,175.0
3,49.0,41.44897959183673,38.82817985716571,7.0,21.0,28.0,56.0,168.0
4,42.0,42.523809523809526,39.23303616337869,7.0,14.0,31.5,56.0,182.0
5,53.0,33.9622641509434,31.48929138132697,7.0,14.0,28.0,42.0,182.0
6,38.0,21.394736842105264,22.311722132625057,7.0,7.0,14.0,28.0,120.0
7,44.0,19.75,26.891794373956582,7.0,7.0,7.0,21.0,140.0
8,49.0,37.16326530612245,41.08798838000769,7.0,7.0,21.0,49.0,210.0
9,43.0,39.74418604651163,47.53399436356089,7.0,7.0,28.0,49.0,259.0
10,16.0,18.4375,28.4557404870558,7.0,7.0,7.0,15.75,120.0
11,32.0,16.875,20.95886909039672,7.0,7.0,7.0,21.0,120.0
12,15.0,26.666666666666668,34.60732099811637,7.0,7.0,7.0,31.5,120.0
13,67.0,21.119402985074625,23.4550003637266,7.0,7.0,14.0,24.5,120.0
14,48.0,27.875,24.1780848545546,7.0,14.0,21.0,35.0,120.0
15,19.0,24.0,33.99509768579386,7.0,7.0,7.0,21.0,120.0
16,32.0,35.25,33.65095981950877,7.0,7.0,21.0,49.0,120.0
17,52.0,42.42307692307692,34.875884220343856,7.0,19.25,35.0,56.0,154.0
18,51.0,27.058823529411764,24.883256832421182,7.0,7.0,14.0,42.0,120.0
19,48.0,34.583333333333336,30.499970933598522,7.0,12.25,21.0,49.0,126.0
20,37.0,18.18918918918919,22.412592985291198,7.0,7.0,7.0,14.0,120.0
21,41.0,37.24390243902439,32.79998512789669,7.0,7.0,35.0,49.0,154.0
22,29.0,28.75862068965517,27.252333022558155,7.0,7.0,21.0,35.0,120.0
23,50.0,43.0,40.26341834895364,7.0,14.0,28.0,54.25,182.0
24,38.0,30.236842105263158,34.90251614141053,7.0,7.0,14.0,45.5,147.0
25,23.0,32.30434782608695,56.53513371235199,7.0,7.0,14.0,24.5,266.0
26,47.0,40.08510638297872,42.03354239653708,7.0,7.0,28.0,49.0,161.0
27,43.0,41.53488372093023,40.24055573151787,7.0,14.0,28.0,59.5,182.0
28,36.0,36.77777777777778,55.37307809556714,7.0,7.0,14.0,42.0,294.0
29,44.0,25.954545454545453,23.11744991313397,7.0,7.0,21.0,29.75,120.0
30,34.0,42.23529411764706,48.62164303191526,7.0,8.75,21.0,54.25,175.0
31,24.0,37.958333333333336,47.99318716747985,7.0,7.0,24.5,49.0,217.0
32,30.0,30.833333333333332,40.542938781709836,7.0,7.0,14.0,33.25,168.0
33,17.0,33.8235294117647,47.216569250261145,7.0,7.0,14.0,28.0,175.0
34,40.0,41.5,42.593486922358544,7.0,14.0,28.0,43.75,168.0
35,23.0,21.956521739130434,30.09300471548702,7.0,7.0,7.0,21.0,120.0
36,32.0,30.0,33.76484142016711,7.0,7.0,14.0,42.0,148.0
37,44.0,39.95454545454545,34.21882695817077,7.0,14.0,35.0,56.0,148.0
38,43.0,45.93023255813954,39.73087760997628,7.0,14.0,28.0,70.0,175.0
39,51.0,43.254901960784316,39.5337036652297,7.0,14.0,35.0,49.0,161.0
40,24.0,49.625,49.995488926936986,7.0,7.0,31.5,71.75,182.0
41,47.0,37.702127659574465,33.31856441242761,7.0,17.5,28.0,49.0,162.0
42,30.0,27.1,29.341450026458684,7.0,7.0,14.0,35.0,127.0
43,55.0,32.21818181818182,38.12245906971225,7.0,14.0,21.0,35.0,196.0
44,37.0,40.13513513513514,44.03354918074915,7.0,7.0,21.0,56.0,169.0
45,37.0,37.86486486486486,42.24870948861579,7.0,7.0,21.0,49.0,168.0
46,16.0,17.5625,29.832797946778864,7.0,7.0,7.0,14.0,127.0
47,42.0,20.19047619047619,22.324915639354547,7.0,8.75,14.0,21.0,134.0
48,18.0,27.666666666666668,34.845879155470406,7.0,7.0,14.0,31.5,134.0
49,36.0,25.694444444444443,26.095231578031857,7.0,7.0,17.5,35.0,134.0
50,45.0,39.53333333333333,62.310658653381154,7.0,14.0,28.0,42.0,413.0
51,47.0,18.48936170212766,25.265436383935175,7.0,7.0,7.0,14.0,127.0
52,32.0,35.46875,35.257563247181906,7.0,12.25,24.5,50.75,148.0
53,38.0,34.10526315789474,32.55746642782799,7.0,7.0,21.0,52.5,134.0
54,40.0,28.9,31.312158693569533,7.0,7.0,14.0,29.75,140.0
55,47.0,42.46808510638298,44.0922210746629,7.0,14.0,28.0,56.0,245.0
56,40.0,26.45,30.241718510387905,7.0,7.0,14.0,35.0,148.0
57,41.0,42.707317073170735,38.34334616490782,7.0,14.0,35.0,56.0,155.0
58,25.0,38.4,41.47187802193996,7.0,14.0,14.0,49.0,141.0
59,49.0,38.734693877551024,43.50180815696251,7.0,7.0,21.0,49.0,182.0
60,35.0,35.02857142857143,41.70025089096884,7.0,7.0,14.0,42.0,148.0
61,22.0,28.681818181818183,30.847375999598505,7.0,7.0,17.5,28.0,127.0
62,47.0,36.51063829787234,38.7527683950369,7.0,7.0,21.0,49.0,168.0
63,50.0,35.02,37.075482850145434,7.0,7.0,21.0,49.0,161.0
64,39.0,38.07692307692308,40.55041346754265,7.0,7.0,28.0,56.0,161.0
65,43.0,26.3953488372093,23.86882758395473,7.0,10.5,21.0,35.0,141.0
66,36.0,47.47222222222222,47.59440910209704,7.0,19.25,28.0,56.0,175.0
67,30.0,36.43333333333333,57.120974668911565,7.0,7.0,14.0,40.25,287.0
68,38.0,26.736842105263158,32.89186559304005,7.0,7.0,10.5,28.0,155.0
69,17.0,24.352941176470587,31.713445840192506,7.0,7.0,14.0,28.0,127.0
70,42.0,41.357142857142854,44.85740085147407,7.0,8.75,21.0,49.0,182.0
71,26.0,28.846153846153847,30.956346435188127,7.0,7.0,14.0,40.25,134.0
72,27.0,32.96296296296296,34.69923683652188,7.0,14.0,21.0,42.0,162.0
73,45.0,40.46666666666667,33.549556290251104,7.0,14.0,35.0,63.0,162.0
74,34.0,37.5,40.618140446521345,7.0,7.0,17.5,49.0,169.0
75,51.0,39.96078431372549,35.4112754835596,7.0,14.0,28.0,56.0,162.0
76,25.0,37.84,49.06940662639673,7.0,7.0,14.0,42.0,169.0
77,49.0,39.30612244897959,37.64649390582555,7.0,14.0,28.0,56.0,204.0
78,32.0,27.15625,30.236817308832983,7.0,7.0,14.0,35.0,148.0
79,55.0,39.21818181818182,39.22191890459877,7.0,14.0,28.0,49.0,190.0
80,39.0,36.1025641025641,41.52665274241597,7.0,7.0,21.0,49.0,190.0
81,32.0,39.625,40.897787620579976,7.0,7.0,35.0,43.75,162.0
82,10.0,23.9,41.81560049125738,7.0,7.0,7.0,17.5,141.0
83,39.0,23.897435897435898,28.474175623938404,7.0,7.0,14.0,24.5,155.0
84,20.0,43.1,59.31530378543041,7.0,7.0,14.0,56.0,217.0
85,35.0,21.428571428571427,29.751209282674754,7.0,7.0,14.0,28.0,176.0
86,40.0,37.825,66.86645224548283,7.0,7.0,14.0,43.75,392.0
87,43.0,22.651162790697676,26.392534767863207,7.0,7.0,14.0,24.5,155.0
88,46.0,30.91304347826087,39.25349302897572,7.0,7.0,14.0,33.25,176.0
89,41.0,44.75609756097561,47.5897995834217,7.0,14.0,35.0,49.0,218.0
90,43.0,39.41860465116279,42.263477736546925,7.0,10.5,28.0,52.5,203.0
91,48.0,39.541666666666664,36.79382367997253,7.0,14.0,24.5,56.0,176.0
92,43.0,24.6046511627907,30.398260864166087,7.0,7.0,14.0,28.0,155.0
93,45.0,33.93333333333333,35.39735480615362,7.0,7.0,21.0,42.0,162.0
94,27.0,32.96296296296296,48.24734467104141,7.0,7.0,14.0,35.0,203.0
95,46.0,44.76086956521739,50.360559869188954,7.0,14.0,24.5,54.25,197.0
96,35.0,36.02857142857143,37.69575238537042,7.0,7.0,21.0,59.5,176.0
