id,count,mean,std,min,25%,50%,75%,max
0,24.0,33.291666666666664,32.04545571347142,7.0,7.0,24.5,43.75,120.0
1,51.0,40.92156862745098,27.037635353155355,7.0,21.0,35.0,63.0,120.0
2,47.0,36.51063829787234,39.90961110158017,7.0,7.0,21.0,45.5,168.0
3,48.0,37.0625,36.29102594071691,7.0,14.0,28.0,42.0,189.0
4,33.0,49.45454545454545,49.16750127694291,7.0,14.0,42.0,63.0,217.0
5,51.0,29.666666666666668,28.049717764474323,7.0,7.0,21.0,35.0,120.0
6,26.0,22.653846153846153,26.287551894677915,7.0,7.0,14.0,21.0,120.0
7,31.0,50.83870967741935,69.3758347813769,7.0,10.5,28.0,66.5,371.0
8,51.0,36.666666666666664,40.99105593500449,7.0,7.0,21.0,56.0,217.0
9,42.0,41.023809523809526,52.54660560629318,7.0,7.0,14.0,54.25,245.0
10,36.0,13.833333333333334,19.416487838947603,7.0,7.0,7.0,14.0,120.0
11,22.0,14.363636363636363,24.21244358263792,7.0,7.0,7.0,7.0,120.0
12,28.0,38.035714285714285,53.27947429313076,7.0,7.0,21.0,29.75,224.0
13,42.0,23.023809523809526,22.996805817688955,7.0,7.0,17.5,28.0,120.0
14,46.0,30.608695652173914,35.02093231887312,7.0,14.0,17.5,35.0,210.0
15,41.0,28.024390243902438,37.8863351387265,7.0,7.0,14.0,28.0,175.0
16,48.0,38.229166666666664,35.623467989953,7.0,7.0,24.5,57.75,140.0
17,48.0,37.354166666666664,31.471357855170897,7.0,14.0,28.0,63.0,120.0
18,53.0,25.11320754716981,23.87117700149838,7.0,7.0,14.0,35.0,126.0
19,47.0,39.638297872340424,43.049731369113346,7.0,7.0,21.0,52.5,217.0
20,35.0,22.82857142857143,28.77752974957015,7.0,7.0,7.0,28.0,120.0
21,36.0,46.69444444444444,47.755220773346984,7.0,7.0,28.0,63.0,189.0
22,24.0,48.458333333333336,63.2317883502516,7.0,7.0,14.0,64.75,252.0
23,45.0,46.68888888888889,59.76119987166431,7.0,14.0,28.0,63.0,343.0
24,36.0,34.05555555555556,51.81612790542256,7.0,7.0,14.0,35.0,224.0
25,20.0,28.05,28.8051073687691,7.0,14.0,14.0,28.0,120.0
26,43.0,45.27906976744186,47.05332617229062,7.0,7.0,28.0,63.0,196.0
27,50.0,31.1,34.75526681567229,7.0,7.0,21.0,35.0,140.0
