id,count,mean,std,min,25%,50%,75%,max
0,42.0,12.023809523809524,24.773597368912338,0.0,0.0,0.0,14.0,134.0
1,52.0,11.461538461538462,21.90304978179043,0.0,0.0,7.0,14.0,141.0
2,49.0,14.020408163265307,23.63391788997186,0.0,0.0,7.0,21.0,141.0
3,51.0,14.568627450980392,21.597458092989353,0.0,0.0,7.0,21.0,120.0
4,44.0,17.84090909090909,23.322753818234283,0.0,0.0,7.0,22.75,127.0
5,52.0,13.211538461538462,22.667534474559748,0.0,0.0,7.0,14.0,148.0
6,38.0,4.447368421052632,19.716500660437436,0.0,0.0,0.0,0.0,120.0
7,59.0,19.0,40.220084192027656,0.0,3.5,7.0,14.0,273.0
8,53.0,10.584905660377359,23.805650559239524,0.0,0.0,7.0,14.0,162.0
9,57.0,17.57894736842105,31.48976441890118,0.0,0.0,7.0,14.0,141.0
10,38.0,9.605263157894736,24.770884689636226,0.0,0.0,0.0,7.0,120.0
11,43.0,11.581395348837209,27.163729807488952,0.0,0.0,0.0,7.0,127.0
12,46.0,19.347826086956523,29.119842331154615,0.0,0.0,7.0,21.0,127.0
13,57.0,11.192982456140351,22.497173311719493,0.0,0.0,0.0,14.0,127.0
14,56.0,10.642857142857142,20.177781274036477,0.0,0.0,0.0,15.75,134.0
15,36.0,5.861111111111111,21.482421754644992,0.0,0.0,0.0,0.0,120.0
16,51.0,14.431372549019608,26.003272795523863,0.0,0.0,7.0,10.5,141.0
17,50.0,17.94,31.69781425542507,0.0,0.0,7.0,14.0,161.0
18,60.0,16.583333333333332,26.193731729574235,0.0,0.0,7.0,21.0,133.0
19,51.0,15.529411764705882,23.16838616837735,0.0,7.0,7.0,17.5,141.0
20,59.0,19.83050847457627,31.452291480783526,0.0,0.0,7.0,24.5,147.0
21,52.0,16.03846153846154,24.446790188650603,0.0,0.0,7.0,28.0,148.0
22,41.0,10.439024390243903,21.88498204304473,0.0,0.0,0.0,14.0,127.0
23,50.0,7.3,18.01388353465182,0.0,0.0,0.0,7.0,120.0
24,49.0,11.73469387755102,22.5931179696791,0.0,0.0,7.0,14.0,141.0
25,40.0,10.175,21.51312956289121,0.0,0.0,0.0,14.0,120.0
26,54.0,14.537037037037036,27.30243818192521,0.0,0.0,7.0,14.0,140.0
27,58.0,15.948275862068966,22.14895539399933,0.0,7.0,7.0,21.0,141.0
28,53.0,9.0,17.235919559945824,0.0,0.0,7.0,14.0,120.0
29,62.0,14.806451612903226,27.842554238912786,0.0,0.0,7.0,14.0,154.0
30,44.0,11.954545454545455,22.292927802806467,0.0,0.0,3.5,21.0,134.0
31,33.0,12.757575757575758,28.04241241297535,0.0,0.0,7.0,7.0,127.0
32,48.0,9.791666666666666,23.218626357497506,0.0,0.0,0.0,14.0,148.0
33,28.0,8.785714285714286,23.63355609181516,0.0,0.0,0.0,7.0,120.0
34,56.0,13.267857142857142,22.421167816011863,0.0,0.0,7.0,15.75,134.0
35,31.0,6.580645161290323,23.522718371180922,0.0,0.0,0.0,0.0,127.0
36,40.0,11.75,26.013556623520902,0.0,0.0,3.5,14.0,155.0
37,51.0,14.843137254901961,23.69081893816219,0.0,0.0,7.0,14.0,148.0
38,49.0,19.877551020408163,35.585362541512545,0.0,0.0,7.0,21.0,162.0
39,51.0,16.215686274509803,36.16535011609327,0.0,0.0,7.0,14.0,210.0
40,42.0,20.023809523809526,30.822456253903734,0.0,1.75,7.0,28.0,162.0
41,51.0,12.509803921568627,26.744249885924724,0.0,7.0,7.0,14.0,190.0
42,38.0,9.421052631578947,23.63761498343822,0.0,0.0,0.0,7.0,141.0
43,58.0,16.310344827586206,27.237233865628458,0.0,0.0,7.0,21.0,169.0
44,52.0,10.115384615384615,25.782387852535738,0.0,0.0,7.0,7.0,183.0
45,56.0,11.142857142857142,24.127260004498552,0.0,0.0,7.0,14.0,155.0
