id,count,mean,std,min,25%,50%,75%,max
0,27.0,26.48148148148148,29.394361534629226,7.0,7.0,14.0,42.0,120.0
1,45.0,38.28888888888889,33.4131317559036,7.0,14.0,28.0,49.0,133.0
2,49.0,34.02040816326531,33.1652992573553,7.0,14.0,21.0,42.0,161.0
3,41.0,36.90243902439025,32.747370030316006,7.0,7.0,28.0,49.0,161.0
4,26.0,44.19230769230769,38.40731100274449,7.0,7.0,49.0,68.25,120.0
5,53.0,33.56603773584906,30.049004484957738,7.0,14.0,21.0,42.0,120.0
6,38.0,33.0,41.95815160950833,7.0,7.0,7.0,40.25,154.0
7,43.0,40.395348837209305,40.19603127464897,7.0,7.0,28.0,56.0,175.0
8,39.0,37.8974358974359,32.05324096577843,7.0,14.0,28.0,56.0,120.0
9,48.0,32.541666666666664,40.28354731645617,7.0,7.0,14.0,42.0,182.0
10,6.0,28.166666666666668,45.33615187316482,7.0,7.0,7.0,17.5,120.0
11,14.0,23.071428571428573,30.499594664934072,7.0,7.0,14.0,19.25,120.0
12,36.0,29.0,35.96665122026236,7.0,7.0,21.0,22.75,161.0
13,44.0,34.54545454545455,53.22766134583336,7.0,7.0,14.0,35.0,273.0
14,46.0,32.130434782608695,44.28072502450307,7.0,7.0,21.0,40.25,266.0
15,37.0,33.32432432432432,41.05487794407631,7.0,7.0,14.0,35.0,154.0
16,30.0,53.233333333333334,68.11485398452625,7.0,8.75,24.5,70.0,259.0
17,37.0,40.32432432432432,50.42434049260451,7.0,14.0,14.0,49.0,238.0
18,30.0,26.4,31.444093793314483,7.0,7.0,14.0,28.0,120.0
19,43.0,34.04651162790697,31.0176243973618,7.0,7.0,21.0,45.5,120.0
20,29.0,29.24137931034483,32.72139445641664,7.0,7.0,14.0,35.0,120.0
21,43.0,38.76744186046512,31.895541716599656,7.0,14.0,21.0,56.0,120.0
22,39.0,33.94871794871795,52.26700112124118,7.0,7.0,14.0,31.5,217.0
23,38.0,26.18421052631579,27.79058295018724,7.0,7.0,17.5,28.0,126.0
24,40.0,33.1,38.593742019619235,7.0,7.0,14.0,49.0,161.0
25,18.0,40.5,73.1479162181591,7.0,7.0,17.5,21.0,308.0
26,45.0,41.08888888888889,37.494740371891574,7.0,14.0,28.0,56.0,140.0
27,51.0,34.05882352941177,28.853708090785062,7.0,14.0,21.0,49.0,120.0
28,45.0,28.8,32.11527532329295,7.0,7.0,14.0,49.0,126.0
29,43.0,23.13953488372093,21.24862056626247,7.0,7.0,14.0,28.0,120.0
30,37.0,32.37837837837838,44.916806648731374,7.0,7.0,14.0,28.0,224.0
31,25.0,36.72,49.94790619568886,7.0,7.0,7.0,63.0,203.0
32,36.0,29.77777777777778,34.01437604569247,7.0,7.0,17.5,35.0,140.0
33,16.0,36.375,35.59377286361572,7.0,12.25,24.5,42.0,120.0
34,42.0,36.523809523809526,30.968306454272906,7.0,7.0,28.0,61.25,120.0
35,24.0,27.458333333333332,29.030687162060925,7.0,7.0,14.0,42.0,120.0
36,32.0,21.6875,27.939378500026482,7.0,7.0,10.5,21.0,148.0
37,43.0,38.27906976744186,34.785277113686604,7.0,14.0,21.0,56.0,148.0
38,45.0,41.71111111111111,36.503189289195376,7.0,14.0,28.0,49.0,155.0
39,48.0,44.645833333333336,39.60576445435922,7.0,14.0,28.0,56.0,161.0
40,29.0,36.724137931034484,34.22290017739181,7.0,14.0,28.0,49.0,134.0
41,49.0,32.16326530612245,31.253231125474258,7.0,14.0,21.0,42.0,155.0
42,29.0,38.172413793103445,39.39368057145102,7.0,7.0,21.0,56.0,127.0
43,55.0,35.90909090909091,34.927052407825514,7.0,10.5,21.0,56.0,141.0
44,37.0,34.270270270270274,46.831642109824664,7.0,7.0,14.0,42.0,210.0
45,37.0,35.78378378378378,36.187885584309335,7.0,7.0,28.0,56.0,148.0
46,25.0,14.04,24.019922286857355,7.0,7.0,7.0,14.0,127.0
47,38.0,18.263157894736842,24.4061182078264,7.0,7.0,7.0,14.0,134.0
48,20.0,22.45,28.715436890102744,7.0,7.0,14.0,22.75,134.0
49,43.0,26.558139534883722,30.578783747949757,7.0,7.0,21.0,24.5,140.0
50,45.0,39.84444444444444,50.43085074704478,7.0,14.0,21.0,42.0,280.0
51,38.0,38.526315789473685,49.40496574347358,7.0,7.0,21.0,47.25,238.0
52,29.0,36.96551724137931,40.30551429716064,7.0,7.0,21.0,49.0,148.0
53,36.0,36.583333333333336,32.70856157032895,7.0,12.25,21.0,49.0,134.0
54,54.0,26.333333333333332,32.17815970909696,7.0,7.0,21.0,28.0,182.0
55,50.0,39.22,31.08729644082933,7.0,14.0,28.0,54.25,148.0
56,31.0,28.032258064516128,32.555065013980794,7.0,7.0,14.0,31.5,148.0
57,48.0,34.729166666666664,30.16531725754309,7.0,14.0,28.0,49.0,155.0
58,30.0,40.63333333333333,38.9716814369484,7.0,8.75,21.0,68.25,141.0
59,50.0,33.48,38.11006616180485,7.0,8.75,21.0,40.25,210.0
60,40.0,34.5,57.454999113018204,7.0,7.0,14.0,29.75,336.0
61,18.0,25.72222222222222,32.30699351634812,7.0,7.0,14.0,31.5,127.0
62,44.0,39.15909090909091,35.380288285348016,7.0,12.25,28.0,45.5,140.0
63,45.0,42.17777777777778,46.80631702165118,7.0,7.0,21.0,63.0,189.0
64,41.0,30.24390243902439,34.944084254566526,7.0,7.0,14.0,42.0,140.0
65,35.0,31.428571428571427,35.717260380320745,7.0,7.0,21.0,35.0,141.0
66,34.0,44.705882352941174,52.833947656364245,7.0,8.75,21.0,49.0,238.0
67,28.0,35.785714285714285,51.385512544596644,7.0,7.0,7.0,38.5,217.0
68,42.0,29.857142857142858,36.670963743560556,7.0,7.0,14.0,28.0,155.0
69,18.0,33.111111111111114,33.760207848692644,7.0,8.75,21.0,38.5,127.0
70,45.0,36.888888888888886,44.435459950473124,7.0,14.0,21.0,42.0,245.0
71,24.0,21.041666666666668,26.377657157174692,7.0,7.0,14.0,22.75,134.0
72,31.0,21.032258064516128,31.29801257904165,7.0,7.0,7.0,17.5,162.0
73,43.0,33.395348837209305,31.502184002053333,7.0,10.5,28.0,45.5,155.0
74,31.0,33.0,37.21469243905334,7.0,7.0,21.0,35.0,169.0
75,48.0,47.5625,55.22060448396475,7.0,7.0,28.0,59.5,210.0
76,24.0,35.625,37.759896485672414,7.0,7.0,21.0,56.0,169.0
77,47.0,39.638297872340424,36.06782592013269,7.0,21.0,28.0,49.0,204.0
78,28.0,42.285714285714285,41.68031522491976,7.0,7.0,28.0,50.75,148.0
79,54.0,43.18518518518518,42.531708071443504,7.0,14.0,24.5,63.0,169.0
80,40.0,32.925,46.47435879752431,7.0,7.0,14.0,42.0,210.0
81,38.0,31.710526315789473,32.89451436624625,7.0,7.0,21.0,54.25,169.0
82,25.0,26.36,26.394254425284807,7.0,14.0,21.0,21.0,141.0
83,36.0,25.694444444444443,27.53472554995076,7.0,14.0,21.0,28.0,162.0
84,23.0,34.43478260869565,47.6071290373392,7.0,10.5,14.0,35.0,176.0
85,35.0,31.82857142857143,45.946571090321676,7.0,7.0,14.0,35.0,210.0
86,37.0,43.54054054054054,55.032613862950285,7.0,14.0,21.0,42.0,280.0
87,37.0,40.13513513513514,49.38688656480144,7.0,7.0,14.0,56.0,182.0
88,39.0,34.30769230769231,47.954009681510605,7.0,7.0,14.0,38.5,217.0
89,40.0,35.025,40.67601038097051,7.0,7.0,14.0,43.75,204.0
90,47.0,32.48936170212766,29.443292836603376,7.0,14.0,21.0,49.0,155.0
91,49.0,36.59183673469388,32.98668820356866,7.0,7.0,28.0,49.0,169.0
92,35.0,24.428571428571427,28.92005788201607,7.0,7.0,14.0,31.5,162.0
93,41.0,35.19512195121951,42.33805587895783,7.0,7.0,14.0,42.0,190.0
94,29.0,37.93103448275862,34.95193744321597,7.0,14.0,28.0,49.0,162.0
95,48.0,37.645833333333336,48.016171736478015,7.0,14.0,21.0,49.0,273.0
