id,count,mean,std,min,25%,50%,75%,max
0,39.0,13.846153846153847,33.68315091956875,0.0,0.0,0.0,10.5,161.0
1,54.0,8.185185185185185,19.86660616539969,0.0,0.0,3.5,7.0,141.0
2,49.0,9.306122448979592,21.483718720650465,0.0,0.0,0.0,7.0,141.0
3,54.0,8.055555555555555,17.660762036879113,0.0,0.0,0.0,7.0,120.0
4,45.0,11.844444444444445,21.008608144320654,0.0,0.0,7.0,14.0,127.0
5,55.0,10.581818181818182,21.37122581718917,0.0,0.0,7.0,7.0,148.0
6,38.0,5.552631578947368,19.764419803903216,0.0,0.0,0.0,0.0,120.0
7,51.0,9.901960784313726,23.16139451929506,0.0,0.0,0.0,10.5,134.0
8,56.0,20.392857142857142,29.52267453480988,0.0,0.0,7.0,28.0,162.0
9,54.0,13.5,24.227498800189995,0.0,0.0,7.0,14.0,141.0
10,34.0,10.735294117647058,26.666638814602212,0.0,0.0,0.0,7.0,120.0
11,47.0,11.936170212765957,22.196165214542518,0.0,0.0,7.0,14.0,127.0
12,42.0,14.023809523809524,26.386885226620326,0.0,0.0,0.0,12.25,127.0
13,64.0,13.6875,20.254629100529094,0.0,0.0,7.0,14.0,127.0
14,52.0,6.884615384615385,19.261516897235893,0.0,0.0,0.0,7.0,134.0
15,36.0,4.888888888888889,21.373919725788355,0.0,0.0,0.0,0.0,120.0
16,53.0,19.69811320754717,25.146176422654104,0.0,0.0,14.0,28.0,141.0
17,56.0,9.142857142857142,18.171334639959788,0.0,0.0,3.5,14.0,127.0
18,57.0,10.210526315789474,17.861307784971224,0.0,0.0,7.0,14.0,120.0
19,49.0,19.73469387755102,25.64564250690235,0.0,7.0,14.0,21.0,141.0
20,55.0,22.418181818181818,31.58392166505147,0.0,0.0,7.0,28.0,134.0
21,55.0,14.909090909090908,26.901241006257827,0.0,0.0,7.0,17.5,148.0
22,33.0,7.454545454545454,25.321792626474572,0.0,0.0,0.0,0.0,127.0
23,54.0,16.35185185185185,24.480379056911904,0.0,0.0,7.0,21.0,120.0
24,50.0,10.66,21.25511703096457,0.0,0.0,7.0,14.0,141.0
25,40.0,18.05,33.69999619569331,0.0,0.0,7.0,15.75,161.0
26,56.0,15.017857142857142,22.483522104727417,0.0,0.0,7.0,15.75,127.0
27,51.0,18.96078431372549,24.956731183641597,0.0,7.0,14.0,24.5,141.0
28,54.0,11.814814814814815,17.834748861315415,0.0,0.0,7.0,14.0,120.0
29,58.0,15.224137931034482,31.15498501603014,0.0,0.0,7.0,14.0,154.0
30,44.0,12.909090909090908,22.412432369908657,0.0,0.0,7.0,14.0,134.0
31,30.0,18.466666666666665,35.63099516000015,0.0,0.0,7.0,12.25,127.0
32,51.0,11.96078431372549,24.612160233765522,0.0,0.0,7.0,14.0,148.0
33,28.0,7.285714285714286,22.843845338324062,0.0,0.0,0.0,7.0,120.0
34,55.0,14.781818181818181,22.42492900941809,0.0,0.0,7.0,21.0,134.0
35,30.0,9.133333333333333,24.147154231322258,0.0,0.0,0.0,7.0,127.0
36,39.0,17.076923076923077,32.65963597259388,0.0,0.0,7.0,17.5,155.0
37,54.0,8.185185185185185,20.604152424568955,0.0,0.0,7.0,7.0,148.0
38,49.0,16.877551020408163,28.942927067089887,0.0,0.0,7.0,21.0,183.0
39,53.0,13.358490566037736,23.823141899956983,0.0,0.0,7.0,14.0,155.0
40,44.0,18.636363636363637,32.30313607721134,0.0,7.0,7.0,21.0,162.0
41,55.0,12.10909090909091,26.159533866665363,0.0,0.0,7.0,14.0,190.0
42,38.0,8.68421052631579,22.675269613889686,0.0,0.0,7.0,7.0,141.0
43,51.0,18.41176470588235,36.2116978174668,0.0,0.0,7.0,14.0,189.0
44,52.0,12.673076923076923,26.351114240567835,0.0,0.0,7.0,14.0,176.0
45,53.0,11.245283018867925,24.181131916925324,0.0,0.0,7.0,14.0,155.0
46,32.0,14.25,27.135264521378105,0.0,0.0,0.0,21.0,134.0
47,47.0,13.72340425531915,23.475891544545988,0.0,0.0,7.0,21.0,148.0
48,41.0,13.853658536585366,29.22632458555964,0.0,0.0,7.0,14.0,169.0
49,62.0,11.64516129032258,24.647745731520562,0.0,0.0,3.5,14.0,169.0
50,51.0,18.686274509803923,25.333369453018626,0.0,0.0,14.0,28.0,155.0
51,36.0,6.638888888888889,25.201080223761135,0.0,0.0,0.0,0.0,148.0
52,51.0,13.745098039215685,29.598542624429935,0.0,0.0,7.0,14.0,162.0
53,56.0,13.642857142857142,23.637742217539667,0.0,0.0,7.0,15.75,169.0
54,57.0,17.70175438596491,29.45878774557087,0.0,7.0,7.0,21.0,155.0
55,49.0,18.591836734693878,26.403849441059204,0.0,0.0,14.0,28.0,162.0
56,52.0,12.403846153846153,27.493499848812473,0.0,0.0,0.0,14.0,148.0
57,55.0,10.581818181818182,24.885434464458292,0.0,0.0,7.0,7.0,176.0
58,33.0,15.303030303030303,40.223193595614745,0.0,0.0,7.0,7.0,182.0
59,53.0,20.358490566037737,37.50645807961335,0.0,0.0,7.0,21.0,176.0
60,49.0,13.877551020408163,26.01572653628732,0.0,0.0,7.0,14.0,162.0
61,39.0,20.307692307692307,40.788384470242356,0.0,0.0,0.0,17.5,182.0
62,55.0,16.69090909090909,26.09304769564372,0.0,0.0,7.0,14.0,148.0
63,51.0,22.666666666666668,27.05894799630368,0.0,7.0,21.0,28.0,169.0
64,51.0,14.431372549019608,27.47963238615887,0.0,0.0,7.0,14.0,155.0
65,56.0,13.017857142857142,23.67084211078614,0.0,0.0,7.0,14.0,162.0
66,44.0,12.272727272727273,27.27070464663299,0.0,0.0,7.0,14.0,169.0
67,27.0,18.962962962962962,46.77974699958016,0.0,0.0,7.0,7.0,196.0
68,51.0,10.313725490196079,27.500901945993288,0.0,0.0,0.0,10.5,183.0
69,28.0,12.035714285714286,27.83613710809259,0.0,0.0,3.5,14.0,141.0
70,55.0,17.836363636363636,27.236116841540767,0.0,0.0,7.0,28.0,162.0
71,30.0,16.133333333333333,28.230251972605235,0.0,0.0,7.0,21.0,148.0
72,39.0,19.58974358974359,38.005344463999535,0.0,0.0,7.0,14.0,162.0
73,53.0,9.264150943396226,27.363754060517177,0.0,0.0,0.0,7.0,183.0
74,47.0,17.4468085106383,52.91124993824803,0.0,0.0,0.0,7.0,274.0
75,53.0,16.92452830188679,25.071320618620863,0.0,7.0,14.0,21.0,169.0
76,41.0,26.829268292682926,75.94633053644672,0.0,0.0,7.0,21.0,484.0
77,55.0,8.418181818181818,27.588034785023446,0.0,0.0,0.0,7.0,204.0
78,38.0,8.68421052631579,25.12897032032722,0.0,0.0,0.0,7.0,155.0
79,51.0,16.07843137254902,28.47514223827857,0.0,0.0,7.0,21.0,183.0
80,51.0,15.117647058823529,30.26129346794253,0.0,0.0,7.0,21.0,204.0
81,52.0,15.76923076923077,32.87863325758657,0.0,0.0,7.0,14.0,197.0
82,32.0,16.0,32.89769086905841,0.0,0.0,3.5,14.0,169.0
83,45.0,16.666666666666668,30.89939687554965,0.0,0.0,7.0,14.0,183.0
84,40.0,16.475,34.36902861887616,0.0,0.0,7.0,14.0,190.0
85,60.0,15.65,35.074170804555294,0.0,0.0,7.0,14.0,225.0
86,51.0,25.823529411764707,34.883065164834896,0.0,7.0,14.0,28.0,190.0
87,36.0,15.583333333333334,61.89870757939943,0.0,0.0,0.0,7.0,372.0
88,51.0,9.215686274509803,26.779330630536826,0.0,0.0,0.0,7.0,176.0
89,56.0,11.267857142857142,36.799946181496495,0.0,0.0,7.0,7.0,274.0
90,54.0,17.77777777777778,35.03780527861496,0.0,0.0,7.0,14.0,176.0
91,49.0,22.020408163265305,33.378816757986876,0.0,7.0,14.0,28.0,204.0
92,51.0,12.647058823529411,31.100368827016677,0.0,0.0,7.0,7.0,183.0
93,55.0,12.745454545454546,29.889437117123013,0.0,0.0,7.0,14.0,218.0
94,32.0,22.125,38.06679189479053,0.0,5.25,14.0,21.0,183.0
95,53.0,17.18867924528302,34.60383293785952,0.0,0.0,7.0,14.0,204.0
96,45.0,21.177777777777777,31.358113991936968,0.0,0.0,7.0,28.0,169.0
97,38.0,23.236842105263158,44.367893316290626,0.0,0.0,7.0,21.0,225.0
98,55.0,15.036363636363637,25.2996586394506,0.0,3.5,7.0,14.0,176.0
99,51.0,14.843137254901961,28.315629994064842,0.0,0.0,7.0,14.0,183.0
100,50.0,11.08,28.701020390023963,0.0,0.0,3.5,14.0,197.0
101,56.0,13.017857142857142,30.56943873242661,0.0,0.0,7.0,14.0,211.0
102,44.0,15.772727272727273,31.188745462935778,0.0,0.0,7.0,15.75,197.0
103,27.0,16.11111111111111,36.39139092331225,0.0,0.0,7.0,14.0,190.0
104,49.0,12.448979591836734,32.31425203147585,0.0,0.0,7.0,14.0,218.0
105,27.0,13.518518518518519,32.074876785386415,0.0,0.0,7.0,7.0,162.0
106,50.0,23.68,35.7328180488789,0.0,0.0,14.0,28.0,197.0
107,27.0,19.74074074074074,49.94966126980904,0.0,0.0,7.0,14.0,260.0
108,39.0,18.692307692307693,45.71603072869564,0.0,0.0,7.0,14.0,267.0
109,53.0,12.30188679245283,35.44963106331855,0.0,0.0,7.0,7.0,253.0
110,47.0,15.808510638297872,54.118082768296475,0.0,0.0,7.0,14.0,372.0
111,53.0,16.0,32.41794374915036,0.0,0.0,7.0,14.0,176.0
112,40.0,22.075,84.02728113154069,0.0,0.0,0.0,7.0,526.0
113,54.0,13.37037037037037,31.582354935255598,0.0,0.0,7.0,14.0,218.0
114,38.0,16.42105263157895,30.556665640711454,0.0,0.0,7.0,26.25,176.0
115,46.0,31.369565217391305,56.77454777769981,0.0,0.0,14.0,33.25,287.0
116,51.0,17.862745098039216,32.26826280284895,0.0,0.0,7.0,21.0,211.0
117,48.0,24.8125,64.80105602304741,0.0,0.0,7.0,14.0,315.0
118,32.0,26.71875,55.31157166161001,0.0,0.0,0.0,21.0,196.0
119,43.0,23.627906976744185,45.6831860575868,0.0,0.0,7.0,28.0,239.0
