id,count,mean,std,min,25%,50%,75%,max
0,24.0,48.416666666666664,56.71509013724092,7.0,7.0,21.0,61.25,210.0
1,42.0,60.0,79.78446575374029,7.0,14.0,24.5,61.25,371.0
2,42.0,60.833333333333336,82.18032423309675,7.0,21.0,28.0,64.75,385.0
3,43.0,60.72093023255814,74.84438636626419,7.0,14.0,28.0,70.0,350.0
4,30.0,61.13333333333333,53.149582885659036,7.0,14.0,52.5,96.25,203.0
5,40.0,54.95,64.22554408349153,7.0,14.0,35.0,70.0,364.0
6,30.0,33.6,31.96722459451027,7.0,7.0,28.0,42.0,140.0
7,46.0,58.130434782608695,78.39263250406812,7.0,7.0,35.0,63.0,392.0
8,36.0,39.27777777777778,58.40528895380775,7.0,7.0,21.0,36.75,259.0
9,30.0,34.06666666666667,45.763208632785094,7.0,7.0,17.5,42.0,217.0
10,7.0,32.0,50.12983143797713,7.0,7.0,7.0,28.0,140.0
11,42.0,18.333333333333332,21.75211418563068,7.0,7.0,14.0,21.0,140.0
12,31.0,50.58064516129032,91.4781482809049,7.0,10.5,21.0,42.0,504.0
13,55.0,31.054545454545455,46.89484619152301,7.0,7.0,14.0,28.0,273.0
14,45.0,44.955555555555556,44.233859694066304,7.0,14.0,28.0,63.0,224.0
15,31.0,30.032258064516128,32.742921750069634,7.0,7.0,14.0,35.0,140.0
16,33.0,71.48484848484848,99.42337539913626,7.0,14.0,28.0,84.0,413.0
17,30.0,70.23333333333333,90.16027236340669,7.0,8.75,45.5,68.25,343.0
18,42.0,42.0,43.755975201721405,7.0,14.0,24.5,49.0,224.0
19,36.0,41.80555555555556,48.0183414031671,7.0,7.0,21.0,57.75,210.0
20,29.0,58.6551724137931,95.60307670709176,7.0,7.0,28.0,63.0,406.0
21,29.0,92.44827586206897,104.03522281519321,7.0,21.0,49.0,105.0,392.0
22,39.0,37.15384615384615,54.79317017636148,7.0,7.0,14.0,45.5,294.0
23,31.0,100.48387096774194,144.51848116365414,14.0,31.5,56.0,115.5,665.0
24,29.0,53.58620689655172,56.13346165382445,7.0,14.0,35.0,70.0,259.0
25,38.0,29.657894736842106,44.55320312796368,7.0,7.0,14.0,21.0,175.0
26,29.0,98.72413793103448,98.18455528519607,7.0,28.0,56.0,154.0,343.0
27,46.0,52.34782608695652,52.956677216718845,7.0,8.75,31.5,82.25,224.0
28,39.0,44.51282051282051,43.31456045140612,7.0,7.0,28.0,56.0,147.0
29,42.0,33.166666666666664,35.25718516403511,7.0,8.75,21.0,42.0,140.0
30,38.0,42.921052631578945,38.17341764995946,7.0,14.0,28.0,54.25,140.0
31,28.0,42.0,79.28756849922009,7.0,7.0,7.0,36.75,399.0
32,29.0,63.0,86.13942186943211,7.0,14.0,21.0,49.0,308.0
33,13.0,28.0,39.90613987846983,7.0,7.0,7.0,28.0,140.0
34,40.0,46.025,45.6657238345494,7.0,14.0,28.0,64.75,203.0
35,25.0,22.4,28.434134416225863,7.0,7.0,7.0,28.0,140.0
36,28.0,43.0,50.28732260535268,7.0,7.0,21.0,56.0,189.0
37,36.0,63.97222222222222,91.2558369518234,7.0,14.0,28.0,63.0,364.0
38,37.0,69.8108108108108,84.86225369445536,7.0,21.0,42.0,77.0,378.0
39,40.0,66.85,83.17252689902617,7.0,14.0,28.0,80.5,350.0
40,23.0,58.43478260869565,57.16549029469099,7.0,10.5,42.0,77.0,210.0
41,37.0,57.13513513513514,74.36552448030761,7.0,7.0,28.0,63.0,364.0
42,28.0,30.0,32.76967884877501,7.0,7.0,17.5,43.75,147.0
43,44.0,56.0,66.80133684778444,7.0,14.0,31.5,66.5,329.0
44,34.0,47.55882352941177,55.004237399561404,7.0,7.0,17.5,68.25,196.0
45,44.0,34.68181818181818,40.36621470537697,7.0,7.0,21.0,49.0,217.0
46,30.0,14.466666666666667,26.251743237135813,7.0,7.0,7.0,12.25,147.0
47,44.0,18.931818181818183,26.346879014916333,7.0,7.0,7.0,21.0,154.0
48,21.0,46.333333333333336,71.74491851924658,7.0,7.0,7.0,21.0,224.0
49,41.0,32.09756097560975,39.34895480063529,7.0,7.0,14.0,35.0,168.0
50,40.0,50.225,42.23529178062905,7.0,21.0,35.0,68.25,161.0
51,44.0,28.954545454545453,29.451540446508133,7.0,12.25,21.0,35.0,147.0
52,28.0,62.75,96.891548765732,7.0,14.0,31.5,50.75,441.0
53,30.0,66.5,87.09596372135579,7.0,21.0,31.5,71.75,364.0
54,41.0,42.68292682926829,50.18089229198213,7.0,7.0,28.0,56.0,259.0
55,46.0,44.28260869565217,48.52108959272968,7.0,14.0,24.5,49.0,245.0
56,31.0,43.806451612903224,67.55314912710767,7.0,7.0,14.0,49.0,294.0
57,30.0,94.03333333333333,112.86686796867127,7.0,21.0,45.5,133.0,413.0
58,22.0,55.04545454545455,91.19966440661274,7.0,8.75,21.0,47.25,413.0
59,32.0,101.0625,142.1949904974878,7.0,31.5,49.0,119.0,637.0
60,32.0,56.875,51.89054858312893,7.0,12.25,45.5,85.75,224.0
61,19.0,26.894736842105264,41.495508106088494,7.0,7.0,7.0,14.0,147.0
62,32.0,86.84375,103.39748214785565,7.0,12.25,52.5,147.0,462.0
63,45.0,50.71111111111111,57.919074508482886,7.0,7.0,28.0,70.0,245.0
64,37.0,42.189189189189186,56.30267303593134,7.0,7.0,14.0,49.0,231.0
65,40.0,30.625,33.54039852675179,7.0,14.0,21.0,36.75,161.0
66,38.0,54.89473684210526,41.221084524649946,7.0,28.0,45.5,75.25,175.0
67,32.0,38.9375,76.28720668123724,7.0,7.0,14.0,36.75,406.0
68,31.0,65.25806451612904,92.64339074894855,7.0,7.0,28.0,63.0,378.0
69,18.0,20.61111111111111,34.416375871154344,7.0,7.0,10.5,14.0,154.0
70,45.0,47.28888888888889,45.51604223798572,7.0,14.0,35.0,56.0,175.0
71,27.0,25.666666666666668,29.121760301824526,7.0,7.0,14.0,35.0,147.0
72,27.0,39.925925925925924,50.35865667384608,7.0,14.0,21.0,35.0,203.0
73,35.0,66.0,89.1000759225926,7.0,17.5,35.0,66.5,357.0
74,28.0,69.75,94.69390257659246,7.0,12.25,21.0,73.5,336.0
75,39.0,68.74358974358974,92.65519497144065,7.0,7.0,35.0,73.5,392.0
76,22.0,57.90909090909091,86.2796721028877,7.0,7.0,10.5,68.25,287.0
77,35.0,67.2,83.2105055584577,7.0,14.0,35.0,87.5,364.0
78,31.0,35.0,54.5221667458903,7.0,7.0,14.0,38.5,259.0
79,45.0,52.888888888888886,54.98769375638938,7.0,14.0,28.0,77.0,231.0
80,34.0,51.05882352941177,56.82985833674034,7.0,7.0,24.5,85.75,210.0
81,42.0,39.666666666666664,44.2088539121706,7.0,14.0,28.0,47.25,196.0
82,26.0,18.846153846153847,31.540059997016247,7.0,7.0,14.0,14.0,168.0
83,38.0,20.63157894736842,32.09649391699769,7.0,7.0,7.0,21.0,175.0
84,26.0,40.38461538461539,39.11529309421257,7.0,14.0,35.0,56.0,182.0
85,38.0,32.973684210526315,46.77114312589535,7.0,7.0,14.0,35.0,252.0
86,38.0,58.21052631578947,57.932000163629326,7.0,21.0,35.0,82.25,273.0
87,41.0,26.975609756097562,30.933386336511923,7.0,7.0,14.0,35.0,161.0
88,33.0,58.75757575757576,95.3860676091608,7.0,14.0,28.0,49.0,469.0
89,33.0,88.45454545454545,125.02177083139632,7.0,21.0,42.0,63.0,504.0
90,45.0,41.22222222222222,45.05042068660851,7.0,14.0,28.0,49.0,196.0
91,45.0,43.55555555555556,47.567442817137184,7.0,7.0,21.0,63.0,189.0
92,37.0,40.486486486486484,52.07399736145863,7.0,7.0,21.0,56.0,231.0
93,30.0,81.9,89.00342883747561,7.0,28.0,52.5,91.0,371.0
94,24.0,47.833333333333336,84.89977040306265,7.0,7.0,17.5,35.0,378.0
95,31.0,92.80645161290323,101.2457141001826,7.0,21.0,42.0,150.5,378.0
96,31.0,53.96774193548387,44.09420511508494,7.0,14.0,56.0,73.5,196.0
97,13.0,31.23076923076923,47.78624949737782,7.0,7.0,21.0,21.0,182.0
98,27.0,82.70370370370371,83.12123435765137,7.0,28.0,49.0,108.5,336.0
99,45.0,57.86666666666667,50.22114730234303,7.0,14.0,42.0,91.0,189.0
100,36.0,44.52777777777778,43.54340108188355,7.0,12.25,28.0,63.0,196.0
101,40.0,36.05,35.92295887533451,7.0,14.0,28.0,49.0,182.0
102,31.0,63.45161290322581,54.75937588497361,7.0,24.5,49.0,84.0,217.0
103,25.0,56.0,84.194219912454,7.0,7.0,14.0,63.0,378.0
104,32.0,64.3125,96.28232594989893,7.0,12.25,21.0,52.5,392.0
105,16.0,19.25,39.885669941304315,7.0,7.0,7.0,14.0,168.0
106,42.0,48.333333333333336,43.55913651558924,7.0,15.75,42.0,63.0,210.0
107,25.0,38.92,46.480210842895275,7.0,14.0,21.0,49.0,189.0
108,30.0,41.766666666666666,69.52731208983116,7.0,7.0,14.0,42.0,329.0
109,33.0,62.36363636363637,81.13215229712347,7.0,14.0,35.0,77.0,350.0
110,33.0,83.15151515151516,93.66600277452633,7.0,7.0,56.0,119.0,336.0
111,36.0,70.77777777777777,90.04542063746372,7.0,21.0,28.0,71.75,364.0
112,26.0,69.46153846153847,107.91672002770684,7.0,14.0,42.0,85.75,518.0
113,35.0,66.6,85.93985585006186,7.0,14.0,28.0,77.0,364.0
114,29.0,36.93103448275862,46.729411841307005,7.0,7.0,14.0,56.0,196.0
115,41.0,59.58536585365854,69.3162952016898,7.0,7.0,28.0,70.0,224.0
116,35.0,51.4,53.173522823034446,7.0,7.0,35.0,77.0,231.0
117,31.0,38.16129032258065,46.70767015826098,7.0,7.0,21.0,49.0,224.0
118,20.0,28.35,38.17035912575979,7.0,7.0,21.0,28.0,182.0
119,40.0,23.625,38.2318752097158,7.0,7.0,7.0,22.75,217.0
120,23.0,66.95652173913044,121.01971224138711,7.0,14.0,21.0,42.0,504.0
121,44.0,33.88636363636363,43.22855210045674,7.0,7.0,24.5,42.0,273.0
122,40.0,67.725,53.64842220539394,7.0,26.25,59.5,94.5,224.0
123,42.0,34.666666666666664,64.63770200374704,7.0,7.0,14.0,33.25,406.0
124,32.0,57.96875,94.25479687459396,7.0,14.0,21.0,47.25,476.0
125,32.0,79.40625,109.0338388950584,7.0,26.25,45.5,50.75,490.0
126,44.0,40.09090909090909,37.963151155639885,7.0,14.0,31.5,50.75,196.0
127,42.0,54.5,59.4077477085681,7.0,14.0,35.0,63.0,245.0
128,39.0,42.0,64.45683990490316,7.0,7.0,14.0,42.0,343.0
129,29.0,83.75862068965517,108.6930984707512,7.0,21.0,49.0,91.0,518.0
130,26.0,48.19230769230769,70.14899527763416,7.0,8.75,21.0,52.5,301.0
131,32.0,101.28125,105.21781842690015,7.0,14.0,52.5,176.75,364.0
132,34.0,59.294117647058826,56.24434215950469,7.0,14.0,49.0,77.0,210.0
133,17.0,49.8235294117647,99.91511102813581,7.0,7.0,7.0,28.0,399.0
134,30.0,102.2,105.8191039397929,7.0,15.75,70.0,145.25,413.0
135,44.0,57.90909090909091,45.87385037242397,7.0,21.0,49.0,85.75,203.0
136,38.0,46.973684210526315,50.710885255111066,7.0,14.0,28.0,56.0,231.0
137,39.0,39.84615384615385,50.27688516790032,7.0,7.0,28.0,42.0,259.0
138,33.0,56.21212121212121,60.12682303668512,7.0,14.0,42.0,63.0,231.0
139,22.0,49.95454545454545,80.92411334832234,7.0,7.0,14.0,54.25,336.0
