id,count,mean,std,min,25%,50%,75%,max
0,22.0,96.86363636363636,138.6569234630656,7.0,7.0,38.5,145.75,511.0
1,47.0,55.319148936170215,35.39166346384704,7.0,28.0,42.0,80.5,150.0
2,34.0,48.05882352941177,60.56748861692925,7.0,14.0,21.0,57.75,245.0
3,44.0,56.06818181818182,53.08895462894405,7.0,21.0,42.0,71.75,231.0
4,21.0,122.14285714285714,138.34857632599105,7.0,35.0,77.0,150.0,483.0
5,46.0,46.32608695652174,40.88958267107274,7.0,14.0,28.0,68.25,154.0
6,31.0,29.677419354838708,33.8126081975094,7.0,7.0,14.0,35.0,150.0
7,37.0,49.83783783783784,73.37631827833886,7.0,7.0,14.0,49.0,252.0
8,33.0,83.45454545454545,141.1041483508482,7.0,7.0,35.0,84.0,728.0
9,33.0,62.24242424242424,66.54699011930889,7.0,14.0,35.0,91.0,280.0
10,14.0,27.214285714285715,37.87464865829135,7.0,7.0,10.5,33.25,150.0
11,17.0,23.235294117647058,34.063414046019936,7.0,7.0,7.0,28.0,150.0
12,21.0,54.80952380952381,62.310207067236625,7.0,7.0,28.0,63.0,252.0
13,49.0,40.48979591836735,54.29476741553907,7.0,7.0,21.0,42.0,273.0
14,35.0,45.68571428571428,48.42809796253521,7.0,14.0,28.0,59.5,231.0
15,42.0,27.071428571428573,33.2671322868734,7.0,7.0,10.5,35.0,150.0
16,31.0,46.83870967741935,49.12032625719116,7.0,17.5,28.0,49.0,203.0
17,41.0,62.5609756097561,50.12835962830212,7.0,21.0,49.0,91.0,203.0
18,45.0,39.266666666666666,35.1615751017551,7.0,21.0,35.0,49.0,175.0
19,25.0,78.8,126.0737218191536,7.0,7.0,35.0,77.0,490.0
20,27.0,61.03703703703704,82.1895003033475,7.0,10.5,21.0,56.0,357.0
21,31.0,71.90322580645162,81.08446412587708,7.0,31.5,56.0,80.5,427.0
22,18.0,56.94444444444444,89.27319090510366,7.0,7.0,10.5,78.75,350.0
23,36.0,38.19444444444444,45.709529762524475,7.0,7.0,21.0,38.5,217.0
24,26.0,106.1923076923077,123.12498340491884,7.0,15.75,52.5,153.0,511.0
25,18.0,35.166666666666664,51.15518489045339,7.0,7.0,14.0,28.0,189.0
26,42.0,66.4047619047619,75.12657920869593,7.0,28.0,45.5,68.25,434.0
27,28.0,75.60714285714286,126.90163565642143,7.0,7.0,21.0,91.0,588.0
28,33.0,90.87878787878788,109.94423517622398,7.0,14.0,42.0,150.0,427.0
29,38.0,42.63157894736842,36.277027987442786,7.0,14.0,35.0,61.25,150.0
30,26.0,89.5,115.8016407483072,7.0,7.0,31.5,141.75,406.0
31,24.0,57.291666666666664,80.90599975960652,7.0,7.0,24.5,70.0,322.0
32,27.0,60.25925925925926,77.72267889628364,7.0,7.0,28.0,63.0,294.0
33,19.0,29.63157894736842,38.684206548116116,7.0,7.0,14.0,28.0,150.0
34,23.0,125.52173913043478,149.0362584209315,7.0,35.0,70.0,155.5,567.0
35,27.0,33.03703703703704,36.83067438289143,7.0,7.0,14.0,42.0,150.0
36,24.0,94.33333333333333,143.26432447286612,7.0,14.0,28.0,145.25,609.0
37,45.0,47.666666666666664,40.740308384605136,7.0,14.0,35.0,70.0,157.0
38,38.0,54.421052631578945,56.94930489998758,7.0,14.0,35.0,61.25,238.0
39,43.0,50.372093023255815,51.53270956430255,7.0,14.0,28.0,63.0,210.0
40,22.0,107.04545454545455,180.24810342380525,7.0,15.75,38.5,126.0,728.0
41,45.0,44.71111111111111,39.52767857764195,7.0,14.0,35.0,63.0,164.0
42,26.0,38.61538461538461,50.19886606135794,7.0,7.0,21.0,49.0,210.0
43,43.0,50.53488372093023,69.93784616058315,7.0,14.0,21.0,42.0,259.0
44,25.0,110.16,123.70855534952572,7.0,21.0,49.0,182.0,371.0
45,39.0,57.87179487179487,70.7873685904259,7.0,21.0,35.0,63.0,364.0
46,29.0,19.896551724137932,29.484069339688958,7.0,7.0,7.0,14.0,157.0
47,37.0,19.945945945945947,26.51409053686355,7.0,7.0,14.0,21.0,164.0
48,23.0,43.65217391304348,51.511347995679714,7.0,7.0,14.0,70.0,175.0
49,41.0,38.48780487804878,54.418343392287994,7.0,7.0,14.0,35.0,217.0
50,39.0,49.07692307692308,44.890149321124724,7.0,14.0,42.0,63.0,196.0
51,43.0,32.30232558139535,45.93034834643437,7.0,7.0,14.0,35.0,210.0
52,33.0,46.75757575757576,49.837881114062164,7.0,14.0,28.0,70.0,196.0
53,40.0,53.1,51.95007465259561,7.0,19.25,35.0,70.0,171.0
54,44.0,38.88636363636363,41.45449503446361,7.0,12.25,24.5,49.0,168.0
55,36.0,76.5,131.42982918652828,7.0,7.0,24.5,64.75,609.0
56,32.0,52.8125,72.93188934801407,7.0,7.0,31.5,57.75,371.0
57,36.0,63.47222222222222,76.04753630314251,7.0,19.25,35.0,78.75,392.0
58,32.0,41.65625,72.55770089850849,7.0,7.0,14.0,38.5,357.0
59,43.0,49.883720930232556,55.12030535125421,7.0,21.0,28.0,49.0,224.0
60,22.0,106.4090909090909,150.26315300670072,7.0,15.75,38.5,138.25,630.0
61,27.0,31.48148148148148,34.40077187234475,7.0,7.0,21.0,38.5,157.0
62,34.0,64.52941176470588,68.9818752190342,7.0,22.75,42.0,77.0,336.0
63,31.0,96.29032258064517,155.21967090726335,7.0,14.0,35.0,105.0,749.0
64,25.0,98.68,135.95793467098562,7.0,7.0,35.0,126.0,574.0
65,40.0,43.65,37.89969893662982,7.0,14.0,35.0,57.75,178.0
66,25.0,102.04,121.99299160197687,7.0,21.0,42.0,154.0,378.0
67,21.0,66.14285714285714,84.82646150481919,7.0,14.0,28.0,77.0,343.0
68,34.0,49.294117647058826,69.89668974333941,7.0,7.0,14.0,47.25,231.0
69,16.0,46.5625,47.09984961051716,7.0,21.0,24.5,56.0,157.0
70,31.0,82.06451612903226,103.71625892593407,7.0,17.5,42.0,84.0,427.0
71,26.0,36.19230769230769,40.81668210991112,7.0,14.0,21.0,47.25,157.0
72,21.0,100.47619047619048,140.1372966228545,7.0,14.0,49.0,133.0,581.0
73,45.0,47.2,45.530509251789326,7.0,14.0,35.0,63.0,185.0
74,29.0,50.793103448275865,57.833739108848434,7.0,7.0,21.0,84.0,210.0
75,44.0,57.34090909090909,57.395382352881,7.0,19.25,35.0,73.5,210.0
76,18.0,118.77777777777777,180.55097228974213,7.0,8.75,35.0,164.5,700.0
77,44.0,52.56818181818182,42.13400423525405,7.0,21.0,42.0,70.0,192.0
78,30.0,32.06666666666667,46.28542135365149,7.0,7.0,14.0,28.0,185.0
79,42.0,62.23809523809524,82.39607187055718,7.0,14.0,24.5,64.75,280.0
80,25.0,98.68,122.77069411440718,7.0,14.0,35.0,175.0,371.0
81,33.0,53.96969696969697,57.93125497544743,7.0,14.0,28.0,70.0,210.0
82,27.0,23.444444444444443,31.95710265741264,7.0,7.0,14.0,21.0,171.0
83,36.0,28.27777777777778,34.62914636224488,7.0,14.0,21.0,29.75,206.0
84,24.0,48.25,71.60838546961674,7.0,7.0,17.5,50.75,273.0
85,34.0,33.44117647058823,42.76446498251372,7.0,14.0,17.5,35.0,227.0
86,40.0,63.6,78.20872795414286,7.0,14.0,35.0,78.75,420.0
87,35.0,33.68571428571428,48.48393999021522,7.0,7.0,7.0,38.5,189.0
88,34.0,48.470588235294116,54.09824692959666,7.0,7.0,24.5,70.0,199.0
89,39.0,57.69230769230769,66.1748695527531,7.0,17.5,28.0,70.0,297.0
90,43.0,42.395348837209305,43.688910838249996,7.0,14.0,28.0,49.0,192.0
91,35.0,72.48571428571428,121.65920855081248,7.0,14.0,35.0,59.5,581.0
92,34.0,50.94117647058823,60.91322251664128,7.0,7.0,28.0,63.0,273.0
93,36.0,67.55555555555556,66.83944277977722,7.0,19.25,52.5,85.75,301.0
94,29.0,49.827586206896555,70.18804790678763,7.0,14.0,28.0,49.0,343.0
95,42.0,53.23809523809524,60.361435566100184,7.0,14.0,35.0,56.0,301.0
96,24.0,101.04166666666667,150.11053294639012,7.0,7.0,31.5,161.0,630.0
97,20.0,39.35,41.57336571462678,7.0,21.0,28.0,49.0,199.0
98,37.0,68.37837837837837,94.60013840468832,7.0,7.0,49.0,91.0,539.0
99,33.0,94.06060606060606,103.23212296626089,7.0,28.0,63.0,105.0,371.0
100,28.0,89.85714285714286,144.19192823910836,7.0,7.0,38.5,119.0,721.0
101,45.0,42.68888888888889,38.49428660217125,7.0,14.0,28.0,70.0,199.0
102,26.0,93.26923076923077,115.55866309102323,7.0,21.0,28.0,141.75,378.0
103,25.0,64.8,97.59696033517984,7.0,7.0,21.0,56.0,343.0
104,37.0,46.810810810810814,62.36088421342244,7.0,7.0,14.0,49.0,220.0
105,9.0,55.55555555555556,62.54020928792754,14.0,21.0,28.0,49.0,185.0
106,26.0,98.11538461538461,129.20288756001605,7.0,15.75,49.0,115.5,609.0
107,20.0,50.9,51.68925369328155,7.0,7.0,31.5,73.5,185.0
108,22.0,81.5909090909091,111.46755201185299,7.0,7.0,14.0,159.25,350.0
109,39.0,54.282051282051285,44.959015674482394,7.0,21.0,42.0,73.5,220.0
110,39.0,53.38461538461539,83.11615695253663,7.0,14.0,28.0,52.5,465.0
111,43.0,57.372093023255815,53.159697971039044,7.0,17.5,49.0,80.5,224.0
112,19.0,138.68421052631578,205.8219437149982,7.0,7.0,21.0,199.5,637.0
113,47.0,48.02127659574468,41.039476944767365,7.0,21.0,35.0,63.0,206.0
114,36.0,28.47222222222222,40.79249658672263,7.0,7.0,7.0,29.75,199.0
115,39.0,62.35897435897436,76.96290534355091,7.0,10.5,28.0,77.0,280.0
116,23.0,120.04347826086956,142.81567212856436,7.0,21.0,49.0,189.0,539.0
117,32.0,53.03125,57.24226071086224,7.0,14.0,38.5,59.5,245.0
118,21.0,28.142857142857142,39.13219354225586,7.0,7.0,21.0,28.0,185.0
119,35.0,36.285714285714285,43.59949502444443,7.0,7.0,28.0,42.0,234.0
120,19.0,66.10526315789474,85.82986707359709,7.0,14.0,35.0,77.0,350.0
121,37.0,49.08108108108108,70.72850218279063,7.0,7.0,21.0,42.0,290.0
122,37.0,70.64864864864865,73.72328752248589,7.0,28.0,49.0,98.0,392.0
123,37.0,32.62162162162162,58.147012606625594,7.0,7.0,7.0,28.0,325.0
124,37.0,41.13513513513514,49.29343102627715,7.0,7.0,21.0,49.0,213.0
125,35.0,58.08571428571429,70.24594249474336,7.0,17.5,35.0,66.5,360.0
126,39.0,48.53846153846154,51.577150262008445,7.0,14.0,28.0,49.0,210.0
127,35.0,77.28571428571429,104.63453805805162,7.0,17.5,28.0,84.0,420.0
128,35.0,53.885714285714286,73.33235038811573,7.0,14.0,35.0,70.0,332.0
129,35.0,62.08571428571429,54.56263073082994,7.0,24.5,56.0,77.0,255.0
130,24.0,63.125,76.13792547510192,7.0,14.0,28.0,71.75,287.0
131,39.0,60.38461538461539,57.82578890381158,7.0,21.0,42.0,80.5,241.0
132,26.0,102.15384615384616,140.62679468940257,7.0,7.0,38.5,143.5,553.0
133,19.0,68.3157894736842,117.49801541188258,7.0,10.5,28.0,49.0,395.0
134,39.0,62.35897435897436,80.21401871817903,7.0,17.5,42.0,59.5,441.0
135,32.0,95.03125,120.18949671650905,7.0,28.0,45.5,99.75,504.0
136,24.0,109.79166666666667,163.56888700820045,7.0,19.25,49.0,122.5,735.0
137,47.0,39.829787234042556,45.22519456969522,7.0,14.0,28.0,49.0,269.0
138,25.0,102.32,125.40558201292319,7.0,21.0,35.0,161.0,434.0
139,22.0,54.54545454545455,86.56334167077955,7.0,7.0,14.0,57.75,350.0
