id,count,mean,std,min,25%,50%,75%,max
0,23.0,87.47826086956522,100.74805189418954,7.0,7.0,35.0,131.0,322.0
1,40.0,63.95,81.46950034939141,7.0,14.0,35.0,78.75,364.0
2,40.0,64.65,87.32390338598077,7.0,19.25,35.0,70.0,455.0
3,35.0,74.28571428571429,107.54604251437708,7.0,17.5,42.0,70.0,567.0
4,29.0,79.03448275862068,100.94074738557575,7.0,7.0,28.0,105.0,385.0
5,30.0,60.766666666666666,74.77814697067464,7.0,7.0,31.5,77.0,336.0
6,36.0,41.888888888888886,51.46692573337215,7.0,7.0,28.0,49.0,217.0
7,28.0,67.60714285714286,57.53989874069946,7.0,26.25,45.5,112.0,210.0
8,29.0,82.41379310344827,98.5112456384619,7.0,14.0,56.0,126.0,441.0
9,26.0,62.57692307692308,73.55497159372605,7.0,14.0,38.5,85.75,273.0
10,30.0,16.9,28.753830329552432,7.0,7.0,7.0,12.25,150.0
11,31.0,33.064516129032256,64.39147742979189,7.0,7.0,14.0,24.5,350.0
12,26.0,57.19230769230769,67.17917488672765,7.0,21.0,35.0,71.75,294.0
13,34.0,51.76470588235294,50.328652495691614,7.0,21.0,28.0,61.25,210.0
14,39.0,46.92307692307692,69.87785757847107,7.0,10.5,35.0,49.0,378.0
15,20.0,55.45,67.50943403858845,7.0,7.0,28.0,87.5,259.0
16,39.0,69.8974358974359,70.92056151698138,7.0,14.0,49.0,98.0,343.0
17,31.0,70.7741935483871,73.730007313811,7.0,17.5,49.0,105.0,294.0
18,37.0,36.4054054054054,38.824004215218494,7.0,14.0,14.0,49.0,150.0
19,32.0,71.40625,95.40367862488998,7.0,14.0,38.5,94.5,497.0
20,42.0,62.73809523809524,127.38860452229254,7.0,7.0,31.5,56.0,616.0
21,30.0,70.56666666666666,92.27607876716304,7.0,14.0,31.5,77.0,364.0
22,39.0,36.69230769230769,57.41682948136642,7.0,7.0,7.0,31.5,217.0
23,29.0,55.86206896551724,65.26907172725785,7.0,14.0,35.0,56.0,280.0
24,31.0,83.64516129032258,91.32088055755077,7.0,24.5,56.0,105.0,357.0
25,35.0,56.68571428571428,109.64616122905947,7.0,7.0,7.0,42.0,441.0
26,34.0,68.8529411764706,79.7070896633574,7.0,14.0,42.0,85.75,364.0
27,38.0,75.78947368421052,106.31370151323505,7.0,7.0,35.0,113.75,448.0
28,38.0,80.21052631578948,92.44930178057325,7.0,15.75,38.5,129.5,420.0
29,47.0,42.808510638297875,40.01827750778513,7.0,14.0,35.0,49.0,189.0
30,28.0,77.85714285714286,110.44446041327214,7.0,7.0,28.0,64.75,406.0
31,31.0,45.70967741935484,69.51220206955855,7.0,7.0,14.0,56.0,280.0
32,31.0,62.87096774193548,73.6549350849323,7.0,14.0,35.0,94.5,280.0
33,12.0,70.83333333333333,69.75910932153114,7.0,24.5,42.0,94.5,245.0
34,29.0,82.17241379310344,113.96649537897319,7.0,14.0,35.0,91.0,497.0
35,27.0,30.185185185185187,34.94945475203279,7.0,7.0,14.0,38.5,150.0
36,25.0,83.28,100.5710859707368,7.0,7.0,28.0,112.0,350.0
37,38.0,69.52631578947368,79.7068062616871,7.0,22.75,42.0,84.0,378.0
38,39.0,66.66666666666667,90.61902127888968,7.0,14.0,28.0,73.5,462.0
39,38.0,75.05263157894737,93.11136818229832,7.0,21.0,42.0,98.0,469.0
40,23.0,93.26086956521739,118.17560792439528,7.0,10.5,42.0,147.0,469.0
41,38.0,64.1842105263158,91.69038832681456,7.0,14.0,35.0,56.0,406.0
42,25.0,42.96,54.88205535509762,7.0,7.0,21.0,56.0,224.0
43,41.0,65.8048780487805,80.1592850243174,7.0,14.0,42.0,63.0,385.0
44,31.0,78.6774193548387,120.22877833441105,7.0,7.0,21.0,84.0,532.0
45,36.0,57.833333333333336,84.16056083463323,7.0,14.0,28.0,57.75,469.0
46,18.0,30.11111111111111,47.01800517309849,7.0,7.0,7.0,19.25,157.0
47,38.0,42.26315789473684,68.96794563341231,7.0,7.0,14.0,35.0,371.0
48,23.0,45.17391304347826,81.8633296603736,7.0,7.0,21.0,38.5,385.0
49,43.0,30.511627906976745,36.33991121737671,7.0,7.0,14.0,35.0,164.0
50,32.0,60.25,65.48627041528037,7.0,21.0,28.0,63.0,252.0
51,37.0,39.810810810810814,55.648119583802774,7.0,7.0,14.0,49.0,217.0
52,30.0,64.73333333333333,64.39154652877826,7.0,14.0,45.5,108.5,217.0
53,30.0,74.76666666666667,65.74647405431499,7.0,35.0,56.0,91.0,266.0
54,45.0,42.22222222222222,45.63087515790999,7.0,7.0,28.0,56.0,182.0
55,38.0,73.57894736842105,109.73965051957892,7.0,21.0,35.0,82.25,497.0
56,29.0,45.0,83.1324244804637,7.0,7.0,14.0,42.0,399.0
57,34.0,75.02941176470588,88.09515698659024,7.0,15.75,35.0,112.0,371.0
58,27.0,55.333333333333336,69.18481380721106,7.0,7.0,21.0,66.5,231.0
59,36.0,72.61111111111111,72.97016132943962,7.0,21.0,49.0,92.75,336.0
60,28.0,67.85714285714286,78.32350495586512,7.0,7.0,42.0,106.75,301.0
61,23.0,55.82608695652174,76.34887161987699,7.0,14.0,28.0,59.5,322.0
62,34.0,78.52941176470588,75.61835407075961,7.0,22.75,59.5,115.5,357.0
63,38.0,71.1842105263158,94.6669425629916,7.0,14.0,21.0,82.25,336.0
64,34.0,70.29411764705883,103.09675638190848,7.0,7.0,17.5,92.75,441.0
65,38.0,47.05263157894737,44.92031826342757,7.0,14.0,35.0,68.25,178.0
