id,count,mean,std,min,25%,50%,75%,max
0,46.0,6.217391304347826,15.362165708834823,0.0,0.0,0.0,7.0,97.0
1,64.0,10.59375,17.052411038390503,0.0,0.0,7.0,14.0,111.0
2,62.0,7.32258064516129,16.338403109909926,0.0,0.0,0.0,7.0,118.0
3,65.0,7.846153846153846,14.684420708303803,0.0,0.0,0.0,7.0,90.0
4,54.0,13.722222222222221,20.850244708456437,0.0,0.0,7.0,14.0,104.0
5,64.0,6.21875,15.068593165919637,0.0,0.0,0.0,7.0,111.0
6,40.0,8.2,16.025940510022156,0.0,0.0,7.0,7.0,90.0
7,77.0,9.896103896103897,15.046055975242023,0.0,0.0,7.0,14.0,97.0
8,65.0,12.36923076923077,20.938577756417423,0.0,0.0,7.0,14.0,132.0
9,76.0,6.802631578947368,16.124531816948654,0.0,0.0,0.0,7.0,104.0
10,31.0,4.032258064516129,16.26752157104813,0.0,0.0,0.0,0.0,90.0
11,39.0,3.0256410256410255,15.641522303567816,0.0,0.0,0.0,0.0,97.0
12,44.0,9.045454545454545,17.207292323050396,0.0,0.0,0.0,7.0,90.0
13,76.0,8.460526315789474,15.771231860129534,0.0,0.0,0.0,7.0,104.0
14,59.0,5.559322033898305,15.793135988777637,0.0,0.0,0.0,7.0,111.0
15,39.0,3.3846153846153846,15.327332628545415,0.0,0.0,0.0,0.0,90.0
16,65.0,11.076923076923077,20.821644156612976,0.0,0.0,7.0,7.0,98.0
17,69.0,6.884057971014493,12.917767326534113,0.0,0.0,0.0,7.0,90.0
18,66.0,14.833333333333334,32.575395780502966,0.0,0.0,7.0,14.0,224.0
19,61.0,14.098360655737705,17.593279889428224,0.0,7.0,7.0,21.0,111.0
20,58.0,8.793103448275861,19.694828442832893,0.0,0.0,0.0,7.0,104.0
21,69.0,8.81159420289855,15.815364237049812,0.0,0.0,7.0,14.0,111.0
22,49.0,8.26530612244898,19.06324507855811,0.0,0.0,0.0,7.0,90.0
23,70.0,6.185714285714286,13.616159258787427,0.0,0.0,0.0,7.0,104.0
24,55.0,9.654545454545454,16.80191587600584,0.0,0.0,7.0,14.0,104.0
25,44.0,12.227272727272727,27.523236387209547,0.0,0.0,0.0,7.0,133.0
26,71.0,8.661971830985916,14.570953162245015,0.0,0.0,7.0,14.0,97.0
27,62.0,13.53225806451613,16.685831568891786,0.0,0.0,10.5,14.0,90.0
28,62.0,5.854838709677419,14.999286075025179,0.0,0.0,0.0,7.0,111.0
29,65.0,7.7384615384615385,15.213354457388872,0.0,0.0,0.0,7.0,104.0
30,50.0,13.42,18.32928959733184,0.0,0.0,7.0,21.0,104.0
31,39.0,9.128205128205128,20.898475753004583,0.0,0.0,0.0,7.0,97.0
32,62.0,4.838709677419355,14.6949233437356,0.0,0.0,0.0,7.0,111.0
33,30.0,8.366666666666667,18.631607059220503,0.0,0.0,0.0,7.0,90.0
34,64.0,14.09375,21.584620296251064,0.0,0.0,7.0,15.75,111.0
35,33.0,6.96969696969697,17.945202785989995,0.0,0.0,0.0,7.0,97.0
36,45.0,8.688888888888888,20.56676734909789,0.0,0.0,0.0,7.0,118.0
37,64.0,6.21875,16.05394551712029,0.0,0.0,0.0,7.0,125.0
38,62.0,13.419354838709678,26.781170524435833,0.0,0.0,7.0,12.25,153.0
39,64.0,9.390625,16.79249377615553,0.0,0.0,0.0,8.75,104.0
40,49.0,11.26530612244898,20.7793722938199,0.0,0.0,7.0,14.0,125.0
41,63.0,7.761904761904762,18.786331927257805,0.0,0.0,7.0,7.0,146.0
42,40.0,10.475,20.594980095358313,0.0,0.0,7.0,7.0,118.0
