id,count,mean,std,min,25%,50%,75%,max
0,19.0,14.842105263157896,21.30013864820482,7.0,7.0,7.0,14.0,100.0
1,58.0,25.379310344827587,19.57336857596996,7.0,7.0,21.0,35.0,100.0
2,55.0,18.363636363636363,14.988098533272913,7.0,7.0,14.0,21.0,100.0
3,52.0,24.134615384615383,19.821783270080246,7.0,7.0,21.0,35.0,100.0
4,40.0,23.15,21.047626091855683,7.0,7.0,14.0,28.0,100.0
5,59.0,21.389830508474578,19.041711880765547,7.0,7.0,14.0,28.0,100.0
6,13.0,15.76923076923077,25.489062511051827,7.0,7.0,7.0,14.0,100.0
7,35.0,21.257142857142856,22.692759738247247,7.0,7.0,14.0,21.0,100.0
8,45.0,22.288888888888888,19.709967739264016,7.0,7.0,14.0,28.0,100.0
9,31.0,19.032258064516128,18.735854879468835,7.0,7.0,14.0,28.0,100.0
10,11.0,23.727272727272727,31.515364218396428,7.0,7.0,7.0,24.5,100.0
11,47.0,14.638297872340425,18.070424469780416,7.0,7.0,7.0,14.0,100.0
12,42.0,19.714285714285715,22.799535419192438,7.0,7.0,10.5,21.0,105.0
13,31.0,22.419354838709676,19.595533833926524,7.0,7.0,14.0,35.0,100.0
14,55.0,24.727272727272727,24.319215497713788,7.0,14.0,14.0,28.0,140.0
15,37.0,26.72972972972973,17.444592681223998,7.0,14.0,28.0,35.0,100.0
16,59.0,24.23728813559322,26.524119786526924,7.0,7.0,14.0,28.0,133.0
17,41.0,21.21951219512195,26.685681736768455,7.0,7.0,14.0,28.0,147.0
18,57.0,23.24561403508772,20.926982498469005,7.0,7.0,14.0,28.0,100.0
19,42.0,25.547619047619047,21.35667186658982,7.0,14.0,21.0,28.0,100.0
20,30.0,15.233333333333333,20.34645327617421,7.0,7.0,7.0,14.0,100.0
21,45.0,17.77777777777778,18.45496839839772,7.0,7.0,7.0,21.0,100.0
22,21.0,20.095238095238095,21.633087532538575,7.0,7.0,14.0,28.0,100.0
23,64.0,26.71875,19.792149116926808,7.0,12.25,21.0,35.0,100.0
24,37.0,17.45945945945946,18.95256446235442,7.0,7.0,7.0,21.0,100.0
25,15.0,28.6,30.665942020423895,7.0,7.0,14.0,42.0,100.0
26,55.0,25.236363636363638,20.189806408885715,7.0,7.0,21.0,35.0,100.0
27,56.0,22.160714285714285,22.412477681955558,7.0,7.0,14.0,35.0,100.0
28,43.0,18.6046511627907,19.14995901386105,7.0,7.0,7.0,21.0,100.0
29,41.0,23.4390243902439,26.363847196954964,7.0,7.0,14.0,21.0,126.0
30,42.0,29.714285714285715,32.8924972646745,7.0,7.0,17.5,28.0,133.0
31,28.0,18.821428571428573,20.724030730903912,7.0,7.0,10.5,21.0,100.0
32,27.0,16.666666666666668,19.07273527235228,7.0,7.0,14.0,14.0,100.0
33,11.0,23.09090909090909,34.320415339720306,7.0,7.0,7.0,10.5,100.0
34,46.0,26.52173913043478,23.513342907506587,7.0,14.0,21.0,33.25,119.0
35,27.0,25.22222222222222,24.95894064155604,7.0,7.0,14.0,35.0,100.0
36,25.0,14.08,22.890900666713254,7.0,7.0,7.0,14.0,121.0
37,47.0,25.80851063829787,19.94191379969459,7.0,14.0,21.0,31.5,114.0
38,50.0,29.02,25.100199202396784,7.0,14.0,21.0,35.0,128.0
39,59.0,29.220338983050848,20.728181546578966,7.0,14.0,21.0,42.0,107.0
40,27.0,17.703703703703702,24.85003453768659,7.0,7.0,7.0,17.5,128.0
41,51.0,21.862745098039216,18.76488167598521,7.0,10.5,21.0,28.0,121.0
42,38.0,15.342105263157896,17.342770619061326,7.0,7.0,7.0,14.0,107.0
43,65.0,22.96923076923077,27.87582354768265,7.0,7.0,7.0,28.0,133.0
44,32.0,23.90625,28.523176060541456,7.0,7.0,14.0,21.0,135.0
