id,count,mean,std,min,25%,50%,75%,max
0,22.0,40.77272727272727,40.022531532913185,7.0,7.0,28.0,54.25,133.0
1,52.0,43.5,30.7440413483877,7.0,21.0,35.0,63.0,140.0
2,46.0,41.108695652173914,50.783299206145216,7.0,14.0,17.5,35.0,196.0
3,46.0,35.32608695652174,42.19850147303868,7.0,7.0,17.5,40.25,168.0
4,35.0,39.628571428571426,39.65519453717902,7.0,7.0,28.0,59.5,168.0
5,53.0,33.0377358490566,29.512032920195935,7.0,14.0,21.0,42.0,120.0
6,25.0,25.52,27.469862273650612,7.0,7.0,14.0,42.0,120.0
7,47.0,40.234042553191486,42.681435107874655,7.0,14.0,28.0,45.5,196.0
8,39.0,46.15384615384615,39.67004601216499,7.0,14.0,42.0,56.0,189.0
9,38.0,28.394736842105264,28.82992015033726,7.0,7.0,14.0,42.0,120.0
10,32.0,16.0,23.611096352514892,7.0,7.0,7.0,14.0,120.0
11,43.0,15.813953488372093,20.276958321200198,7.0,7.0,7.0,14.0,120.0
12,22.0,33.45454545454545,38.321605584127795,7.0,7.0,14.0,47.25,147.0
13,65.0,24.353846153846153,23.932477129174522,7.0,7.0,14.0,35.0,133.0
14,49.0,32.02040816326531,30.57197095647033,7.0,7.0,21.0,42.0,154.0
15,30.0,29.2,38.60087545907341,7.0,7.0,14.0,28.0,147.0
16,32.0,51.21875,52.227007211385036,7.0,14.0,28.0,73.5,189.0
17,33.0,34.18181818181818,32.292079665003136,7.0,14.0,21.0,42.0,133.0
18,55.0,28.01818181818182,22.415678135238878,7.0,14.0,21.0,35.0,120.0
19,39.0,37.17948717948718,34.3242064307176,7.0,14.0,28.0,49.0,161.0
20,39.0,40.94871794871795,62.87998121649507,7.0,7.0,21.0,42.0,350.0
21,50.0,39.08,45.182550361205344,7.0,7.0,21.0,42.0,217.0
22,24.0,24.541666666666668,26.105103893211428,7.0,7.0,17.5,29.75,120.0
23,43.0,41.04651162790697,41.13505832323341,7.0,10.5,35.0,52.5,210.0
24,33.0,40.75757575757576,42.581561666282205,7.0,7.0,28.0,56.0,203.0
25,20.0,34.7,46.33300517364541,7.0,7.0,14.0,33.25,154.0
26,43.0,48.2093023255814,46.67494389495181,7.0,17.5,28.0,66.5,154.0
27,49.0,38.44897959183673,45.65178949782518,7.0,7.0,28.0,56.0,266.0
