id,count,mean,std,min,25%,50%,75%,max
0,39.0,10.512820512820513,26.542787497758162,0.0,0.0,0.0,7.0,151.0
1,49.0,9.224489795918368,22.549265791929948,0.0,0.0,0.0,7.0,144.0
2,49.0,9.795918367346939,23.19929919185486,0.0,0.0,0.0,7.0,144.0
3,48.0,8.833333333333334,20.35988267881314,0.0,0.0,7.0,8.75,137.0
4,39.0,20.564102564102566,37.75530277973154,0.0,0.0,7.0,14.0,161.0
5,49.0,5.938775510204081,21.718279707872526,0.0,0.0,0.0,7.0,151.0
6,37.0,3.5135135135135136,21.37186834969645,0.0,0.0,0.0,0.0,130.0
7,53.0,11.69811320754717,31.77056263615277,0.0,0.0,0.0,7.0,175.0
8,47.0,17.21276595744681,29.254457980765622,0.0,0.0,7.0,17.5,165.0
9,55.0,16.618181818181817,28.31403977684655,0.0,0.0,7.0,17.5,158.0
10,36.0,16.444444444444443,45.920704601640324,0.0,0.0,7.0,14.0,252.0
11,46.0,8.304347826086957,22.845247077010605,0.0,0.0,0.0,7.0,137.0
12,40.0,28.975,46.87106564685505,0.0,0.0,14.0,29.75,231.0
13,59.0,6.711864406779661,18.14695837291181,0.0,0.0,0.0,7.0,137.0
14,47.0,16.76595744680851,26.825695635826033,0.0,0.0,7.0,21.0,144.0
15,38.0,14.657894736842104,27.263753103450696,0.0,0.0,3.5,14.0,130.0
16,47.0,12.74468085106383,27.10724921901919,0.0,0.0,7.0,7.0,165.0
17,44.0,23.318181818181817,28.798233737241215,0.0,7.0,14.0,28.0,137.0
18,51.0,7.490196078431373,20.730048286503926,0.0,0.0,0.0,7.0,130.0
19,50.0,15.34,25.361556959866864,0.0,0.0,7.0,14.0,151.0
20,49.0,25.79591836734694,35.718214069666615,0.0,0.0,14.0,28.0,144.0
21,47.0,18.404255319148938,28.423550840248257,0.0,3.5,14.0,21.0,151.0
22,41.0,6.585365853658536,22.349469355843883,0.0,0.0,0.0,0.0,137.0
23,44.0,9.0,21.858955910298462,0.0,0.0,0.0,14.0,137.0
24,46.0,16.82608695652174,35.28506410355904,0.0,0.0,7.0,14.0,189.0
25,45.0,14.088888888888889,23.326557457719364,0.0,0.0,7.0,14.0,130.0
26,47.0,17.659574468085108,29.405912297969188,0.0,0.0,7.0,14.0,130.0
27,48.0,25.895833333333332,45.34700233276038,0.0,0.0,7.0,22.75,224.0
28,48.0,11.458333333333334,22.753029569926046,0.0,0.0,7.0,14.0,144.0
29,55.0,15.6,27.88441752557763,0.0,0.0,7.0,21.0,137.0
30,41.0,15.121951219512194,28.07151146799119,0.0,0.0,7.0,14.0,165.0
31,34.0,12.264705882352942,25.77796665880357,0.0,0.0,3.5,14.0,130.0
32,48.0,11.166666666666666,22.78981980018321,0.0,0.0,7.0,14.0,151.0
33,28.0,7.892857142857143,25.89342728801224,0.0,0.0,0.0,7.0,137.0
34,52.0,14.75,25.47730631866136,0.0,0.0,7.0,15.75,158.0
35,30.0,12.966666666666667,26.79614400120535,0.0,0.0,0.0,14.0,130.0
36,38.0,13.921052631578947,27.575333257595005,0.0,0.0,7.0,19.25,158.0
37,49.0,13.653061224489797,27.079782603454188,0.0,0.0,7.0,14.0,172.0
38,49.0,19.081632653061224,33.883278038174595,0.0,0.0,7.0,14.0,172.0
39,48.0,13.208333333333334,24.242531934802706,0.0,0.0,7.0,14.0,165.0
40,36.0,25.77777777777778,47.203578018808884,0.0,0.0,14.0,28.0,231.0
41,48.0,12.625,30.82388200937156,0.0,0.0,7.0,14.0,207.0
42,37.0,8.243243243243244,26.4285256298373,0.0,0.0,0.0,7.0,158.0
43,52.0,17.173076923076923,35.29968124826711,0.0,0.0,7.0,14.0,179.0
44,47.0,10.957446808510639,27.343195200529934,0.0,0.0,7.0,14.0,186.0
45,55.0,14.581818181818182,29.253484065429365,0.0,0.0,7.0,17.5,172.0
46,34.0,9.382352941176471,25.683404270111094,0.0,0.0,3.5,12.25,151.0
47,45.0,15.8,23.946531348743672,0.0,7.0,7.0,14.0,144.0
48,39.0,13.384615384615385,28.817589095820395,0.0,0.0,7.0,14.0,165.0
49,59.0,14.067796610169491,31.12370446370621,0.0,0.0,7.0,14.0,228.0
50,47.0,19.148936170212767,31.266719856467095,0.0,0.0,7.0,21.0,158.0
51,38.0,14.473684210526315,28.973181301134208,0.0,0.0,7.0,14.0,151.0
