id,count,mean,std,min,25%,50%,75%,max
0,45.0,7.222222222222222,14.83835461487451,0.0,0.0,0.0,7.0,80.0
1,64.0,8.25,15.1803967156476,0.0,0.0,7.0,8.75,101.0
2,63.0,7.603174603174603,16.29915857964778,0.0,0.0,0.0,7.0,87.0
3,64.0,5.515625,12.837188273830753,0.0,0.0,0.0,7.0,80.0
4,56.0,7.928571428571429,14.637258986892002,0.0,0.0,3.5,8.75,94.0
5,64.0,4.640625,13.023016483646687,0.0,0.0,0.0,7.0,101.0
6,38.0,2.289473684210526,12.996689588354627,0.0,0.0,0.0,0.0,80.0
7,79.0,11.025316455696203,18.66367284843591,0.0,0.0,7.0,14.0,87.0
8,69.0,8.768115942028986,15.83382913029998,0.0,0.0,0.0,14.0,101.0
9,79.0,6.151898734177215,12.958601348629053,0.0,0.0,0.0,7.0,94.0
10,38.0,5.605263157894737,13.869155888662128,0.0,0.0,0.0,7.0,80.0
11,47.0,4.531914893617022,13.48727429811522,0.0,0.0,0.0,7.0,87.0
12,51.0,19.274509803921568,31.90428086095817,0.0,0.0,7.0,17.5,126.0
13,78.0,8.833333333333334,14.275959873263524,0.0,0.0,0.0,14.0,87.0
14,58.0,6.689655172413793,14.757937972912787,0.0,0.0,0.0,7.0,94.0
15,39.0,4.0256410256410255,13.470215056086522,0.0,0.0,0.0,0.0,80.0
16,60.0,4.25,13.70218960604472,0.0,0.0,0.0,7.0,101.0
17,70.0,5.242857142857143,12.271607048162577,0.0,0.0,0.0,7.0,94.0
18,68.0,9.411764705882353,16.19308429326807,0.0,0.0,7.0,7.0,87.0
19,64.0,9.453125,13.284350128377877,0.0,0.0,7.0,14.0,80.0
20,60.0,6.7,14.530272315387691,0.0,0.0,0.0,7.0,101.0
21,71.0,6.450704225352113,13.850001271164837,0.0,0.0,0.0,7.0,94.0
22,53.0,4.679245283018868,13.231334581366458,0.0,0.0,0.0,7.0,87.0
23,71.0,6.253521126760563,12.26227467812111,0.0,0.0,0.0,7.0,87.0
24,58.0,8.862068965517242,17.073061037439736,0.0,0.0,0.0,14.0,108.0
25,48.0,5.895833333333333,13.295719329252913,0.0,0.0,0.0,7.0,80.0
26,73.0,8.575342465753424,18.877468792348413,0.0,0.0,0.0,7.0,101.0
27,66.0,12.772727272727273,17.355819644271353,0.0,0.0,7.0,14.0,94.0
28,64.0,6.390625,12.909473803718294,0.0,0.0,0.0,7.0,80.0
29,68.0,6.9411764705882355,13.752484012196007,0.0,0.0,0.0,7.0,87.0
30,50.0,9.3,16.40339686075505,0.0,0.0,7.0,12.25,94.0
31,42.0,5.904761904761905,14.236349086327634,0.0,0.0,0.0,7.0,87.0
