id,count,mean,std,min,25%,50%,75%,max
0,16.0,12.875,18.29708537809597,7.0,7.0,7.0,7.0,80.0
1,57.0,23.63157894736842,18.614157034506377,7.0,7.0,21.0,35.0,80.0
2,62.0,16.64516129032258,12.989398923729631,7.0,7.0,14.0,21.0,80.0
3,40.0,20.375,21.813530851403407,7.0,7.0,10.5,22.75,91.0
4,42.0,20.238095238095237,20.32157273034277,7.0,7.0,14.0,21.0,84.0
5,54.0,15.87037037037037,12.464358691729254,7.0,7.0,14.0,21.0,80.0
6,10.0,15.0,22.94437718580403,7.0,7.0,7.0,7.0,80.0
7,67.0,15.82089552238806,15.566013262324379,7.0,7.0,7.0,21.0,84.0
8,41.0,18.682926829268293,20.78152908761798,7.0,7.0,7.0,21.0,105.0
9,22.0,10.954545454545455,15.557810081931665,7.0,7.0,7.0,7.0,80.0
10,12.0,19.5,19.965879986526105,7.0,7.0,14.0,21.0,80.0
11,14.0,22.214285714285715,34.43651588610013,7.0,7.0,7.0,7.0,119.0
12,27.0,39.25925925925926,36.043342063722484,7.0,14.0,35.0,49.0,168.0
13,29.0,10.724137931034482,13.84582596134027,7.0,7.0,7.0,7.0,80.0
14,54.0,16.51851851851852,14.45192517140979,7.0,7.0,14.0,21.0,80.0
15,15.0,19.333333333333332,30.17725412735007,7.0,7.0,7.0,10.5,105.0
16,16.0,14.625,18.5,7.0,7.0,7.0,14.0,80.0
17,42.0,17.238095238095237,15.763201240755702,7.0,7.0,14.0,21.0,80.0
18,45.0,19.511111111111113,15.329149626865421,7.0,7.0,14.0,28.0,80.0
19,57.0,21.789473684210527,19.583827914620617,7.0,7.0,14.0,28.0,98.0
20,34.0,11.0,12.818074360177128,7.0,7.0,7.0,7.0,80.0
21,33.0,16.21212121212121,19.3532257901583,7.0,7.0,7.0,14.0,91.0
22,25.0,24.2,27.810369768607295,7.0,7.0,14.0,28.0,112.0
23,67.0,20.208955223880597,15.417952260991314,7.0,7.0,14.0,24.5,80.0
24,36.0,15.444444444444445,17.12048805119501,7.0,7.0,7.0,14.0,80.0
