id,count,mean,std,min,25%,50%,75%,max
0,21.0,26.571428571428573,24.766048188137383,7.0,7.0,21.0,42.0,110.0
1,40.0,18.675,20.2767866518114,7.0,7.0,7.0,22.75,110.0
2,51.0,32.35294117647059,31.763389950955656,7.0,7.0,21.0,42.0,126.0
3,55.0,32.29090909090909,27.419696034780014,7.0,10.5,28.0,42.0,110.0
4,46.0,29.47826086956522,33.4110687782988,7.0,7.0,14.0,35.0,126.0
5,38.0,17.63157894736842,19.182510407859887,7.0,7.0,7.0,21.0,110.0
6,24.0,31.125,28.28167712264542,7.0,7.0,21.0,36.75,110.0
7,42.0,16.285714285714285,20.78846504063358,7.0,7.0,7.0,14.0,110.0
8,55.0,27.581818181818182,31.679933425090745,7.0,7.0,14.0,35.0,147.0
9,54.0,22.64814814814815,23.447377781061718,7.0,7.0,14.0,28.0,110.0
10,8.0,19.875,36.4159992311072,7.0,7.0,7.0,7.0,110.0
11,44.0,14.272727272727273,16.811352250251307,7.0,7.0,7.0,14.0,110.0
12,22.0,20.59090909090909,29.206423120867637,7.0,7.0,7.0,19.25,110.0
13,48.0,22.270833333333332,25.17829154744672,7.0,7.0,14.0,28.0,119.0
14,46.0,16.543478260869566,17.430122740358467,7.0,7.0,14.0,19.25,110.0
15,21.0,18.904761904761905,26.134086480886914,7.0,7.0,7.0,21.0,110.0
16,34.0,30.61764705882353,31.1973335164774,7.0,14.0,17.5,38.5,126.0
17,50.0,31.6,30.331501776206203,7.0,14.0,21.0,35.0,133.0
18,26.0,34.11538461538461,69.13194741829679,7.0,7.0,10.5,28.0,350.0
19,37.0,19.243243243243242,20.651076653941484,7.0,7.0,7.0,21.0,110.0
20,38.0,21.31578947368421,22.859270120477763,7.0,7.0,7.0,33.25,110.0
21,40.0,26.025,26.16857334225981,7.0,7.0,17.5,28.0,119.0
22,29.0,21.896551724137932,20.840113839122527,7.0,7.0,21.0,21.0,110.0
23,56.0,30.339285714285715,25.779679655047758,7.0,14.0,21.0,35.0,140.0
24,37.0,27.56756756756757,31.501799367073676,7.0,7.0,14.0,35.0,126.0
25,18.0,18.944444444444443,24.84178695434303,7.0,7.0,7.0,21.0,110.0
26,52.0,28.903846153846153,24.668197844938806,7.0,7.0,21.0,36.75,110.0
27,51.0,31.11764705882353,26.858627707925457,7.0,7.0,21.0,45.5,110.0
28,42.0,20.952380952380953,23.96740915305349,7.0,7.0,7.0,26.25,112.0
29,43.0,24.53488372093023,26.626471644738476,7.0,7.0,14.0,28.0,112.0
30,38.0,31.263157894736842,36.8067886001411,7.0,7.0,17.5,40.25,182.0
