id,count,mean,std,min,25%,50%,75%,max
0,19.0,12.31578947368421,17.130390900316925,7.0,7.0,7.0,7.0,80.0
1,61.0,24.37704918032787,15.33206219487584,7.0,14.0,21.0,35.0,80.0
2,61.0,18.639344262295083,14.320187134351338,7.0,7.0,14.0,28.0,80.0
3,32.0,13.65625,16.18962107787459,7.0,7.0,7.0,14.0,80.0
4,43.0,16.186046511627907,14.43912643109074,7.0,7.0,14.0,21.0,80.0
5,30.0,10.833333333333334,13.367699962927452,7.0,7.0,7.0,7.0,80.0
6,22.0,19.863636363636363,25.943703621028316,7.0,7.0,7.0,21.0,105.0
7,27.0,22.40740740740741,18.56849950289936,7.0,7.0,14.0,31.5,80.0
8,41.0,13.902439024390244,15.91980665405328,7.0,7.0,7.0,14.0,80.0
9,47.0,14.957446808510639,12.850236754388934,7.0,7.0,14.0,21.0,80.0
10,37.0,9.91891891891892,12.1983113093083,7.0,7.0,7.0,7.0,80.0
11,8.0,21.375,24.962471832733232,7.0,7.0,10.5,22.75,80.0
12,46.0,17.869565217391305,17.85697336013416,7.0,7.0,14.0,19.25,84.0
13,25.0,12.16,14.929500996349475,7.0,7.0,7.0,7.0,80.0
14,53.0,17.22641509433962,16.942937613596683,7.0,7.0,14.0,21.0,91.0
15,49.0,14.63265306122449,14.126945113197422,7.0,7.0,7.0,14.0,80.0
16,14.0,16.714285714285715,20.435371188319422,7.0,7.0,7.0,17.5,80.0
17,38.0,18.5,15.702900403463085,7.0,7.0,14.0,21.0,80.0
18,48.0,22.229166666666668,21.745373274911795,7.0,7.0,14.0,21.0,105.0
19,62.0,18.338709677419356,14.783623580726958,7.0,7.0,14.0,21.0,80.0
20,34.0,10.794117647058824,13.167405606647886,7.0,7.0,7.0,7.0,80.0
21,32.0,14.09375,15.185645545881851,7.0,7.0,7.0,14.0,80.0
22,21.0,21.142857142857142,17.780004820825315,7.0,7.0,21.0,28.0,80.0
23,65.0,19.323076923076922,14.465592465731067,7.0,7.0,14.0,21.0,80.0
24,42.0,13.238095238095237,13.317528379434746,7.0,7.0,7.0,14.0,80.0
25,11.0,17.454545454545453,21.713422744300985,7.0,7.0,7.0,14.0,80.0
