id,count,mean,std,min,25%,50%,75%,max
0,28.0,24.928571428571427,25.554485829923202,7.0,7.0,17.5,35.0,110.0
1,55.0,34.32727272727273,25.279954396242378,7.0,14.0,28.0,45.5,110.0
2,43.0,35.44186046511628,36.351002033468205,7.0,10.5,21.0,45.5,182.0
3,57.0,35.08771929824562,27.412380350696072,7.0,14.0,28.0,49.0,112.0
4,30.0,21.4,24.40689557735965,7.0,7.0,7.0,24.5,110.0
5,51.0,23.15686274509804,22.743238598774457,7.0,7.0,14.0,28.0,110.0
6,13.0,21.923076923076923,31.849807792359698,7.0,7.0,7.0,14.0,110.0
7,62.0,23.56451612903226,25.212292713285542,7.0,7.0,14.0,28.0,110.0
8,39.0,23.641025641025642,28.048348463892786,7.0,7.0,7.0,21.0,110.0
9,47.0,22.4468085106383,22.19949912345096,7.0,7.0,14.0,28.0,110.0
10,22.0,30.136363636363637,27.24718500889754,7.0,14.0,21.0,42.0,110.0
11,39.0,23.641025641025642,49.053937649493314,7.0,7.0,7.0,21.0,301.0
12,41.0,31.365853658536587,45.684656120825174,7.0,7.0,7.0,35.0,252.0
13,59.0,23.694915254237287,29.079115765435354,7.0,7.0,14.0,28.0,175.0
14,35.0,16.34285714285714,20.093813588709715,7.0,7.0,7.0,14.0,110.0
15,40.0,27.075,18.264983311917245,7.0,14.0,21.0,29.75,110.0
16,52.0,33.34615384615385,31.623945144236373,7.0,7.0,21.0,42.0,119.0
17,47.0,34.212765957446805,26.27690022931595,7.0,14.0,28.0,49.0,110.0
18,54.0,25.62962962962963,26.139174891552738,7.0,8.75,14.0,33.25,154.0
19,34.0,26.08823529411765,30.81948188172719,7.0,7.0,7.0,35.0,119.0
20,39.0,31.358974358974358,37.2010803319977,7.0,7.0,21.0,28.0,161.0
21,57.0,33.24561403508772,30.629864454339785,7.0,7.0,21.0,49.0,126.0
22,31.0,22.29032258064516,23.689932528941625,7.0,7.0,14.0,24.5,110.0
23,52.0,35.5,33.66414279027347,7.0,14.0,21.0,49.0,161.0
24,43.0,24.86046511627907,33.84036853575414,7.0,7.0,14.0,21.0,175.0
25,14.0,40.357142857142854,53.18994575735464,7.0,7.0,14.0,56.0,182.0
26,45.0,39.15555555555556,40.93839915351509,7.0,7.0,28.0,49.0,189.0
27,58.0,24.224137931034484,22.006413023391154,7.0,7.0,21.0,28.0,112.0
28,34.0,23.61764705882353,24.092013898589705,7.0,7.0,14.0,33.25,110.0
