id,count,mean,std,min,25%,50%,75%,max
0,29.0,17.724137931034484,39.328194676996354,0.0,0.0,7.0,14.0,171.0
1,45.0,8.0,23.130067012440755,0.0,0.0,0.0,7.0,150.0
2,46.0,9.652173913043478,25.291384032515765,0.0,0.0,0.0,7.0,164.0
3,46.0,18.934782608695652,53.151524353143465,0.0,0.0,3.5,14.0,329.0
4,30.0,27.633333333333333,39.90374913967732,0.0,0.0,14.0,33.25,164.0
5,45.0,11.422222222222222,24.00330364467745,0.0,0.0,7.0,14.0,150.0
6,42.0,4.738095238095238,24.194395162082504,0.0,0.0,0.0,0.0,157.0
7,41.0,16.975609756097562,46.78273602776886,0.0,0.0,0.0,7.0,245.0
8,35.0,16.085714285714285,37.365737237845735,0.0,0.0,7.0,14.0,178.0
9,44.0,18.522727272727273,33.395089902533705,0.0,0.0,7.0,21.0,171.0
10,24.0,6.25,30.618621784789728,0.0,0.0,0.0,0.0,150.0
11,43.0,15.046511627906977,29.150637899066304,0.0,0.0,7.0,21.0,157.0
12,37.0,20.7027027027027,30.406381699374357,0.0,0.0,14.0,21.0,164.0
13,56.0,6.303571428571429,21.30806048326411,0.0,0.0,0.0,7.0,157.0
14,44.0,14.545454545454545,30.285812585675,0.0,0.0,7.0,14.0,164.0
15,44.0,5.636363636363637,23.10953785686154,0.0,0.0,0.0,0.0,150.0
16,44.0,15.340909090909092,30.461522188460233,0.0,0.0,7.0,14.0,178.0
17,42.0,19.571428571428573,33.24127823049548,0.0,0.0,7.0,21.0,164.0
18,53.0,12.339622641509434,25.634219464363838,0.0,0.0,0.0,14.0,157.0
19,34.0,17.794117647058822,26.654670875868852,0.0,1.75,7.0,26.25,150.0
20,47.0,21.06382978723404,29.665823005254605,0.0,7.0,14.0,28.0,171.0
21,41.0,19.195121951219512,34.88783420634987,0.0,7.0,7.0,21.0,164.0
22,29.0,6.137931034482759,29.275445754726448,0.0,0.0,0.0,0.0,157.0
23,42.0,11.571428571428571,29.643526712558817,0.0,0.0,0.0,12.25,157.0
24,32.0,28.3125,42.60276948441187,0.0,7.0,14.0,29.75,171.0
25,39.0,10.846153846153847,24.475055466351282,0.0,0.0,7.0,14.0,150.0
26,44.0,13.113636363636363,25.256098419977246,0.0,0.0,7.0,15.75,150.0
27,32.0,31.8125,56.28122789086274,0.0,7.0,17.5,29.75,287.0
