id,count,mean,std,min,25%,50%,75%,max
0,22.0,10.954545454545455,15.557810081931665,7.0,7.0,7.0,7.0,80.0
1,57.0,27.43859649122807,18.206177860295163,7.0,14.0,28.0,35.0,80.0
2,62.0,19.129032258064516,13.099222691201813,7.0,14.0,14.0,21.0,80.0
3,20.0,18.7,20.558261241242118,7.0,7.0,10.5,21.0,80.0
4,17.0,13.764705882352942,18.091881507200632,7.0,7.0,7.0,7.0,80.0
5,62.0,16.306451612903224,13.802576036208793,7.0,7.0,14.0,21.0,80.0
6,15.0,25.866666666666667,34.384104854811426,7.0,7.0,7.0,24.5,112.0
7,39.0,18.564102564102566,21.79303953558865,7.0,7.0,7.0,24.5,105.0
8,51.0,15.843137254901961,17.524123429169983,7.0,7.0,7.0,17.5,98.0
9,69.0,14.956521739130435,14.594957612949244,7.0,7.0,7.0,21.0,80.0
10,34.0,11.617647058823529,13.008190207623747,7.0,7.0,7.0,12.25,80.0
11,21.0,12.476190476190476,16.409201831957112,7.0,7.0,7.0,7.0,80.0
12,37.0,19.56756756756757,26.38553953772211,7.0,7.0,7.0,21.0,147.0
13,33.0,13.878787878787879,14.264811547470527,7.0,7.0,7.0,14.0,80.0
14,63.0,17.38095238095238,13.400082536371437,7.0,7.0,14.0,21.0,80.0
15,47.0,14.808510638297872,14.751032827321293,7.0,7.0,7.0,14.0,80.0
16,15.0,17.933333333333334,26.13554412417439,7.0,7.0,7.0,10.5,84.0
17,38.0,15.736842105263158,14.851852574453948,7.0,7.0,7.0,21.0,80.0
18,50.0,22.74,27.017613302648122,7.0,7.0,14.0,26.25,119.0
19,62.0,16.758064516129032,12.746822791364833,7.0,7.0,14.0,21.0,80.0
20,29.0,11.931034482758621,15.104235532938526,7.0,7.0,7.0,7.0,80.0
21,33.0,18.12121212121212,17.823365240179765,7.0,7.0,14.0,14.0,80.0
22,21.0,17.476190476190474,18.829814251922528,7.0,7.0,7.0,14.0,80.0
23,63.0,22.047619047619047,26.94464371419286,7.0,7.0,14.0,28.0,182.0
24,38.0,13.526315789473685,16.941452189111775,7.0,7.0,7.0,7.0,80.0
25,13.0,13.153846153846153,20.177735889862014,7.0,7.0,7.0,7.0,80.0
26,47.0,21.21276595744681,20.693347145790774,7.0,7.0,14.0,24.5,105.0
27,65.0,18.56923076923077,19.918560150310523,7.0,7.0,7.0,21.0,105.0
28,37.0,14.08108108108108,15.734566297695546,7.0,7.0,7.0,14.0,80.0
29,43.0,14.069767441860465,13.827845180127719,7.0,7.0,7.0,14.0,80.0
30,38.0,21.263157894736842,19.39306676126362,7.0,7.0,14.0,26.25,91.0
31,31.0,12.96774193548387,14.013050752703691,7.0,7.0,7.0,14.0,80.0
32,16.0,14.1875,18.24360618591255,7.0,7.0,7.0,14.0,80.0
33,12.0,13.083333333333334,21.073284825421343,7.0,7.0,7.0,7.0,80.0
34,39.0,25.743589743589745,22.79972062238569,7.0,7.0,14.0,35.0,91.0
35,24.0,18.5,16.95774800471172,7.0,7.0,14.0,28.0,80.0
36,21.0,15.80952380952381,17.733073753918262,7.0,7.0,7.0,14.0,87.0
37,36.0,27.694444444444443,23.49810867093586,7.0,7.0,21.0,35.0,115.0
38,55.0,23.727272727272727,18.0302775655537,7.0,14.0,21.0,28.0,101.0
39,60.0,16.966666666666665,15.545413696831929,7.0,7.0,14.0,21.0,87.0
40,28.0,11.857142857142858,18.116320216894437,7.0,7.0,7.0,7.0,101.0
41,48.0,19.75,17.800908415739123,7.0,7.0,14.0,22.75,108.0
42,28.0,17.357142857142858,19.76756468957706,7.0,7.0,7.0,15.75,87.0
43,71.0,12.464788732394366,12.638751052576914,7.0,7.0,7.0,14.0,94.0
44,35.0,13.685714285714285,18.176862196972586,7.0,7.0,7.0,14.0,108.0
45,30.0,15.033333333333333,19.1841948836362,7.0,7.0,7.0,14.0,101.0
46,13.0,13.153846153846153,22.18800784900916,7.0,7.0,7.0,7.0,87.0
47,45.0,14.688888888888888,15.551705872847373,7.0,7.0,7.0,14.0,94.0
48,15.0,16.533333333333335,23.922095783326903,7.0,7.0,7.0,14.0,101.0
49,36.0,17.38888888888889,16.823924763397052,7.0,7.0,14.0,21.0,94.0
50,52.0,22.53846153846154,19.009245984016424,7.0,7.0,17.5,28.0,101.0
51,42.0,19.238095238095237,34.50543225087865,7.0,7.0,7.0,14.0,217.0
52,30.0,13.866666666666667,20.764248673826504,7.0,7.0,7.0,14.0,115.0
53,37.0,19.945945945945947,22.4300715136646,7.0,7.0,14.0,21.0,108.0
54,48.0,21.645833333333332,17.278063306725258,7.0,12.25,14.0,28.0,94.0
55,63.0,22.26984126984127,16.886916436951772,7.0,7.0,21.0,35.0,87.0
56,41.0,11.682926829268293,16.59584138329576,7.0,7.0,7.0,7.0,108.0
57,32.0,21.09375,23.774965655821333,7.0,7.0,10.5,22.75,101.0
58,22.0,20.818181818181817,22.0165227210673,7.0,7.0,14.0,21.0,94.0
59,60.0,22.1,22.842645220682435,7.0,7.0,14.0,28.0,119.0
60,47.0,12.425531914893616,16.345115851865835,7.0,7.0,7.0,14.0,115.0
61,10.0,24.1,28.544117899607034,7.0,7.0,14.0,28.0,101.0
62,48.0,21.645833333333332,27.208016327587536,7.0,7.0,14.0,15.75,112.0
63,62.0,18.112903225806452,16.840724292968897,7.0,7.0,14.0,21.0,101.0
64,38.0,17.210526315789473,23.221795324519658,7.0,7.0,7.0,14.0,115.0
65,37.0,18.054054054054053,18.070765134674083,7.0,7.0,14.0,21.0,108.0
66,36.0,32.166666666666664,23.81176179958132,7.0,14.0,24.5,42.0,101.0
67,28.0,14.857142857142858,18.522687361448046,7.0,7.0,7.0,14.0,101.0
68,44.0,11.522727272727273,17.911265308379136,7.0,7.0,7.0,7.0,122.0
69,11.0,16.818181818181817,30.314413013674482,7.0,7.0,7.0,7.0,108.0
70,47.0,20.76595744680851,19.233364088792758,7.0,7.0,14.0,21.0,115.0
71,30.0,18.766666666666666,18.951268419624153,7.0,7.0,14.0,21.0,101.0
72,32.0,15.625,21.859891095558492,7.0,7.0,7.0,14.0,122.0
73,37.0,29.594594594594593,41.73025778034943,7.0,7.0,14.0,35.0,196.0
74,24.0,19.083333333333332,33.6101908286197,7.0,7.0,7.0,14.0,129.0
75,59.0,24.135593220338983,22.049675599395425,7.0,7.0,14.0,28.0,115.0
76,22.0,17.954545454545453,27.905413833378663,7.0,7.0,7.0,19.25,136.0
77,48.0,25.583333333333332,23.532533689426042,7.0,7.0,21.0,28.0,143.0
78,32.0,16.9375,20.56451296647667,7.0,7.0,7.0,21.0,115.0
79,63.0,16.714285714285715,25.32589429139643,7.0,7.0,7.0,14.0,147.0
